time,open,high,low,close,volume,date,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,Williams_R,returns,log_returns,price_change,price_change_pct,hl_spread,hl_spread_pct,oc_spread,oc_spread_pct,intraday_range,volume_sma_5,volume_sma_20,volume_ratio,volume_change,price_volume_corr,ROC_5,ROC_10,ROC_20,momentum_5,momentum_10,close_lag_1,volume_lag_1,returns_lag_1,close_lag_2,volume_lag_2,returns_lag_2,close_lag_3,volume_lag_3,returns_lag_3,close_lag_5,volume_lag_5,returns_lag_5,close_lag_10,volume_lag_10,returns_lag_10,close_mean_5,close_std_5,close_min_5,close_max_5,pct_from_high_5,pct_from_low_5,close_mean_10,close_std_10,close_min_10,close_max_10,pct_from_high_10,pct_from_low_10,close_mean_20,close_std_20,close_min_20,close_max_20,pct_from_high_20,pct_from_low_20,target_next_close,target_direction
24-Jul-03,13.6,15.1,13.25,15.1,690000.0,2003-07-24,13.520000000000001,13.315000000000001,11.975,10.079,12.97986590770358,11.794831301637876,76.83615819209041,1.1850346060657042,1.0284295148395781,0.1566050912261261,15.165693704477036,11.975,8.784306295522963,-0.0,0.11029411764705888,0.10462495107887236,1.5,11.029411764705888,1.8499999999999996,12.251655629139071,1.5,11.029411764705882,0.13962264150943393,202200.0,420550.0,1.6407085958863392,10.596638655462185,0.16639628347692068,16.153846153846153,20.318725099601583,60.63829787234042,2.0999999999999996,2.549999999999999,13.6,59500.0,0.05426356589147274,12.9,138000.0,-0.007692307692307665,13.0,89000.0,0.0,13.0,71500.0,-0.054545454545454564,12.55,1999000.0,0.1357466063348416,13.520000000000001,0.9257429448826264,12.9,15.1,0.0,17.054263565891468,13.315000000000001,0.7435089478651759,12.35,15.1,0.0,22.267206477732795,11.975,1.5953468522385181,9.4,15.1,0.0,60.63829787234042,14.1,0
25-Jul-03,15.1,16.0,14.1,14.1,133000.0,2003-07-25,13.74,13.38,12.2,10.211,13.152194229595338,11.965584538553589,66.84782608695653,1.186609691041749,1.0600655500800125,0.1265441409617365,15.319379155503444,12.2,9.080620844496554,-36.893203883495154,-0.06622516556291391,-0.06851994643675606,-1.0,-6.622516556291391,1.9000000000000004,13.475177304964541,-1.0,-6.622516556291391,0.13475177304964542,221900.0,419950.0,0.3167043695678057,-0.8072463768115942,0.08128994806397663,8.46153846153846,4.832713754646843,46.875,1.0999999999999996,0.6500000000000004,15.1,690000.0,0.11029411764705888,13.6,59500.0,0.05426356589147274,12.9,138000.0,-0.007692307692307665,13.0,34500.0,0.0,13.45,653000.0,0.0717131474103585,13.74,0.9016651263079624,12.9,15.1,-6.622516556291391,9.302325581395344,13.38,0.7839359384258264,12.35,15.1,-6.622516556291391,14.17004048582996,12.2,1.5596895777517228,9.4,15.1,-6.622516556291391,49.999999999999986,15.6,1
28-Jul-03,14.1,15.6,15.5,15.6,46000.0,2003-07-28,14.26,13.64,12.510000000000002,10.368,13.528779732734517,12.23480049866073,71.09004739336493,1.2939792340737863,1.1068482868787672,0.1871309471950191,15.689473640648538,12.510000000000002,9.330526359351465,-7.766990291262142,0.1063829787234043,0.10109611687136881,1.5,10.63829787234043,0.09999999999999964,0.6410256410256387,1.5,10.638297872340425,0.006451612903225784,213300.0,415275.0,0.11076997170549636,-0.6541353383458647,-0.0596966629476994,20.0,20.0,65.95744680851064,2.5999999999999996,2.5999999999999996,14.1,133000.0,-0.06622516556291391,15.1,690000.0,0.11029411764705888,13.6,59500.0,0.05426356589147274,13.0,89000.0,0.0,13.0,328000.0,-0.03345724907063197,14.26,1.0968135666556755,12.9,15.6,0.0,20.93023255813953,13.64,1.0348912986396337,12.35,15.6,0.0,26.31578947368421,12.510000000000002,1.589736820324268,10.0,15.6,0.0,55.99999999999999,15.15,0
29-Jul-03,15.6,16.0,15.15,15.15,35500.0,2003-07-29,14.709999999999999,13.919999999999998,12.767500000000002,10.514,13.778198235390745,12.45074120246364,68.80733944954129,1.3274570329271054,1.150970036088435,0.17648699683867042,15.925159859686222,12.767500000000002,9.609840140313782,-17.894736842105257,-0.028846153846153855,-0.029270382300113224,-0.4499999999999993,-2.8846153846153855,0.8499999999999996,5.610561056105609,-0.4499999999999993,-2.88461538461538,0.056105610561056084,192800.0,397575.0,0.08929132868012325,-0.2282608695652174,-0.12551253714693344,17.441860465116278,22.67206477732794,51.5,2.25,2.8000000000000007,15.6,46000.0,0.1063829787234043,14.1,133000.0,-0.06622516556291391,15.1,690000.0,0.11029411764705888,12.9,138000.0,-0.007692307692307665,12.35,1238000.0,-0.050000000000000044,14.709999999999999,0.8279492738084482,13.6,15.6,-2.88461538461538,11.397058823529417,13.919999999999998,1.0258329948550897,12.9,15.6,-2.88461538461538,17.441860465116278,12.767500000000002,1.5788299298431094,10.35,15.6,-2.88461538461538,46.376811594202906,14.5,0
30-Jul-03,15.15,15.25,14.5,14.5,31500.0,2003-07-30,14.89,13.995,12.975,10.643999999999998,13.889244660715246,12.602538150429297,59.701492537313435,1.2867065102859492,1.1781173309279378,0.10858917935801138,16.006674888832713,12.975,9.943325111167285,-34.48275862068966,-0.04290429042904298,-0.04385188252884951,-0.6500000000000004,-4.290429042904298,0.75,5.172413793103448,-0.6500000000000004,-4.290429042904292,0.05172413793103448,187200.0,392750.0,0.08020369191597708,-0.11267605633802813,-0.2188468683272897,6.6176470588235325,5.454545454545454,40.09661835748793,0.9000000000000004,0.75,15.15,35500.0,-0.028846153846153855,15.6,46000.0,0.1063829787234043,14.1,133000.0,-0.06622516556291391,13.6,59500.0,0.05426356589147274,13.75,324000.0,0.11336032388663964,14.89,0.5899152481500488,14.1,15.6,-7.05128205128205,2.8368794326241162,13.995,1.0393507588875037,12.9,15.6,-7.05128205128205,12.403100775193796,12.975,1.5158374444163571,10.35,15.6,-7.05128205128205,40.09661835748793,15.0,1
31-Jul-03,14.5,15.05,15.0,15.0,9000.0,2003-07-31,14.87,14.194999999999999,13.180000000000001,10.778999999999998,14.060130097528285,12.780127917064164,58.03108808290156,1.2800021804641215,1.1984943008351747,0.08150787962894679,16.17515398075307,13.180000000000001,10.184846019246933,-22.98850574712644,0.034482758620689724,0.033901551675681416,0.5,3.4482758620689724,0.05000000000000071,0.3333333333333381,0.5,3.4482758620689653,0.003333333333333381,51000.0,368050.0,0.024453199293574243,-0.7142857142857143,-0.2500293106929228,-0.6622516556291367,15.384615384615385,37.61467889908256,-0.09999999999999964,2.0,14.5,31500.0,-0.04290429042904298,15.15,35500.0,-0.028846153846153855,15.6,46000.0,0.1063829787234043,15.1,690000.0,0.11029411764705888,13.0,71500.0,-0.054545454545454564,14.87,0.5826662852782319,14.1,15.6,-3.8461538461538445,6.382978723404258,14.194999999999999,1.018836482355147,12.9,15.6,-3.8461538461538445,16.279069767441857,13.180000000000001,1.4975769903765344,10.35,15.6,-3.8461538461538445,44.92753623188406,15.0,0
01-Aug-03,15.0,15.0,14.6,15.0,19000.0,2003-08-01,15.05,14.395,13.4125,10.91,14.204725467139319,12.944562886170521,60.869565217391305,1.2601625809687977,1.2108279568618994,0.04933462410689837,16.19720918825607,13.4125,10.627790811743928,-22.98850574712644,0.0,0.0,0.0,0.0,0.40000000000000036,2.6666666666666687,0.0,0.0,0.02739726027397263,28200.0,363675.0,0.05224444902729085,1.1111111111111112,-0.36922253537591737,6.382978723404258,15.384615384615385,44.92753623188406,0.9000000000000004,2.0,15.0,9000.0,0.034482758620689724,14.5,31500.0,-0.04290429042904298,15.15,35500.0,-0.028846153846153855,14.1,133000.0,-0.06622516556291391,13.0,34500.0,0.0,15.05,0.3937003937005031,14.5,15.6,-3.8461538461538445,3.4482758620689653,14.395,0.9523217243488152,12.9,15.6,-3.8461538461538445,16.279069767441857,13.4125,1.392354594128036,11.0,15.6,-3.8461538461538445,36.36363636363637,14.9,0
04-Aug-03,15.0,15.0,14.9,14.9,41500.0,2003-08-04,14.91,14.584999999999999,13.607499999999998,11.036000000000001,14.311690779887117,13.08941007978752,64.73988439306359,1.2222807000995974,1.2131185055094391,0.009162194590158323,16.221888325362045,13.607499999999998,10.993111674637952,-25.28735632183907,-0.006666666666666599,-0.00668898815079654,-0.09999999999999964,-0.6666666666666599,0.09999999999999964,0.671140939597313,-0.09999999999999964,-0.6666666666666643,0.00671140939597313,27300.0,331825.0,0.12506592330294583,1.1842105263157894,-0.361501653195183,-4.487179487179483,14.615384615384619,35.45454545454545,-0.6999999999999993,1.9000000000000004,15.0,19000.0,0.0,15.0,9000.0,0.034482758620689724,14.5,31500.0,-0.04290429042904298,15.6,46000.0,0.1063829787234043,13.0,89000.0,0.0,14.91,0.24596747752484163,14.5,15.15,-1.65016501650165,2.758620689655175,14.584999999999999,0.8239639959771927,12.9,15.6,-4.487179487179483,15.503875968992247,13.607499999999998,1.3071941626810233,11.05,15.6,-4.487179487179483,34.84162895927601,14.35,0
05-Aug-03,14.9,14.55,14.35,14.35,155500.0,2003-08-05,14.75,14.73,13.767500000000002,11.151,14.317584506058331,13.18278711091437,53.84615384615384,1.134797395143961,1.1974542834363435,-0.06265688829238258,16.12798054875539,13.767500000000002,11.407019451244617,-53.225806451612925,-0.03691275167785235,-0.03761127074578335,-0.5500000000000007,-3.691275167785235,0.20000000000000107,1.393728222996523,-0.5500000000000007,-3.691275167785239,0.013937282229965231,51300.0,314175.0,0.4949470836317339,2.746987951807229,-0.36870296056385504,-5.280528052805285,11.240310077519373,28.69955156950672,-0.8000000000000007,1.4499999999999993,14.9,41500.0,-0.006666666666666599,15.0,19000.0,0.0,15.0,9000.0,0.034482758620689724,15.15,35500.0,-0.028846153846153855,12.9,138000.0,-0.007692307692307665,14.75,0.30413812651480626,14.35,15.0,-4.333333333333336,0.0,14.73,0.588406511029799,13.6,15.6,-8.012820512820513,5.514705882352941,13.767500000000002,1.1802402743776925,11.05,15.6,-8.012820512820513,29.864253393665148,14.3,0
06-Aug-03,14.35,14.5,14.3,14.3,7000.0,2003-08-06,14.709999999999999,14.8,13.930000000000001,11.265,14.314879197433974,13.26554362121701,59.1549295774648,1.049335576216965,1.167830541992468,-0.118494965775503,15.921402573696794,13.930000000000001,11.93859742630321,-54.83870967741934,-0.0034843205574912606,-0.003490404939768491,-0.049999999999998934,-0.34843205574912606,0.1999999999999993,1.3986013986013937,-0.049999999999998934,-0.3484320557491215,0.013986013986013936,46400.0,305125.0,0.02294141745186399,-0.954983922829582,-0.4833967491439209,-1.3793103448275814,5.14705882352942,29.411764705882348,-0.1999999999999993,0.7000000000000011,14.35,155500.0,-0.03691275167785235,14.9,41500.0,-0.006666666666666599,15.0,19000.0,0.0,14.5,31500.0,-0.04290429042904298,13.6,59500.0,0.05426356589147274,14.709999999999999,0.35425979167827804,14.3,15.0,-4.666666666666662,0.0,14.8,0.4684489774185488,14.1,15.6,-8.333333333333327,1.4184397163120643,13.930000000000001,0.995701286848396,12.35,15.6,-8.333333333333327,15.789473684210536,14.25,0
07-Aug-03,14.3,14.5,14.25,14.25,38000.0,2003-08-07,14.559999999999999,14.715,14.015,11.379000000000001,14.304897782444133,13.338466315941675,58.74125874125874,0.966431466502458,1.127550726894466,-0.16111926039200797,15.900708020039687,14.015,12.129291979960314,-56.451612903225815,-0.0034965034965035446,-0.003502630551202112,-0.05000000000000071,-0.34965034965035446,0.25,1.7543859649122806,-0.05000000000000071,-0.3496503496503546,0.017543859649122806,52200.0,207075.0,0.18350839067970542,4.428571428571429,-0.392469393224202,-5.0,-5.629139072847679,13.545816733067722,-0.75,-0.8499999999999996,14.3,7000.0,-0.0034843205574912606,14.35,155500.0,-0.03691275167785235,14.9,41500.0,-0.006666666666666599,15.0,9000.0,0.034482758620689724,15.1,690000.0,0.11029411764705888,14.559999999999999,0.35951356024486736,14.25,15.0,-5.0,0.0,14.715,0.48479663548524793,14.1,15.6,-8.653846153846152,1.0638297872340452,14.015,0.9428540100198434,12.35,15.6,-8.653846153846152,15.384615384615389,14.5,1
08-Aug-03,14.25,14.8,14.0,14.5,58000.0,2003-08-08,14.459999999999999,14.755,14.0675,11.495,14.334913508221959,13.424505848094144,60.13513513513514,0.9104076601278148,1.0841221135411359,-0.17371445341332103,15.945425787446828,14.0675,12.189574212553174,-48.38709677419356,0.01754385964912286,0.01739174271186924,0.25,1.7543859649122862,0.8000000000000007,5.51724137931035,0.25,1.7543859649122806,0.0571428571428572,60000.0,177325.0,0.32708303961652335,0.5263157894736843,-0.3765100636183059,-3.3333333333333335,2.8368794326241162,7.806691449814132,-0.5,0.40000000000000036,14.25,38000.0,-0.0034965034965035446,14.3,7000.0,-0.0034843205574912606,14.35,155500.0,-0.03691275167785235,15.0,19000.0,0.0,14.1,133000.0,-0.06622516556291391,14.459999999999999,0.26315394733870484,14.25,14.9,-2.684563758389264,1.7543859649122806,14.755,0.44312651817641213,14.25,15.6,-7.05128205128205,1.7543859649122806,14.0675,0.9389628937234133,12.35,15.6,-7.05128205128205,17.408906882591097,14.45,0
