time,open,high,low,close,volume,date,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,Williams_R,returns,log_returns,price_change,price_change_pct,hl_spread,hl_spread_pct,oc_spread,oc_spread_pct,intraday_range,volume_sma_5,volume_sma_20,volume_ratio,volume_change,price_volume_corr,ROC_5,ROC_10,ROC_20,momentum_5,momentum_10,close_lag_1,volume_lag_1,returns_lag_1,close_lag_2,volume_lag_2,returns_lag_2,close_lag_3,volume_lag_3,returns_lag_3,close_lag_5,volume_lag_5,returns_lag_5,close_lag_10,volume_lag_10,returns_lag_10,close_mean_5,close_std_5,close_min_5,close_max_5,pct_from_high_5,pct_from_low_5,close_mean_10,close_std_10,close_min_10,close_max_10,pct_from_high_10,pct_from_low_10,close_mean_20,close_std_20,close_min_20,close_max_20,pct_from_high_20,pct_from_low_20,target_next_close,target_direction
15-Jul-16,3.0,3.23,3.0,3.23,1500,2016-07-15,3.182,3.325,3.3865000000000003,3.339,3.3019266697395055,3.3460728196050624,41.12903225806451,-0.04414614986555687,-0.010504467158062938,-0.03364168270749393,3.7233132388946975,3.3865000000000003,3.049686761105303,-12.228260869565222,-0.0030864197530865445,-0.0030911925696729694,-0.010000000000000231,-0.30864197530865445,0.22999999999999998,7.120743034055726,0.22999999999999998,7.666666666666666,0.07666666666666666,700.0,1825.0,0.821917808219178,1.3333333333333335,-0.15058036189024077,-0.30864197530864906,-12.228260869565222,-4.999999999999998,-0.010000000000000231,-0.4500000000000002,3.24,0.0,0.0,3.24,1000.0,0.04516129032258065,3.1,0.0,0.0,3.24,15500.0,-0.05813953488372081,3.68,500.0,0.06666666666666665,3.182,0.07496665925596012,3.1,3.24,-0.30864197530864906,4.1935483870967705,3.325,0.21025117254264114,3.1,3.68,-12.228260869565222,4.1935483870967705,3.3865000000000003,0.16840661944734858,3.1,3.68,-12.228260869565222,4.1935483870967705,3.22,0
18-Jul-16,3.24,3.24,3.0,3.22,3500,2016-07-18,3.2060000000000004,3.279,3.3775,3.3339999999999996,3.2893225667026584,3.3367340922269095,40.800000000000004,-0.0474115255242511,-0.01788587883130057,-0.029525646692950526,3.7223187929913326,3.3775,3.0326812070086673,-12.499999999999998,-0.003095975232198067,-0.0031007776782481593,-0.009999999999999787,-0.3095975232198067,0.2400000000000002,7.453416149068329,-0.020000000000000018,-0.6172839506172845,0.08000000000000007,1200.0,2000.0,1.75,1.3333333333333335,-0.1640774452009064,3.8709677419354875,-12.499999999999998,-5.294117647058815,0.1200000000000001,-0.45999999999999996,3.23,1500.0,-0.0030864197530865445,3.24,0.0,0.0,3.24,1000.0,0.04516129032258065,3.1,1000.0,-0.04320987654320996,3.68,0.0,0.0,3.2060000000000004,0.05983310120660046,3.1,3.24,-0.6172839506172845,3.8709677419354875,3.279,0.1705188161660368,3.1,3.68,-12.499999999999998,3.8709677419354875,3.3775,0.1724093964956664,3.1,3.68,-12.499999999999998,3.8709677419354875,3.22,0
22-Jul-16,3.68,3.68,3.68,3.68,500,2016-07-22,3.3120000000000003,3.247,3.3645000000000005,3.3339999999999996,3.3263055109797843,3.3398771166999466,50.0,-0.01357160572016225,-0.029666403953009415,0.016094798232847166,3.755260392325689,3.3645000000000005,2.973739607674312,-0.0,0.1428571428571428,0.13353139262452257,0.45999999999999996,14.28571428571428,0.0,0.0,0.0,0.0,0.0,800.0,2025.0,0.24691358024691357,1.3333333333333335,-0.10015794845336685,13.931888544891645,13.580246913580243,8.235294117647067,0.4500000000000002,0.43999999999999995,3.22,0.0,0.0,3.22,0.0,0.0,3.22,0.0,0.0,3.23,1500.0,-0.0030864197530865445,3.24,15500.0,-0.05813953488372081,3.3120000000000003,0.20571825392997964,3.22,3.68,0.0,14.285714285714285,3.247,0.16124860033845606,3.1,3.68,0.0,18.70967741935484,3.3645000000000005,0.19538019616284427,3.1,3.68,0.0,18.70967741935484,3.68,0
28-Jul-16,2.75,3.24,2.75,3.24,3000,2016-07-28,3.496,3.3590000000000004,3.3645000000000005,3.3494,3.3733174253791898,3.365704450185283,50.0,0.007612975193906912,-0.0030790074427647805,0.010691982636671694,3.7806211868017097,3.3645000000000005,2.9483788131982913,-11.956521739130432,-0.05813953488372081,-0.05989814158106884,-0.19999999999999973,-5.813953488372081,0.4900000000000002,15.123456790123463,0.4900000000000002,17.818181818181824,0.17818181818181825,700.0,1875.0,1.6,1.3333333333333335,-0.15317208855966213,0.6211180124223608,0.0,-6.086956521739129,0.020000000000000018,0.0,3.44,0.0,0.0,3.44,0.0,-0.0652173913043479,3.68,0.0,0.0,3.22,0.0,0.0,3.24,0.0,0.0,3.496,0.1867618804788603,3.24,3.68,-11.956521739130432,0.0,3.3590000000000004,0.19069754994638882,3.22,3.68,-11.956521739130432,0.6211180124223608,3.3645000000000005,0.20806059340085453,3.1,3.68,-11.956521739130432,4.5161290322580685,3.24,0
01-Aug-16,3.0,3.0,3.0,3.0,500,2016-08-01,3.272,3.338,3.3085,3.3442000000000003,3.298529044206402,3.3299935272507573,46.15384615384615,-0.03146448304435534,-0.00883721452214263,-0.02262726852221271,3.6948608893794836,3.3085,2.9221391106205163,-18.478260869565222,-0.07407407407407418,-0.07696104113612844,-0.2400000000000002,-7.407407407407418,0.0,0.0,0.0,0.0,0.0,700.0,1875.0,0.26666666666666666,1.3333333333333335,-0.04367626441466604,-18.478260869565222,-6.832298136645969,-18.478260869565222,-0.6800000000000002,-0.2200000000000002,3.24,0.0,0.0,3.24,3000.0,-0.05813953488372081,3.44,0.0,0.0,3.68,0.0,0.0,3.22,3500.0,-0.003095975232198067,3.272,0.181989010657236,3.0,3.44,-12.790697674418603,0.0,3.338,0.21857111733560153,3.0,3.68,-18.478260869565222,0.0,3.3085,0.19318044468974185,3.0,3.68,-18.478260869565222,0.0,3.0,0
03-Aug-16,2.76,2.98,2.5,2.98,138500,2016-08-03,3.092,3.2920000000000003,3.2585,3.333,3.2106628067986662,3.281434779878907,38.983050847457626,-0.07077197308024097,-0.02828190204227407,-0.0424900710379669,3.648926217842691,3.2585,2.8680737821573095,-19.021739130434785,-0.00666666666666671,-0.006688988150796652,-0.020000000000000018,-0.666666666666671,0.48,16.10738255033557,0.2200000000000002,7.971014492753631,0.192,28400.0,8750.0,14.705826903024146,1.3333333333333335,-0.3272066486926391,-13.372093023255813,-7.453416149068329,-9.696969696969692,-0.45999999999999996,-0.2400000000000002,3.0,0.0,0.0,3.0,500.0,-0.07407407407407418,3.24,0.0,0.0,3.44,0.0,0.0,3.22,0.0,0.0,3.092,0.13535139452550632,2.98,3.24,-8.024691358024699,0.0,3.2920000000000003,0.26317716888480713,2.98,3.68,-19.021739130434785,0.0,3.2585,0.19521310892134539,2.98,3.68,-19.021739130434785,0.0,2.95,0
04-Aug-16,3.15,2.98,2.9,2.95,4500,2016-08-04,3.0340000000000003,3.2649999999999997,3.2340000000000004,3.3262,3.1705608365219486,3.2568840554434324,38.33333333333334,-0.08632321892148376,-0.039890165418116005,-0.04643305350336775,3.6377404064364565,3.2340000000000004,2.8302595935635444,-19.83695652173913,-0.010067114093959662,-0.010118130165584554,-0.029999999999999805,-1.0067114093959662,0.08000000000000007,2.7118644067796636,-0.19999999999999973,-6.349206349206341,0.027586206896551748,28700.0,8475.0,0.5309734513274337,-0.9675090252707581,-0.3082491471994965,-8.950617283950619,-8.385093167701864,-14.244186046511622,-0.29000000000000004,-0.27,2.98,138500.0,-0.00666666666666671,3.0,0.0,0.0,3.0,500.0,-0.07407407407407418,3.24,3000.0,-0.05813953488372081,3.22,0.0,0.0,3.0340000000000003,0.11696153213770374,2.95,3.24,-8.950617283950619,0.0,3.2649999999999997,0.28438041814130305,2.95,3.68,-19.83695652173913,0.0,3.2340000000000004,0.20187020321822804,2.95,3.68,-19.83695652173913,0.0,2.95,0
10-Aug-16,2.6,2.94,2.6,2.84,8000,2016-08-10,2.928,3.0100000000000002,3.1845000000000003,3.3029999999999995,3.0461412838317234,3.1674207939500163,35.38461538461537,-0.12127951011829285,-0.08164416218786186,-0.039635347930431,3.6627633055898037,3.1845000000000003,2.706236694410197,-22.826086956521745,-0.03728813559322042,-0.03800111817861387,-0.11000000000000032,-3.7288135593220417,0.33999999999999986,11.971830985915489,0.23999999999999977,9.230769230769221,0.13076923076923072,2500.0,8000.0,1.0,-0.9675090252707581,-0.22603990428268264,-4.697986577181212,-17.44186046511628,-12.34567901234569,-0.14000000000000012,-0.6000000000000001,2.95,0.0,0.0,2.95,0.0,0.0,2.95,0.0,0.0,2.98,138500.0,-0.00666666666666671,3.44,0.0,0.0,2.928,0.04919349550498367,2.84,2.95,-3.7288135593220444,0.0,3.0100000000000002,0.12918548250051,2.84,3.24,-12.34567901234569,0.0,3.1845000000000003,0.23913165279490176,2.84,3.68,-22.826086956521745,0.0,3.0,1
11-Aug-16,3.0,3.0,3.0,3.0,500,2016-08-11,2.938,2.9859999999999998,3.1725000000000003,3.2970000000000006,3.039042624780689,3.1550192536574224,16.420334128878288,-0.11597662887673321,-0.08851065552563614,-0.027465973351097073,3.6569041374937403,3.1725000000000003,2.6880958625062603,-7.407407407407414,0.05633802816901423,0.05480823649499516,0.16000000000000014,5.633802816901423,0.0,0.0,0.0,0.0,0.0,1700.0,8025.0,0.06230529595015576,-0.9375,-0.210277065179284,1.6949152542372818,-7.407407407407414,-7.407407407407414,0.04999999999999982,-0.2400000000000002,2.84,8000.0,-0.03728813559322042,2.95,0.0,0.0,2.95,0.0,0.0,2.95,4500.0,-0.010067114093959662,3.24,3000.0,-0.05813953488372081,2.938,0.05890670590008284,2.84,3.0,0.0,5.633802816901413,2.9859999999999998,0.10090699788529514,2.84,3.24,-7.407407407407414,5.633802816901413,3.1725000000000003,0.24220206874687006,2.84,3.68,-18.478260869565222,5.633802816901413,3.0,0
17-Aug-16,2.62,2.99,2.61,2.99,2000,2016-08-17,2.998,2.963,3.1275000000000004,3.2727999999999997,3.018475651042123,3.113203038455691,28.070175438596493,-0.09472738741356812,-0.0958533237296859,0.0011259363161177788,3.6273052252206828,3.1275000000000004,2.627694774779318,-0.33333333333332626,-0.0033333333333332993,-0.0033389012655145986,-0.009999999999999787,-0.33333333333332993,0.38000000000000034,12.70903010033446,0.3700000000000001,14.122137404580156,0.1455938697318009,500.0,7875.0,0.25396825396825395,-0.9375,-0.15936523665058064,5.281690140845083,0.33557046979866545,-7.142857142857142,0.15000000000000036,0.010000000000000231,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.84,8000.0,-0.03728813559322042,2.98,138500.0,-0.00666666666666671,2.998,0.0044721359548822335,2.99,3.0,-0.33333333333332626,0.0,2.963,0.04945255863508318,2.84,3.0,-0.33333333333332626,5.281690140845083,3.1275000000000004,0.2499026126103411,2.84,3.68,-18.749999999999996,5.281690140845083,2.99,0
