TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",39.17,39.17,39.17,39.17,74415
"Nov 14, 2025",38.83,38.83,38.83,38.83,10485
"Nov 13, 2025",38.17,38.17,38.17,38.17,45680
"Nov 12, 2025",39.02,39.02,39.02,39.02,35154
"Nov 11, 2025",40.49,40.49,40.49,40.49,73272
"Nov 10, 2025",42.49,42.49,42.49,42.49,36638
"Nov 07, 2025",42.6,42.6,42.6,42.6,2255
"Nov 06, 2025",42.75,42.75,42.75,42.75,24794
"Nov 05, 2025",42.78,42.78,42.78,42.78,21470
"Nov 04, 2025",44.49,44.49,44.49,44.49,8727
"Nov 03, 2025",46.61,46.61,46.61,46.61,18696
"Oct 31, 2025",46.66,46.66,46.66,46.66,28910
"Oct 30, 2025",46.55,46.55,46.55,46.55,87164
"Oct 29, 2025",46.5,46.5,46.5,46.5,13669
"Oct 28, 2025",45.52,45.52,45.52,45.52,45650
"Oct 27, 2025",45.93,45.93,45.93,45.93,9641
"Oct 24, 2025",46.2,46.2,46.2,46.2,3427
"Oct 23, 2025",46.25,46.25,46.25,46.25,110273
"Oct 22, 2025",46.01,46.01,46.01,46.01,26199
"Oct 21, 2025",46.5,46.5,46.5,46.5,39390
"Oct 20, 2025",47.21,47.21,47.21,47.21,87942
"Oct 17, 2025",47.0,47.0,47.0,47.0,21826
"Oct 16, 2025",47.75,47.75,47.75,47.75,148071
"Oct 15, 2025",50.04,50.04,50.04,50.04,293593
"Oct 14, 2025",45.49,45.49,45.49,45.49,3560
"Oct 13, 2025",44.89,44.89,44.89,44.89,34369
"Oct 10, 2025",45.0,45.0,45.0,45.0,15517
"Oct 09, 2025",45.49,45.49,45.49,45.49,15721
"Oct 08, 2025",45.02,45.02,45.02,45.02,12830
"Oct 07, 2025",44.92,44.92,44.92,44.92,134858
"Oct 06, 2025",46.38,46.38,46.38,46.38,36061
"Oct 03, 2025",47.25,47.25,47.25,47.25,29550
"Oct 02, 2025",46.85,46.85,46.85,46.85,7739
