TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",102.75,102.75,102.75,102.75,321
"Nov 14, 2025",100.0,100.0,100.0,100.0,4036
"Nov 13, 2025",98.0,98.0,98.0,98.0,572
"Nov 12, 2025",95.15,95.15,95.15,95.15,112
"Nov 11, 2025",95.15,95.15,95.15,95.15,869
"Nov 10, 2025",99.69,99.69,99.69,99.69,97
"Nov 07, 2025",99.69,99.69,99.69,99.69,871
"Nov 06, 2025",100.04,100.04,100.04,100.04,57631
"Nov 05, 2025",97.43,97.43,97.43,97.43,442
"Nov 04, 2025",90.04,90.04,90.04,90.04,119
"Nov 03, 2025",90.04,90.04,90.04,90.04,67
"Oct 31, 2025",90.04,90.04,90.04,90.04,1243
"Oct 30, 2025",93.0,93.0,93.0,93.0,541
"Oct 29, 2025",94.5,94.5,94.5,94.5,369
"Oct 28, 2025",99.0,99.0,99.0,99.0,1087
"Oct 23, 2025",100.39,100.39,100.39,100.39,10753
"Oct 22, 2025",92.42,92.42,92.42,92.42,5000
"Oct 21, 2025",96.77,96.77,96.77,96.77,1933
"Oct 20, 2025",102.0,102.0,102.0,102.0,104
"Oct 17, 2025",102.0,102.0,102.0,102.0,527
"Oct 16, 2025",106.39,106.39,106.39,106.39,21
"Oct 15, 2025",106.39,106.39,106.39,106.39,3905
"Oct 14, 2025",103.88,103.88,103.88,103.88,2717
"Oct 13, 2025",109.79,109.79,109.79,109.79,4079
"Oct 10, 2025",103.81,103.81,103.81,103.81,11739
"Oct 09, 2025",94.39,94.39,94.39,94.39,5
"Oct 08, 2025",94.39,94.39,94.39,94.39,475424
"Oct 07, 2025",94.52,94.52,94.52,94.52,501138
"Oct 06, 2025",90.95,90.95,90.95,90.95,94701
"Oct 03, 2025",92.04,92.04,92.04,92.04,2242
"Oct 02, 2025",97.23,97.23,97.23,97.23,1742
"Oct 01, 2025",104.32,104.32,104.32,104.32,49
"Sep 30, 2025",104.32,104.32,104.32,104.32,82
"Sep 26, 2025",104.32,104.32,104.32,104.32,27
"Sep 25, 2025",104.32,104.32,104.32,104.32,352
"Sep 24, 2025",104.78,104.78,104.78,104.78,184
"Sep 23, 2025",104.78,104.78,104.78,104.78,230
"Sep 22, 2025",104.78,104.78,104.78,104.78,2348
"Sep 19, 2025",97.0,97.0,97.0,97.0,1971
"Sep 18, 2025",98.93,98.93,98.93,98.93,5071
"Sep 17, 2025",96.9,96.9,96.9,96.9,889
"Sep 16, 2025",95.68,95.68,95.68,95.68,1536
"Sep 15, 2025",99.0,99.0,99.0,99.0,18200
"Sep 12, 2025",99.79,99.79,99.79,99.79,138
"Sep 11, 2025",99.79,99.79,99.79,99.79,2401
"Sep 10, 2025",104.97,104.97,104.97,104.97,9263
"Sep 09, 2025",100.0,100.0,100.0,100.0,219
"Sep 08, 2025",100.0,100.0,100.0,100.0,524
"Sep 05, 2025",96.81,96.81,96.81,96.81,4433
"Sep 04, 2025",99.99,99.99,99.99,99.99,3256
"Sep 03, 2025",97.89,97.89,97.89,97.89,1045
"Sep 02, 2025",99.89,99.89,99.89,99.89,1013
"Sep 01, 2025",92.22,92.22,92.22,92.22,79
"Aug 28, 2025",92.22,92.22,92.22,92.22,310
"Aug 27, 2025",98.0,98.0,98.0,98.0,139
"Aug 26, 2025",98.0,98.0,98.0,98.0,300
"Aug 25, 2025",98.07,98.07,98.07,98.07,8127
"Aug 22, 2025",99.14,99.14,99.14,99.14,2787
"Aug 21, 2025",91.03,91.03,91.03,91.03,2806
"Aug 20, 2025",88.87,88.87,88.87,88.87,2291
"Aug 19, 2025",98.39,98.39,98.39,98.39,413
"Aug 18, 2025",96.46,96.46,96.46,96.46,1910
"Aug 15, 2025",99.73,99.73,99.73,99.73,2213
"Aug 13, 2025",98.45,98.45,98.45,98.45,2198
"Aug 12, 2025",96.44,96.44,96.44,96.44,2540
"Aug 11, 2025",94.0,94.0,94.0,94.0,997
"Aug 08, 2025",90.85,90.85,90.85,90.85,420
"Aug 07, 2025",94.78,94.78,94.78,94.78,714
"Aug 06, 2025",94.7,94.7,94.7,94.7,5446
"Aug 05, 2025",86.27,86.27,86.27,86.27,606
"Aug 04, 2025",90.0,90.0,90.0,90.0,70
"Aug 01, 2025",90.0,90.0,90.0,90.0,102
"Jul 31, 2025",90.0,90.0,90.0,90.0,13749
"Jul 30, 2025",94.87,94.87,94.87,94.87,202
"Jul 29, 2025",94.87,94.87,94.87,94.87,113
"Jul 28, 2025",94.87,94.87,94.87,94.87,533
"Jul 25, 2025",92.66,92.66,92.66,92.66,17137
"Jul 24, 2025",93.82,93.82,93.82,93.82,17797
"Jul 23, 2025",100.17,100.17,100.17,100.17,15907
"Jul 22, 2025",91.07,91.07,91.07,91.07,518
"Jul 21, 2025",90.0,90.0,90.0,90.0,1671
"Jul 18, 2025",94.0,94.0,94.0,94.0,4305
"Jul 17, 2025",94.63,94.63,94.63,94.63,2945
"Jul 16, 2025",88.71,88.71,88.71,88.71,369
"Jul 15, 2025",92.82,92.82,92.82,92.82,6205
"Jul 14, 2025",89.14,89.14,89.14,89.14,1738
"Jul 11, 2025",89.27,89.27,89.27,89.27,11644
"Jul 10, 2025",97.0,97.0,97.0,97.0,32909
"Jul 09, 2025",88.6,88.6,88.6,88.6,35402
"Jul 08, 2025",83.96,83.96,83.96,83.96,488
"Jul 07, 2025",86.93,86.93,86.93,86.93,4701
"Jul 04, 2025",87.09,87.09,87.09,87.09,9005
"Jul 03, 2025",79.53,79.53,79.53,79.53,3315
"Jul 02, 2025",82.43,82.43,82.43,82.43,376
"Jul 01, 2025",78.95,78.95,78.95,78.95,17
"Jun 30, 2025",78.95,78.95,78.95,78.95,641
"Jun 27, 2025",80.01,80.01,80.01,80.01,119
"Jun 26, 2025",80.01,80.01,80.01,80.01,10919
"Jun 25, 2025",80.0,80.0,80.0,80.0,500
"Jun 24, 2025",80.0,80.0,80.0,80.0,1518
"Jun 23, 2025",75.0,75.0,75.0,75.0,500
"Jun 20, 2025",80.85,80.85,80.85,80.85,130
"Jun 18, 2025",80.85,80.85,80.85,80.85,1155
"Jun 17, 2025",81.38,81.38,81.38,81.38,70
"Jun 16, 2025",81.38,81.38,81.38,81.38,600
"Jun 13, 2025",80.0,80.0,80.0,80.0,8642
"Jun 12, 2025",84.0,84.0,84.0,84.0,1502
"Jun 11, 2025",85.66,85.66,85.66,85.66,1091
"Jun 10, 2025",80.0,80.0,80.0,80.0,134
"Jun 05, 2025",80.0,80.0,80.0,80.0,10754
"Jun 04, 2025",84.74,84.74,84.74,84.74,14751
"Jun 02, 2025",77.36,77.36,77.36,77.36,12
"May 30, 2025",77.36,77.36,77.36,77.36,289
"May 29, 2025",77.36,77.36,77.36,77.36,4556
"May 27, 2025",77.36,77.36,77.36,77.36,10348
"May 26, 2025",83.62,83.62,83.62,83.62,441
"May 23, 2025",80.0,80.0,80.0,80.0,4570
"May 22, 2025",80.0,80.0,80.0,80.0,11213
"May 21, 2025",78.75,78.75,78.75,78.75,15
"May 20, 2025",78.75,78.75,78.75,78.75,621
"May 19, 2025",82.36,82.36,82.36,82.36,410
"May 16, 2025",82.3,82.3,82.3,82.3,9706
"May 15, 2025",75.37,75.37,75.37,75.37,2463
"May 14, 2025",75.88,75.88,75.88,75.88,113
"May 13, 2025",75.88,75.88,75.88,75.88,2989
"May 12, 2025",74.98,74.98,74.98,74.98,3162
"May 09, 2025",70.34,70.34,70.34,70.34,219
"May 08, 2025",70.34,70.34,70.34,70.34,2
"May 07, 2025",70.34,70.34,70.34,70.34,22
"May 06, 2025",70.34,70.34,70.34,70.34,505
"May 05, 2025",75.0,75.0,75.0,75.0,601
"May 02, 2025",72.1,72.1,72.1,72.1,9
"Apr 30, 2025",75.91,75.91,75.91,75.91,59
"Apr 29, 2025",75.91,75.91,75.91,75.91,7956
