TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",75.42,75.42,75.42,75.42,20086
"Nov 14, 2025",76.82,76.82,76.82,76.82,627
"Nov 13, 2025",77.01,77.01,77.01,77.01,8552
"Nov 12, 2025",77.16,77.16,77.16,77.16,25973
"Nov 11, 2025",79.1,79.1,79.1,79.1,3494
"Nov 10, 2025",80.87,80.87,80.87,80.87,7854
"Nov 07, 2025",77.16,77.16,77.16,77.16,7575
"Nov 06, 2025",77.18,77.18,77.18,77.18,47454
"Nov 05, 2025",80.97,80.97,80.97,80.97,11542
"Nov 04, 2025",82.99,82.99,82.99,82.99,17734
"Nov 03, 2025",82.49,82.49,82.49,82.49,27632
"Oct 31, 2025",81.94,81.94,81.94,81.94,2665
"Oct 30, 2025",80.07,80.07,80.07,80.07,37479
"Oct 29, 2025",81.1,81.1,81.1,81.1,6899
"Oct 28, 2025",80.29,80.29,80.29,80.29,19316
"Oct 27, 2025",79.07,79.07,79.07,79.07,36105
"Oct 24, 2025",79.15,79.15,79.15,79.15,55608
"Oct 23, 2025",80.12,80.12,80.12,80.12,80965
"Oct 22, 2025",80.02,80.02,80.02,80.02,193352
"Oct 21, 2025",83.01,83.01,83.01,83.01,45508
"Oct 20, 2025",83.74,83.74,83.74,83.74,33692
"Oct 17, 2025",85.88,85.88,85.88,85.88,101049
"Oct 16, 2025",87.0,87.0,87.0,87.0,22722
"Oct 15, 2025",86.77,86.77,86.77,86.77,240293
"Oct 14, 2025",94.47,94.47,94.47,94.47,537161
"Oct 13, 2025",86.62,86.62,86.62,86.62,12583
"Oct 10, 2025",87.35,87.35,87.35,87.35,12612
"Oct 09, 2025",91.38,91.38,91.38,91.38,12301
"Oct 08, 2025",92.66,92.66,92.66,92.66,3496
"Oct 07, 2025",92.53,92.53,92.53,92.53,6778
"Oct 06, 2025",94.51,94.51,94.51,94.51,72995
"Oct 03, 2025",95.96,95.96,95.96,95.96,24678
"Oct 02, 2025",92.0,92.0,92.0,92.0,46513
"Oct 01, 2025",91.98,91.98,91.98,91.98,11149
"Sep 30, 2025",93.92,93.92,93.92,93.92,49360
"Sep 29, 2025",89.55,89.55,89.55,89.55,14637
"Sep 26, 2025",89.49,89.49,89.49,89.49,20279
"Sep 25, 2025",87.22,87.22,87.22,87.22,14538
"Sep 24, 2025",91.48,91.48,91.48,91.48,504754
"Sep 23, 2025",101.64,101.64,101.64,101.64,581924
"Sep 22, 2025",92.4,92.4,92.4,92.4,199683
"Sep 19, 2025",84.0,84.0,84.0,84.0,2352
"Sep 18, 2025",81.85,81.85,81.85,81.85,4015
"Sep 17, 2025",80.01,80.01,80.01,80.01,7106
"Sep 16, 2025",80.21,80.21,80.21,80.21,10830
"Sep 15, 2025",80.0,80.0,80.0,80.0,2900
"Sep 12, 2025",79.5,79.5,79.5,79.5,12090
"Sep 11, 2025",79.02,79.02,79.02,79.02,362368
"Sep 10, 2025",79.0,79.0,79.0,79.0,7433
"Sep 09, 2025",78.04,78.04,78.04,78.04,4423
"Sep 08, 2025",79.6,79.6,79.6,79.6,979
"Sep 05, 2025",79.0,79.0,79.0,79.0,18892
"Sep 04, 2025",79.0,79.0,79.0,79.0,60
"Sep 03, 2025",79.0,79.0,79.0,79.0,3154
"Sep 02, 2025",79.5,79.5,79.5,79.5,2980
"Sep 01, 2025",80.51,80.51,80.51,80.51,321
"Aug 29, 2025",80.51,80.51,80.51,80.51,19830
"Aug 28, 2025",79.0,79.0,79.0,79.0,6590
"Aug 27, 2025",79.0,79.0,79.0,79.0,27997
"Aug 26, 2025",82.03,82.03,82.03,82.03,13840
"Aug 25, 2025",80.0,80.0,80.0,80.0,20259
"Aug 22, 2025",81.0,81.0,81.0,81.0,4215
"Aug 21, 2025",81.5,81.5,81.5,81.5,19652
"Aug 20, 2025",82.58,82.58,82.58,82.58,30297
"Aug 19, 2025",83.47,83.47,83.47,83.47,57805
"Aug 18, 2025",82.15,82.15,82.15,82.15,4254
"Aug 15, 2025",85.0,85.0,85.0,85.0,1555
"Aug 13, 2025",84.18,84.18,84.18,84.18,5201
"Aug 12, 2025",85.51,85.51,85.51,85.51,8346
"Aug 11, 2025",85.81,85.81,85.81,85.81,12704
"Aug 08, 2025",89.38,89.38,89.38,89.38,57115
"Aug 07, 2025",87.87,87.87,87.87,87.87,47811
"Aug 06, 2025",85.65,85.65,85.65,85.65,39321
"Aug 05, 2025",87.23,87.23,87.23,87.23,41150
"Aug 04, 2025",84.07,84.07,84.07,84.07,1578
"Aug 01, 2025",85.2,85.2,85.2,85.2,3136
"Jul 31, 2025",85.99,85.99,85.99,85.99,3131
"Jul 30, 2025",83.47,83.47,83.47,83.47,36998
"Jul 29, 2025",91.63,91.63,91.63,91.63,11810
"Jul 28, 2025",92.02,92.02,92.02,92.02,33877
"Jul 25, 2025",90.72,90.72,90.72,90.72,19350
"Jul 24, 2025",87.56,87.56,87.56,87.56,5330
"Jul 23, 2025",89.11,89.11,89.11,89.11,31313
"Jul 22, 2025",85.45,85.45,85.45,85.45,7416
"Jul 21, 2025",84.43,84.43,84.43,84.43,17012
"Jul 18, 2025",84.05,84.05,84.05,84.05,23872
"Jul 17, 2025",89.69,89.69,89.69,89.69,78807
"Jul 16, 2025",94.01,94.01,94.01,94.01,127134
"Jul 15, 2025",85.46,85.46,85.46,85.46,53952
"Jul 14, 2025",77.69,77.69,77.69,77.69,61140
"Jul 11, 2025",70.63,70.63,70.63,70.63,18675
"Jul 10, 2025",67.48,67.48,67.48,67.48,16433
"Jul 09, 2025",66.15,66.15,66.15,66.15,6120
"Jul 08, 2025",65.15,65.15,65.15,65.15,36963
"Jul 07, 2025",61.7,61.7,61.7,61.7,1114
"Jul 04, 2025",61.5,61.5,61.5,61.5,21758
"Jul 03, 2025",61.0,61.0,61.0,61.0,10652
"Jul 02, 2025",60.18,60.18,60.18,60.18,1807
"Jul 01, 2025",61.64,61.64,61.64,61.64,5513
"Jun 30, 2025",60.0,60.0,60.0,60.0,10641
"Jun 27, 2025",60.0,60.0,60.0,60.0,1842
"Jun 26, 2025",59.0,59.0,59.0,59.0,31363
"Jun 25, 2025",60.22,60.22,60.22,60.22,3401
"Jun 24, 2025",58.61,58.61,58.61,58.61,1351
"Jun 23, 2025",58.5,58.5,58.5,58.5,10316
"Jun 20, 2025",59.9,59.9,59.9,59.9,1
"Jun 18, 2025",59.9,59.9,59.9,59.9,4410
"Jun 17, 2025",59.9,59.9,59.9,59.9,14583
"Jun 16, 2025",59.82,59.82,59.82,59.82,892
"Jun 13, 2025",60.06,60.06,60.06,60.06,1180
"Jun 12, 2025",60.0,60.0,60.0,60.0,22296
"Jun 11, 2025",59.77,59.77,59.77,59.77,9802
"Jun 10, 2025",59.06,59.06,59.06,59.06,30380
"Jun 05, 2025",59.0,59.0,59.0,59.0,2120
"Jun 04, 2025",58.35,58.35,58.35,58.35,10946
"Jun 02, 2025",59.0,59.0,59.0,59.0,9411
"May 30, 2025",57.6,57.6,57.6,57.6,6536
"May 29, 2025",58.0,58.0,58.0,58.0,10443
"May 27, 2025",58.0,58.0,58.0,58.0,1550
"May 26, 2025",58.39,58.39,58.39,58.39,779
"May 23, 2025",57.38,57.38,57.38,57.38,6068
"May 22, 2025",58.3,58.3,58.3,58.3,1738
"May 21, 2025",58.97,58.97,58.97,58.97,711
"May 20, 2025",58.43,58.43,58.43,58.43,15652
"May 19, 2025",58.5,58.5,58.5,58.5,1062
"May 16, 2025",57.59,57.59,57.59,57.59,13858
"May 15, 2025",58.39,58.39,58.39,58.39,1413
"May 14, 2025",58.48,58.48,58.48,58.48,3715
"May 13, 2025",59.24,59.24,59.24,59.24,8195
"May 12, 2025",58.59,58.59,58.59,58.59,4291
"May 09, 2025",55.93,55.93,55.93,55.93,11088
"May 08, 2025",51.01,51.01,51.01,51.01,6459
"May 07, 2025",56.27,56.27,56.27,56.27,5023
"May 06, 2025",55.99,55.99,55.99,55.99,501
"May 02, 2025",55.5,55.5,55.5,55.5,1561
"Apr 30, 2025",55.5,55.5,55.5,55.5,31258
"Apr 29, 2025",55.57,55.57,55.57,55.57,1819
"Apr 28, 2025",55.55,55.55,55.55,55.55,3461
"Apr 25, 2025",56.4,56.4,56.4,56.4,581
"Apr 24, 2025",55.07,55.07,55.07,55.07,7323
"Apr 23, 2025",55.11,55.11,55.11,55.11,3555
"Apr 22, 2025",58.9,58.9,58.9,58.9,52
"Apr 21, 2025",57.88,57.88,57.88,57.88,133
"Apr 18, 2025",57.88,57.88,57.88,57.88,53
"Apr 17, 2025",58.0,58.0,58.0,58.0,4446
"Apr 16, 2025",58.0,58.0,58.0,58.0,13568
"Apr 15, 2025",57.0,57.0,57.0,57.0,4966
"Apr 14, 2025",56.5,56.5,56.5,56.5,6165
"Apr 11, 2025",55.63,55.63,55.63,55.63,2950
"Apr 10, 2025",55.1,55.1,55.1,55.1,5282
"Apr 09, 2025",55.02,55.02,55.02,55.02,7104
"Apr 08, 2025",56.49,56.49,56.49,56.49,2723
"Apr 07, 2025",54.26,54.26,54.26,54.26,16536
"Apr 04, 2025",56.2,56.2,56.2,56.2,5396
"Apr 03, 2025",57.05,57.05,57.05,57.05,10348
"Mar 27, 2025",57.73,57.73,57.73,57.73,19215
"Mar 26, 2025",57.87,57.87,57.87,57.87,36441
"Mar 25, 2025",63.98,63.98,63.98,63.98,33364
"Mar 24, 2025",64.9,64.9,64.9,64.9,14206
"Mar 21, 2025",63.37,63.37,63.37,63.37,18577
"Mar 20, 2025",62.92,62.92,62.92,62.92,61700
"Mar 19, 2025",62.58,62.58,62.58,62.58,29830
"Mar 18, 2025",62.6,62.6,62.6,62.6,13526
"Mar 17, 2025",62.5,62.5,62.5,62.5,19697
"Mar 16, 2025",61.74,61.74,61.74,61.74,28019
"Mar 14, 2025",61.74,61.74,61.74,61.74,28019
"Mar 13, 2025",61.0,61.0,61.0,61.0,18705
"Mar 12, 2025",60.78,60.78,60.78,60.78,23038
"Mar 11, 2025",61.0,61.0,61.0,61.0,5056
"Mar 10, 2025",60.03,60.03,60.03,60.03,4120
"Mar 07, 2025",59.72,59.72,59.72,59.72,5802
"Mar 06, 2025",59.9,59.9,59.9,59.9,2511
"Mar 05, 2025",59.14,59.14,59.14,59.14,10523
"Mar 04, 2025",59.58,59.58,59.58,59.58,57151
"Mar 03, 2025",60.93,60.93,60.93,60.93,25680
"Feb 28, 2025",62.02,62.02,62.02,62.02,36317
"Feb 27, 2025",60.27,60.27,60.27,60.27,45
"Feb 26, 2025",60.27,60.27,60.27,60.27,11716
"Feb 25, 2025",60.0,60.0,60.0,60.0,5000
"Feb 24, 2025",60.63,60.63,60.63,60.63,7434
"Feb 23, 2025",60.0,60.0,60.0,60.0,2500
"Feb 22, 2025",60.0,60.0,60.0,60.0,2500
"Feb 21, 2025",60.0,60.0,60.0,60.0,2500
"Feb 20, 2025",59.58,59.58,59.58,59.58,1602
"Feb 19, 2025",59.99,59.99,59.99,59.99,12190
"Feb 18, 2025",59.24,59.24,59.24,59.24,5670
"Feb 17, 2025",60.0,60.0,60.0,60.0,4002
"Feb 16, 2025",59.0,59.0,59.0,59.0,3004
"Feb 15, 2025",59.0,59.0,59.0,59.0,3004
"Feb 14, 2025",59.0,59.0,59.0,59.0,3004
"Feb 13, 2025",59.96,59.96,59.96,59.96,1
"Feb 12, 2025",59.96,59.96,59.96,59.96,15000
