TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",43.69,43.69,43.69,43.69,315494
"Nov 14, 2025",43.31,43.31,43.31,43.31,207554
"Nov 13, 2025",43.38,43.38,43.38,43.38,178180
"Nov 12, 2025",43.16,43.16,43.16,43.16,369148
"Nov 11, 2025",43.51,43.51,43.51,43.51,318947
"Nov 10, 2025",44.31,44.31,44.31,44.31,399849
"Nov 07, 2025",43.98,43.98,43.98,43.98,351345
"Nov 06, 2025",44.01,44.01,44.01,44.01,550671
"Nov 05, 2025",44.25,44.25,44.25,44.25,466016
"Nov 04, 2025",44.64,44.64,44.64,44.64,463668
"Nov 03, 2025",45.27,45.27,45.27,45.27,771865
"Oct 31, 2025",44.53,44.53,44.53,44.53,1188924
"Oct 30, 2025",44.78,44.78,44.78,44.78,441196
"Oct 29, 2025",44.99,44.99,44.99,44.99,867354
"Oct 28, 2025",46.02,46.02,46.02,46.02,1332510
"Oct 27, 2025",47.72,47.72,47.72,47.72,499366
"Oct 24, 2025",47.98,47.98,47.98,47.98,896654
"Oct 23, 2025",48.57,48.57,48.57,48.57,356604
"Oct 22, 2025",48.79,48.79,48.79,48.79,452895
"Oct 21, 2025",49.05,49.05,49.05,49.05,617109
"Oct 20, 2025",48.92,48.92,48.92,48.92,427375
"Oct 17, 2025",48.58,48.58,48.58,48.58,415708
"Oct 16, 2025",48.46,48.46,48.46,48.46,464923
"Oct 15, 2025",48.66,48.66,48.66,48.66,771484
"Oct 14, 2025",48.97,48.97,48.97,48.97,773441
"Oct 13, 2025",47.92,47.92,47.92,47.92,705072
"Oct 10, 2025",48.86,48.86,48.86,48.86,499435
"Oct 09, 2025",49.65,49.65,49.65,49.65,304272
"Oct 08, 2025",49.75,49.75,49.75,49.75,421187
"Oct 07, 2025",50.24,50.24,50.24,50.24,865439
"Oct 06, 2025",49.33,49.33,49.33,49.33,763494
"Oct 03, 2025",50.46,50.46,50.46,50.46,917216
"Oct 02, 2025",49.44,49.44,49.44,49.44,888518
"Oct 01, 2025",49.96,49.96,49.96,49.96,474477
"Sep 30, 2025",49.89,49.89,49.89,49.89,1029290
"Sep 29, 2025",50.42,50.42,50.42,50.42,624760
"Sep 26, 2025",50.61,50.61,50.61,50.61,1200344
"Sep 25, 2025",51.26,51.26,51.26,51.26,863923
"Sep 24, 2025",51.42,51.42,51.42,51.42,667341
"Sep 23, 2025",51.81,51.81,51.81,51.81,1402593
"Sep 22, 2025",51.54,51.54,51.54,51.54,1013183
"Sep 19, 2025",52.08,52.08,52.08,52.08,3667816
"Sep 18, 2025",52.64,52.64,52.64,52.64,2086451
"Sep 17, 2025",52.64,52.64,52.64,52.64,2926500
"Sep 16, 2025",52.76,52.76,52.76,52.76,1975040
"Sep 15, 2025",52.64,52.64,52.64,52.64,2924660
"Sep 12, 2025",52.54,52.54,52.54,52.54,7040954
"Sep 11, 2025",52.37,52.37,52.37,52.37,17185411
"Sep 10, 2025",48.71,48.71,48.71,48.71,2619720
"Sep 09, 2025",48.01,48.01,48.01,48.01,1029170
"Sep 08, 2025",48.26,48.26,48.26,48.26,855331
"Sep 05, 2025",48.35,48.35,48.35,48.35,853102
"Sep 04, 2025",48.57,48.57,48.57,48.57,1030471
"Sep 03, 2025",48.71,48.71,48.71,48.71,995883
"Sep 02, 2025",48.63,48.63,48.63,48.63,1604423
"Sep 01, 2025",48.93,48.93,48.93,48.93,1661976
"Aug 29, 2025",49.79,49.79,49.79,49.79,957012
"Aug 28, 2025",49.68,49.68,49.68,49.68,734233
"Aug 27, 2025",49.7,49.7,49.7,49.7,843068
"Aug 26, 2025",49.97,49.97,49.97,49.97,929233
"Aug 25, 2025",49.66,49.66,49.66,49.66,475759
"Aug 22, 2025",49.73,49.73,49.73,49.73,354881
"Aug 21, 2025",49.68,49.68,49.68,49.68,1264813
"Aug 20, 2025",49.97,49.97,49.97,49.97,1097111
"Aug 19, 2025",50.4,50.4,50.4,50.4,1839512
"Aug 18, 2025",50.18,50.18,50.18,50.18,4230816
"Aug 15, 2025",50.11,50.11,50.11,50.11,5921891
"Aug 13, 2025",48.71,48.71,48.71,48.71,1656121
"Aug 12, 2025",48.22,48.22,48.22,48.22,508461
"Aug 11, 2025",48.32,48.32,48.32,48.32,408926
"Aug 08, 2025",48.09,48.09,48.09,48.09,559714
"Aug 07, 2025",48.47,48.47,48.47,48.47,1420673
"Aug 06, 2025",48.15,48.15,48.15,48.15,848444
"Aug 05, 2025",48.46,48.46,48.46,48.46,1004754
"Aug 04, 2025",48.52,48.52,48.52,48.52,812282
"Aug 01, 2025",48.61,48.61,48.61,48.61,431405
"Jul 31, 2025",49.12,49.12,49.12,49.12,836618
"Jul 30, 2025",48.46,48.46,48.46,48.46,999165
"Jul 29, 2025",48.58,48.58,48.58,48.58,830256
"Jul 28, 2025",49.25,49.25,49.25,49.25,266916
"Jul 25, 2025",49.6,49.6,49.6,49.6,1462825
"Jul 24, 2025",49.29,49.29,49.29,49.29,497844
"Jul 23, 2025",49.43,49.43,49.43,49.43,583901
"Jul 22, 2025",49.43,49.43,49.43,49.43,1567291
"Jul 21, 2025",49.26,49.26,49.26,49.26,407663
"Jul 18, 2025",49.68,49.68,49.68,49.68,602859
"Jul 17, 2025",50.1,50.1,50.1,50.1,580591
"Jul 16, 2025",49.65,49.65,49.65,49.65,452680
"Jul 15, 2025",49.89,49.89,49.89,49.89,914256
"Jul 14, 2025",51.37,51.37,51.37,51.37,1019819
"Jul 11, 2025",50.88,50.88,50.88,50.88,1615490
"Jul 10, 2025",51.24,51.24,51.24,51.24,1724148
"Jul 09, 2025",50.89,50.89,50.89,50.89,924312
"Jul 08, 2025",51.66,51.66,51.66,51.66,2332377
"Jul 07, 2025",52.66,52.66,52.66,52.66,9760602
"Jul 04, 2025",50.67,50.67,50.67,50.67,1530760
"Jul 03, 2025",50.42,50.42,50.42,50.42,1556999
"Jul 02, 2025",50.85,50.85,50.85,50.85,2709681
"Jul 01, 2025",50.34,50.34,50.34,50.34,5185400
"Jun 30, 2025",48.79,48.79,48.79,48.79,645687
"Jun 27, 2025",48.61,48.61,48.61,48.61,2748071
