TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Oct 23, 2025",38.39,38.39,38.39,38.39,103079
"Oct 22, 2025",37.25,37.25,37.25,37.25,28069
"Oct 21, 2025",38.08,38.08,38.08,38.08,37368
"Oct 20, 2025",38.89,38.89,38.89,38.89,55222
"Oct 17, 2025",38.66,38.66,38.66,38.66,57957
"Oct 16, 2025",39.21,39.21,39.21,39.21,7267
"Oct 15, 2025",40.03,40.03,40.03,40.03,41616
"Oct 14, 2025",42.14,42.14,42.14,42.14,51463
"Oct 13, 2025",42.76,42.76,42.76,42.76,76753
"Oct 10, 2025",41.15,41.15,41.15,41.15,796797
"Oct 09, 2025",37.41,37.41,37.41,37.41,92558
"Oct 08, 2025",36.31,36.31,36.31,36.31,172150
"Oct 07, 2025",40.09,40.09,40.09,40.09,349336
"Oct 06, 2025",41.89,41.89,41.89,41.89,245548
"Oct 03, 2025",41.75,41.75,41.75,41.75,195935
"Oct 02, 2025",43.48,43.48,43.48,43.48,49095
"Oct 01, 2025",45.55,45.55,45.55,45.55,86854
"Sep 30, 2025",45.78,45.78,45.78,45.78,539574
"Sep 29, 2025",46.61,46.61,46.61,46.61,776833
"Sep 26, 2025",42.41,42.41,42.41,42.41,529808
"Sep 25, 2025",38.81,38.81,38.81,38.81,115926
"Sep 24, 2025",38.97,38.97,38.97,38.97,711043
"Sep 23, 2025",35.43,35.43,35.43,35.43,653191
"Sep 22, 2025",34.27,34.27,34.27,34.27,96213
"Sep 19, 2025",31.15,31.15,31.15,31.15,134978
"Sep 18, 2025",28.32,28.32,28.32,28.32,23152
"Sep 17, 2025",28.44,28.44,28.44,28.44,100669
"Sep 16, 2025",27.57,27.57,27.57,27.57,173181
"Sep 15, 2025",28.08,28.08,28.08,28.08,426248
"Sep 12, 2025",26.39,26.39,26.39,26.39,478798
"Sep 11, 2025",23.99,23.99,23.99,23.99,38908
"Sep 10, 2025",24.25,24.25,24.25,24.25,50608
"Sep 09, 2025",24.02,24.02,24.02,24.02,51488
"Sep 08, 2025",23.95,23.95,23.95,23.95,246815
"Sep 05, 2025",24.0,24.0,24.0,24.0,117334
"Sep 04, 2025",24.0,24.0,24.0,24.0,111651
"Sep 03, 2025",24.23,24.23,24.23,24.23,137003
"Sep 02, 2025",23.8,23.8,23.8,23.8,399796
"Sep 01, 2025",23.94,23.94,23.94,23.94,166395
"Aug 29, 2025",23.15,23.15,23.15,23.15,26345
"Aug 28, 2025",23.47,23.47,23.47,23.47,19158
"Aug 27, 2025",23.48,23.48,23.48,23.48,15309
"Aug 26, 2025",23.69,23.69,23.69,23.69,353735
"Aug 25, 2025",24.0,24.0,24.0,24.0,122347
"Aug 22, 2025",23.71,23.71,23.71,23.71,147266
"Aug 21, 2025",22.76,22.76,22.76,22.76,132199
"Aug 20, 2025",23.4,23.4,23.4,23.4,509636
"Aug 19, 2025",24.02,24.02,24.02,24.02,19228
"Aug 18, 2025",24.35,24.35,24.35,24.35,482674
"Aug 15, 2025",23.72,23.72,23.72,23.72,52806
"Aug 13, 2025",23.59,23.59,23.59,23.59,61897
"Aug 12, 2025",24.37,24.37,24.37,24.37,324840
"Aug 11, 2025",23.26,23.26,23.26,23.26,397142
"Aug 08, 2025",24.28,24.28,24.28,24.28,71878
"Aug 07, 2025",25.0,25.0,25.0,25.0,162762
"Aug 06, 2025",24.14,24.14,24.14,24.14,2004516
"Aug 05, 2025",22.48,22.48,22.48,22.48,364618
"Aug 04, 2025",21.24,21.24,21.24,21.24,11625
"Aug 01, 2025",21.26,21.26,21.26,21.26,37856
"Jul 31, 2025",21.0,21.0,21.0,21.0,150730
"Jul 30, 2025",20.53,20.53,20.53,20.53,16026
"Jul 29, 2025",21.12,21.12,21.12,21.12,41907
"Jul 28, 2025",21.78,21.78,21.78,21.78,654931
"Jul 25, 2025",21.28,21.28,21.28,21.28,68854
"Jul 24, 2025",21.47,21.47,21.47,21.47,73816
"Jul 23, 2025",21.13,21.13,21.13,21.13,367626
"Jul 22, 2025",22.0,22.0,22.0,22.0,955508
"Jul 21, 2025",23.85,23.85,23.85,23.85,157016
"Jul 18, 2025",24.95,24.95,24.95,24.95,354027
"Jul 17, 2025",24.07,24.07,24.07,24.07,1649401
"Jul 16, 2025",21.88,21.88,21.88,21.88,56112
"Jul 15, 2025",22.17,22.17,22.17,22.17,260682
"Jul 14, 2025",21.74,21.74,21.74,21.74,95635
"Jul 11, 2025",21.98,21.98,21.98,21.98,386685
"Jul 10, 2025",21.62,21.62,21.62,21.62,162933
"Jul 09, 2025",20.62,20.62,20.62,20.62,63717
"Jul 08, 2025",21.2,21.2,21.2,21.2,61714
"Jul 07, 2025",21.59,21.59,21.59,21.59,252602
"Jul 04, 2025",21.71,21.71,21.71,21.71,274161
"Jul 03, 2025",22.48,22.48,22.48,22.48,411024
"Jul 02, 2025",21.5,21.5,21.5,21.5,140928
"Jul 01, 2025",21.78,21.78,21.78,21.78,651339
"Jun 30, 2025",20.41,20.41,20.41,20.41,533099
"Jun 27, 2025",18.79,18.79,18.79,18.79,162975
"Jun 26, 2025",18.99,18.99,18.99,18.99,110767
"Jun 25, 2025",19.95,19.95,19.95,19.95,393307
"Jun 24, 2025",18.86,18.86,18.86,18.86,1525348
"Jun 23, 2025",17.21,17.21,17.21,17.21,168837
"Jun 20, 2025",17.99,17.99,17.99,17.99,253669
"Jun 19, 2025",17.42,17.42,17.42,17.42,906316
"Jun 18, 2025",17.08,17.08,17.08,17.08,40525
"Jun 17, 2025",16.98,16.98,16.98,16.98,48110
"Jun 16, 2025",17.0,17.0,17.0,17.0,79719
"Jun 13, 2025",17.0,17.0,17.0,17.0,153330
"Jun 12, 2025",17.43,17.43,17.43,17.43,231062
"Jun 11, 2025",17.67,17.67,17.67,17.67,152350
"Jun 10, 2025",17.59,17.59,17.59,17.59,229867
"Jun 05, 2025",17.11,17.11,17.11,17.11,215998
"Jun 04, 2025",17.91,17.91,17.91,17.91,90972
"Jun 02, 2025",18.15,18.15,18.15,18.15,111798
"May 30, 2025",18.64,18.64,18.64,18.64,175783
"May 29, 2025",18.61,18.61,18.61,18.61,152074
"May 27, 2025",18.29,18.29,18.29,18.29,180091
"May 26, 2025",18.66,18.66,18.66,18.66,280988
"May 23, 2025",18.98,18.98,18.98,18.98,158102
"May 22, 2025",18.94,18.94,18.94,18.94,390137
"May 21, 2025",19.62,19.62,19.62,19.62,644540
"May 20, 2025",19.26,19.26,19.26,19.26,724793
"May 19, 2025",18.31,18.31,18.31,18.31,501582
"May 16, 2025",19.68,19.68,19.68,19.68,1040677
"May 15, 2025",19.49,19.49,19.49,19.49,532364
"May 14, 2025",17.72,17.72,17.72,17.72,711610
"May 13, 2025",19.59,19.59,19.59,19.59,284717
"May 12, 2025",21.77,21.77,21.77,21.77,426335
"May 09, 2025",20.11,20.11,20.11,20.11,217413
"May 08, 2025",21.6,21.6,21.6,21.6,362606
"May 07, 2025",24.0,24.0,24.0,24.0,181067
"May 06, 2025",26.67,26.67,26.67,26.67,73880
"May 02, 2025",31.49,31.49,31.49,31.49,267582
"Apr 30, 2025",29.03,29.03,29.03,29.03,115221
"Apr 29, 2025",28.0,28.0,28.0,28.0,415492
"Apr 28, 2025",26.04,26.04,26.04,26.04,169632
"Apr 25, 2025",25.44,25.44,25.44,25.44,295975
"Apr 24, 2025",24.41,24.41,24.41,24.41,1158722
"Apr 23, 2025",23.6,23.6,23.6,23.6,407471
"Apr 22, 2025",22.45,22.45,22.45,22.45,82102
"Apr 21, 2025",20.41,20.41,20.41,20.41,1344616
"Apr 18, 2025",18.6,18.6,18.6,18.6,24001
"Apr 17, 2025",18.45,18.45,18.45,18.45,39320
"Apr 16, 2025",18.28,18.28,18.28,18.28,13073
"Apr 15, 2025",19.2,19.2,19.2,19.2,1318053
"Apr 14, 2025",18.38,18.38,18.38,18.38,75233
"Apr 11, 2025",18.29,18.29,18.29,18.29,125052
"Apr 10, 2025",18.28,18.28,18.28,18.28,78716
"Apr 09, 2025",18.21,18.21,18.21,18.21,63063
"Apr 08, 2025",17.3,17.3,17.3,17.3,5551
"Apr 07, 2025",17.84,17.84,17.84,17.84,65161
"Apr 04, 2025",16.99,16.99,16.99,16.99,18366
"Apr 03, 2025",17.01,17.01,17.01,17.01,3588
"Mar 27, 2025",17.05,17.05,17.05,17.05,6680
"Mar 26, 2025",17.1,17.1,17.1,17.1,30960
"Mar 25, 2025",17.3,17.3,17.3,17.3,18044
"Mar 24, 2025",17.0,17.0,17.0,17.0,6448
"Mar 21, 2025",17.0,17.0,17.0,17.0,10641
"Mar 20, 2025",17.19,17.19,17.19,17.19,4542
"Mar 19, 2025",17.18,17.18,17.18,17.18,23266
"Mar 18, 2025",16.78,16.78,16.78,16.78,46123
"Mar 17, 2025",16.65,16.65,16.65,16.65,625388
"Mar 16, 2025",16.98,16.98,16.98,16.98,852
"Mar 14, 2025",16.98,16.98,16.98,16.98,852
"Mar 13, 2025",16.71,16.71,16.71,16.71,79195
"Mar 12, 2025",16.9,16.9,16.9,16.9,19087
"Mar 11, 2025",17.25,17.25,17.25,17.25,156110
"Mar 10, 2025",16.98,16.98,16.98,16.98,54142
"Mar 07, 2025",17.24,17.24,17.24,17.24,392201
"Mar 06, 2025",17.06,17.06,17.06,17.06,381934
"Mar 05, 2025",16.61,16.61,16.61,16.61,769058
"Mar 04, 2025",15.1,15.1,15.1,15.1,606930
"Mar 03, 2025",15.0,15.0,15.0,15.0,23889
"Feb 28, 2025",15.09,15.09,15.09,15.09,13711
"Feb 27, 2025",15.0,15.0,15.0,15.0,16699
"Feb 26, 2025",15.5,15.5,15.5,15.5,5513
"Feb 25, 2025",15.7,15.7,15.7,15.7,111
"Feb 24, 2025",15.0,15.0,15.0,15.0,456389
"Feb 23, 2025",15.4,15.4,15.4,15.4,6101
"Feb 22, 2025",15.4,15.4,15.4,15.4,6101
"Feb 21, 2025",15.4,15.4,15.4,15.4,6101
"Feb 20, 2025",15.46,15.46,15.46,15.46,99059
"Feb 19, 2025",15.54,15.54,15.54,15.54,16023
"Feb 18, 2025",16.16,16.16,16.16,16.16,61451
"Feb 17, 2025",15.53,15.53,15.53,15.53,28555
"Feb 16, 2025",16.38,16.38,16.38,16.38,795172
"Feb 15, 2025",16.38,16.38,16.38,16.38,795172
"Feb 14, 2025",16.38,16.38,16.38,16.38,795172
"Feb 13, 2025",15.94,15.94,15.94,15.94,1480223
"Feb 12, 2025",14.49,14.49,14.49,14.49,66639
"Feb 11, 2025",14.98,14.98,14.98,14.98,68375
"Feb 10, 2025",15.0,15.0,15.0,15.0,41056
"Feb 09, 2025",14.89,14.89,14.89,14.89,10331
"Feb 08, 2025",14.89,14.89,14.89,14.89,10331
"Feb 07, 2025",14.89,14.89,14.89,14.89,10331
"Feb 06, 2025",14.63,14.63,14.63,14.63,71906
"Feb 05, 2025",14.45,14.45,14.45,14.45,471416
"Feb 04, 2025",14.45,14.45,14.45,14.45,471416
"Feb 03, 2025",14.95,14.95,14.95,14.95,22814
"Feb 02, 2025",15.42,15.42,15.42,15.42,70460
"Feb 01, 2025",15.42,15.42,15.42,15.42,70460
"Jan 31, 2025",15.42,15.42,15.42,15.42,70460
"Jan 30, 2025",15.62,15.62,15.62,15.62,192428
"Jan 29, 2025",14.2,14.2,14.2,14.2,343923
"Jan 28, 2025",14.6,14.6,14.6,14.6,142088
"Jan 27, 2025",14.41,14.41,14.41,14.41,26176
"Jan 26, 2025",14.89,14.89,14.89,14.89,585537
"Jan 25, 2025",14.89,14.89,14.89,14.89,585537
"Jan 24, 2025",14.89,14.89,14.89,14.89,585537
"Jan 23, 2025",15.52,15.52,15.52,15.52,16095
"Jan 22, 2025",15.47,15.47,15.47,15.47,20306
"Jan 21, 2025",15.62,15.62,15.62,15.62,50186
"Jan 20, 2025",15.75,15.75,15.75,15.75,127606
"Jan 19, 2025",15.53,15.53,15.53,15.53,127606
"Jan 18, 2025",15.53,15.53,15.53,15.53,127606
"Jan 17, 2025",15.53,15.53,15.53,15.53,127606
"Jan 16, 2025",14.5,14.5,14.5,14.5,47124
"Jan 15, 2025",14.7,14.7,14.7,14.7,49845
"Jan 14, 2025",15.18,15.18,15.18,15.18,58064
"Jan 13, 2025",14.96,14.96,14.96,14.96,100824
"Jan 12, 2025",13.83,13.83,13.83,13.83,136340
"Jan 11, 2025",13.83,13.83,13.83,13.83,136340
"Jan 10, 2025",13.83,13.83,13.83,13.83,136340
"Jan 09, 2025",14.67,14.67,14.67,14.67,121483
"Jan 08, 2025",15.88,15.88,15.88,15.88,355282
"Jan 07, 2025",16.56,16.56,16.56,16.56,1656174
"Jan 06, 2025",15.05,15.05,15.05,15.05,463159
"Jan 05, 2025",13.68,13.68,13.68,13.68,844851
"Jan 04, 2025",13.68,13.68,13.68,13.68,844851
"Jan 03, 2025",13.68,13.68,13.68,13.68,844851
"Jan 02, 2025",12.44,12.44,12.44,12.44,145774
"Jan 01, 2025",11.31,11.31,11.31,11.31,42330
"Dec 31, 2024",11.25,11.25,11.25,11.25,85718
"Dec 30, 2024",11.15,11.15,11.15,11.15,80398
"Dec 29, 2024",10.91,10.91,10.91,10.91,11938
"Dec 28, 2024",10.91,10.91,10.91,10.91,11938
"Dec 27, 2024",10.91,10.91,10.91,10.91,11938
"Dec 26, 2024",10.81,10.81,10.81,10.81,6767
"Dec 25, 2024",11.02,11.02,11.02,11.02,58550
"Dec 24, 2024",11.02,11.02,11.02,11.02,58550
"Dec 23, 2024",11.3,11.3,11.3,11.3,34561
"Dec 22, 2024",11.17,11.17,11.17,11.17,225048
"Dec 21, 2024",11.17,11.17,11.17,11.17,225048
"Dec 20, 2024",11.17,11.17,11.17,11.17,225048
"Dec 19, 2024",11.35,11.35,11.35,11.35,156462
"Dec 18, 2024",12.61,12.61,12.61,12.61,467972
"Dec 17, 2024",14.01,14.01,14.01,14.01,10601
"Dec 16, 2024",14.31,14.31,14.31,14.31,33223
"Dec 15, 2024",14.14,14.14,14.14,14.14,40120
"Dec 14, 2024",14.14,14.14,14.14,14.14,40120
"Dec 13, 2024",14.14,14.14,14.14,14.14,40120
"Dec 12, 2024",14.12,14.12,14.12,14.12,98576
"Dec 11, 2024",14.49,14.49,14.49,14.49,51233
"Dec 10, 2024",14.26,14.26,14.26,14.26,62921
"Dec 09, 2024",14.6,14.6,14.6,14.6,53364
