TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",31.32,31.32,31.32,31.32,500461
"Nov 14, 2025",31.07,31.07,31.07,31.07,294278
"Nov 13, 2025",30.84,30.84,30.84,30.84,647318
"Nov 12, 2025",30.62,30.62,30.62,30.62,310725
"Nov 11, 2025",30.62,30.62,30.62,30.62,597331
"Nov 10, 2025",31.05,31.05,31.05,31.05,566427
"Nov 07, 2025",31.21,31.21,31.21,31.21,393993
"Nov 06, 2025",31.08,31.08,31.08,31.08,903249
"Nov 05, 2025",31.13,31.13,31.13,31.13,489510
"Nov 04, 2025",31.72,31.72,31.72,31.72,1161453
"Nov 03, 2025",31.85,31.85,31.85,31.85,1986283
"Oct 31, 2025",31.29,31.29,31.29,31.29,1385814
"Oct 30, 2025",30.88,30.88,30.88,30.88,870914
"Oct 29, 2025",31.2,31.2,31.2,31.2,2459132
"Oct 28, 2025",30.32,30.32,30.32,30.32,1851984
"Oct 27, 2025",30.71,30.71,30.71,30.71,7144086
"Oct 24, 2025",33.87,33.87,33.87,33.87,2717044
"Oct 23, 2025",37.63,37.63,37.63,37.63,2855065
"Oct 22, 2025",39.17,39.17,39.17,39.17,1507621
"Oct 21, 2025",39.82,39.82,39.82,39.82,1967113
"Oct 20, 2025",40.32,40.32,40.32,40.32,3156766
"Oct 17, 2025",39.77,39.77,39.77,39.77,1325716
"Oct 16, 2025",40.1,40.1,40.1,40.1,2789207
"Oct 15, 2025",40.41,40.41,40.41,40.41,5357361
"Oct 14, 2025",39.41,39.41,39.41,39.41,2043760
"Oct 13, 2025",36.75,36.75,36.75,36.75,3323189
"Oct 10, 2025",38.94,38.94,38.94,38.94,1166698
"Oct 09, 2025",38.62,38.62,38.62,38.62,1663432
"Oct 08, 2025",39.79,39.79,39.79,39.79,1075295
"Oct 07, 2025",40.27,40.27,40.27,40.27,1754199
"Oct 06, 2025",40.96,40.96,40.96,40.96,2948233
"Oct 03, 2025",41.85,41.85,41.85,41.85,4664630
"Oct 02, 2025",42.88,42.88,42.88,42.88,12927355
"Oct 01, 2025",40.38,40.38,40.38,40.38,14274602
"Sep 30, 2025",39.57,39.57,39.57,39.57,14666138
"Sep 29, 2025",36.54,36.54,36.54,36.54,2212746
"Sep 26, 2025",36.38,36.38,36.38,36.38,1190701
"Sep 25, 2025",35.64,35.64,35.64,35.64,4085679
"Sep 24, 2025",35.6,35.6,35.6,35.6,658721
"Sep 23, 2025",36.08,36.08,36.08,36.08,646136
"Sep 22, 2025",36.36,36.36,36.36,36.36,784459
"Sep 19, 2025",37.02,37.02,37.02,37.02,1934262
"Sep 18, 2025",36.08,36.08,36.08,36.08,621205
"Sep 17, 2025",34.9,34.9,34.9,34.9,888072
"Sep 16, 2025",36.25,36.25,36.25,36.25,408524
"Sep 15, 2025",36.03,36.03,36.03,36.03,655403
"Sep 12, 2025",36.11,36.11,36.11,36.11,261889
"Sep 11, 2025",36.36,36.36,36.36,36.36,900197
"Sep 10, 2025",36.94,36.94,36.94,36.94,764926
"Sep 09, 2025",37.18,37.18,37.18,37.18,1361251
"Sep 08, 2025",37.1,37.1,37.1,37.1,2522207
"Sep 05, 2025",37.11,37.11,37.11,37.11,5671605
"Sep 04, 2025",34.79,34.79,34.79,34.79,2126874
"Sep 03, 2025",34.61,34.61,34.61,34.61,701223
"Sep 02, 2025",34.52,34.52,34.52,34.52,971239
"Sep 01, 2025",34.72,34.72,34.72,34.72,785551
"Aug 29, 2025",34.99,34.99,34.99,34.99,2635981
"Aug 28, 2025",36.23,36.23,36.23,36.23,1107172
"Aug 27, 2025",36.0,36.0,36.0,36.0,1114794
"Aug 26, 2025",35.96,35.96,35.96,35.96,1624491
"Aug 25, 2025",35.78,35.78,35.78,35.78,1364002
"Aug 22, 2025",36.49,36.49,36.49,36.49,2712629
"Aug 21, 2025",37.79,37.79,37.79,37.79,8105857
"Aug 20, 2025",38.48,38.48,38.48,38.48,5885190
"Aug 19, 2025",38.13,38.13,38.13,38.13,4011676
"Aug 18, 2025",38.12,38.12,38.12,38.12,3458518
"Aug 15, 2025",38.5,38.5,38.5,38.5,4661420
"Aug 13, 2025",38.49,38.49,38.49,38.49,14050241
"Aug 12, 2025",37.62,37.62,37.62,37.62,16714670
"Aug 11, 2025",34.33,34.33,34.33,34.33,7329067
"Aug 08, 2025",32.73,32.73,32.73,32.73,1207840
"Aug 07, 2025",33.04,33.04,33.04,33.04,2408233
"Aug 06, 2025",33.9,33.9,33.9,33.9,3109177
"Aug 05, 2025",33.67,33.67,33.67,33.67,638343
"Aug 04, 2025",33.87,33.87,33.87,33.87,566118
"Aug 01, 2025",33.75,33.75,33.75,33.75,819792
"Jul 31, 2025",34.04,34.04,34.04,34.04,1042433
"Jul 30, 2025",34.11,34.11,34.11,34.11,1053572
"Jul 29, 2025",34.68,34.68,34.68,34.68,1831892
"Jul 28, 2025",33.97,33.97,33.97,33.97,917025
"Jul 25, 2025",33.71,33.71,33.71,33.71,995996
"Jul 24, 2025",33.92,33.92,33.92,33.92,967473
"Jul 23, 2025",33.69,33.69,33.69,33.69,750940
"Jul 22, 2025",33.87,33.87,33.87,33.87,1621609
"Jul 21, 2025",34.39,34.39,34.39,34.39,1243347
"Jul 18, 2025",34.39,34.39,34.39,34.39,940280
"Jul 17, 2025",35.26,35.26,35.26,35.26,1237459
"Jul 16, 2025",35.52,35.52,35.52,35.52,1194837
"Jul 15, 2025",35.63,35.63,35.63,35.63,3236462
"Jul 14, 2025",35.32,35.32,35.32,35.32,1850719
"Jul 11, 2025",34.74,34.74,34.74,34.74,865191
"Jul 10, 2025",34.81,34.81,34.81,34.81,2611920
"Jul 09, 2025",34.23,34.23,34.23,34.23,1099698
"Jul 08, 2025",34.84,34.84,34.84,34.84,2526483
"Jul 07, 2025",35.56,35.56,35.56,35.56,2073639
"Jul 04, 2025",35.76,35.76,35.76,35.76,4381599
"Jul 03, 2025",35.52,35.52,35.52,35.52,8271365
"Jul 02, 2025",36.35,36.35,36.35,36.35,7512908
"Jul 01, 2025",37.52,37.52,37.52,37.52,15142580
"Jun 30, 2025",35.82,35.82,35.82,35.82,16247848
"Jun 27, 2025",33.74,33.74,33.74,33.74,23764630
"Jun 26, 2025",30.69,30.69,30.69,30.69,6368491
"Jun 25, 2025",30.86,30.86,30.86,30.86,11454377
"Jun 24, 2025",30.12,30.12,30.12,30.12,6347205
"Jun 23, 2025",27.38,27.38,27.38,27.38,7921882
"Jun 20, 2025",28.05,28.05,28.05,28.05,3205760
"Jun 19, 2025",29.13,29.13,29.13,29.13,6783675
"Jun 18, 2025",30.35,30.35,30.35,30.35,17014517
"Jun 17, 2025",29.41,29.41,29.41,29.41,12746085
"Jun 16, 2025",30.79,30.79,30.79,30.79,9949015
"Jun 13, 2025",27.99,27.99,27.99,27.99,17193685
"Jun 12, 2025",26.32,26.32,26.32,26.32,16702450
"Jun 11, 2025",23.94,23.94,23.94,23.94,2928561
"Jun 10, 2025",23.75,23.75,23.75,23.75,10098726
"Jun 05, 2025",22.98,22.98,22.98,22.98,2588698
"Jun 04, 2025",23.24,23.24,23.24,23.24,8868564
"Jun 02, 2025",20.63,20.63,20.63,20.63,1139397
"May 30, 2025",20.48,20.48,20.48,20.48,377742
"May 29, 2025",20.53,20.53,20.53,20.53,399743
"May 27, 2025",20.46,20.46,20.46,20.46,247281
"May 26, 2025",20.48,20.48,20.48,20.48,878996
"May 23, 2025",20.36,20.36,20.36,20.36,459331
"May 22, 2025",20.28,20.28,20.28,20.28,786233
"May 21, 2025",20.14,20.14,20.14,20.14,845088
"May 20, 2025",20.22,20.22,20.22,20.22,378212
"May 19, 2025",20.14,20.14,20.14,20.14,399149
"May 16, 2025",20.08,20.08,20.08,20.08,2102113
"May 15, 2025",20.16,20.16,20.16,20.16,738052
"May 14, 2025",19.75,19.75,19.75,19.75,892883
"May 13, 2025",19.75,19.75,19.75,19.75,1511829
"May 12, 2025",20.06,20.06,20.06,20.06,4683772
"May 09, 2025",18.27,18.27,18.27,18.27,1812268
"May 08, 2025",18.15,18.15,18.15,18.15,1105968
"May 07, 2025",19.47,19.47,19.47,19.47,888954
"May 06, 2025",20.13,20.13,20.13,20.13,107482
"May 02, 2025",20.0,20.0,20.0,20.0,238719
"Apr 30, 2025",19.74,19.74,19.74,19.74,811927
"Apr 29, 2025",20.05,20.05,20.05,20.05,681134
"Apr 28, 2025",19.94,19.94,19.94,19.94,949660
"Apr 25, 2025",19.94,19.94,19.94,19.94,609354
"Apr 24, 2025",19.7,19.7,19.7,19.7,4858231
"Apr 23, 2025",20.42,20.42,20.42,20.42,1688608
"Apr 22, 2025",21.05,21.05,21.05,21.05,908299
"Apr 21, 2025",21.04,21.04,21.04,21.04,2459116
"Apr 18, 2025",20.99,20.99,20.99,20.99,1038456
"Apr 17, 2025",21.0,21.0,21.0,21.0,103214
"Apr 16, 2025",21.0,21.0,21.0,21.0,332172
"Apr 15, 2025",21.1,21.1,21.1,21.1,384363
"Apr 14, 2025",21.13,21.13,21.13,21.13,630200
"Apr 11, 2025",20.99,20.99,20.99,20.99,805840
"Apr 10, 2025",20.84,20.84,20.84,20.84,2138633
"Apr 09, 2025",20.91,20.91,20.91,20.91,708113
"Apr 08, 2025",21.37,21.37,21.37,21.37,327174
"Apr 07, 2025",21.18,21.18,21.18,21.18,2077339
"Apr 04, 2025",22.0,22.0,22.0,22.0,3299210
"Apr 03, 2025",21.89,21.89,21.89,21.89,1300349
"Mar 27, 2025",21.65,21.65,21.65,21.65,1145437
"Mar 26, 2025",21.05,21.05,21.05,21.05,1038059
"Mar 25, 2025",20.8,20.8,20.8,20.8,655954
"Mar 24, 2025",20.77,20.77,20.77,20.77,1382687
"Mar 21, 2025",20.82,20.82,20.82,20.82,594937
"Mar 20, 2025",20.8,20.8,20.8,20.8,2492868
"Mar 19, 2025",20.87,20.87,20.87,20.87,2167821
"Mar 18, 2025",20.85,20.85,20.85,20.85,1406475
"Mar 17, 2025",22.08,22.08,22.08,22.08,3905901
"Mar 16, 2025",22.5,22.5,22.5,22.5,991940
"Mar 14, 2025",22.5,22.5,22.5,22.5,991940
