TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",66.78,66.78,66.78,66.78,11800
"Nov 14, 2025",67.07,67.07,67.07,67.07,29784
"Nov 13, 2025",68.97,68.97,68.97,68.97,55418
"Nov 12, 2025",65.99,65.99,65.99,65.99,43736
"Nov 11, 2025",61.97,61.97,61.97,61.97,13209
"Nov 10, 2025",63.27,63.27,63.27,63.27,13123
"Nov 07, 2025",61.82,61.82,61.82,61.82,13218
"Nov 06, 2025",62.44,62.44,62.44,62.44,1586
"Nov 05, 2025",62.49,62.49,62.49,62.49,6986
"Nov 04, 2025",62.54,62.54,62.54,62.54,6316
"Nov 03, 2025",62.11,62.11,62.11,62.11,25949
"Oct 31, 2025",64.0,64.0,64.0,64.0,8785
"Oct 30, 2025",62.99,62.99,62.99,62.99,22706
"Oct 29, 2025",63.03,63.03,63.03,63.03,4156
"Oct 28, 2025",64.5,64.5,64.5,64.5,6322
"Oct 27, 2025",64.59,64.59,64.59,64.59,16052
"Oct 24, 2025",64.79,64.79,64.79,64.79,15380
"Oct 23, 2025",67.17,67.17,67.17,67.17,1636
"Oct 22, 2025",67.42,67.42,67.42,67.42,12886
"Oct 21, 2025",67.38,67.38,67.38,67.38,18119
"Oct 20, 2025",68.12,68.12,68.12,68.12,10294
"Oct 17, 2025",67.7,67.7,67.7,67.7,6870
"Oct 16, 2025",69.85,69.85,69.85,69.85,13060
"Oct 15, 2025",70.72,70.72,70.72,70.72,64984
"Oct 14, 2025",67.16,67.16,67.16,67.16,9900
"Oct 13, 2025",66.2,66.2,66.2,66.2,11213
"Oct 10, 2025",68.18,68.18,68.18,68.18,26154
"Oct 09, 2025",69.0,69.0,69.0,69.0,22900
"Oct 08, 2025",69.35,69.35,69.35,69.35,3526
"Oct 07, 2025",69.99,69.99,69.99,69.99,16322
"Oct 06, 2025",70.56,70.56,70.56,70.56,38402
"Oct 03, 2025",69.77,69.77,69.77,69.77,43223
"Oct 02, 2025",70.05,70.05,70.05,70.05,61600
"Oct 01, 2025",71.0,71.0,71.0,71.0,22954
"Sep 30, 2025",71.11,71.11,71.11,71.11,60917
"Sep 29, 2025",71.45,71.45,71.45,71.45,23988
"Sep 26, 2025",71.52,71.52,71.52,71.52,44969
"Sep 25, 2025",72.98,72.98,72.98,72.98,101823
"Sep 24, 2025",75.02,75.02,75.02,75.02,25249
"Sep 23, 2025",75.11,75.11,75.11,75.11,48806
"Sep 22, 2025",75.67,75.67,75.67,75.67,18459
"Sep 19, 2025",76.03,76.03,76.03,76.03,29640
"Sep 18, 2025",76.68,76.68,76.68,76.68,61737
"Sep 17, 2025",76.13,76.13,76.13,76.13,20322
"Sep 16, 2025",76.67,76.67,76.67,76.67,24419
"Sep 15, 2025",76.22,76.22,76.22,76.22,24013
"Sep 12, 2025",76.02,76.02,76.02,76.02,19978
"Sep 11, 2025",77.06,77.06,77.06,77.06,46425
"Sep 10, 2025",77.02,77.02,77.02,77.02,15078
"Sep 09, 2025",76.92,76.92,76.92,76.92,72150
"Sep 08, 2025",77.14,77.14,77.14,77.14,25692
"Sep 05, 2025",77.21,77.21,77.21,77.21,63758
"Sep 04, 2025",77.74,77.74,77.74,77.74,40118
"Sep 03, 2025",78.03,78.03,78.03,78.03,42896
"Sep 02, 2025",79.22,79.22,79.22,79.22,164001
"Sep 01, 2025",79.94,79.94,79.94,79.94,176593
"Aug 29, 2025",75.59,75.59,75.59,75.59,55364
"Aug 28, 2025",74.69,74.69,74.69,74.69,119389
"Aug 27, 2025",76.54,76.54,76.54,76.54,14015
"Aug 26, 2025",76.89,76.89,76.89,76.89,17538
"Aug 25, 2025",76.36,76.36,76.36,76.36,87623
"Aug 22, 2025",79.14,79.14,79.14,79.14,40626
"Aug 21, 2025",78.56,78.56,78.56,78.56,96710
