TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",34.01,34.01,34.01,34.01,12488
"Nov 14, 2025",34.0,34.0,34.0,34.0,15231
"Nov 13, 2025",34.19,34.19,34.19,34.19,9403
"Nov 12, 2025",33.08,33.08,33.08,33.08,30249
"Nov 11, 2025",33.17,33.17,33.17,33.17,8494
"Nov 10, 2025",33.54,33.54,33.54,33.54,18253
"Nov 07, 2025",33.5,33.5,33.5,33.5,18231
"Nov 06, 2025",33.64,33.64,33.64,33.64,15000
"Nov 05, 2025",33.53,33.53,33.53,33.53,15440
"Nov 04, 2025",33.27,33.27,33.27,33.27,11286
"Nov 03, 2025",33.7,33.7,33.7,33.7,18598
"Oct 31, 2025",33.64,33.64,33.64,33.64,20025
"Oct 30, 2025",33.58,33.58,33.58,33.58,18491
"Oct 29, 2025",34.0,34.0,34.0,34.0,29370
"Oct 28, 2025",34.38,34.38,34.38,34.38,15874
"Oct 27, 2025",34.67,34.67,34.67,34.67,20494
"Oct 24, 2025",34.71,34.71,34.71,34.71,35633
"Oct 23, 2025",35.55,35.55,35.55,35.55,117976
"Oct 22, 2025",35.86,35.86,35.86,35.86,46746
"Oct 21, 2025",36.03,36.03,36.03,36.03,221289
"Oct 20, 2025",35.41,35.41,35.41,35.41,86419
"Oct 17, 2025",35.27,35.27,35.27,35.27,15617
"Oct 16, 2025",35.55,35.55,35.55,35.55,42657
"Oct 15, 2025",35.68,35.68,35.68,35.68,57486
"Oct 14, 2025",34.91,34.91,34.91,34.91,32603
"Oct 13, 2025",32.59,32.59,32.59,32.59,38176
"Oct 10, 2025",34.93,34.93,34.93,34.93,17656
"Oct 09, 2025",35.64,35.64,35.64,35.64,47139
"Oct 08, 2025",35.81,35.81,35.81,35.81,32812
"Oct 07, 2025",35.88,35.88,35.88,35.88,129939
"Oct 06, 2025",35.75,35.75,35.75,35.75,124993
"Oct 03, 2025",35.83,35.83,35.83,35.83,143818
"Oct 02, 2025",35.58,35.58,35.58,35.58,294423
"Oct 01, 2025",33.77,33.77,33.77,33.77,132232
"Sep 30, 2025",34.75,34.75,34.75,34.75,122988
"Sep 29, 2025",34.36,34.36,34.36,34.36,55591
"Sep 26, 2025",34.64,34.64,34.64,34.64,174844
"Sep 25, 2025",32.33,32.33,32.33,32.33,40534
"Sep 24, 2025",32.5,32.5,32.5,32.5,48554
"Sep 23, 2025",33.8,33.8,33.8,33.8,131432
"Sep 22, 2025",34.61,34.61,34.61,34.61,214517
"Sep 19, 2025",31.99,31.99,31.99,31.99,324357
"Sep 18, 2025",29.13,29.13,29.13,29.13,432957
"Sep 17, 2025",26.48,26.48,26.48,26.48,108951
"Sep 16, 2025",25.6,25.6,25.6,25.6,64903
"Sep 15, 2025",25.74,25.74,25.74,25.74,38401
"Sep 12, 2025",25.64,25.64,25.64,25.64,10711
"Sep 11, 2025",25.92,25.92,25.92,25.92,42701
"Sep 10, 2025",25.81,25.81,25.81,25.81,53387
"Sep 09, 2025",26.24,26.24,26.24,26.24,44004
"Sep 08, 2025",25.98,25.98,25.98,25.98,125368
"Sep 05, 2025",25.56,25.56,25.56,25.56,131563
"Sep 04, 2025",25.05,25.05,25.05,25.05,191391
"Sep 03, 2025",27.88,27.88,27.88,27.88,276091
"Sep 02, 2025",26.61,26.61,26.61,26.61,187281
"Sep 01, 2025",24.88,24.88,24.88,24.88,224878
"Aug 29, 2025",25.81,25.81,25.81,25.81,497257
"Aug 28, 2025",25.96,25.96,25.96,25.96,664384
"Aug 27, 2025",23.6,23.6,23.6,23.6,256316
"Aug 26, 2025",21.45,21.45,21.45,21.45,618387
"Aug 25, 2025",19.5,19.5,19.5,19.5,603829
"Aug 22, 2025",17.73,17.73,17.73,17.73,6269
"Aug 21, 2025",17.8,17.8,17.8,17.8,6045
"Aug 20, 2025",18.0,18.0,18.0,18.0,81049
"Aug 19, 2025",18.26,18.26,18.26,18.26,58045
"Aug 18, 2025",17.65,17.65,17.65,17.65,5353
"Aug 15, 2025",17.65,17.65,17.65,17.65,8778
"Aug 13, 2025",18.0,18.0,18.0,18.0,207532
"Aug 12, 2025",17.74,17.74,17.74,17.74,6140
"Aug 11, 2025",17.71,17.71,17.71,17.71,6827
"Aug 08, 2025",17.97,17.97,17.97,17.97,16450
"Aug 07, 2025",18.16,18.16,18.16,18.16,27379
"Aug 06, 2025",17.65,17.65,17.65,17.65,7918
"Aug 05, 2025",17.7,17.7,17.7,17.7,30406
"Aug 04, 2025",17.79,17.79,17.79,17.79,14836
"Aug 01, 2025",17.61,17.61,17.61,17.61,7424
"Jul 31, 2025",17.7,17.7,17.7,17.7,30819
"Jul 30, 2025",17.52,17.52,17.52,17.52,6214
"Jul 29, 2025",16.84,16.84,16.84,16.84,12540
"Jul 28, 2025",18.0,18.0,18.0,18.0,1174
