TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",338.8,338.8,338.8,338.8,2
"Nov 14, 2025",338.8,338.8,338.8,338.8,19196
"Nov 12, 2025",308.64,308.64,308.64,308.64,311
"Nov 11, 2025",308.65,308.65,308.65,308.65,13548
"Nov 07, 2025",309.0,309.0,309.0,309.0,1
"Nov 05, 2025",309.0,309.0,309.0,309.0,6158
"Nov 04, 2025",309.63,309.63,309.63,309.63,4184
"Nov 03, 2025",282.31,282.31,282.31,282.31,11
"Oct 31, 2025",282.31,282.31,282.31,282.31,3
"Oct 30, 2025",282.31,282.31,282.31,282.31,204
"Oct 29, 2025",299.96,299.96,299.96,299.96,26
"Oct 28, 2025",299.96,299.96,299.96,299.96,8
"Oct 27, 2025",299.96,299.96,299.96,299.96,1
"Oct 24, 2025",299.96,299.96,299.96,299.96,404
"Oct 23, 2025",300.24,300.24,300.24,300.24,203
"Oct 22, 2025",305.0,305.0,305.0,305.0,216
"Oct 21, 2025",305.12,305.12,305.12,305.12,319
"Oct 20, 2025",300.61,300.61,300.61,300.61,360
"Oct 17, 2025",301.62,301.62,301.62,301.62,1089
"Oct 16, 2025",305.0,305.0,305.0,305.0,103
"Oct 15, 2025",310.38,310.38,310.38,310.38,261
"Oct 13, 2025",298.01,298.01,298.01,298.01,151
"Oct 10, 2025",306.02,306.02,306.02,306.02,1
"Oct 09, 2025",306.02,306.02,306.02,306.02,1613
"Oct 08, 2025",306.0,306.0,306.0,306.0,19
"Oct 07, 2025",306.0,306.0,306.0,306.0,1927
"Oct 06, 2025",298.01,298.01,298.01,298.01,101
"Oct 03, 2025",300.5,300.5,300.5,300.5,3650
"Oct 02, 2025",313.95,313.95,313.95,313.95,554
"Oct 01, 2025",310.94,310.94,310.94,310.94,83
"Sep 30, 2025",330.0,330.0,330.0,330.0,51
"Sep 29, 2025",330.0,330.0,330.0,330.0,880
"Sep 26, 2025",339.35,339.35,339.35,339.35,758
"Sep 25, 2025",329.14,329.14,329.14,329.14,25
"Sep 24, 2025",329.14,329.14,329.14,329.14,195
"Sep 23, 2025",329.96,329.96,329.96,329.96,11
"Sep 22, 2025",329.96,329.96,329.96,329.96,779
"Sep 19, 2025",319.12,319.12,319.12,319.12,407678
"Sep 18, 2025",322.94,322.94,322.94,322.94,812
"Sep 17, 2025",303.42,303.42,303.42,303.42,122
"Sep 16, 2025",316.1,316.1,316.1,316.1,669
"Sep 15, 2025",319.11,319.11,319.11,319.11,579
"Sep 12, 2025",310.05,310.05,310.05,310.05,84
"Sep 11, 2025",310.05,310.05,310.05,310.05,40
"Sep 10, 2025",310.05,310.05,310.05,310.05,601
"Sep 09, 2025",299.94,299.94,299.94,299.94,8
"Sep 08, 2025",299.94,299.94,299.94,299.94,1906
"Sep 05, 2025",307.0,307.0,307.0,307.0,197
"Sep 04, 2025",324.2,324.2,324.2,324.2,119
"Sep 03, 2025",308.63,308.63,308.63,308.63,1
"Sep 02, 2025",308.63,308.63,308.63,308.63,106
"Sep 01, 2025",308.48,308.48,308.48,308.48,687
"Aug 29, 2025",311.0,311.0,311.0,311.0,108
"Aug 28, 2025",310.99,310.99,310.99,310.99,504
"Aug 27, 2025",309.87,309.87,309.87,309.87,684
"Aug 26, 2025",315.0,315.0,315.0,315.0,232
"Aug 25, 2025",310.98,310.98,310.98,310.98,322
"Aug 22, 2025",318.04,318.04,318.04,318.04,413
"Aug 21, 2025",310.66,310.66,310.66,310.66,616
