TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",179.55,179.55,179.55,179.55,8056
"Nov 14, 2025",178.03,178.03,178.03,178.03,28412
"Nov 13, 2025",178.06,178.06,178.06,178.06,5089
"Nov 12, 2025",177.43,177.43,177.43,177.43,10766
"Nov 11, 2025",178.11,178.11,178.11,178.11,16173
"Nov 10, 2025",180.79,180.79,180.79,180.79,13919
"Nov 07, 2025",179.38,179.38,179.38,179.38,31767
"Nov 06, 2025",178.88,178.88,178.88,178.88,4441
"Nov 05, 2025",178.86,178.86,178.86,178.86,13127
"Nov 04, 2025",178.82,178.82,178.82,178.82,28526
"Nov 03, 2025",179.44,179.44,179.44,179.44,67700
"Oct 31, 2025",182.23,182.23,182.23,182.23,5923
"Oct 30, 2025",180.44,180.44,180.44,180.44,20722
"Oct 29, 2025",181.69,181.69,181.69,181.69,41614
"Oct 28, 2025",186.37,186.37,186.37,186.37,86596
"Oct 27, 2025",182.67,182.67,182.67,182.67,9063
"Oct 24, 2025",182.43,182.43,182.43,182.43,14233
"Oct 23, 2025",182.24,182.24,182.24,182.24,48418
"Oct 22, 2025",186.1,186.1,186.1,186.1,27952
"Oct 21, 2025",184.89,184.89,184.89,184.89,76158
"Oct 20, 2025",181.12,181.12,181.12,181.12,44567
"Oct 17, 2025",180.65,180.65,180.65,180.65,98416
"Oct 16, 2025",185.03,185.03,185.03,185.03,43984
"Oct 15, 2025",188.07,188.07,188.07,188.07,70093
"Oct 14, 2025",191.2,191.2,191.2,191.2,48703
"Oct 13, 2025",186.66,186.66,186.66,186.66,87263
"Oct 10, 2025",194.31,194.31,194.31,194.31,139203
"Oct 09, 2025",198.29,198.29,198.29,198.29,35707
"Oct 08, 2025",200.02,200.02,200.02,200.02,77472
"Oct 07, 2025",202.76,202.76,202.76,202.76,290687
"Oct 06, 2025",199.16,199.16,199.16,199.16,252135
"Oct 03, 2025",194.8,194.8,194.8,194.8,170234
"Oct 02, 2025",191.33,191.33,191.33,191.33,90914
"Oct 01, 2025",190.31,190.31,190.31,190.31,48093
"Sep 30, 2025",190.96,190.96,190.96,190.96,51157
"Sep 29, 2025",190.93,190.93,190.93,190.93,36114
"Sep 26, 2025",191.92,191.92,191.92,191.92,39035
"Sep 25, 2025",192.54,192.54,192.54,192.54,221586
"Sep 24, 2025",199.02,199.02,199.02,199.02,435220
"Sep 23, 2025",201.25,201.25,201.25,201.25,349947
"Sep 22, 2025",194.03,194.03,194.03,194.03,113143
"Sep 19, 2025",190.88,190.88,190.88,190.88,67187
"Sep 18, 2025",190.66,190.66,190.66,190.66,90071
"Sep 17, 2025",191.05,191.05,191.05,191.05,45804
"Sep 16, 2025",191.1,191.1,191.1,191.1,31486
"Sep 15, 2025",190.71,190.71,190.71,190.71,50929
"Sep 12, 2025",188.97,188.97,188.97,188.97,54870
"Sep 11, 2025",189.85,189.85,189.85,189.85,78967
"Sep 10, 2025",188.44,188.44,188.44,188.44,243609
"Sep 09, 2025",192.14,192.14,192.14,192.14,724472
"Sep 08, 2025",201.39,201.39,201.39,201.39,1413464
"Sep 05, 2025",183.2,183.2,183.2,183.2,294298
"Sep 04, 2025",182.23,182.23,182.23,182.23,137536
"Sep 03, 2025",180.12,180.12,180.12,180.12,59460
"Sep 02, 2025",181.9,181.9,181.9,181.9,36503
"Sep 01, 2025",181.0,181.0,181.0,181.0,76322
"Aug 29, 2025",180.15,180.15,180.15,180.15,65325
"Aug 28, 2025",180.19,180.19,180.19,180.19,66627
"Aug 27, 2025",183.74,183.74,183.74,183.74,39354
"Aug 26, 2025",183.6,183.6,183.6,183.6,60613
"Aug 25, 2025",184.34,184.34,184.34,184.34,123162
"Aug 22, 2025",180.87,180.87,180.87,180.87,49618
"Aug 21, 2025",181.27,181.27,181.27,181.27,112568
"Aug 20, 2025",186.09,186.09,186.09,186.09,80510
"Aug 19, 2025",180.05,180.05,180.05,180.05,54282
"Aug 18, 2025",182.67,182.67,182.67,182.67,118735
"Aug 15, 2025",187.47,187.47,187.47,187.47,374267
"Aug 13, 2025",190.84,190.84,190.84,190.84,1320053
"Aug 12, 2025",175.02,175.02,175.02,175.02,124740
"Aug 11, 2025",175.86,175.86,175.86,175.86,37652
"Aug 08, 2025",174.81,174.81,174.81,174.81,20180
"Aug 07, 2025",173.57,173.57,173.57,173.57,51595
"Aug 06, 2025",174.07,174.07,174.07,174.07,180962
"Aug 05, 2025",181.02,181.02,181.02,181.02,466941
"Aug 04, 2025",164.56,164.56,164.56,164.56,60964
"Aug 01, 2025",161.74,161.74,161.74,161.74,13249
"Jul 31, 2025",166.67,166.67,166.67,166.67,15804
"Jul 30, 2025",165.62,165.62,165.62,165.62,41166
"Jul 29, 2025",174.83,174.83,174.83,174.83,369761
"Jul 28, 2025",173.5,173.5,173.5,173.5,1055201
"Jul 25, 2025",179.29,179.29,179.29,179.29,620875
"Jul 24, 2025",162.99,162.99,162.99,162.99,254238
"Jul 23, 2025",148.17,148.17,148.17,148.17,6597
"Jul 22, 2025",149.05,149.05,149.05,149.05,8629
"Jul 21, 2025",147.97,147.97,147.97,147.97,4837
"Jul 18, 2025",150.61,150.61,150.61,150.61,5902
"Jul 17, 2025",150.98,150.98,150.98,150.98,9174
"Jul 16, 2025",146.2,146.2,146.2,146.2,32064
"Jul 15, 2025",147.81,147.81,147.81,147.81,21095
"Jul 14, 2025",150.52,150.52,150.52,150.52,21946
"Jul 11, 2025",150.38,150.38,150.38,150.38,8989
"Jul 10, 2025",151.36,151.36,151.36,151.36,21457
"Jul 09, 2025",151.33,151.33,151.33,151.33,9479
"Jul 08, 2025",149.0,149.0,149.0,149.0,24902
"Jul 07, 2025",146.17,146.17,146.17,146.17,10780
"Jul 04, 2025",142.08,142.08,142.08,142.08,3604
"Jul 03, 2025",142.11,142.11,142.11,142.11,7790
"Jul 02, 2025",143.82,143.82,143.82,143.82,14402
"Jul 01, 2025",141.11,141.11,141.11,141.11,8639
"Jun 30, 2025",142.16,142.16,142.16,142.16,9878
"Jun 27, 2025",148.48,148.48,148.48,148.48,35515
"Jun 26, 2025",146.16,146.16,146.16,146.16,103835
"Jun 25, 2025",146.29,146.29,146.29,146.29,45344
"Jun 24, 2025",132.99,132.99,132.99,132.99,3199
"Jun 23, 2025",129.74,129.74,129.74,129.74,15408
"Jun 20, 2025",134.99,134.99,134.99,134.99,2369
"Jun 19, 2025",132.0,132.0,132.0,132.0,1422
"Jun 18, 2025",130.35,130.35,130.35,130.35,14382
"Jun 17, 2025",135.3,135.3,135.3,135.3,4062
"Jun 16, 2025",134.65,134.65,134.65,134.65,3836
"Jun 13, 2025",133.07,133.07,133.07,133.07,6451
