TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",33.77,33.77,33.77,33.77,9432650
"Nov 14, 2025",30.91,30.91,30.91,30.91,2343634
"Nov 13, 2025",29.83,29.83,29.83,29.83,741579
"Nov 12, 2025",29.97,29.97,29.97,29.97,1034498
"Nov 11, 2025",30.27,30.27,30.27,30.27,2822334
"Nov 10, 2025",31.23,31.23,31.23,31.23,2820883
"Nov 07, 2025",32.18,32.18,32.18,32.18,12392461
"Nov 06, 2025",30.68,30.68,30.68,30.68,6196924
"Nov 05, 2025",29.12,29.12,29.12,29.12,1718420
"Nov 04, 2025",30.02,30.02,30.02,30.02,11488397
"Nov 03, 2025",29.15,29.15,29.15,29.15,6330139
"Oct 31, 2025",27.03,27.03,27.03,27.03,1342654
"Oct 30, 2025",26.0,26.0,26.0,26.0,2588308
"Oct 29, 2025",26.01,26.01,26.01,26.01,832559
"Oct 28, 2025",25.7,25.7,25.7,25.7,569962
"Oct 27, 2025",26.0,26.0,26.0,26.0,892781
"Oct 24, 2025",26.16,26.16,26.16,26.16,1018040
"Oct 23, 2025",27.35,27.35,27.35,27.35,1548447
"Oct 22, 2025",28.65,28.65,28.65,28.65,4291993
"Oct 21, 2025",27.18,27.18,27.18,27.18,3447607
"Oct 20, 2025",26.12,26.12,26.12,26.12,639689
"Oct 17, 2025",25.86,25.86,25.86,25.86,1037916
"Oct 16, 2025",25.54,25.54,25.54,25.54,1332770
"Oct 15, 2025",25.76,25.76,25.76,25.76,2335714
"Oct 14, 2025",24.96,24.96,24.96,24.96,2002649
"Oct 13, 2025",24.82,24.82,24.82,24.82,2197088
"Oct 10, 2025",26.56,26.56,26.56,26.56,1215721
"Oct 09, 2025",26.98,26.98,26.98,26.98,682009
"Oct 08, 2025",27.33,27.33,27.33,27.33,16853245
"Oct 07, 2025",27.06,27.06,27.06,27.06,371718
"Oct 06, 2025",27.04,27.04,27.04,27.04,320650
"Oct 03, 2025",27.25,27.25,27.25,27.25,222749
"Oct 02, 2025",27.36,27.36,27.36,27.36,825452
"Oct 01, 2025",27.27,27.27,27.27,27.27,635037
"Sep 30, 2025",27.91,27.91,27.91,27.91,300936
"Sep 29, 2025",28.06,28.06,28.06,28.06,281684
"Sep 26, 2025",28.06,28.06,28.06,28.06,168734
"Sep 25, 2025",28.23,28.23,28.23,28.23,199131
"Sep 24, 2025",28.18,28.18,28.18,28.18,345365
"Sep 23, 2025",28.22,28.22,28.22,28.22,956565
"Sep 22, 2025",28.51,28.51,28.51,28.51,367161
"Sep 19, 2025",28.86,28.86,28.86,28.86,941382
"Sep 18, 2025",28.7,28.7,28.7,28.7,395802
"Sep 17, 2025",28.5,28.5,28.5,28.5,211072
"Sep 16, 2025",28.5,28.5,28.5,28.5,344451
"Sep 15, 2025",28.45,28.45,28.45,28.45,321792
"Sep 12, 2025",28.13,28.13,28.13,28.13,340010
"Sep 11, 2025",28.27,28.27,28.27,28.27,2330507
"Sep 10, 2025",27.24,27.24,27.24,27.24,345711
"Sep 09, 2025",27.27,27.27,27.27,27.27,148288
"Sep 08, 2025",27.21,27.21,27.21,27.21,642039
"Sep 05, 2025",27.52,27.52,27.52,27.52,1066417
"Sep 04, 2025",27.55,27.55,27.55,27.55,91895
"Sep 03, 2025",27.94,27.94,27.94,27.94,381322
"Sep 02, 2025",27.49,27.49,27.49,27.49,488890
"Sep 01, 2025",27.21,27.21,27.21,27.21,186913
"Aug 29, 2025",26.99,26.99,26.99,26.99,254518
"Aug 28, 2025",27.18,27.18,27.18,27.18,141402
"Aug 27, 2025",27.12,27.12,27.12,27.12,288796
"Aug 26, 2025",27.6,27.6,27.6,27.6,205309
"Aug 25, 2025",27.74,27.74,27.74,27.74,633701
"Aug 22, 2025",27.0,27.0,27.0,27.0,268923
"Aug 21, 2025",27.01,27.01,27.01,27.01,483252
"Aug 20, 2025",27.76,27.76,27.76,27.76,740692
"Aug 19, 2025",28.33,28.33,28.33,28.33,1012470
"Aug 18, 2025",28.99,28.99,28.99,28.99,243273
"Aug 15, 2025",29.14,29.14,29.14,29.14,830856
"Aug 13, 2025",28.3,28.3,28.3,28.3,201094
"Aug 12, 2025",28.06,28.06,28.06,28.06,300847
"Aug 11, 2025",28.08,28.08,28.08,28.08,198287
"Aug 08, 2025",28.0,28.0,28.0,28.0,336897
"Aug 07, 2025",28.4,28.4,28.4,28.4,415396
"Aug 06, 2025",28.22,28.22,28.22,28.22,660753
"Aug 05, 2025",28.92,28.92,28.92,28.92,407773
"Aug 04, 2025",29.02,29.02,29.02,29.02,700382
"Aug 01, 2025",28.64,28.64,28.64,28.64,211630
"Jul 31, 2025",28.48,28.48,28.48,28.48,77982
"Jul 30, 2025",28.37,28.37,28.37,28.37,84778
"Jul 29, 2025",28.43,28.43,28.43,28.43,624947
"Jul 28, 2025",29.02,29.02,29.02,29.02,3835892
"Jul 25, 2025",28.86,28.86,28.86,28.86,166032
"Jul 24, 2025",28.83,28.83,28.83,28.83,216969
"Jul 23, 2025",28.76,28.76,28.76,28.76,427578
"Jul 22, 2025",29.48,29.48,29.48,29.48,375216
"Jul 21, 2025",29.74,29.74,29.74,29.74,164201
"Jul 18, 2025",29.97,29.97,29.97,29.97,553194
"Jul 17, 2025",30.68,30.68,30.68,30.68,2331357
"Jul 16, 2025",30.26,30.26,30.26,30.26,782770
"Jul 15, 2025",29.77,29.77,29.77,29.77,810292
"Jul 14, 2025",31.06,31.06,31.06,31.06,5061374
"Jul 11, 2025",30.31,30.31,30.31,30.31,1937009
"Jul 10, 2025",29.51,29.51,29.51,29.51,344397
"Jul 09, 2025",29.87,29.87,29.87,29.87,365876
"Jul 08, 2025",29.69,29.69,29.69,29.69,1942435
"Jul 07, 2025",29.61,29.61,29.61,29.61,675463
"Jul 04, 2025",29.21,29.21,29.21,29.21,421930
"Jul 03, 2025",29.38,29.38,29.38,29.38,487792
"Jul 02, 2025",29.88,29.88,29.88,29.88,2278389
"Jul 01, 2025",30.51,30.51,30.51,30.51,985912
