TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",49.52,49.52,49.52,49.52,59406
"Nov 14, 2025",50.18,50.18,50.18,50.18,297408
"Nov 13, 2025",48.53,48.53,48.53,48.53,99890
"Nov 12, 2025",48.36,48.36,48.36,48.36,167868
"Nov 11, 2025",50.07,50.07,50.07,50.07,120089
"Nov 10, 2025",52.45,52.45,52.45,52.45,124064
"Nov 07, 2025",52.98,52.98,52.98,52.98,218347
"Nov 06, 2025",54.9,54.9,54.9,54.9,1298815
"Nov 05, 2025",60.86,60.86,60.86,60.86,1740722
"Nov 04, 2025",57.53,57.53,57.53,57.53,1459044
"Nov 03, 2025",56.2,56.2,56.2,56.2,2742029
"Oct 31, 2025",51.33,51.33,51.33,51.33,2153275
"Oct 30, 2025",46.67,46.67,46.67,46.67,402416
"Oct 29, 2025",46.27,46.27,46.27,46.27,660580
"Oct 28, 2025",46.09,46.09,46.09,46.09,167334
"Oct 27, 2025",46.39,46.39,46.39,46.39,212174
"Oct 24, 2025",46.57,46.57,46.57,46.57,302693
"Oct 23, 2025",46.6,46.6,46.6,46.6,399483
"Oct 22, 2025",48.02,48.02,48.02,48.02,2097622
"Oct 21, 2025",44.82,44.82,44.82,44.82,993460
"Oct 20, 2025",44.95,44.95,44.95,44.95,1919293
"Oct 17, 2025",40.98,40.98,40.98,40.98,901339
"Oct 16, 2025",37.42,37.42,37.42,37.42,97207
"Oct 15, 2025",37.11,37.11,37.11,37.11,24206
"Oct 14, 2025",36.9,36.9,36.9,36.9,151165
"Oct 13, 2025",35.84,35.84,35.84,35.84,106414
"Oct 10, 2025",37.73,37.73,37.73,37.73,73695
"Oct 09, 2025",37.73,37.73,37.73,37.73,33064
"Oct 08, 2025",38.14,38.14,38.14,38.14,38855
"Oct 07, 2025",39.32,39.32,39.32,39.32,62649
"Oct 06, 2025",37.99,37.99,37.99,37.99,132162
"Oct 03, 2025",38.03,38.03,38.03,38.03,115308
"Oct 02, 2025",38.48,38.48,38.48,38.48,42019
"Oct 01, 2025",37.78,37.78,37.78,37.78,47301
"Sep 30, 2025",38.0,38.0,38.0,38.0,234846
"Sep 29, 2025",39.04,39.04,39.04,39.04,7167
"Sep 26, 2025",39.42,39.42,39.42,39.42,154695
"Sep 25, 2025",40.22,40.22,40.22,40.22,133275
"Sep 24, 2025",39.68,39.68,39.68,39.68,170369
"Sep 23, 2025",41.39,41.39,41.39,41.39,176287
"Sep 22, 2025",41.48,41.48,41.48,41.48,328999
"Sep 19, 2025",40.31,40.31,40.31,40.31,63158
"Sep 18, 2025",40.95,40.95,40.95,40.95,539164
"Sep 17, 2025",39.46,39.46,39.46,39.46,338212
"Sep 16, 2025",37.72,37.72,37.72,37.72,134017
"Sep 15, 2025",37.49,37.49,37.49,37.49,176370
"Sep 12, 2025",37.95,37.95,37.95,37.95,64347
"Sep 11, 2025",38.5,38.5,38.5,38.5,84101
"Sep 10, 2025",38.91,38.91,38.91,38.91,239913
"Sep 09, 2025",38.5,38.5,38.5,38.5,575696
"Sep 08, 2025",36.94,36.94,36.94,36.94,115067
"Sep 05, 2025",37.3,37.3,37.3,37.3,128932
"Sep 04, 2025",38.18,38.18,38.18,38.18,173786
"Sep 03, 2025",38.52,38.52,38.52,38.52,117400
"Sep 02, 2025",38.71,38.71,38.71,38.71,160432
"Sep 01, 2025",39.33,39.33,39.33,39.33,896942
"Aug 29, 2025",35.98,35.98,35.98,35.98,70825
"Aug 28, 2025",36.4,36.4,36.4,36.4,77169
"Aug 27, 2025",37.3,37.3,37.3,37.3,226478
"Aug 26, 2025",37.11,37.11,37.11,37.11,631714
"Aug 25, 2025",40.81,40.81,40.81,40.81,629230
"Aug 22, 2025",38.86,38.86,38.86,38.86,74566
"Aug 21, 2025",38.25,38.25,38.25,38.25,96413
"Aug 20, 2025",38.9,38.9,38.9,38.9,24399
"Aug 19, 2025",38.75,38.75,38.75,38.75,10148
"Aug 18, 2025",38.59,38.59,38.59,38.59,29153
"Aug 15, 2025",38.64,38.64,38.64,38.64,70120
"Aug 13, 2025",38.47,38.47,38.47,38.47,79084
"Aug 12, 2025",38.55,38.55,38.55,38.55,33344
"Aug 11, 2025",38.94,38.94,38.94,38.94,106824
"Aug 08, 2025",39.15,39.15,39.15,39.15,93142
"Aug 07, 2025",40.52,40.52,40.52,40.52,143311
"Aug 06, 2025",39.86,39.86,39.86,39.86,173764
"Aug 05, 2025",39.93,39.93,39.93,39.93,99366
"Aug 04, 2025",38.58,38.58,38.58,38.58,294723
"Aug 01, 2025",37.02,37.02,37.02,37.02,69680
"Jul 31, 2025",37.52,37.52,37.52,37.52,84311
"Jul 30, 2025",38.01,38.01,38.01,38.01,176178
"Jul 29, 2025",38.18,38.18,38.18,38.18,104140
"Jul 28, 2025",39.81,39.81,39.81,39.81,59101
"Jul 25, 2025",40.15,40.15,40.15,40.15,187477
"Jul 24, 2025",40.28,40.28,40.28,40.28,40057
"Jul 23, 2025",41.06,41.06,41.06,41.06,170866
"Jul 22, 2025",41.41,41.41,41.41,41.41,1160761
"Jul 21, 2025",43.11,43.11,43.11,43.11,1427293
"Jul 18, 2025",39.4,39.4,39.4,39.4,362200
"Jul 17, 2025",41.93,41.93,41.93,41.93,930722
"Jul 16, 2025",41.67,41.67,41.67,41.67,1546771
"Jul 15, 2025",39.6,39.6,39.6,39.6,1581369
"Jul 14, 2025",36.0,36.0,36.0,36.0,220095
"Jul 11, 2025",35.03,35.03,35.03,35.03,23540
"Jul 10, 2025",35.58,35.58,35.58,35.58,34648
"Jul 09, 2025",36.13,36.13,36.13,36.13,95058
"Jul 08, 2025",36.48,36.48,36.48,36.48,466959
"Jul 07, 2025",33.9,33.9,33.9,33.9,85748
"Jul 04, 2025",33.32,33.32,33.32,33.32,41906
"Jul 03, 2025",33.54,33.54,33.54,33.54,187830
"Jul 02, 2025",33.6,33.6,33.6,33.6,103359
"Jul 01, 2025",33.02,33.02,33.02,33.02,102611
"Jun 30, 2025",32.65,32.65,32.65,32.65,89051
"Jun 27, 2025",32.1,32.1,32.1,32.1,136420
"Jun 26, 2025",31.67,31.67,31.67,31.67,37995
"Jun 25, 2025",31.74,31.74,31.74,31.74,25156
"Jun 24, 2025",31.59,31.59,31.59,31.59,12945
"Jun 23, 2025",30.01,30.01,30.01,30.01,55321
"Jun 20, 2025",31.05,31.05,31.05,31.05,19824
"Jun 19, 2025",31.01,31.01,31.01,31.01,29898
"Jun 18, 2025",31.69,31.69,31.69,31.69,35353
"Jun 17, 2025",32.05,32.05,32.05,32.05,13896
"Jun 16, 2025",32.2,32.2,32.2,32.2,2931
"Jun 13, 2025",32.02,32.02,32.02,32.02,35363
"Jun 12, 2025",32.7,32.7,32.7,32.7,86928
"Jun 11, 2025",33.35,33.35,33.35,33.35,210464
"Jun 10, 2025",32.4,32.4,32.4,32.4,84057
"Jun 05, 2025",31.99,31.99,31.99,31.99,22900
"Jun 04, 2025",31.71,31.71,31.71,31.71,70804
"Jun 02, 2025",32.41,32.41,32.41,32.41,44039
"May 30, 2025",33.52,33.52,33.52,33.52,434980
"May 29, 2025",33.71,33.71,33.71,33.71,337241
"May 27, 2025",30.97,30.97,30.97,30.97,21992
"May 26, 2025",30.81,30.81,30.81,30.81,34457
"May 23, 2025",31.13,31.13,31.13,31.13,11023
"May 22, 2025",31.54,31.54,31.54,31.54,63303
"May 21, 2025",30.17,30.17,30.17,30.17,47596
"May 20, 2025",29.88,29.88,29.88,29.88,6106
"May 19, 2025",29.65,29.65,29.65,29.65,17951
"May 16, 2025",29.03,29.03,29.03,29.03,73694
"May 15, 2025",29.06,29.06,29.06,29.06,36044
"May 14, 2025",29.05,29.05,29.05,29.05,17232
"May 13, 2025",28.87,28.87,28.87,28.87,49501
"May 12, 2025",29.51,29.51,29.51,29.51,80086
"May 09, 2025",27.05,27.05,27.05,27.05,128281
"May 08, 2025",32.08,32.08,32.08,32.08,253425
"May 07, 2025",34.08,34.08,34.08,34.08,108943
"May 06, 2025",34.81,34.81,34.81,34.81,151154
"May 02, 2025",34.3,34.3,34.3,34.3,68585
"Apr 30, 2025",34.2,34.2,34.2,34.2,152457
"Apr 29, 2025",36.49,36.49,36.49,36.49,564608
"Apr 28, 2025",36.2,36.2,36.2,36.2,221506
"Apr 25, 2025",40.22,40.22,40.22,40.22,698314
"Apr 24, 2025",37.25,37.25,37.25,37.25,240253
"Apr 23, 2025",36.36,36.36,36.36,36.36,183384
"Apr 22, 2025",36.4,36.4,36.4,36.4,340705
"Apr 21, 2025",33.36,33.36,33.36,33.36,208830
"Apr 18, 2025",30.33,30.33,30.33,30.33,63321
"Apr 17, 2025",31.98,31.98,31.98,31.98,4551
"Apr 16, 2025",31.93,31.93,31.93,31.93,13082
"Apr 15, 2025",31.06,31.06,31.06,31.06,6549
"Apr 14, 2025",31.03,31.03,31.03,31.03,90286
"Apr 11, 2025",31.77,31.77,31.77,31.77,21121
"Apr 10, 2025",31.7,31.7,31.7,31.7,30085
"Apr 09, 2025",30.76,30.76,30.76,30.76,49855
"Apr 08, 2025",31.49,31.49,31.49,31.49,36535
"Apr 07, 2025",31.3,31.3,31.3,31.3,51038
"Apr 04, 2025",32.12,32.12,32.12,32.12,36838
"Apr 03, 2025",31.54,31.54,31.54,31.54,5812
"Mar 27, 2025",31.47,31.47,31.47,31.47,9844
"Mar 26, 2025",30.99,30.99,30.99,30.99,5019
"Mar 25, 2025",31.03,31.03,31.03,31.03,6835
"Mar 24, 2025",30.77,30.77,30.77,30.77,51612
"Mar 21, 2025",31.5,31.5,31.5,31.5,4406
"Mar 20, 2025",31.11,31.11,31.11,31.11,12642
"Mar 19, 2025",31.16,31.16,31.16,31.16,15700
"Mar 18, 2025",30.8,30.8,30.8,30.8,6372
"Mar 17, 2025",31.03,31.03,31.03,31.03,12153
"Mar 16, 2025",31.57,31.57,31.57,31.57,3084
"Mar 14, 2025",31.57,31.57,31.57,31.57,3084
"Mar 13, 2025",31.01,31.01,31.01,31.01,14291
"Mar 12, 2025",30.53,30.53,30.53,30.53,8629
