TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",221.55,221.55,221.55,221.55,1897227
"Nov 14, 2025",227.29,227.29,227.29,227.29,5885598
"Nov 13, 2025",228.18,228.18,228.18,228.18,11784663
"Nov 12, 2025",209.67,209.67,209.67,209.67,1439911
"Nov 11, 2025",211.98,211.98,211.98,211.98,1914170
"Nov 10, 2025",216.99,216.99,216.99,216.99,2005541
"Nov 07, 2025",214.18,214.18,214.18,214.18,1385228
"Nov 06, 2025",214.22,214.22,214.22,214.22,1028474
"Nov 05, 2025",214.86,214.86,214.86,214.86,2212199
"Nov 04, 2025",219.1,219.1,219.1,219.1,1406089
"Nov 03, 2025",219.1,219.1,219.1,219.1,1570454
"Oct 31, 2025",221.68,221.68,221.68,221.68,1623907
"Oct 30, 2025",216.42,216.42,216.42,216.42,3211047
"Oct 29, 2025",225.05,225.05,225.05,225.05,1446207
"Oct 28, 2025",232.19,232.19,232.19,232.19,641759
"Oct 27, 2025",234.88,234.88,234.88,234.88,742569
"Oct 24, 2025",234.28,234.28,234.28,234.28,608890
"Oct 23, 2025",236.07,236.07,236.07,236.07,1346775
"Oct 22, 2025",239.93,239.93,239.93,239.93,777799
"Oct 21, 2025",239.98,239.98,239.98,239.98,1542760
"Oct 20, 2025",240.49,240.49,240.49,240.49,2694618
"Oct 17, 2025",241.27,241.27,241.27,241.27,4310094
"Oct 16, 2025",244.17,244.17,244.17,244.17,1421176
"Oct 15, 2025",244.19,244.19,244.19,244.19,2205787
"Oct 14, 2025",249.75,249.75,249.75,249.75,2900061
"Oct 13, 2025",238.25,238.25,238.25,238.25,10104747
"Oct 10, 2025",245.82,245.82,245.82,245.82,3656287
"Oct 09, 2025",240.98,240.98,240.98,240.98,1296909
"Oct 08, 2025",243.44,243.44,243.44,243.44,1736907
"Oct 07, 2025",243.78,243.78,243.78,243.78,3480672
"Oct 06, 2025",251.6,251.6,251.6,251.6,2927932
"Oct 03, 2025",256.15,256.15,256.15,256.15,3205607
"Oct 02, 2025",257.38,257.38,257.38,257.38,3165812
"Oct 01, 2025",259.87,259.87,259.87,259.87,7089151
"Sep 30, 2025",265.41,265.41,265.41,265.41,14559255
"Sep 29, 2025",264.56,264.56,264.56,264.56,8014282
"Sep 26, 2025",271.4,271.4,271.4,271.4,17196273
"Sep 25, 2025",253.0,253.0,253.0,253.0,1741439
"Sep 24, 2025",254.3,254.3,254.3,254.3,4227154
"Sep 23, 2025",252.81,252.81,252.81,252.81,3781150
"Sep 22, 2025",248.17,248.17,248.17,248.17,3166548
"Sep 19, 2025",244.58,244.58,244.58,244.58,1667959
"Sep 18, 2025",246.07,246.07,246.07,246.07,4633615
"Sep 17, 2025",240.48,240.48,240.48,240.48,1922452
"Sep 16, 2025",242.15,242.15,242.15,242.15,4872143
"Sep 15, 2025",239.65,239.65,239.65,239.65,3046277
"Sep 12, 2025",231.97,231.97,231.97,231.97,3165903
"Sep 11, 2025",235.34,235.34,235.34,235.34,2066197
"Sep 10, 2025",239.7,239.7,239.7,239.7,2556313
"Sep 09, 2025",240.12,240.12,240.12,240.12,7190259
"Sep 08, 2025",237.67,237.67,237.67,237.67,10727141
"Sep 05, 2025",237.41,237.41,237.41,237.41,14974012
"Sep 04, 2025",215.83,215.83,215.83,215.83,7394926
"Sep 03, 2025",209.91,209.91,209.91,209.91,7326939
"Sep 02, 2025",205.84,205.84,205.84,205.84,3903638
"Sep 01, 2025",209.22,209.22,209.22,209.22,10329525
"Aug 29, 2025",207.47,207.47,207.47,207.47,16112994
"Aug 28, 2025",188.61,188.61,188.61,188.61,6110323
"Aug 27, 2025",185.41,185.41,185.41,185.41,1975580
"Aug 26, 2025",188.91,188.91,188.91,188.91,3057532
"Aug 25, 2025",186.45,186.45,186.45,186.45,2101745
"Aug 22, 2025",190.21,190.21,190.21,190.21,3017686
"Aug 21, 2025",188.97,188.97,188.97,188.97,4622000
"Aug 20, 2025",191.45,191.45,191.45,191.45,1739982
"Aug 19, 2025",190.6,190.6,190.6,190.6,6630503
"Aug 18, 2025",189.44,189.44,189.44,189.44,8147205
"Aug 15, 2025",184.28,184.28,184.28,184.28,1507843
"Aug 13, 2025",185.19,185.19,185.19,185.19,4642516
"Aug 12, 2025",185.12,185.12,185.12,185.12,5908266
"Aug 11, 2025",182.97,182.97,182.97,182.97,4082514
"Aug 08, 2025",178.87,178.87,178.87,178.87,1968428
"Aug 07, 2025",182.69,182.69,182.69,182.69,2154693
"Aug 06, 2025",184.02,184.02,184.02,184.02,4520315
"Aug 05, 2025",181.93,181.93,181.93,181.93,11908497
"Aug 04, 2025",180.32,180.32,180.32,180.32,17378018
"Aug 01, 2025",172.09,172.09,172.09,172.09,3020635
"Jul 31, 2025",168.21,168.21,168.21,168.21,2840061
"Jul 30, 2025",167.64,167.64,167.64,167.64,5353826
"Jul 29, 2025",172.01,172.01,172.01,172.01,3681473
"Jul 28, 2025",174.57,174.57,174.57,174.57,12307729
"Jul 25, 2025",172.37,172.37,172.37,172.37,3094747
"Jul 24, 2025",171.15,171.15,171.15,171.15,1656683
"Jul 23, 2025",172.08,172.08,172.08,172.08,3129868
"Jul 22, 2025",172.7,172.7,172.7,172.7,5685694
"Jul 21, 2025",171.22,171.22,171.22,171.22,696440
"Jul 18, 2025",171.8,171.8,171.8,171.8,2094370
"Jul 17, 2025",173.34,173.34,173.34,173.34,4049693
"Jul 16, 2025",171.93,171.93,171.93,171.93,2882140
"Jul 15, 2025",170.74,170.74,170.74,170.74,3285314
"Jul 14, 2025",170.56,170.56,170.56,170.56,2582765
"Jul 11, 2025",170.76,170.76,170.76,170.76,9470432
"Jul 10, 2025",168.81,168.81,168.81,168.81,1752507
"Jul 09, 2025",168.23,168.23,168.23,168.23,3497483
"Jul 08, 2025",168.19,168.19,168.19,168.19,6647475
"Jul 07, 2025",166.0,166.0,166.0,166.0,9231384
"Jul 04, 2025",162.52,162.52,162.52,162.52,2007289
"Jul 03, 2025",161.18,161.18,161.18,161.18,2237242
"Jul 02, 2025",161.23,161.23,161.23,161.23,5122099
"Jul 01, 2025",161.46,161.46,161.46,161.46,6539552
"Jun 30, 2025",165.56,165.56,165.56,165.56,1933502
"Jun 27, 2025",167.26,167.26,167.26,167.26,4621581
"Jun 26, 2025",164.09,164.09,164.09,164.09,2212132
"Jun 25, 2025",164.32,164.32,164.32,164.32,6527352
"Jun 24, 2025",157.47,157.47,157.47,157.47,9529454
"Jun 23, 2025",143.15,143.15,143.15,143.15,5712820
"Jun 20, 2025",154.89,154.89,154.89,154.89,2580363
"Jun 19, 2025",153.91,153.91,153.91,153.91,2118633
"Jun 18, 2025",156.41,156.41,156.41,156.41,3887362
"Jun 17, 2025",159.3,159.3,159.3,159.3,7241044
