TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",6.32,6.32,6.32,6.32,1214
"Nov 14, 2025",6.6,6.6,6.6,6.6,17
"Nov 13, 2025",6.6,6.6,6.6,6.6,1000
"Nov 12, 2025",6.6,6.6,6.6,6.6,522
"Nov 11, 2025",6.65,6.65,6.65,6.65,1756
"Nov 10, 2025",6.54,6.54,6.54,6.54,2126
"Nov 07, 2025",6.42,6.42,6.42,6.42,1560
"Nov 06, 2025",6.3,6.3,6.3,6.3,15
"Nov 05, 2025",6.3,6.3,6.3,6.3,4654
"Nov 04, 2025",6.7,6.7,6.7,6.7,2936
"Nov 03, 2025",6.63,6.63,6.63,6.63,1
"Oct 31, 2025",6.63,6.63,6.63,6.63,15965
"Oct 30, 2025",6.71,6.71,6.71,6.71,24
"Oct 28, 2025",6.71,6.71,6.71,6.71,3622
"Oct 27, 2025",6.7,6.7,6.7,6.7,2433
"Oct 24, 2025",6.18,6.18,6.18,6.18,3527
"Oct 23, 2025",6.66,6.66,6.66,6.66,701
"Oct 22, 2025",6.75,6.75,6.75,6.75,1000
"Oct 21, 2025",6.82,6.82,6.82,6.82,1500
"Oct 20, 2025",6.7,6.7,6.7,6.7,2800
"Oct 17, 2025",6.5,6.5,6.5,6.5,2006
"Oct 16, 2025",6.65,6.65,6.65,6.65,3584
"Oct 15, 2025",6.89,6.89,6.89,6.89,3529
"Oct 14, 2025",6.89,6.89,6.89,6.89,456
"Oct 13, 2025",6.89,6.89,6.89,6.89,1
"Oct 10, 2025",6.89,6.89,6.89,6.89,3750
"Oct 09, 2025",6.95,6.95,6.95,6.95,10
"Oct 08, 2025",6.95,6.95,6.95,6.95,6426
"Oct 07, 2025",6.83,6.83,6.83,6.83,5375
"Oct 06, 2025",7.14,7.14,7.14,7.14,501
"Oct 03, 2025",6.8,6.8,6.8,6.8,27120
"Oct 02, 2025",7.0,7.0,7.0,7.0,14649
"Oct 01, 2025",7.24,7.24,7.24,7.24,17747
"Sep 30, 2025",7.24,7.24,7.24,7.24,11076
"Sep 29, 2025",7.3,7.3,7.3,7.3,7660
"Sep 26, 2025",7.4,7.4,7.4,7.4,2411
"Sep 25, 2025",7.42,7.42,7.42,7.42,5138
"Sep 24, 2025",7.38,7.38,7.38,7.38,3550
"Sep 23, 2025",7.07,7.07,7.07,7.07,15301
"Sep 22, 2025",7.38,7.38,7.38,7.38,17976
"Sep 19, 2025",7.44,7.44,7.44,7.44,5910
"Sep 18, 2025",7.35,7.35,7.35,7.35,69094
"Sep 17, 2025",7.32,7.32,7.32,7.32,26363
"Sep 16, 2025",7.13,7.13,7.13,7.13,22642
"Sep 15, 2025",6.9,6.9,6.9,6.9,34992
"Sep 12, 2025",7.44,7.44,7.44,7.44,4555
"Sep 11, 2025",7.35,7.35,7.35,7.35,4650
"Sep 10, 2025",7.31,7.31,7.31,7.31,1900
"Sep 09, 2025",7.11,7.11,7.11,7.11,6855
"Sep 08, 2025",7.3,7.3,7.3,7.3,14853
"Sep 05, 2025",7.34,7.34,7.34,7.34,3508
