TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",125.0,125.0,125.0,125.0,1327
"Nov 14, 2025",125.98,125.98,125.98,125.98,205
"Nov 13, 2025",125.98,125.98,125.98,125.98,38
"Nov 12, 2025",125.98,125.98,125.98,125.98,26016
"Nov 11, 2025",125.72,125.72,125.72,125.72,72
"Nov 10, 2025",125.72,125.72,125.72,125.72,2052
"Nov 07, 2025",125.72,125.72,125.72,125.72,342
"Nov 06, 2025",121.55,121.55,121.55,121.55,719
"Nov 05, 2025",124.75,124.75,124.75,124.75,3393
"Nov 04, 2025",124.0,124.0,124.0,124.0,1656
"Nov 03, 2025",125.29,125.29,125.29,125.29,1013
"Oct 31, 2025",121.55,121.55,121.55,121.55,4323
"Oct 30, 2025",125.0,125.0,125.0,125.0,4387
"Oct 29, 2025",124.92,124.92,124.92,124.92,8607
"Oct 28, 2025",123.72,123.72,123.72,123.72,47
"Oct 27, 2025",123.72,123.72,123.72,123.72,88
"Oct 24, 2025",123.72,123.72,123.72,123.72,151
"Oct 23, 2025",123.72,123.72,123.72,123.72,1
"Oct 22, 2025",123.72,123.72,123.72,123.72,324
"Oct 21, 2025",122.44,122.44,122.44,122.44,1007
"Oct 20, 2025",122.76,122.76,122.76,122.76,18
"Oct 17, 2025",122.76,122.76,122.76,122.76,7737
"Oct 16, 2025",126.28,126.28,126.28,126.28,1525
"Oct 15, 2025",127.5,127.5,127.5,127.5,2823
"Oct 14, 2025",123.39,123.39,123.39,123.39,405
"Oct 13, 2025",122.58,122.58,122.58,122.58,1362
"Oct 10, 2025",121.61,121.61,121.61,121.61,144
"Oct 09, 2025",121.61,121.61,121.61,121.61,598
"Oct 08, 2025",122.86,122.86,122.86,122.86,7594
"Oct 07, 2025",122.5,122.5,122.5,122.5,207
"Oct 06, 2025",121.99,121.99,121.99,121.99,22319
"Oct 03, 2025",123.5,123.5,123.5,123.5,8951
"Oct 02, 2025",122.8,122.8,122.8,122.8,4219
"Oct 01, 2025",124.5,124.5,124.5,124.5,4140
"Sep 30, 2025",124.59,124.59,124.59,124.59,18506
"Sep 29, 2025",124.31,124.31,124.31,124.31,23532
"Sep 26, 2025",125.99,125.99,125.99,125.99,75850
"Sep 25, 2025",123.95,123.95,123.95,123.95,2784
"Sep 24, 2025",121.25,121.25,121.25,121.25,11204
"Sep 23, 2025",124.11,124.11,124.11,124.11,45997
"Sep 22, 2025",122.43,122.43,122.43,122.43,3040
"Sep 19, 2025",122.6,122.6,122.6,122.6,2686
"Sep 18, 2025",123.0,123.0,123.0,123.0,2219
"Sep 17, 2025",123.0,123.0,123.0,123.0,6293
"Sep 16, 2025",123.85,123.85,123.85,123.85,1287
"Sep 15, 2025",125.56,125.56,125.56,125.56,2309
"Sep 12, 2025",126.19,126.19,126.19,126.19,484
"Sep 11, 2025",123.86,123.86,123.86,123.86,7491
"Sep 10, 2025",124.0,124.0,124.0,124.0,2131
"Sep 09, 2025",124.0,124.0,124.0,124.0,2156
"Sep 08, 2025",124.51,124.51,124.51,124.51,10394
"Sep 05, 2025",128.87,128.87,128.87,128.87,3696
"Sep 04, 2025",125.67,125.67,125.67,125.67,1377
"Sep 03, 2025",129.67,129.67,129.67,129.67,2526
"Sep 02, 2025",129.99,129.99,129.99,129.99,15517
"Sep 01, 2025",127.42,127.42,127.42,127.42,967
"Aug 29, 2025",124.31,124.31,124.31,124.31,12379
"Aug 28, 2025",130.0,130.0,130.0,130.0,114
"Aug 27, 2025",130.0,130.0,130.0,130.0,15343
"Aug 26, 2025",129.77,129.77,129.77,129.77,1266
"Aug 25, 2025",128.24,128.24,128.24,128.24,638
"Aug 22, 2025",132.52,132.52,132.52,132.52,1913
"Aug 21, 2025",128.41,128.41,128.41,128.41,10001
"Aug 20, 2025",127.1,127.1,127.1,127.1,2933
"Aug 19, 2025",126.51,126.51,126.51,126.51,2456
"Aug 18, 2025",125.17,125.17,125.17,125.17,714
"Aug 15, 2025",127.09,127.09,127.09,127.09,470
"Aug 13, 2025",126.85,126.85,126.85,126.85,3099
"Aug 12, 2025",125.0,125.0,125.0,125.0,5879
"Aug 11, 2025",125.45,125.45,125.45,125.45,9606
"Aug 08, 2025",125.62,125.62,125.62,125.62,1971
"Aug 07, 2025",130.0,130.0,130.0,130.0,4933
"Aug 06, 2025",127.07,127.07,127.07,127.07,56890
"Aug 05, 2025",125.96,125.96,125.96,125.96,12763
"Aug 04, 2025",120.77,120.77,120.77,120.77,43887
"Aug 01, 2025",123.4,123.4,123.4,123.4,7665
"Jul 31, 2025",121.61,121.61,121.61,121.61,5124
"Jul 30, 2025",123.59,123.59,123.59,123.59,1571
"Jul 29, 2025",123.03,123.03,123.03,123.03,6915
"Jul 28, 2025",126.8,126.8,126.8,126.8,17670
"Jul 25, 2025",128.38,128.38,128.38,128.38,9339
"Jul 24, 2025",131.75,131.75,131.75,131.75,12875
"Jul 23, 2025",131.39,131.39,131.39,131.39,11081
"Jul 22, 2025",135.17,135.17,135.17,135.17,2959
"Jul 21, 2025",133.21,133.21,133.21,133.21,15134
"Jul 18, 2025",134.58,134.58,134.58,134.58,10253
"Jul 17, 2025",136.16,136.16,136.16,136.16,8754
"Jul 16, 2025",134.26,134.26,134.26,134.26,109705
"Jul 15, 2025",135.99,135.99,135.99,135.99,340143
"Jul 14, 2025",130.01,130.01,130.01,130.01,250118
"Jul 11, 2025",123.0,123.0,123.0,123.0,12839
"Jul 10, 2025",123.0,123.0,123.0,123.0,35314
"Jul 09, 2025",121.65,121.65,121.65,121.65,3305
"Jul 08, 2025",122.7,122.7,122.7,122.7,5394
"Jul 07, 2025",121.14,121.14,121.14,121.14,6098
"Jul 04, 2025",119.2,119.2,119.2,119.2,13218
"Jul 03, 2025",119.01,119.01,119.01,119.01,9017
"Jul 02, 2025",122.89,122.89,122.89,122.89,2381
"Jul 01, 2025",120.06,120.06,120.06,120.06,6911
"Jun 30, 2025",122.89,122.89,122.89,122.89,5034
