TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",155.63,155.63,155.63,155.63,1356
"Nov 14, 2025",154.98,154.98,154.98,154.98,118
"Nov 13, 2025",154.98,154.98,154.98,154.98,165
"Nov 12, 2025",154.7,154.7,154.7,154.7,247
"Nov 11, 2025",152.54,152.54,152.54,152.54,306
"Nov 10, 2025",153.5,153.5,153.5,153.5,103
"Nov 07, 2025",153.5,153.5,153.5,153.5,118
"Nov 06, 2025",153.5,153.5,153.5,153.5,1812
"Nov 05, 2025",152.0,152.0,152.0,152.0,1493
"Nov 04, 2025",151.89,151.89,151.89,151.89,6725
"Nov 03, 2025",151.73,151.73,151.73,151.73,32766
"Oct 31, 2025",154.31,154.31,154.31,154.31,1214
"Oct 30, 2025",151.43,151.43,151.43,151.43,10984
"Oct 29, 2025",155.0,155.0,155.0,155.0,1061
"Oct 28, 2025",155.04,155.04,155.04,155.04,9297
"Oct 27, 2025",158.66,158.66,158.66,158.66,3280
"Oct 24, 2025",152.2,152.2,152.2,152.2,1356
"Oct 23, 2025",155.02,155.02,155.02,155.02,25
"Oct 21, 2025",155.02,155.02,155.02,155.02,1005
"Oct 20, 2025",154.04,154.04,154.04,154.04,10
"Oct 17, 2025",154.04,154.04,154.04,154.04,3548
"Oct 16, 2025",155.0,155.0,155.0,155.0,3797
"Oct 15, 2025",156.0,156.0,156.0,156.0,7960
"Oct 14, 2025",155.52,155.52,155.52,155.52,39838
"Oct 13, 2025",152.19,152.19,152.19,152.19,2329
"Oct 10, 2025",155.99,155.99,155.99,155.99,2094
"Oct 09, 2025",155.0,155.0,155.0,155.0,5704
"Oct 08, 2025",156.36,156.36,156.36,156.36,25704
"Oct 07, 2025",158.25,158.25,158.25,158.25,110
"Oct 06, 2025",158.25,158.25,158.25,158.25,1004
"Oct 03, 2025",158.0,158.0,158.0,158.0,1793
"Oct 02, 2025",156.02,156.02,156.02,156.02,304
"Oct 01, 2025",157.47,157.47,157.47,157.47,432
"Sep 30, 2025",155.07,155.07,155.07,155.07,1515
"Sep 29, 2025",156.58,156.58,156.58,156.58,7865
"Sep 26, 2025",155.0,155.0,155.0,155.0,4590
"Sep 25, 2025",156.13,156.13,156.13,156.13,13883
"Sep 24, 2025",156.04,156.04,156.04,156.04,1233
"Sep 23, 2025",154.12,154.12,154.12,154.12,4217
"Sep 22, 2025",155.88,155.88,155.88,155.88,2507
"Sep 19, 2025",155.93,155.93,155.93,155.93,20786
"Sep 18, 2025",157.21,157.21,157.21,157.21,754
"Sep 17, 2025",157.63,157.63,157.63,157.63,6809
"Sep 16, 2025",159.23,159.23,159.23,159.23,10793
"Sep 15, 2025",155.35,155.35,155.35,155.35,3279
"Sep 12, 2025",156.12,156.12,156.12,156.12,1610
"Sep 11, 2025",156.92,156.92,156.92,156.92,28637
"Sep 10, 2025",158.03,158.03,158.03,158.03,5661
"Sep 09, 2025",161.0,161.0,161.0,161.0,16490
"Sep 08, 2025",157.0,157.0,157.0,157.0,7343
"Sep 05, 2025",157.51,157.51,157.51,157.51,1913
"Sep 04, 2025",159.78,159.78,159.78,159.78,1123
"Sep 03, 2025",160.0,160.0,160.0,160.0,2660
"Sep 02, 2025",158.02,158.02,158.02,158.02,1219
"Sep 01, 2025",159.92,159.92,159.92,159.92,8309
"Aug 29, 2025",159.97,159.97,159.97,159.97,3465
"Aug 28, 2025",157.63,157.63,157.63,157.63,417
"Aug 27, 2025",157.46,157.46,157.46,157.46,8776
"Aug 26, 2025",158.0,158.0,158.0,158.0,5493
"Aug 25, 2025",159.0,159.0,159.0,159.0,328
