TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",67.76,67.76,67.76,67.76,288696
"Nov 14, 2025",61.6,61.6,61.6,61.6,265899
"Nov 13, 2025",56.0,56.0,56.0,56.0,16748
"Nov 12, 2025",54.58,54.58,54.58,54.58,3215
"Nov 11, 2025",55.77,55.77,55.77,55.77,79321
"Nov 10, 2025",56.98,56.98,56.98,56.98,16977
"Nov 07, 2025",57.16,57.16,57.16,57.16,4976
"Nov 06, 2025",57.48,57.48,57.48,57.48,62513
"Nov 05, 2025",55.89,55.89,55.89,55.89,17390
"Nov 04, 2025",56.02,56.02,56.02,56.02,20975
"Nov 03, 2025",57.0,57.0,57.0,57.0,33999
"Oct 31, 2025",55.81,55.81,55.81,55.81,76625
"Oct 30, 2025",55.58,55.58,55.58,55.58,52610
"Oct 29, 2025",57.46,57.46,57.46,57.46,96772
"Oct 28, 2025",58.17,58.17,58.17,58.17,72291
"Oct 27, 2025",58.2,58.2,58.2,58.2,16041
"Oct 24, 2025",58.63,58.63,58.63,58.63,34814
"Oct 23, 2025",58.0,58.0,58.0,58.0,59730
"Oct 22, 2025",56.45,56.45,56.45,56.45,168912
"Oct 21, 2025",61.93,61.93,61.93,61.93,455657
"Oct 20, 2025",68.64,68.64,68.64,68.64,219352
"Oct 17, 2025",73.68,73.68,73.68,73.68,435658
"Oct 16, 2025",66.98,66.98,66.98,66.98,117838
"Oct 15, 2025",60.89,60.89,60.89,60.89,58986
"Oct 14, 2025",55.35,55.35,55.35,55.35,68657
"Oct 13, 2025",50.32,50.32,50.32,50.32,25363
"Oct 10, 2025",54.01,54.01,54.01,54.01,5830
"Oct 09, 2025",52.95,52.95,52.95,52.95,12788
"Oct 08, 2025",54.27,54.27,54.27,54.27,19017
"Oct 07, 2025",55.55,55.55,55.55,55.55,21900
"Oct 06, 2025",56.06,56.06,56.06,56.06,27869
"Oct 03, 2025",57.99,57.99,57.99,57.99,84130
"Oct 02, 2025",60.6,60.6,60.6,60.6,9247
"Oct 01, 2025",59.5,59.5,59.5,59.5,23331
"Sep 30, 2025",60.11,60.11,60.11,60.11,25982
"Sep 29, 2025",60.13,60.13,60.13,60.13,22319
"Sep 26, 2025",60.84,60.84,60.84,60.84,60354
"Sep 25, 2025",61.2,61.2,61.2,61.2,41519
"Sep 24, 2025",60.52,60.52,60.52,60.52,80172
"Sep 23, 2025",57.52,57.52,57.52,57.52,87700
"Sep 22, 2025",57.52,57.52,57.52,57.52,43227
"Sep 19, 2025",60.05,60.05,60.05,60.05,132574
"Sep 18, 2025",61.31,61.31,61.31,61.31,187219
"Sep 17, 2025",67.45,67.45,67.45,67.45,164788
"Sep 16, 2025",65.69,65.69,65.69,65.69,42040
"Sep 15, 2025",62.99,62.99,62.99,62.99,5926
