TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",29.43,29.43,29.43,29.43,9633768
"Nov 14, 2025",27.97,27.97,27.97,27.97,503957
"Nov 13, 2025",27.84,27.84,27.84,27.84,330873
"Nov 12, 2025",27.84,27.84,27.84,27.84,321665
"Nov 11, 2025",27.64,27.64,27.64,27.64,1151611
"Nov 10, 2025",28.29,28.29,28.29,28.29,515386
"Nov 07, 2025",28.1,28.1,28.1,28.1,375344
"Nov 06, 2025",28.09,28.09,28.09,28.09,712895
"Nov 05, 2025",27.92,27.92,27.92,27.92,602364
"Nov 04, 2025",28.4,28.4,28.4,28.4,1244162
"Nov 03, 2025",28.17,28.17,28.17,28.17,1127761
"Oct 31, 2025",27.47,27.47,27.47,27.47,679877
"Oct 30, 2025",27.3,27.3,27.3,27.3,834911
"Oct 29, 2025",27.81,27.81,27.81,27.81,840606
"Oct 28, 2025",28.08,28.08,28.08,28.08,1428159
"Oct 27, 2025",28.35,28.35,28.35,28.35,475889
"Oct 24, 2025",28.48,28.48,28.48,28.48,946462
"Oct 23, 2025",28.79,28.79,28.79,28.79,2989506
"Oct 22, 2025",29.75,29.75,29.75,29.75,1945155
"Oct 21, 2025",29.72,29.72,29.72,29.72,1445903
"Oct 20, 2025",30.2,30.2,30.2,30.2,829060
"Oct 17, 2025",29.99,29.99,29.99,29.99,715600
"Oct 16, 2025",30.01,30.01,30.01,30.01,776876
"Oct 15, 2025",30.13,30.13,30.13,30.13,1165373
"Oct 14, 2025",30.26,30.26,30.26,30.26,999471
"Oct 13, 2025",29.84,29.84,29.84,29.84,2709990
"Oct 10, 2025",30.15,30.15,30.15,30.15,1208086
"Oct 09, 2025",30.64,30.64,30.64,30.64,3352557
"Oct 08, 2025",30.48,30.48,30.48,30.48,2175813
"Oct 07, 2025",30.11,30.11,30.11,30.11,1174425
"Oct 06, 2025",30.25,30.25,30.25,30.25,1362448
"Oct 03, 2025",30.87,30.87,30.87,30.87,2426608
"Oct 02, 2025",31.24,31.24,31.24,31.24,3764346
"Oct 01, 2025",30.79,30.79,30.79,30.79,1426780
"Sep 30, 2025",30.74,30.74,30.74,30.74,3735728
