TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 05, 2025",52.08,52.08,52.08,52.08,22
"Nov 04, 2025",52.08,52.08,52.08,52.08,104
"Nov 03, 2025",52.08,52.08,52.08,52.08,26
"Oct 30, 2025",52.08,52.08,52.08,52.08,6
"Oct 24, 2025",52.08,52.08,52.08,52.08,20
"Oct 15, 2025",52.08,52.08,52.08,52.08,56
"Oct 03, 2025",52.08,52.08,52.08,52.08,8
"Sep 26, 2025",52.08,52.08,52.08,52.08,25
"Sep 24, 2025",52.08,52.08,52.08,52.08,2
"Sep 23, 2025",52.08,52.08,52.08,52.08,202
"Sep 22, 2025",52.08,52.08,52.08,52.08,1
"Sep 19, 2025",52.08,52.08,52.08,52.08,97
"Sep 17, 2025",52.08,52.08,52.08,52.08,10
"Sep 15, 2025",57.29,57.29,57.29,57.29,272
"Sep 11, 2025",57.29,57.29,57.29,57.29,42
"Sep 10, 2025",57.29,57.29,57.29,57.29,190
"Sep 09, 2025",57.29,57.29,57.29,57.29,143
"Aug 20, 2025",57.29,57.29,57.29,57.29,1
"Jul 30, 2025",57.29,57.29,57.29,57.29,151
"Jul 29, 2025",57.29,57.29,57.29,57.29,90
"Jul 28, 2025",57.29,57.29,57.29,57.29,206
"Jul 16, 2025",57.29,57.29,57.29,57.29,1
"Jun 10, 2025",57.29,57.29,57.29,57.29,100
"Jun 04, 2025",57.29,57.29,57.29,57.29,1
"Jun 02, 2025",57.29,57.29,57.29,57.29,1
"May 30, 2025",57.29,57.29,57.29,57.29,1
"May 27, 2025",57.29,57.29,57.29,57.29,13
"May 19, 2025",57.29,57.29,57.29,57.29,4
"May 16, 2025",57.29,57.29,57.29,57.29,108
"May 14, 2025",57.29,57.29,57.29,57.29,1
"Mar 26, 2025",57.29,57.29,57.29,57.29,285
"Mar 24, 2025",57.29,57.29,57.29,57.29,1
"Feb 25, 2025",57.29,57.29,57.29,57.29,46
"Feb 24, 2025",57.29,57.29,57.29,57.29,1
"Feb 23, 2025",57.29,57.29,57.29,57.29,1
"Feb 22, 2025",57.29,57.29,57.29,57.29,1
"Feb 21, 2025",57.29,57.29,57.29,57.29,1
"Feb 20, 2025",57.29,57.29,57.29,57.29,1
"Feb 19, 2025",57.29,57.29,57.29,57.29,1
"Feb 18, 2025",57.29,57.29,57.29,57.29,1
"Feb 17, 2025",57.29,57.29,57.29,57.29,1
"Feb 16, 2025",57.29,57.29,57.29,57.29,1
"Feb 15, 2025",57.29,57.29,57.29,57.29,1
"Feb 14, 2025",57.29,57.29,57.29,57.29,1
"Feb 13, 2025",57.29,57.29,57.29,57.29,1
"Feb 12, 2025",57.29,57.29,57.29,57.29,1
"Feb 11, 2025",57.29,57.29,57.29,57.29,1
"Feb 10, 2025",57.29,57.29,57.29,57.29,1
"Feb 09, 2025",57.29,57.29,57.29,57.29,1
"Feb 08, 2025",57.29,57.29,57.29,57.29,1
"Feb 07, 2025",57.29,57.29,57.29,57.29,1
"Feb 06, 2025",57.29,57.29,57.29,57.29,1
"Feb 05, 2025",57.29,57.29,57.29,57.29,1
"Feb 04, 2025",57.29,57.29,57.29,57.29,1
"Feb 03, 2025",57.29,57.29,57.29,57.29,1
"Feb 02, 2025",57.29,57.29,57.29,57.29,1
"Feb 01, 2025",57.29,57.29,57.29,57.29,1
"Jan 31, 2025",57.29,57.29,57.29,57.29,1
"Jan 30, 2025",57.29,57.29,57.29,57.29,1
"Jan 29, 2025",57.29,57.29,57.29,57.29,1
"Jan 28, 2025",57.29,57.29,57.29,57.29,1
"Jan 27, 2025",57.29,57.29,57.29,57.29,122
"Jan 26, 2025",57.29,57.29,57.29,57.29,122
"Jan 25, 2025",57.29,57.29,57.29,57.29,122
"Jan 24, 2025",57.29,57.29,57.29,57.29,122
"Jan 23, 2025",57.29,57.29,57.29,57.29,30
"Jan 22, 2025",57.29,57.29,57.29,57.29,30
"Jan 21, 2025",57.29,57.29,57.29,57.29,1
"Jan 20, 2025",57.29,57.29,57.29,57.29,1
"Jan 19, 2025",57.29,57.29,57.29,57.29,40
"Jan 18, 2025",57.29,57.29,57.29,57.29,40
"Jan 17, 2025",57.29,57.29,57.29,57.29,40
"Jan 16, 2025",57.29,57.29,57.29,57.29,215
"Jan 15, 2025",57.29,57.29,57.29,57.29,171
"Jan 14, 2025",57.29,57.29,57.29,57.29,171
"Jan 13, 2025",57.29,57.29,57.29,57.29,171
"Jan 12, 2025",57.29,57.29,57.29,57.29,171
"Jan 11, 2025",57.29,57.29,57.29,57.29,171
"Jan 10, 2025",57.29,57.29,57.29,57.29,171
"Jan 09, 2025",57.29,57.29,57.29,57.29,171
"Jan 08, 2025",57.29,57.29,57.29,57.29,171
"Jan 07, 2025",57.29,57.29,57.29,57.29,171
"Jan 06, 2025",57.29,57.29,57.29,57.29,171
"Jan 05, 2025",57.29,57.29,57.29,57.29,171
"Jan 04, 2025",57.29,57.29,57.29,57.29,171
"Jan 03, 2025",57.29,57.29,57.29,57.29,171
"Jan 02, 2025",57.29,57.29,57.29,57.29,171
"Jan 01, 2025",57.29,57.29,57.29,57.29,171
"Dec 31, 2024",57.29,57.29,57.29,57.29,230
"Dec 30, 2024",57.29,57.29,57.29,57.29,29
"Dec 29, 2024",57.29,57.29,57.29,57.29,29
"Dec 28, 2024",57.29,57.29,57.29,57.29,29
"Dec 27, 2024",57.29,57.29,57.29,57.29,29
"Dec 26, 2024",57.29,57.29,57.29,57.29,29
"Dec 25, 2024",57.29,57.29,57.29,57.29,39
"Dec 24, 2024",57.29,57.29,57.29,57.29,39
"Dec 23, 2024",57.29,57.29,57.29,57.29,39
"Dec 22, 2024",57.29,57.29,57.29,57.29,701
"Dec 21, 2024",57.29,57.29,57.29,57.29,701
"Dec 20, 2024",57.29,57.29,57.29,57.29,701
"Dec 19, 2024",57.29,57.29,57.29,57.29,701
"Dec 18, 2024",53.77,53.77,53.77,53.77,229
"Dec 17, 2024",52.01,52.01,52.01,52.01,634
"Dec 16, 2024",49.0,49.0,49.0,49.0,500
"Dec 15, 2024",47.0,47.0,47.0,47.0,29
"Dec 14, 2024",47.0,47.0,47.0,47.0,29
"Dec 13, 2024",47.0,47.0,47.0,47.0,29
"Dec 12, 2024",45.0,45.0,45.0,45.0,50
"Dec 11, 2024",45.0,45.0,45.0,45.0,337
"Dec 10, 2024",41.0,41.0,41.0,41.0,600
"Dec 09, 2024",41.0,41.0,41.0,41.0,600
"Dec 08, 2024",39.23,39.23,39.23,39.23,101
"Dec 07, 2024",39.23,39.23,39.23,39.23,101
"Dec 06, 2024",39.23,39.23,39.23,39.23,101
"Dec 05, 2024",39.23,39.23,39.23,39.23,807
"Dec 04, 2024",36.01,36.01,36.01,36.01,24
"Dec 03, 2024",36.01,36.01,36.01,36.01,4
"Dec 02, 2024",36.01,36.01,36.01,36.01,4
"Dec 01, 2024",35.54,35.54,35.54,35.54,2
"Nov 30, 2024",35.54,35.54,35.54,35.54,2
"Nov 29, 2024",35.54,35.54,35.54,35.54,2
"Nov 28, 2024",39.37,39.37,39.37,39.37,852
"Nov 27, 2024",39.37,39.37,39.37,39.37,852
"Nov 26, 2024",38.02,38.02,38.02,38.02,213
"Nov 25, 2024",38.02,38.02,38.02,38.02,1502
"Nov 24, 2024",37.71,37.71,37.71,37.71,22
"Nov 23, 2024",37.71,37.71,37.71,37.71,22
"Nov 22, 2024",37.71,37.71,37.71,37.71,22
"Nov 21, 2024",37.71,37.71,37.71,37.71,32
"Nov 20, 2024",37.71,37.71,37.71,37.71,10
"Nov 19, 2024",37.71,37.71,37.71,37.71,19
"Nov 18, 2024",37.71,37.71,37.71,37.71,3
"Nov 17, 2024",37.71,37.71,37.71,37.71,153
"Nov 16, 2024",37.71,37.71,37.71,37.71,153
"Nov 15, 2024",37.71,37.71,37.71,37.71,153
"Nov 14, 2024",37.71,37.71,37.71,37.71,10
"Nov 13, 2024",37.71,37.71,37.71,37.71,10
"Nov 12, 2024",37.71,37.71,37.71,37.71,3
"Nov 11, 2024",37.71,37.71,37.71,37.71,37
"Nov 10, 2024",37.71,37.71,37.71,37.71,37
"Nov 09, 2024",37.71,37.71,37.71,37.71,37
"Nov 08, 2024",37.71,37.71,37.71,37.71,37
"Nov 07, 2024",37.71,37.71,37.71,37.71,37
"Nov 06, 2024",37.71,37.71,37.71,37.71,2
"Nov 05, 2024",37.71,37.71,37.71,37.71,10
"Nov 04, 2024",37.71,37.71,37.71,37.71,6
"Nov 03, 2024",37.71,37.71,37.71,37.71,6
"Nov 02, 2024",37.71,37.71,37.71,37.71,6
"Nov 01, 2024",37.71,37.71,37.71,37.71,6
"Oct 31, 2024",37.71,37.71,37.71,37.71,136
"Oct 30, 2024",37.71,37.71,37.71,37.71,136
"Oct 29, 2024",37.71,37.71,37.71,37.71,136
"Oct 28, 2024",37.71,37.71,37.71,37.71,6
"Oct 27, 2024",37.71,37.71,37.71,37.71,79
"Oct 26, 2024",37.71,37.71,37.71,37.71,79
"Oct 25, 2024",37.71,37.71,37.71,37.71,79
"Oct 24, 2024",37.71,37.71,37.71,37.71,21
"Oct 23, 2024",37.71,37.71,37.71,37.71,30
"Oct 22, 2024",37.71,37.71,37.71,37.71,20
"Oct 21, 2024",37.71,37.71,37.71,37.71,10
"Oct 20, 2024",37.71,37.71,37.71,37.71,121
"Oct 19, 2024",37.71,37.71,37.71,37.71,121
"Oct 18, 2024",37.71,37.71,37.71,37.71,121
"Oct 17, 2024",37.71,37.71,37.71,37.71,61
"Oct 16, 2024",37.71,37.71,37.71,37.71,2
"Oct 15, 2024",37.71,37.71,37.71,37.71,2
"Oct 14, 2024",37.71,37.71,37.71,37.71,2
"Oct 13, 2024",37.71,37.71,37.71,37.71,11
"Oct 12, 2024",37.71,37.71,37.71,37.71,11
"Oct 11, 2024",37.71,37.71,37.71,37.71,11
"Oct 10, 2024",37.71,37.71,37.71,37.71,80
