TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",14.37,14.37,14.37,14.37,104100
"Nov 14, 2025",13.06,13.06,13.06,13.06,1424
"Nov 13, 2025",13.82,13.82,13.82,13.82,2309
"Nov 12, 2025",13.5,13.5,13.5,13.5,9758
"Nov 11, 2025",13.77,13.77,13.77,13.77,12991
"Nov 10, 2025",14.4,14.4,14.4,14.4,3664
"Nov 07, 2025",14.28,14.28,14.28,14.28,105
"Nov 06, 2025",14.28,14.28,14.28,14.28,6835
"Nov 05, 2025",14.03,14.03,14.03,14.03,1600
"Nov 04, 2025",13.77,13.77,13.77,13.77,36322
"Nov 03, 2025",14.16,14.16,14.16,14.16,26189
"Oct 31, 2025",15.17,15.17,15.17,15.17,4766
"Oct 30, 2025",14.42,14.42,14.42,14.42,1131
"Oct 29, 2025",14.17,14.17,14.17,14.17,8603
"Oct 28, 2025",15.0,15.0,15.0,15.0,6031
"Oct 27, 2025",16.36,16.36,16.36,16.36,56796
"Oct 24, 2025",17.87,17.87,17.87,17.87,217787
"Oct 23, 2025",19.86,19.86,19.86,19.86,37155
"Oct 22, 2025",18.05,18.05,18.05,18.05,33388
"Oct 21, 2025",16.41,16.41,16.41,16.41,55342
"Oct 20, 2025",14.92,14.92,14.92,14.92,52043
"Oct 17, 2025",16.13,16.13,16.13,16.13,17340
"Oct 16, 2025",15.33,15.33,15.33,15.33,121770
"Oct 15, 2025",13.99,13.99,13.99,13.99,15862
"Oct 14, 2025",13.85,13.85,13.85,13.85,1593
"Oct 13, 2025",13.8,13.8,13.8,13.8,16404
"Oct 10, 2025",14.54,14.54,14.54,14.54,99409
"Oct 08, 2025",13.24,13.24,13.24,13.24,554
"Oct 07, 2025",13.06,13.06,13.06,13.06,510
"Oct 06, 2025",13.06,13.06,13.06,13.06,195
"Oct 03, 2025",13.06,13.06,13.06,13.06,3564
"Oct 02, 2025",13.16,13.16,13.16,13.16,1319
"Oct 01, 2025",13.16,13.16,13.16,13.16,2697
"Sep 30, 2025",13.1,13.1,13.1,13.1,16227
"Sep 29, 2025",13.16,13.16,13.16,13.16,7
"Sep 26, 2025",13.16,13.16,13.16,13.16,930
"Sep 25, 2025",13.06,13.06,13.06,13.06,3606
"Sep 24, 2025",13.25,13.25,13.25,13.25,41
"Sep 23, 2025",13.25,13.25,13.25,13.25,3488
"Sep 22, 2025",13.49,13.49,13.49,13.49,2056
"Sep 19, 2025",13.3,13.3,13.3,13.3,28293
"Sep 18, 2025",13.54,13.54,13.54,13.54,2857
"Sep 17, 2025",13.18,13.18,13.18,13.18,19172
"Sep 16, 2025",13.65,13.65,13.65,13.65,726
"Sep 15, 2025",13.43,13.43,13.43,13.43,305
"Sep 12, 2025",13.43,13.43,13.43,13.43,70
"Sep 11, 2025",13.43,13.43,13.43,13.43,15769
"Sep 10, 2025",13.64,13.64,13.64,13.64,4590
"Sep 09, 2025",13.58,13.58,13.58,13.58,7520
"Sep 08, 2025",13.4,13.4,13.4,13.4,7002
"Sep 05, 2025",13.31,13.31,13.31,13.31,30788
"Sep 04, 2025",13.58,13.58,13.58,13.58,26599
"Sep 03, 2025",13.53,13.53,13.53,13.53,6650
"Sep 02, 2025",13.65,13.65,13.65,13.65,5075
"Sep 01, 2025",13.73,13.73,13.73,13.73,8032
"Aug 29, 2025",13.63,13.63,13.63,13.63,6380
"Aug 28, 2025",13.55,13.55,13.55,13.55,2196
"Aug 27, 2025",13.75,13.75,13.75,13.75,4740
"Aug 26, 2025",13.84,13.84,13.84,13.84,27513
"Aug 25, 2025",13.53,13.53,13.53,13.53,812
"Aug 22, 2025",13.54,13.54,13.54,13.54,563
"Aug 21, 2025",13.54,13.54,13.54,13.54,988
"Aug 20, 2025",13.48,13.48,13.48,13.48,5694
"Aug 19, 2025",13.66,13.66,13.66,13.66,24673
"Aug 18, 2025",13.29,13.29,13.29,13.29,2007
"Aug 15, 2025",13.21,13.21,13.21,13.21,9935
"Aug 13, 2025",13.4,13.4,13.4,13.4,24735
"Aug 12, 2025",13.28,13.28,13.28,13.28,17010
"Aug 11, 2025",13.81,13.81,13.81,13.81,11443
"Aug 08, 2025",13.6,13.6,13.6,13.6,11482
"Aug 07, 2025",14.02,14.02,14.02,14.02,9417
"Aug 06, 2025",14.44,14.44,14.44,14.44,14631
"Aug 05, 2025",14.23,14.23,14.23,14.23,75252
"Aug 04, 2025",15.65,15.65,15.65,15.65,86793
"Aug 01, 2025",14.4,14.4,14.4,14.4,16002
"Jul 31, 2025",14.1,14.1,14.1,14.1,32302
"Jul 30, 2025",14.89,14.89,14.89,14.89,50935
"Jul 29, 2025",16.54,16.54,16.54,16.54,191714
"Jul 28, 2025",18.37,18.37,18.37,18.37,166889
"Jul 25, 2025",20.41,20.41,20.41,20.41,94739
"Jul 24, 2025",22.68,22.68,22.68,22.68,86512
"Jul 23, 2025",24.2,24.2,24.2,24.2,69471
"Jul 22, 2025",22.0,22.0,22.0,22.0,23664
"Jul 21, 2025",20.0,20.0,20.0,20.0,18850
"Jul 18, 2025",21.04,21.04,21.04,21.04,47191
"Jul 17, 2025",22.14,22.14,22.14,22.14,59885
"Jul 16, 2025",20.13,20.13,20.13,20.13,85586
"Jul 15, 2025",18.35,18.35,18.35,18.35,5210
"Jul 14, 2025",19.53,19.53,19.53,19.53,117777
"Jul 11, 2025",17.75,17.75,17.75,17.75,139826
"Jul 10, 2025",16.14,16.14,16.14,16.14,120712
"Jul 09, 2025",17.92,17.92,17.92,17.92,154382
"Jul 08, 2025",19.86,19.86,19.86,19.86,53073
"Jul 07, 2025",18.05,18.05,18.05,18.05,46503
"Jul 04, 2025",16.41,16.41,16.41,16.41,76674
"Jul 03, 2025",14.92,14.92,14.92,14.92,4787
"Jul 02, 2025",13.56,13.56,13.56,13.56,5117
