TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",24.41,24.41,24.41,24.41,31578
"Nov 14, 2025",25.8,25.8,25.8,25.8,7522
"Nov 13, 2025",25.72,25.72,25.72,25.72,5485
"Nov 12, 2025",25.24,25.24,25.24,25.24,9374
"Nov 11, 2025",25.72,25.72,25.72,25.72,26064
"Nov 10, 2025",28.22,28.22,28.22,28.22,29816
"Nov 07, 2025",27.85,27.85,27.85,27.85,15559
"Nov 06, 2025",27.95,27.95,27.95,27.95,27099
"Nov 05, 2025",27.85,27.85,27.85,27.85,133559
"Nov 04, 2025",30.52,30.52,30.52,30.52,296905
"Nov 03, 2025",33.38,33.38,33.38,33.38,18494
"Oct 31, 2025",37.09,37.09,37.09,37.09,23223
"Oct 30, 2025",41.21,41.21,41.21,41.21,15044
"Oct 29, 2025",45.79,45.79,45.79,45.79,6849
"Oct 28, 2025",50.88,50.88,50.88,50.88,35862
"Oct 27, 2025",56.53,56.53,56.53,56.53,109699
"Oct 24, 2025",51.54,51.54,51.54,51.54,39895
"Oct 23, 2025",46.85,46.85,46.85,46.85,23247
"Oct 22, 2025",52.06,52.06,52.06,52.06,15659
"Oct 21, 2025",47.33,47.33,47.33,47.33,24024
"Oct 20, 2025",43.03,43.03,43.03,43.03,4287
"Oct 17, 2025",39.12,39.12,39.12,39.12,28027
"Oct 16, 2025",35.56,35.56,35.56,35.56,252
"Oct 15, 2025",35.56,35.56,35.56,35.56,2633
"Oct 14, 2025",36.67,36.67,36.67,36.67,26462
"Oct 13, 2025",33.34,33.34,33.34,33.34,4788
"Oct 10, 2025",34.09,34.09,34.09,34.09,6010
"Oct 09, 2025",36.2,36.2,36.2,36.2,76681
"Oct 08, 2025",38.45,38.45,38.45,38.45,49132
"Oct 07, 2025",34.95,34.95,34.95,34.95,18356
"Oct 06, 2025",31.77,31.77,31.77,31.77,26753
"Oct 03, 2025",28.88,28.88,28.88,28.88,17088
"Oct 02, 2025",26.26,26.26,26.26,26.26,4013
"Oct 01, 2025",28.56,28.56,28.56,28.56,8138
"Sep 30, 2025",29.05,29.05,29.05,29.05,6827
"Sep 29, 2025",27.49,27.49,27.49,27.49,2727
"Sep 26, 2025",28.94,28.94,28.94,28.94,1725
"Sep 25, 2025",27.52,27.52,27.52,27.52,13421
"Sep 24, 2025",27.73,27.73,27.73,27.73,10279
"Sep 23, 2025",29.15,29.15,29.15,29.15,8280
"Sep 22, 2025",31.15,31.15,31.15,31.15,36628
"Sep 19, 2025",34.32,34.32,34.32,34.32,23626
"Sep 18, 2025",37.55,37.55,37.55,37.55,118688
"Sep 17, 2025",38.12,38.12,38.12,38.12,28726
"Sep 16, 2025",34.65,34.65,34.65,34.65,106638
"Sep 15, 2025",31.5,31.5,31.5,31.5,73568
"Sep 12, 2025",28.64,28.64,28.64,28.64,69626
"Sep 11, 2025",26.04,26.04,26.04,26.04,58345
"Sep 10, 2025",23.67,23.67,23.67,23.67,10536
"Sep 09, 2025",21.52,21.52,21.52,21.52,3796
"Sep 08, 2025",22.14,22.14,22.14,22.14,3465
"Sep 05, 2025",23.3,23.3,23.3,23.3,449
"Sep 04, 2025",23.3,23.3,23.3,23.3,3312
"Sep 02, 2025",24.38,24.38,24.38,24.38,485
"Aug 29, 2025",24.38,24.38,24.38,24.38,267
"Aug 28, 2025",24.38,24.38,24.38,24.38,681
"Aug 26, 2025",23.31,23.31,23.31,23.31,524
"Aug 25, 2025",23.31,23.31,23.31,23.31,7931
"Aug 22, 2025",24.45,24.45,24.45,24.45,2
"Aug 21, 2025",24.45,24.45,24.45,24.45,1718
"Aug 20, 2025",24.99,24.99,24.99,24.99,1881
"Aug 19, 2025",23.56,23.56,23.56,23.56,4892
"Aug 18, 2025",24.0,24.0,24.0,24.0,20528
"Aug 15, 2025",25.02,25.02,25.02,25.02,6867
"Aug 13, 2025",26.0,26.0,26.0,26.0,21250
"Aug 12, 2025",26.68,26.68,26.68,26.68,18833
"Aug 11, 2025",28.0,28.0,28.0,28.0,9975
"Aug 08, 2025",28.69,28.69,28.69,28.69,22334
"Aug 07, 2025",29.39,29.39,29.39,29.39,10281
"Aug 06, 2025",27.21,27.21,27.21,27.21,17415
"Aug 05, 2025",28.14,28.14,28.14,28.14,15543
"Aug 04, 2025",29.46,29.46,29.46,29.46,4229
"Aug 01, 2025",31.0,31.0,31.0,31.0,19653
"Jul 31, 2025",31.59,31.59,31.59,31.59,5936
"Jul 30, 2025",34.08,34.08,34.08,34.08,555
"Jul 29, 2025",36.97,36.97,36.97,36.97,3605
"Jul 28, 2025",36.19,36.19,36.19,36.19,8470
"Jul 25, 2025",34.13,34.13,34.13,34.13,7413
"Jul 24, 2025",37.69,37.69,37.69,37.69,6467
"Jul 23, 2025",35.96,35.96,35.96,35.96,10131
"Jul 22, 2025",38.0,38.0,38.0,38.0,1705
"Jul 21, 2025",38.0,38.0,38.0,38.0,27275
"Jul 18, 2025",37.5,37.5,37.5,37.5,9428
"Jul 17, 2025",37.85,37.85,37.85,37.85,1028
