TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",35.04,35.04,35.04,35.04,153181
"Nov 14, 2025",35.92,35.92,35.92,35.92,11128
"Nov 13, 2025",35.06,35.06,35.06,35.06,40549
"Nov 12, 2025",36.77,36.77,36.77,36.77,85967
"Nov 11, 2025",34.0,34.0,34.0,34.0,11402
"Nov 10, 2025",34.51,34.51,34.51,34.51,10079
"Nov 07, 2025",33.98,33.98,33.98,33.98,126406
"Nov 06, 2025",34.18,34.18,34.18,34.18,251615
"Nov 05, 2025",34.01,34.01,34.01,34.01,35167
"Nov 04, 2025",33.59,33.59,33.59,33.59,5583
"Nov 03, 2025",34.01,34.01,34.01,34.01,24582
"Oct 31, 2025",34.0,34.0,34.0,34.0,18105
"Oct 30, 2025",33.84,33.84,33.84,33.84,64373
"Oct 29, 2025",34.0,34.0,34.0,34.0,151663
"Oct 28, 2025",33.03,33.03,33.03,33.03,11425
"Oct 27, 2025",34.2,34.2,34.2,34.2,41189
"Oct 24, 2025",33.53,33.53,33.53,33.53,21655
"Oct 23, 2025",33.74,33.74,33.74,33.74,17916
"Oct 22, 2025",35.16,35.16,35.16,35.16,30836
"Oct 21, 2025",35.07,35.07,35.07,35.07,55957
"Oct 20, 2025",34.0,34.0,34.0,34.0,53474
"Oct 17, 2025",33.28,33.28,33.28,33.28,24173
"Oct 16, 2025",33.16,33.16,33.16,33.16,11832
"Oct 15, 2025",33.5,33.5,33.5,33.5,21567
"Oct 14, 2025",33.51,33.51,33.51,33.51,11000
"Oct 13, 2025",33.04,33.04,33.04,33.04,115241
"Oct 10, 2025",32.91,32.91,32.91,32.91,96732
"Oct 09, 2025",33.08,33.08,33.08,33.08,23909
"Oct 08, 2025",32.75,32.75,32.75,32.75,34410
"Oct 07, 2025",32.93,32.93,32.93,32.93,103230
"Oct 06, 2025",34.01,34.01,34.01,34.01,119976
"Oct 03, 2025",35.13,35.13,35.13,35.13,79438
"Oct 02, 2025",33.45,33.45,33.45,33.45,48822
"Oct 01, 2025",33.74,33.74,33.74,33.74,204472
"Sep 30, 2025",35.0,35.0,35.0,35.0,1177300
"Sep 29, 2025",39.06,39.06,39.06,39.06,195352
"Sep 26, 2025",37.84,37.84,37.84,37.84,242943
"Sep 25, 2025",37.63,37.63,37.63,37.63,150967
"Sep 24, 2025",38.44,38.44,38.44,38.44,44922
"Sep 23, 2025",37.92,37.92,37.92,37.92,49502
"Sep 22, 2025",37.86,37.86,37.86,37.86,27743
"Sep 19, 2025",37.55,37.55,37.55,37.55,115819
"Sep 18, 2025",37.9,37.9,37.9,37.9,128689
"Sep 17, 2025",36.78,36.78,36.78,36.78,316129
"Sep 16, 2025",33.67,33.67,33.67,33.67,15229
"Sep 15, 2025",33.11,33.11,33.11,33.11,112585
"Sep 12, 2025",34.68,34.68,34.68,34.68,10728
"Sep 11, 2025",34.93,34.93,34.93,34.93,36863
"Sep 10, 2025",34.64,34.64,34.64,34.64,14901
"Sep 09, 2025",34.24,34.24,34.24,34.24,22828
"Sep 08, 2025",33.76,33.76,33.76,33.76,68738
"Sep 05, 2025",33.77,33.77,33.77,33.77,45380
"Sep 04, 2025",32.36,32.36,32.36,32.36,20130
"Sep 03, 2025",31.67,31.67,31.67,31.67,34183
"Sep 02, 2025",32.0,32.0,32.0,32.0,32995
"Sep 01, 2025",31.5,31.5,31.5,31.5,30660
"Aug 29, 2025",31.03,31.03,31.03,31.03,44690
