TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",795.37,795.37,795.37,795.37,182170
"Nov 14, 2025",794.1,794.1,794.1,794.1,139830
"Nov 13, 2025",797.83,797.83,797.83,797.83,174054
"Nov 12, 2025",779.39,779.39,779.39,779.39,123549
"Nov 11, 2025",779.09,779.09,779.09,779.09,427065
"Nov 10, 2025",803.1,803.1,803.1,803.1,179442
"Nov 07, 2025",792.55,792.55,792.55,792.55,131617
"Nov 06, 2025",795.73,795.73,795.73,795.73,146744
"Nov 05, 2025",802.96,802.96,802.96,802.96,152414
"Nov 04, 2025",812.95,812.95,812.95,812.95,106500
"Nov 03, 2025",820.16,820.16,820.16,820.16,157312
"Oct 31, 2025",816.45,816.45,816.45,816.45,390966
"Oct 30, 2025",804.42,804.42,804.42,804.42,442082
"Oct 29, 2025",800.19,800.19,800.19,800.19,884725
"Oct 28, 2025",822.5,822.5,822.5,822.5,245543
"Oct 27, 2025",860.78,860.78,860.78,860.78,209549
"Oct 24, 2025",866.21,866.21,866.21,866.21,189348
"Oct 23, 2025",884.34,884.34,884.34,884.34,511750
"Oct 22, 2025",872.88,872.88,872.88,872.88,639280
"Oct 21, 2025",881.82,881.82,881.82,881.82,238728
"Oct 20, 2025",861.13,861.13,861.13,861.13,68105
"Oct 17, 2025",856.36,856.36,856.36,856.36,183338
"Oct 16, 2025",869.68,869.68,869.68,869.68,92481
"Oct 15, 2025",875.58,875.58,875.58,875.58,483427
"Oct 14, 2025",891.57,891.57,891.57,891.57,605982
"Oct 13, 2025",867.55,867.55,867.55,867.55,630123
"Oct 10, 2025",867.27,867.27,867.27,867.27,274745
"Oct 09, 2025",875.42,875.42,875.42,875.42,789593
"Oct 08, 2025",887.09,887.09,887.09,887.09,1203672
"Oct 07, 2025",854.47,854.47,854.47,854.47,471718
"Oct 06, 2025",847.48,847.48,847.48,847.48,436686
"Oct 03, 2025",844.1,844.1,844.1,844.1,722719
"Oct 02, 2025",820.55,820.55,820.55,820.55,388667
"Oct 01, 2025",818.36,818.36,818.36,818.36,711533
"Sep 30, 2025",829.89,829.89,829.89,829.89,330125
"Sep 29, 2025",832.52,832.52,832.52,832.52,1567900
"Sep 26, 2025",841.59,841.59,841.59,841.59,661060
"Sep 25, 2025",863.92,863.92,863.92,863.92,362295
"Sep 24, 2025",873.03,873.03,873.03,873.03,151960
"Sep 23, 2025",874.4,874.4,874.4,874.4,678224
"Sep 22, 2025",893.89,893.89,893.89,893.89,936231
"Sep 19, 2025",854.36,854.36,854.36,854.36,402191
"Sep 18, 2025",845.51,845.51,845.51,845.51,535740
"Sep 17, 2025",837.15,837.15,837.15,837.15,514183
"Sep 16, 2025",824.35,824.35,824.35,824.35,175287
"Sep 15, 2025",820.25,820.25,820.25,820.25,203946
"Sep 12, 2025",820.35,820.35,820.35,820.35,983697
"Sep 11, 2025",801.51,801.51,801.51,801.51,565961
"Sep 10, 2025",804.1,804.1,804.1,804.1,453957
"Sep 09, 2025",802.91,802.91,802.91,802.91,475815
"Sep 08, 2025",807.5,807.5,807.5,807.5,644884
"Sep 05, 2025",822.18,822.18,822.18,822.18,1050599
"Sep 04, 2025",822.85,822.85,822.85,822.85,358285
"Sep 03, 2025",835.14,835.14,835.14,835.14,264915
"Sep 02, 2025",840.84,840.84,840.84,840.84,240734
"Sep 01, 2025",848.65,848.65,848.65,848.65,710015
"Aug 29, 2025",815.4,815.4,815.4,815.4,321288
"Aug 28, 2025",829.01,829.01,829.01,829.01,667003
"Aug 27, 2025",810.28,810.28,810.28,810.28,64082
"Aug 26, 2025",807.49,807.49,807.49,807.49,146859
"Aug 25, 2025",812.6,812.6,812.6,812.6,89189
"Aug 22, 2025",812.12,812.12,812.12,812.12,79281
"Aug 21, 2025",813.05,813.05,813.05,813.05,189860
"Aug 20, 2025",816.87,816.87,816.87,816.87,246019
"Aug 19, 2025",815.5,815.5,815.5,815.5,446192
"Aug 18, 2025",829.96,829.96,829.96,829.96,848136
"Aug 15, 2025",815.87,815.87,815.87,815.87,985946
"Aug 13, 2025",793.48,793.48,793.48,793.48,913559
"Aug 12, 2025",779.7,779.7,779.7,779.7,286274
"Aug 11, 2025",788.23,788.23,788.23,788.23,262049
"Aug 08, 2025",787.05,787.05,787.05,787.05,416198
"Aug 07, 2025",796.59,796.59,796.59,796.59,588914
"Aug 06, 2025",817.71,817.71,817.71,817.71,1271641
"Aug 05, 2025",784.66,784.66,784.66,784.66,385586
"Aug 04, 2025",793.98,793.98,793.98,793.98,430062
"Aug 01, 2025",803.55,803.55,803.55,803.55,188080
"Jul 31, 2025",811.16,811.16,811.16,811.16,142633
"Jul 30, 2025",806.27,806.27,806.27,806.27,680172
"Jul 29, 2025",824.12,824.12,824.12,824.12,1406868
"Jul 28, 2025",844.74,844.74,844.74,844.74,961880
"Jul 25, 2025",818.12,818.12,818.12,818.12,623722
"Jul 24, 2025",803.61,803.61,803.61,803.61,1634409
"Jul 23, 2025",804.24,804.24,804.24,804.24,2377081
"Jul 22, 2025",765.22,765.22,765.22,765.22,409492
"Jul 21, 2025",764.22,764.22,764.22,764.22,428105
"Jul 18, 2025",756.69,756.69,756.69,756.69,256217
"Jul 17, 2025",770.06,770.06,770.06,770.06,535443
"Jul 16, 2025",763.11,763.11,763.11,763.11,470893
"Jul 15, 2025",756.53,756.53,756.53,756.53,866517
"Jul 14, 2025",787.77,787.77,787.77,787.77,939155
"Jul 11, 2025",790.18,790.18,790.18,790.18,2244783
"Jul 10, 2025",791.91,791.91,791.91,791.91,2450250
"Jul 09, 2025",737.08,737.08,737.08,737.08,389670
"Jul 08, 2025",740.17,740.17,740.17,740.17,1069236
"Jul 07, 2025",722.09,722.09,722.09,722.09,483305
"Jul 04, 2025",738.08,738.08,738.08,738.08,1636995
"Jul 03, 2025",699.67,699.67,699.67,699.67,733228
"Jul 02, 2025",697.17,697.17,697.17,697.17,952871
"Jul 01, 2025",664.73,664.73,664.73,664.73,375348
"Jun 30, 2025",650.43,650.43,650.43,650.43,85839
"Jun 27, 2025",651.8,651.8,651.8,651.8,549669
"Jun 26, 2025",649.95,649.95,649.95,649.95,172249
"Jun 25, 2025",657.04,657.04,657.04,657.04,315550
"Jun 24, 2025",646.51,646.51,646.51,646.51,649525
"Jun 23, 2025",588.14,588.14,588.14,588.14,295587
