TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",390.14,390.14,390.14,390.14,111563
"Nov 14, 2025",393.75,393.75,393.75,393.75,95209
"Nov 13, 2025",394.01,394.01,394.01,394.01,64401
"Nov 12, 2025",394.6,394.6,394.6,394.6,26709
"Nov 11, 2025",395.24,395.24,395.24,395.24,95991
"Nov 10, 2025",402.63,402.63,402.63,402.63,265155
"Nov 07, 2025",398.38,398.38,398.38,398.38,227011
"Nov 06, 2025",388.65,388.65,388.65,388.65,78051
"Nov 05, 2025",390.83,390.83,390.83,390.83,97473
"Nov 04, 2025",396.2,396.2,396.2,396.2,62272
"Nov 03, 2025",400.31,400.31,400.31,400.31,75054
"Oct 31, 2025",398.72,398.72,398.72,398.72,86499
"Oct 30, 2025",393.97,393.97,393.97,393.97,97708
"Oct 29, 2025",396.95,396.95,396.95,396.95,204535
"Oct 28, 2025",396.95,396.95,396.95,396.95,142610
"Oct 27, 2025",399.7,399.7,399.7,399.7,377502
"Oct 24, 2025",398.73,398.73,398.73,398.73,588417
"Oct 23, 2025",417.92,417.92,417.92,417.92,184347
"Oct 22, 2025",419.3,419.3,419.3,419.3,71241
"Oct 21, 2025",419.31,419.31,419.31,419.31,129981
"Oct 20, 2025",423.74,423.74,423.74,423.74,137866
"Oct 17, 2025",428.32,428.32,428.32,428.32,103061
"Oct 16, 2025",430.11,430.11,430.11,430.11,234459
"Oct 15, 2025",421.47,421.47,421.47,421.47,128231
"Oct 14, 2025",423.58,423.58,423.58,423.58,358758
"Oct 13, 2025",411.98,411.98,411.98,411.98,268442
"Oct 10, 2025",429.99,429.99,429.99,429.99,260421
"Oct 09, 2025",430.02,430.02,430.02,430.02,70791
"Oct 08, 2025",433.15,433.15,433.15,433.15,181988
"Oct 07, 2025",439.58,439.58,439.58,439.58,206965
"Oct 06, 2025",438.53,438.53,438.53,438.53,239214
"Oct 03, 2025",443.46,443.46,443.46,443.46,169018
"Oct 02, 2025",448.9,448.9,448.9,448.9,130729
"Oct 01, 2025",449.49,449.49,449.49,449.49,225893
"Sep 30, 2025",446.49,446.49,446.49,446.49,183500
"Sep 29, 2025",451.8,451.8,451.8,451.8,314688
"Sep 26, 2025",451.19,451.19,451.19,451.19,341103
"Sep 25, 2025",449.77,449.77,449.77,449.77,403220
"Sep 24, 2025",445.8,445.8,445.8,445.8,292405
"Sep 23, 2025",451.08,451.08,451.08,451.08,2297508
"Sep 22, 2025",449.3,449.3,449.3,449.3,2668922
"Sep 19, 2025",415.97,415.97,415.97,415.97,124332
"Sep 18, 2025",415.54,415.54,415.54,415.54,200914
"Sep 17, 2025",411.91,411.91,411.91,411.91,167030
"Sep 16, 2025",412.36,412.36,412.36,412.36,117021
"Sep 15, 2025",411.58,411.58,411.58,411.58,82352
"Sep 12, 2025",413.29,413.29,413.29,413.29,707575
"Sep 11, 2025",408.42,408.42,408.42,408.42,693466
"Sep 10, 2025",404.87,404.87,404.87,404.87,402246
"Sep 09, 2025",406.13,406.13,406.13,406.13,423376
"Sep 08, 2025",406.04,406.04,406.04,406.04,358408
"Sep 05, 2025",407.79,407.79,407.79,407.79,160260
"Sep 04, 2025",414.81,414.81,414.81,414.81,392922
"Sep 03, 2025",414.76,414.76,414.76,414.76,575001
"Sep 02, 2025",406.82,406.82,406.82,406.82,226181
"Sep 01, 2025",407.74,407.74,407.74,407.74,236023
"Aug 29, 2025",409.4,409.4,409.4,409.4,572188
"Aug 28, 2025",403.03,403.03,403.03,403.03,675528
"Aug 27, 2025",397.7,397.7,397.7,397.7,517244
"Aug 26, 2025",405.59,405.59,405.59,405.59,2411687
"Aug 25, 2025",420.08,420.08,420.08,420.08,401048
"Aug 22, 2025",423.8,423.8,423.8,423.8,676321
"Aug 21, 2025",425.21,425.21,425.21,425.21,502478
"Aug 20, 2025",429.28,429.28,429.28,429.28,669570
"Aug 19, 2025",429.54,429.54,429.54,429.54,484889
"Aug 18, 2025",431.27,431.27,431.27,431.27,1122071
"Aug 15, 2025",422.08,422.08,422.08,422.08,301068
"Aug 13, 2025",423.23,423.23,423.23,423.23,848325
"Aug 12, 2025",427.62,427.62,427.62,427.62,246682
"Aug 11, 2025",429.65,429.65,429.65,429.65,208301
"Aug 08, 2025",425.6,425.6,425.6,425.6,323116
"Aug 07, 2025",430.77,430.77,430.77,430.77,703480
"Aug 06, 2025",419.67,419.67,419.67,419.67,307450
"Aug 05, 2025",418.62,418.62,418.62,418.62,357302
"Aug 04, 2025",421.97,421.97,421.97,421.97,363480
"Aug 01, 2025",416.79,416.79,416.79,416.79,227614
"Jul 31, 2025",423.92,423.92,423.92,423.92,421560
"Jul 30, 2025",429.62,429.62,429.62,429.62,1693619
"Jul 29, 2025",421.66,421.66,421.66,421.66,1741425
"Jul 28, 2025",411.79,411.79,411.79,411.79,1503922
"Jul 25, 2025",393.94,393.94,393.94,393.94,151788
"Jul 24, 2025",390.88,390.88,390.88,390.88,233038
"Jul 23, 2025",391.91,391.91,391.91,391.91,201502
"Jul 22, 2025",390.68,390.68,390.68,390.68,485765
"Jul 21, 2025",398.01,398.01,398.01,398.01,372333
"Jul 18, 2025",392.43,392.43,392.43,392.43,206151
"Jul 17, 2025",396.33,396.33,396.33,396.33,263415
"Jul 16, 2025",393.5,393.5,393.5,393.5,559490
"Jul 15, 2025",390.27,390.27,390.27,390.27,540126
"Jul 14, 2025",390.43,390.43,390.43,390.43,171405
"Jul 11, 2025",394.14,394.14,394.14,394.14,93284
"Jul 10, 2025",395.98,395.98,395.98,395.98,92558
"Jul 09, 2025",397.46,397.46,397.46,397.46,212252
"Jul 08, 2025",401.84,401.84,401.84,401.84,353904
"Jul 07, 2025",407.58,407.58,407.58,407.58,1064235
"Jul 04, 2025",399.02,399.02,399.02,399.02,802541
"Jul 03, 2025",390.93,390.93,390.93,390.93,233326
"Jul 02, 2025",390.93,390.93,390.93,390.93,508839
"Jul 01, 2025",388.99,388.99,388.99,388.99,175931
"Jun 30, 2025",390.72,390.72,390.72,390.72,241241
"Jun 27, 2025",390.4,390.4,390.4,390.4,397292
"Jun 26, 2025",378.55,378.55,378.55,378.55,406928
"Jun 25, 2025",367.06,367.06,367.06,367.06,166292
"Jun 24, 2025",370.82,370.82,370.82,370.82,429503
"Jun 23, 2025",343.11,343.11,343.11,343.11,306127
"Jun 20, 2025",363.14,363.14,363.14,363.14,237703
"Jun 19, 2025",365.92,365.92,365.92,365.92,188240
"Jun 18, 2025",374.65,374.65,374.65,374.65,127355
"Jun 17, 2025",381.07,381.07,381.07,381.07,160091
"Jun 16, 2025",382.39,382.39,382.39,382.39,147442
"Jun 13, 2025",384.32,384.32,384.32,384.32,230485
"Jun 12, 2025",392.75,392.75,392.75,392.75,403073
"Jun 11, 2025",400.06,400.06,400.06,400.06,668374
"Jun 10, 2025",391.0,391.0,391.0,391.0,643322
"Jun 05, 2025",377.5,377.5,377.5,377.5,315711
"Jun 04, 2025",377.65,377.65,377.65,377.65,646914
"Jun 02, 2025",372.32,372.32,372.32,372.32,305114
"May 30, 2025",378.81,378.81,378.81,378.81,162241
"May 29, 2025",380.45,380.45,380.45,380.45,361141
"May 27, 2025",385.68,385.68,385.68,385.68,316147
"May 26, 2025",391.17,391.17,391.17,391.17,197722
"May 23, 2025",390.42,390.42,390.42,390.42,297573
"May 22, 2025",383.71,383.71,383.71,383.71,715019
"May 21, 2025",381.93,381.93,381.93,381.93,309789
"May 20, 2025",374.67,374.67,374.67,374.67,109051
"May 19, 2025",376.66,376.66,376.66,376.66,239013
"May 16, 2025",379.09,379.09,379.09,379.09,795137
"May 15, 2025",371.59,371.59,371.59,371.59,293045
"May 14, 2025",369.12,369.12,369.12,369.12,588318
"May 13, 2025",375.63,375.63,375.63,375.63,1491667
"May 12, 2025",359.81,359.81,359.81,359.81,214724
"May 09, 2025",327.1,327.1,327.1,327.1,374601
"May 08, 2025",316.59,316.59,316.59,316.59,892605
"May 07, 2025",349.83,349.83,349.83,349.83,656632
"May 06, 2025",365.02,365.02,365.02,365.02,244668
"May 02, 2025",373.69,373.69,373.69,373.69,177783
"Apr 30, 2025",366.76,366.76,366.76,366.76,567675
"Apr 29, 2025",380.12,380.12,380.12,380.12,843493
"Apr 28, 2025",382.45,382.45,382.45,382.45,1148051
"Apr 25, 2025",409.57,409.57,409.57,409.57,1961536
"Apr 24, 2025",444.46,444.46,444.46,444.46,509583
"Apr 23, 2025",455.26,455.26,455.26,455.26,875607
"Apr 22, 2025",471.5,471.5,471.5,471.5,1366697
"Apr 21, 2025",457.37,457.37,457.37,457.37,1102080
"Apr 18, 2025",440.02,440.02,440.02,440.02,555736
"Apr 17, 2025",447.55,447.55,447.55,447.55,196244
"Apr 16, 2025",446.99,446.99,446.99,446.99,249421
"Apr 15, 2025",457.77,457.77,457.77,457.77,355025
"Apr 14, 2025",468.4,468.4,468.4,468.4,1578220
"Apr 11, 2025",445.88,445.88,445.88,445.88,4316470
"Apr 10, 2025",416.31,416.31,416.31,416.31,666044
"Apr 09, 2025",404.37,404.37,404.37,404.37,156341
"Apr 08, 2025",410.26,410.26,410.26,410.26,111383
"Apr 07, 2025",403.0,403.0,403.0,403.0,371150
"Apr 04, 2025",416.16,416.16,416.16,416.16,275970
"Apr 03, 2025",418.6,418.6,418.6,418.6,441227
"Mar 27, 2025",418.43,418.43,418.43,418.43,146294
"Mar 26, 2025",417.68,417.68,417.68,417.68,264000
"Mar 25, 2025",417.15,417.15,417.15,417.15,1024744
"Mar 24, 2025",411.62,411.62,411.62,411.62,606885
"Mar 21, 2025",408.1,408.1,408.1,408.1,79422
"Mar 20, 2025",412.08,412.08,412.08,412.08,400498
"Mar 19, 2025",409.25,409.25,409.25,409.25,666366
"Mar 18, 2025",395.3,395.3,395.3,395.3,239266
"Mar 17, 2025",395.91,395.91,395.91,395.91,315316
"Mar 16, 2025",394.21,394.21,394.21,394.21,303573
"Mar 14, 2025",394.21,394.21,394.21,394.21,303573
"Mar 13, 2025",392.78,392.78,392.78,392.78,82897
"Mar 12, 2025",393.51,393.51,393.51,393.51,383859
