TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",118.0,118.0,118.0,118.0,2349
"Nov 14, 2025",111.3,111.3,111.3,111.3,16
"Nov 13, 2025",111.3,111.3,111.3,111.3,1103
"Nov 12, 2025",119.53,119.53,119.53,119.53,33
"Nov 11, 2025",119.53,119.53,119.53,119.53,103
"Nov 10, 2025",119.53,119.53,119.53,119.53,1174
"Nov 07, 2025",115.84,115.84,115.84,115.84,657
"Nov 06, 2025",115.32,115.32,115.32,115.32,1936
"Nov 05, 2025",119.94,119.94,119.94,119.94,771
"Nov 04, 2025",122.64,122.64,122.64,122.64,1064
"Nov 03, 2025",118.36,118.36,118.36,118.36,1050
"Oct 31, 2025",124.76,124.76,124.76,124.76,373
"Oct 30, 2025",116.92,116.92,116.92,116.92,1050
"Oct 29, 2025",121.95,121.95,121.95,121.95,1301
"Oct 28, 2025",114.14,114.14,114.14,114.14,26
"Oct 27, 2025",114.14,114.14,114.14,114.14,731
"Oct 24, 2025",121.06,121.06,121.06,121.06,83
"Oct 23, 2025",121.06,121.06,121.06,121.06,50
"Oct 22, 2025",121.06,121.06,121.06,121.06,1015
"Oct 21, 2025",119.79,119.79,119.79,119.79,20
"Oct 20, 2025",119.79,119.79,119.79,119.79,252
"Oct 17, 2025",117.8,117.8,117.8,117.8,52
"Oct 16, 2025",117.8,117.8,117.8,117.8,81
"Oct 15, 2025",117.8,117.8,117.8,117.8,846
"Oct 14, 2025",119.57,119.57,119.57,119.57,2639
"Oct 13, 2025",119.57,119.57,119.57,119.57,946
"Oct 10, 2025",116.23,116.23,116.23,116.23,746
"Oct 09, 2025",124.12,124.12,124.12,124.12,196
"Oct 08, 2025",124.12,124.12,124.12,124.12,174
"Oct 07, 2025",124.12,124.12,124.12,124.12,735
"Oct 06, 2025",122.01,122.01,122.01,122.01,1993
"Oct 03, 2025",121.18,121.18,121.18,121.18,3024
"Oct 02, 2025",123.99,123.99,123.99,123.99,3919
"Oct 01, 2025",127.71,127.71,127.71,127.71,3193
"Sep 30, 2025",134.88,134.88,134.88,134.88,3036
"Sep 29, 2025",136.98,136.98,136.98,136.98,6224
"Sep 26, 2025",136.07,136.07,136.07,136.07,8962
"Sep 25, 2025",144.98,144.98,144.98,144.98,1915
