TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",38.19,38.19,38.19,38.19,186381
"Nov 14, 2025",37.41,37.41,37.41,37.41,38128
"Nov 13, 2025",36.98,36.98,36.98,36.98,680095
"Nov 12, 2025",36.47,36.47,36.47,36.47,67367
"Nov 11, 2025",36.65,36.65,36.65,36.65,89887
"Nov 10, 2025",37.61,37.61,37.61,37.61,113424
"Nov 07, 2025",37.25,37.25,37.25,37.25,67150
"Nov 06, 2025",36.83,36.83,36.83,36.83,97764
"Nov 05, 2025",36.86,36.86,36.86,36.86,82659
"Nov 04, 2025",37.01,37.01,37.01,37.01,65591
"Nov 03, 2025",37.05,37.05,37.05,37.05,115633
"Oct 31, 2025",36.77,36.77,36.77,36.77,129871
"Oct 30, 2025",35.95,35.95,35.95,35.95,304532
"Oct 29, 2025",37.03,37.03,37.03,37.03,103444
"Oct 28, 2025",36.99,36.99,36.99,36.99,384700
"Oct 27, 2025",39.04,39.04,39.04,39.04,173374
"Oct 24, 2025",39.64,39.64,39.64,39.64,241844
"Oct 23, 2025",40.57,40.57,40.57,40.57,468858
"Oct 22, 2025",41.78,41.78,41.78,41.78,257484
"Oct 21, 2025",41.83,41.83,41.83,41.83,1193859
"Oct 20, 2025",40.12,40.12,40.12,40.12,228220
"Oct 17, 2025",39.26,39.26,39.26,39.26,95848
"Oct 16, 2025",39.64,39.64,39.64,39.64,657779
"Oct 15, 2025",39.19,39.19,39.19,39.19,236333
"Oct 14, 2025",39.2,39.2,39.2,39.2,217296
"Oct 13, 2025",37.99,37.99,37.99,37.99,168529
"Oct 10, 2025",39.21,39.21,39.21,39.21,127278
"Oct 09, 2025",39.75,39.75,39.75,39.75,193709
"Oct 08, 2025",39.58,39.58,39.58,39.58,108317
"Oct 07, 2025",39.24,39.24,39.24,39.24,205027
"Oct 06, 2025",39.69,39.69,39.69,39.69,238393
"Oct 03, 2025",40.02,40.02,40.02,40.02,669840
"Oct 02, 2025",40.12,40.12,40.12,40.12,488189
"Oct 01, 2025",40.65,40.65,40.65,40.65,316695
"Sep 30, 2025",41.01,41.01,41.01,41.01,231393
"Sep 29, 2025",41.28,41.28,41.28,41.28,169328
"Sep 26, 2025",41.16,41.16,41.16,41.16,410566
"Sep 25, 2025",40.84,40.84,40.84,40.84,188657
"Sep 24, 2025",41.01,41.01,41.01,41.01,228741
"Sep 23, 2025",41.13,41.13,41.13,41.13,654358
"Sep 22, 2025",40.89,40.89,40.89,40.89,445059
"Sep 19, 2025",40.62,40.62,40.62,40.62,1750028
"Sep 18, 2025",41.67,41.67,41.67,41.67,1096148
"Sep 17, 2025",41.33,41.33,41.33,41.33,171606
"Sep 16, 2025",41.13,41.13,41.13,41.13,395521
"Sep 15, 2025",41.12,41.12,41.12,41.12,218578
"Sep 12, 2025",41.51,41.51,41.51,41.51,170350
"Sep 11, 2025",41.54,41.54,41.54,41.54,270536
