TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",56.66,56.66,56.66,56.66,6602
"Nov 14, 2025",56.16,56.16,56.16,56.16,25016
"Nov 13, 2025",57.27,57.27,57.27,57.27,1396
"Nov 12, 2025",57.89,57.89,57.89,57.89,15973
"Nov 11, 2025",57.03,57.03,57.03,57.03,12038
"Nov 10, 2025",59.4,59.4,59.4,59.4,4574
"Nov 07, 2025",59.79,59.79,59.79,59.79,13103
"Nov 06, 2025",59.94,59.94,59.94,59.94,9987
"Nov 05, 2025",58.0,58.0,58.0,58.0,5277
"Nov 04, 2025",58.38,58.38,58.38,58.38,10032
"Nov 03, 2025",58.52,58.52,58.52,58.52,11215
"Oct 31, 2025",58.48,58.48,58.48,58.48,3227
"Oct 30, 2025",57.1,57.1,57.1,57.1,21793
"Oct 29, 2025",58.3,58.3,58.3,58.3,6843
"Oct 28, 2025",59.94,59.94,59.94,59.94,40704
"Oct 27, 2025",59.39,59.39,59.39,59.39,27110
"Oct 24, 2025",59.0,59.0,59.0,59.0,5573
"Oct 23, 2025",60.99,60.99,60.99,60.99,8312
"Oct 22, 2025",62.31,62.31,62.31,62.31,4889
"Oct 21, 2025",61.07,61.07,61.07,61.07,38705
"Oct 20, 2025",61.0,61.0,61.0,61.0,30119
"Oct 17, 2025",60.54,60.54,60.54,60.54,191002
"Oct 16, 2025",61.95,61.95,61.95,61.95,8889
"Oct 15, 2025",62.5,62.5,62.5,62.5,44417
"Oct 14, 2025",63.98,63.98,63.98,63.98,81501
"Oct 13, 2025",64.13,64.13,64.13,64.13,1170
"Oct 10, 2025",65.49,65.49,65.49,65.49,10646
"Oct 09, 2025",64.57,64.57,64.57,64.57,6472
"Oct 08, 2025",64.72,64.72,64.72,64.72,24630
"Oct 07, 2025",64.96,64.96,64.96,64.96,22433
"Oct 06, 2025",65.6,65.6,65.6,65.6,36219
"Oct 03, 2025",67.23,67.23,67.23,67.23,112101
"Oct 02, 2025",65.1,65.1,65.1,65.1,132292
"Oct 01, 2025",63.51,63.51,63.51,63.51,97924
"Sep 30, 2025",68.53,68.53,68.53,68.53,106288
"Sep 29, 2025",72.13,72.13,72.13,72.13,23877
"Sep 26, 2025",71.29,71.29,71.29,71.29,4438
"Sep 25, 2025",72.06,72.06,72.06,72.06,50878
"Sep 24, 2025",71.7,71.7,71.7,71.7,36047
"Sep 23, 2025",71.5,71.5,71.5,71.5,158736
"Sep 22, 2025",71.37,71.37,71.37,71.37,185053
"Sep 19, 2025",67.02,67.02,67.02,67.02,6186
"Sep 18, 2025",67.19,67.19,67.19,67.19,5130
"Sep 17, 2025",67.0,67.0,67.0,67.0,51198
"Sep 16, 2025",66.96,66.96,66.96,66.96,68779
"Sep 15, 2025",67.0,67.0,67.0,67.0,27649
"Sep 12, 2025",68.49,68.49,68.49,68.49,3348
"Sep 11, 2025",68.29,68.29,68.29,68.29,1883
"Sep 10, 2025",67.5,67.5,67.5,67.5,11245
"Sep 09, 2025",67.26,67.26,67.26,67.26,3767
"Sep 08, 2025",67.92,67.92,67.92,67.92,6139
"Sep 05, 2025",67.08,67.08,67.08,67.08,4377
"Sep 04, 2025",67.75,67.75,67.75,67.75,12591
"Sep 03, 2025",67.46,67.46,67.46,67.46,22344
"Sep 02, 2025",67.62,67.62,67.62,67.62,69861
"Sep 01, 2025",65.5,65.5,65.5,65.5,10847
"Aug 29, 2025",65.4,65.4,65.4,65.4,7749
"Aug 28, 2025",64.9,64.9,64.9,64.9,4167
"Aug 27, 2025",65.03,65.03,65.03,65.03,3210
"Aug 26, 2025",66.0,66.0,66.0,66.0,90076
"Aug 25, 2025",66.41,66.41,66.41,66.41,55178
"Aug 22, 2025",66.92,66.92,66.92,66.92,5099
"Aug 21, 2025",66.2,66.2,66.2,66.2,12620
"Aug 20, 2025",67.37,67.37,67.37,67.37,27352
"Aug 19, 2025",67.75,67.75,67.75,67.75,11782
"Aug 18, 2025",68.2,68.2,68.2,68.2,63500
"Aug 15, 2025",67.47,67.47,67.47,67.47,82869
"Aug 13, 2025",66.0,66.0,66.0,66.0,37161
"Aug 12, 2025",66.49,66.49,66.49,66.49,36653
"Aug 11, 2025",66.0,66.0,66.0,66.0,2638
"Aug 08, 2025",67.34,67.34,67.34,67.34,2408
