TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",64.87,64.87,64.87,64.87,1712133
"Nov 14, 2025",64.72,64.72,64.72,64.72,3080556
"Nov 13, 2025",59.02,59.02,59.02,59.02,1805373
"Nov 12, 2025",56.28,56.28,56.28,56.28,2798491
"Nov 11, 2025",54.33,54.33,54.33,54.33,826447
"Nov 10, 2025",57.49,57.49,57.49,57.49,2235334
"Nov 07, 2025",54.4,54.4,54.4,54.4,1884876
"Nov 06, 2025",52.48,52.48,52.48,52.48,1091336
"Nov 05, 2025",53.92,53.92,53.92,53.92,202613
"Nov 04, 2025",55.21,55.21,55.21,55.21,574179
"Nov 03, 2025",55.33,55.33,55.33,55.33,987243
"Oct 31, 2025",57.32,57.32,57.32,57.32,1018103
"Oct 30, 2025",53.47,53.47,53.47,53.47,1168125
"Oct 29, 2025",55.78,55.78,55.78,55.78,3543449
"Oct 28, 2025",57.82,57.82,57.82,57.82,4742850
"Oct 27, 2025",52.56,52.56,52.56,52.56,7826704
"Oct 24, 2025",58.4,58.4,58.4,58.4,1956799
"Oct 23, 2025",62.23,62.23,62.23,62.23,901125
"Oct 22, 2025",65.14,65.14,65.14,65.14,1112153
"Oct 21, 2025",65.72,65.72,65.72,65.72,1956705
"Oct 20, 2025",70.15,70.15,70.15,70.15,735774
"Oct 17, 2025",70.53,70.53,70.53,70.53,1667598
"Oct 16, 2025",71.71,71.71,71.71,71.71,1270414
"Oct 15, 2025",74.43,74.43,74.43,74.43,1753012
"Oct 14, 2025",75.82,75.82,75.82,75.82,3456032
"Oct 13, 2025",68.93,68.93,68.93,68.93,687414
"Oct 10, 2025",71.07,71.07,71.07,71.07,1084824
"Oct 09, 2025",68.85,68.85,68.85,68.85,1836476
"Oct 08, 2025",71.02,71.02,71.02,71.02,3249952
"Oct 07, 2025",74.12,74.12,74.12,74.12,5795324
"Oct 06, 2025",70.87,70.87,70.87,70.87,7172074
"Oct 03, 2025",64.44,64.44,64.44,64.44,568445
"Oct 02, 2025",64.39,64.39,64.39,64.39,534415
"Oct 01, 2025",64.99,64.99,64.99,64.99,575453
"Sep 30, 2025",67.0,67.0,67.0,67.0,4752021
"Sep 29, 2025",69.32,69.32,69.32,69.32,6738580
"Sep 26, 2025",66.14,66.14,66.14,66.14,4234788
"Sep 25, 2025",65.34,65.34,65.34,65.34,8578837
"Sep 24, 2025",59.4,59.4,59.4,59.4,2091906
"Sep 23, 2025",54.0,54.0,54.0,54.0,823759
"Sep 22, 2025",54.98,54.98,54.98,54.98,1084958
"Sep 19, 2025",55.23,55.23,55.23,55.23,923959
"Sep 18, 2025",54.68,54.68,54.68,54.68,968358
"Sep 17, 2025",54.22,54.22,54.22,54.22,672780
"Sep 16, 2025",53.85,53.85,53.85,53.85,525908
"Sep 15, 2025",53.88,53.88,53.88,53.88,334565
"Sep 12, 2025",53.07,53.07,53.07,53.07,273794
"Sep 11, 2025",53.81,53.81,53.81,53.81,607446
"Sep 10, 2025",53.89,53.89,53.89,53.89,526905
"Sep 09, 2025",54.6,54.6,54.6,54.6,2319163
"Sep 08, 2025",55.43,55.43,55.43,55.43,3208223
"Sep 05, 2025",54.23,54.23,54.23,54.23,4681145
"Sep 04, 2025",51.68,51.68,51.68,51.68,1684320
"Sep 03, 2025",52.24,52.24,52.24,52.24,546578
"Sep 02, 2025",52.03,52.03,52.03,52.03,892801
"Sep 01, 2025",53.39,53.39,53.39,53.39,2677916
"Aug 29, 2025",51.88,51.88,51.88,51.88,4430470
"Aug 28, 2025",51.98,51.98,51.98,51.98,766377
"Aug 27, 2025",51.78,51.78,51.78,51.78,458421
"Aug 26, 2025",52.79,52.79,52.79,52.79,680014
"Aug 25, 2025",52.44,52.44,52.44,52.44,337957
"Aug 22, 2025",53.3,53.3,53.3,53.3,1899801
"Aug 21, 2025",53.11,53.11,53.11,53.11,1770244
"Aug 20, 2025",53.85,53.85,53.85,53.85,1428055
