TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",287.46,287.46,287.46,287.46,2080936
"Nov 14, 2025",289.41,289.41,289.41,289.41,1239192
"Nov 13, 2025",280.01,280.01,280.01,280.01,758922
"Nov 12, 2025",279.36,279.36,279.36,279.36,875610
"Nov 11, 2025",283.02,283.02,283.02,283.02,1015041
"Nov 10, 2025",288.54,288.54,288.54,288.54,1308236
"Nov 07, 2025",288.29,288.29,288.29,288.29,2266070
"Nov 06, 2025",291.99,291.99,291.99,291.99,979007
"Nov 05, 2025",290.98,290.98,290.98,290.98,1921893
"Nov 04, 2025",294.73,294.73,294.73,294.73,789686
"Nov 03, 2025",297.99,297.99,297.99,297.99,2206633
"Oct 31, 2025",303.83,303.83,303.83,303.83,4804883
"Oct 30, 2025",293.93,293.93,293.93,293.93,1707462
"Oct 29, 2025",296.19,296.19,296.19,296.19,1268243
"Oct 28, 2025",298.6,298.6,298.6,298.6,1066557
"Oct 27, 2025",304.37,304.37,304.37,304.37,1292332
"Oct 24, 2025",308.34,308.34,308.34,308.34,714092
"Oct 23, 2025",313.7,313.7,313.7,313.7,3333369
"Oct 22, 2025",313.54,313.54,313.54,313.54,1351603
"Oct 21, 2025",317.3,317.3,317.3,317.3,3841759
"Oct 20, 2025",316.0,316.0,316.0,316.0,4173770
"Oct 17, 2025",301.6,301.6,301.6,301.6,1053575
"Oct 16, 2025",305.48,305.48,305.48,305.48,2091747
"Oct 15, 2025",309.17,309.17,309.17,309.17,2906550
"Oct 14, 2025",308.23,308.23,308.23,308.23,2027972
"Oct 13, 2025",295.98,295.98,295.98,295.98,3610084
"Oct 10, 2025",301.2,301.2,301.2,301.2,2586955
"Oct 09, 2025",306.73,306.73,306.73,306.73,1477067
"Oct 08, 2025",316.52,316.52,316.52,316.52,2018472
"Oct 07, 2025",314.89,314.89,314.89,314.89,5116624
"Oct 06, 2025",304.07,304.07,304.07,304.07,2428524
"Oct 03, 2025",300.87,300.87,300.87,300.87,2024970
"Oct 02, 2025",304.42,304.42,304.42,304.42,6492338
"Oct 01, 2025",288.01,288.01,288.01,288.01,3231048
"Sep 30, 2025",292.2,292.2,292.2,292.2,7843897
"Sep 29, 2025",278.13,278.13,278.13,278.13,3188579
"Sep 26, 2025",271.31,271.31,271.31,271.31,6556543
"Sep 25, 2025",258.49,258.49,258.49,258.49,3218063
"Sep 24, 2025",249.24,249.24,249.24,249.24,844670
"Sep 23, 2025",249.24,249.24,249.24,249.24,2072437
"Sep 22, 2025",251.52,251.52,251.52,251.52,2240194
"Sep 19, 2025",254.35,254.35,254.35,254.35,951730
"Sep 18, 2025",257.53,257.53,257.53,257.53,1639529
"Sep 17, 2025",254.51,254.51,254.51,254.51,970098
"Sep 16, 2025",255.18,255.18,255.18,255.18,1141458
"Sep 15, 2025",254.55,254.55,254.55,254.55,1216214
"Sep 12, 2025",256.74,256.74,256.74,256.74,1149742
"Sep 11, 2025",259.31,259.31,259.31,259.31,1049025
"Sep 10, 2025",261.84,261.84,261.84,261.84,772032
"Sep 09, 2025",264.1,264.1,264.1,264.1,2653543
"Sep 08, 2025",261.54,261.54,261.54,261.54,2807728
"Sep 05, 2025",259.41,259.41,259.41,259.41,1499623
"Sep 04, 2025",256.57,256.57,256.57,256.57,1709665
"Sep 03, 2025",259.39,259.39,259.39,259.39,1239592
"Sep 02, 2025",259.65,259.65,259.65,259.65,1684644
"Sep 01, 2025",258.17,258.17,258.17,258.17,922582
"Aug 29, 2025",256.21,256.21,256.21,256.21,3517753
"Aug 28, 2025",248.47,248.47,248.47,248.47,2483866
"Aug 27, 2025",255.1,255.1,255.1,255.1,983277
"Aug 26, 2025",258.68,258.68,258.68,258.68,1074871
"Aug 25, 2025",261.7,261.7,261.7,261.7,797345
"Aug 22, 2025",264.48,264.48,264.48,264.48,1203965
"Aug 21, 2025",265.08,265.08,265.08,265.08,2487382
"Aug 20, 2025",272.1,272.1,272.1,272.1,2308382
"Aug 19, 2025",269.74,269.74,269.74,269.74,2769188
"Aug 18, 2025",270.86,270.86,270.86,270.86,4744653
"Aug 15, 2025",274.15,274.15,274.15,274.15,842332
"Aug 13, 2025",275.76,275.76,275.76,275.76,3301172
"Aug 12, 2025",271.06,271.06,271.06,271.06,4502657
"Aug 11, 2025",265.65,265.65,265.65,265.65,3749318
"Aug 08, 2025",261.33,261.33,261.33,261.33,3172573
"Aug 07, 2025",267.41,267.41,267.41,267.41,10786603
"Aug 06, 2025",259.98,259.98,259.98,259.98,14442976
"Aug 05, 2025",236.97,236.97,236.97,236.97,2808951
"Aug 04, 2025",238.04,238.04,238.04,238.04,9247674
"Aug 01, 2025",231.37,231.37,231.37,231.37,6775996
"Jul 31, 2025",221.94,221.94,221.94,221.94,6469386
"Jul 30, 2025",223.23,223.23,223.23,223.23,2784711
"Jul 29, 2025",216.29,216.29,216.29,216.29,1463605
"Jul 28, 2025",223.2,223.2,223.2,223.2,2250610
"Jul 25, 2025",226.49,226.49,226.49,226.49,3281185
"Jul 24, 2025",228.02,228.02,228.02,228.02,2710121
"Jul 23, 2025",234.27,234.27,234.27,234.27,3665011
"Jul 22, 2025",237.2,237.2,237.2,237.2,10906148
"Jul 21, 2025",227.16,227.16,227.16,227.16,5321459
"Jul 18, 2025",222.42,222.42,222.42,222.42,2610289
"Jul 17, 2025",223.45,223.45,223.45,223.45,3176593
"Jul 16, 2025",216.17,216.17,216.17,216.17,3070646
"Jul 15, 2025",217.98,217.98,217.98,217.98,11574070
"Jul 14, 2025",220.79,220.79,220.79,220.79,8673875
"Jul 11, 2025",201.77,201.77,201.77,201.77,2145453
"Jul 10, 2025",204.27,204.27,204.27,204.27,2490100
"Jul 09, 2025",200.83,200.83,200.83,200.83,1434607
"Jul 08, 2025",203.84,203.84,203.84,203.84,1801109
"Jul 07, 2025",203.92,203.92,203.92,203.92,6311350
"Jul 04, 2025",196.71,196.71,196.71,196.71,4952704
"Jul 03, 2025",186.36,186.36,186.36,186.36,2102504
"Jul 02, 2025",189.2,189.2,189.2,189.2,6603701
"Jul 01, 2025",183.79,183.79,183.79,183.79,7442615
"Jun 30, 2025",179.19,179.19,179.19,179.19,3441747
"Jun 27, 2025",173.12,173.12,173.12,173.12,3202967
"Jun 26, 2025",169.1,169.1,169.1,169.1,2044629
"Jun 25, 2025",173.6,173.6,173.6,173.6,5944985
"Jun 24, 2025",168.49,168.49,168.49,168.49,2138870
"Jun 23, 2025",161.59,161.59,161.59,161.59,816594
"Jun 20, 2025",166.3,166.3,166.3,166.3,532303
"Jun 19, 2025",166.09,166.09,166.09,166.09,1011245
"Jun 18, 2025",165.19,165.19,165.19,165.19,1827120
"Jun 17, 2025",166.77,166.77,166.77,166.77,5191778
"Jun 16, 2025",163.42,163.42,163.42,163.42,949307
"Jun 13, 2025",162.57,162.57,162.57,162.57,1918468
"Jun 12, 2025",165.67,165.67,165.67,165.67,3992975
"Jun 11, 2025",165.16,165.16,165.16,165.16,1938183
"Jun 10, 2025",162.94,162.94,162.94,162.94,774292
"Jun 05, 2025",161.46,161.46,161.46,161.46,964278
"Jun 04, 2025",164.08,164.08,164.08,164.08,4475040
"Jun 02, 2025",153.24,153.24,153.24,153.24,672839
"May 30, 2025",153.32,153.32,153.32,153.32,452399
"May 29, 2025",153.8,153.8,153.8,153.8,267857
"May 27, 2025",153.73,153.73,153.73,153.73,168651
"May 26, 2025",152.92,152.92,152.92,152.92,777098
"May 23, 2025",154.09,154.09,154.09,154.09,487379
"May 22, 2025",155.45,155.45,155.45,155.45,1288445
"May 21, 2025",156.91,156.91,156.91,156.91,3248216
"May 20, 2025",154.81,154.81,154.81,154.81,1100499
"May 19, 2025",158.51,158.51,158.51,158.51,1438626
"May 16, 2025",157.91,157.91,157.91,157.91,1867791
"May 15, 2025",157.5,157.5,157.5,157.5,2983095
"May 14, 2025",156.07,156.07,156.07,156.07,4540806
"May 13, 2025",158.05,158.05,158.05,158.05,10567032
"May 12, 2025",153.99,153.99,153.99,153.99,3231472
"May 09, 2025",139.99,139.99,139.99,139.99,1956686
