TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",17.32,17.32,17.32,17.32,54385
"Nov 14, 2025",17.85,17.85,17.85,17.85,23533
"Nov 13, 2025",17.5,17.5,17.5,17.5,71331
"Nov 12, 2025",17.54,17.54,17.54,17.54,24974
"Nov 11, 2025",17.5,17.5,17.5,17.5,52369
"Nov 10, 2025",18.22,18.22,18.22,18.22,142590
"Nov 07, 2025",17.99,17.99,17.99,17.99,11203
"Nov 06, 2025",17.35,17.35,17.35,17.35,191291
"Nov 05, 2025",18.14,18.14,18.14,18.14,3166
"Nov 04, 2025",18.01,18.01,18.01,18.01,134299
"Nov 03, 2025",18.15,18.15,18.15,18.15,148288
"Oct 31, 2025",18.23,18.23,18.23,18.23,64622
"Oct 30, 2025",17.44,17.44,17.44,17.44,47722
"Oct 29, 2025",17.4,17.4,17.4,17.4,12792
"Oct 28, 2025",17.5,17.5,17.5,17.5,211107
"Oct 27, 2025",17.62,17.62,17.62,17.62,65950
"Oct 24, 2025",17.36,17.36,17.36,17.36,267938
"Oct 23, 2025",18.0,18.0,18.0,18.0,188764
"Oct 22, 2025",18.31,18.31,18.31,18.31,17058
"Oct 21, 2025",18.86,18.86,18.86,18.86,1000807
"Oct 20, 2025",18.01,18.01,18.01,18.01,29076
"Oct 17, 2025",18.0,18.0,18.0,18.0,227550
"Oct 16, 2025",17.95,17.95,17.95,17.95,83466
"Oct 15, 2025",17.9,17.9,17.9,17.9,111762
"Oct 14, 2025",18.0,18.0,18.0,18.0,273900
"Oct 13, 2025",17.44,17.44,17.44,17.44,352919
"Oct 10, 2025",18.97,18.97,18.97,18.97,543197
"Oct 09, 2025",18.3,18.3,18.3,18.3,75087
"Oct 08, 2025",18.49,18.49,18.49,18.49,230723
"Oct 07, 2025",18.51,18.51,18.51,18.51,416092
"Oct 06, 2025",18.6,18.6,18.6,18.6,229162
"Oct 03, 2025",18.93,18.93,18.93,18.93,4669533
"Oct 02, 2025",19.0,19.0,19.0,19.0,3723570
"Oct 01, 2025",18.62,18.62,18.62,18.62,1346031
"Sep 30, 2025",19.3,19.3,19.3,19.3,137161
"Sep 29, 2025",19.58,19.58,19.58,19.58,858411
"Sep 26, 2025",19.5,19.5,19.5,19.5,70515
"Sep 25, 2025",19.5,19.5,19.5,19.5,165545
"Sep 24, 2025",19.72,19.72,19.72,19.72,521976
"Sep 23, 2025",20.64,20.64,20.64,20.64,2191775
"Sep 22, 2025",19.72,19.72,19.72,19.72,1431065
"Sep 19, 2025",17.93,17.93,17.93,17.93,1518928
"Sep 18, 2025",17.8,17.8,17.8,17.8,665025
"Sep 17, 2025",17.62,17.62,17.62,17.62,1247086
"Sep 16, 2025",17.2,17.2,17.2,17.2,535277
"Sep 15, 2025",17.0,17.0,17.0,17.0,2794893
"Sep 12, 2025",16.87,16.87,16.87,16.87,7398462
"Sep 11, 2025",17.16,17.16,17.16,17.16,3205937
"Sep 10, 2025",16.89,16.89,16.89,16.89,2999481
"Sep 09, 2025",16.57,16.57,16.57,16.57,1052866
"Sep 08, 2025",16.29,16.29,16.29,16.29,2317215
"Sep 05, 2025",15.65,15.65,15.65,15.65,4235949
"Sep 04, 2025",14.23,14.23,14.23,14.23,508220
"Sep 03, 2025",14.25,14.25,14.25,14.25,1180396
"Sep 02, 2025",13.53,13.53,13.53,13.53,191955
"Sep 01, 2025",13.61,13.61,13.61,13.61,360453
"Aug 29, 2025",13.3,13.3,13.3,13.3,316941
