TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",51.84,51.84,51.84,51.84,93882
"Nov 14, 2025",52.4,52.4,52.4,52.4,67733
"Nov 13, 2025",51.4,51.4,51.4,51.4,40902
"Nov 12, 2025",51.4,51.4,51.4,51.4,50503
"Nov 11, 2025",50.88,50.88,50.88,50.88,270197
"Nov 10, 2025",53.59,53.59,53.59,53.59,128013
"Nov 07, 2025",51.94,51.94,51.94,51.94,173092
"Nov 06, 2025",51.51,51.51,51.51,51.51,148164
"Nov 05, 2025",51.55,51.55,51.55,51.55,291221
"Nov 04, 2025",53.53,53.53,53.53,53.53,277034
"Nov 03, 2025",54.73,54.73,54.73,54.73,800238
"Oct 31, 2025",55.04,55.04,55.04,55.04,727614
"Oct 30, 2025",50.04,50.04,50.04,50.04,346121
"Oct 29, 2025",52.63,52.63,52.63,52.63,53523
"Oct 28, 2025",54.01,54.01,54.01,54.01,2549938
"Oct 27, 2025",59.37,59.37,59.37,59.37,124607
"Oct 24, 2025",59.48,59.48,59.48,59.48,270221
"Oct 23, 2025",60.09,60.09,60.09,60.09,371802
"Oct 22, 2025",60.94,60.94,60.94,60.94,1574111
"Oct 21, 2025",56.62,56.62,56.62,56.62,673695
"Oct 20, 2025",57.84,57.84,57.84,57.84,1886883
"Oct 17, 2025",56.71,56.71,56.71,56.71,683172
"Oct 16, 2025",55.35,55.35,55.35,55.35,834973
"Oct 15, 2025",54.52,54.52,54.52,54.52,2821453
"Oct 14, 2025",50.85,50.85,50.85,50.85,236841
"Oct 13, 2025",46.23,46.23,46.23,46.23,226382
"Oct 10, 2025",49.35,49.35,49.35,49.35,76649
"Oct 09, 2025",49.93,49.93,49.93,49.93,167294
"Oct 08, 2025",49.31,49.31,49.31,49.31,203207
"Oct 07, 2025",49.98,49.98,49.98,49.98,201795
"Oct 06, 2025",50.13,50.13,50.13,50.13,511889
"Oct 03, 2025",51.98,51.98,51.98,51.98,872803
"Oct 02, 2025",51.72,51.72,51.72,51.72,421833
"Oct 01, 2025",50.73,50.73,50.73,50.73,237145
"Sep 30, 2025",50.44,50.44,50.44,50.44,728203
"Sep 29, 2025",50.49,50.49,50.49,50.49,418209
"Sep 26, 2025",50.27,50.27,50.27,50.27,906502
"Sep 25, 2025",49.57,49.57,49.57,49.57,519730
"Sep 24, 2025",50.4,50.4,50.4,50.4,717851
"Sep 23, 2025",50.54,50.54,50.54,50.54,3074336
"Sep 22, 2025",51.18,51.18,51.18,51.18,706818
"Sep 19, 2025",52.22,52.22,52.22,52.22,1589317
"Sep 18, 2025",53.59,53.59,53.59,53.59,4787173
"Sep 17, 2025",51.03,51.03,51.03,51.03,3721103
"Sep 16, 2025",50.57,50.57,50.57,50.57,2704143
"Sep 15, 2025",48.74,48.74,48.74,48.74,1023822
"Sep 12, 2025",48.52,48.52,48.52,48.52,2661060
"Sep 11, 2025",48.99,48.99,48.99,48.99,6127218
"Sep 10, 2025",48.18,48.18,48.18,48.18,1303217
"Sep 09, 2025",49.44,49.44,49.44,49.44,2666052
"Sep 08, 2025",48.05,48.05,48.05,48.05,434571
"Sep 05, 2025",49.03,49.03,49.03,49.03,2392984
"Sep 04, 2025",48.68,48.68,48.68,48.68,2979373
