TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",189.8,189.8,189.8,189.8,18309
"Nov 14, 2025",189.1,189.1,189.1,189.1,15127
"Nov 13, 2025",187.42,187.42,187.42,187.42,37739
"Nov 12, 2025",190.49,190.49,190.49,190.49,52654
"Nov 11, 2025",190.03,190.03,190.03,190.03,48759
"Nov 10, 2025",195.0,195.0,195.0,195.0,2720
"Nov 07, 2025",191.63,191.63,191.63,191.63,2376
"Nov 06, 2025",193.0,193.0,193.0,193.0,14982
"Nov 05, 2025",194.25,194.25,194.25,194.25,7365
"Nov 04, 2025",197.61,197.61,197.61,197.61,21619
"Nov 03, 2025",195.62,195.62,195.62,195.62,110698
"Oct 31, 2025",194.08,194.08,194.08,194.08,489287
"Oct 30, 2025",190.35,190.35,190.35,190.35,66361
"Oct 29, 2025",195.95,195.95,195.95,195.95,94343
"Oct 28, 2025",204.26,204.26,204.26,204.26,12970
"Oct 27, 2025",203.95,203.95,203.95,203.95,103102
"Oct 24, 2025",211.87,211.87,211.87,211.87,37690
"Oct 23, 2025",219.61,219.61,219.61,219.61,193065
"Oct 22, 2025",208.9,208.9,208.9,208.9,30168
"Oct 21, 2025",209.17,209.17,209.17,209.17,11233
"Oct 20, 2025",210.26,210.26,210.26,210.26,55090
"Oct 17, 2025",204.24,204.24,204.24,204.24,22216
"Oct 16, 2025",208.42,208.42,208.42,208.42,140345
"Oct 15, 2025",215.45,215.45,215.45,215.45,68382
"Oct 14, 2025",215.67,215.67,215.67,215.67,211289
"Oct 13, 2025",204.28,204.28,204.28,204.28,56779
"Oct 10, 2025",215.31,215.31,215.31,215.31,29317
"Oct 09, 2025",217.77,217.77,217.77,217.77,80916
"Oct 08, 2025",226.9,226.9,226.9,226.9,73824
"Oct 07, 2025",227.17,227.17,227.17,227.17,211608
"Oct 06, 2025",229.95,229.95,229.95,229.95,120194
"Oct 03, 2025",226.99,226.99,226.99,226.99,160692
"Oct 02, 2025",227.27,227.27,227.27,227.27,42537
"Oct 01, 2025",228.2,228.2,228.2,228.2,54850
"Sep 30, 2025",230.17,230.17,230.17,230.17,967067
"Sep 29, 2025",234.91,234.91,234.91,234.91,155220
"Sep 26, 2025",230.03,230.03,230.03,230.03,215998
"Sep 25, 2025",221.0,221.0,221.0,221.0,39602
"Sep 24, 2025",221.88,221.88,221.88,221.88,51796
"Sep 23, 2025",220.86,220.86,220.86,220.86,101531
"Sep 22, 2025",228.19,228.19,228.19,228.19,226394
"Sep 19, 2025",232.0,232.0,232.0,232.0,91789
"Sep 18, 2025",233.49,233.49,233.49,233.49,58507
"Sep 17, 2025",232.42,232.42,232.42,232.42,167389
"Sep 16, 2025",237.52,237.52,237.52,237.52,88226
"Sep 15, 2025",243.41,243.41,243.41,243.41,886329
"Sep 12, 2025",229.58,229.58,229.58,229.58,459795
"Sep 11, 2025",229.96,229.96,229.96,229.96,533357
"Sep 10, 2025",227.77,227.77,227.77,227.77,157967
"Sep 09, 2025",227.04,227.04,227.04,227.04,451705
"Sep 08, 2025",229.54,229.54,229.54,229.54,1091712
"Sep 05, 2025",213.96,213.96,213.96,213.96,116529
"Sep 04, 2025",213.48,213.48,213.48,213.48,128634
"Sep 03, 2025",217.82,217.82,217.82,217.82,302670
"Sep 02, 2025",219.96,219.96,219.96,219.96,218376
"Sep 01, 2025",221.67,221.67,221.67,221.67,791525
"Aug 29, 2025",207.86,207.86,207.86,207.86,659645
"Aug 28, 2025",201.03,201.03,201.03,201.03,602741
"Aug 27, 2025",200.51,200.51,200.51,200.51,1010363
"Aug 26, 2025",194.95,194.95,194.95,194.95,127977
"Aug 25, 2025",192.4,192.4,192.4,192.4,148170
"Aug 22, 2025",195.66,195.66,195.66,195.66,380992
"Aug 21, 2025",193.91,193.91,193.91,193.91,452885
"Aug 20, 2025",201.0,201.0,201.0,201.0,798537
"Aug 19, 2025",199.32,199.32,199.32,199.32,1497580
"Aug 18, 2025",193.66,193.66,193.66,193.66,418191
"Aug 15, 2025",189.72,189.72,189.72,189.72,660972
"Aug 13, 2025",186.37,186.37,186.37,186.37,209993
"Aug 12, 2025",191.09,191.09,191.09,191.09,834908
"Aug 11, 2025",178.86,178.86,178.86,178.86,79991
"Aug 08, 2025",180.01,180.01,180.01,180.01,255090
"Aug 07, 2025",178.0,178.0,178.0,178.0,112525
"Aug 06, 2025",177.71,177.71,177.71,177.71,140462
"Aug 05, 2025",181.16,181.16,181.16,181.16,87048
"Aug 04, 2025",183.35,183.35,183.35,183.35,106574
"Aug 01, 2025",178.32,178.32,178.32,178.32,106666
"Jul 31, 2025",179.87,179.87,179.87,179.87,46601
"Jul 30, 2025",182.33,182.33,182.33,182.33,101268
"Jul 29, 2025",185.88,185.88,185.88,185.88,112043
"Jul 28, 2025",191.14,191.14,191.14,191.14,1271881
"Jul 25, 2025",184.24,184.24,184.24,184.24,623422
"Jul 24, 2025",180.06,180.06,180.06,180.06,259590
"Jul 23, 2025",182.1,182.1,182.1,182.1,59050
"Jul 22, 2025",183.08,183.08,183.08,183.08,99051
"Jul 21, 2025",183.92,183.92,183.92,183.92,181916
"Jul 18, 2025",182.1,182.1,182.1,182.1,203768
"Jul 17, 2025",187.11,187.11,187.11,187.11,481756
"Jul 16, 2025",188.26,188.26,188.26,188.26,189905
"Jul 15, 2025",186.09,186.09,186.09,186.09,133489
"Jul 14, 2025",190.07,190.07,190.07,190.07,315615
"Jul 11, 2025",193.99,193.99,193.99,193.99,264731
"Jul 10, 2025",188.47,188.47,188.47,188.47,658879
"Jul 09, 2025",186.31,186.31,186.31,186.31,160690
"Jul 08, 2025",190.37,190.37,190.37,190.37,187202
"Jul 07, 2025",193.19,193.19,193.19,193.19,684626
"Jul 04, 2025",192.68,192.68,192.68,192.68,238666
"Jul 03, 2025",194.0,194.0,194.0,194.0,2309832
"Jul 02, 2025",177.81,177.81,177.81,177.81,308288
"Jul 01, 2025",181.5,181.5,181.5,181.5,809395
"Jun 30, 2025",177.01,177.01,177.01,177.01,655203
"Jun 27, 2025",167.59,167.59,167.59,167.59,142107
"Jun 26, 2025",166.02,166.02,166.02,166.02,191537
"Jun 25, 2025",162.9,162.9,162.9,162.9,81506
"Jun 24, 2025",164.3,164.3,164.3,164.3,197129
"Jun 23, 2025",154.86,154.86,154.86,154.86,125559
"Jun 20, 2025",160.5,160.5,160.5,160.5,192504
"Jun 19, 2025",160.14,160.14,160.14,160.14,126762
"Jun 18, 2025",160.45,160.45,160.45,160.45,128000
"Jun 17, 2025",166.4,166.4,166.4,166.4,173131
"Jun 16, 2025",168.95,168.95,168.95,168.95,49030
"Jun 13, 2025",166.22,166.22,166.22,166.22,135903
"Jun 12, 2025",174.2,174.2,174.2,174.2,169969
"Jun 11, 2025",178.35,178.35,178.35,178.35,833650
"Jun 10, 2025",180.12,180.12,180.12,180.12,1162196
"Jun 05, 2025",173.64,173.64,173.64,173.64,122536
"Jun 04, 2025",174.89,174.89,174.89,174.89,541260
"Jun 02, 2025",164.54,164.54,164.54,164.54,273183
"May 30, 2025",163.12,163.12,163.12,163.12,221385
"May 29, 2025",164.41,164.41,164.41,164.41,1099565
"May 27, 2025",153.9,153.9,153.9,153.9,7089
"May 26, 2025",153.84,153.84,153.84,153.84,19188
"May 23, 2025",153.68,153.68,153.68,153.68,29419
"May 22, 2025",155.51,155.51,155.51,155.51,61629
"May 21, 2025",158.52,158.52,158.52,158.52,43451
"May 20, 2025",159.99,159.99,159.99,159.99,178044
"May 19, 2025",158.15,158.15,158.15,158.15,617107
"May 16, 2025",153.29,153.29,153.29,153.29,727141
"May 15, 2025",144.97,144.97,144.97,144.97,120390
"May 14, 2025",143.6,143.6,143.6,143.6,95841
"May 13, 2025",142.87,142.87,142.87,142.87,101249
"May 12, 2025",144.58,144.58,144.58,144.58,560014
"May 09, 2025",131.44,131.44,131.44,131.44,676079
"May 08, 2025",120.16,120.16,120.16,120.16,241343
"May 07, 2025",133.37,133.37,133.37,133.37,157850
"May 06, 2025",143.0,143.0,143.0,143.0,150362
"May 02, 2025",140.2,140.2,140.2,140.2,19366
"Apr 30, 2025",137.46,137.46,137.46,137.46,179628
"Apr 29, 2025",143.48,143.48,143.48,143.48,478607
"Apr 28, 2025",150.15,150.15,150.15,150.15,119808
"Apr 25, 2025",149.2,149.2,149.2,149.2,141195
"Apr 24, 2025",150.82,150.82,150.82,150.82,123680
"Apr 23, 2025",155.99,155.99,155.99,155.99,74100
"Apr 22, 2025",158.0,158.0,158.0,158.0,30135
"Apr 21, 2025",159.25,159.25,159.25,159.25,66867
"Apr 18, 2025",158.69,158.69,158.69,158.69,501846
"Apr 17, 2025",153.1,153.1,153.1,153.1,70232
"Apr 16, 2025",156.0,156.0,156.0,156.0,71662
"Apr 15, 2025",158.99,158.99,158.99,158.99,30321
"Apr 14, 2025",160.01,160.01,160.01,160.01,45063
"Apr 11, 2025",157.56,157.56,157.56,157.56,42785
"Apr 10, 2025",160.22,160.22,160.22,160.22,122290
"Apr 09, 2025",158.67,158.67,158.67,158.67,148324
"Apr 08, 2025",156.5,156.5,156.5,156.5,137563
"Apr 07, 2025",150.9,150.9,150.9,150.9,344907
"Apr 04, 2025",159.23,159.23,159.23,159.23,178206
"Apr 03, 2025",161.01,161.01,161.01,161.01,170792
"Mar 27, 2025",160.31,160.31,160.31,160.31,178067
"Mar 26, 2025",159.93,159.93,159.93,159.93,118352
"Mar 25, 2025",159.22,159.22,159.22,159.22,60616
"Mar 24, 2025",161.45,161.45,161.45,161.45,282174
"Mar 21, 2025",159.85,159.85,159.85,159.85,49884
"Mar 20, 2025",158.29,158.29,158.29,158.29,156408
"Mar 19, 2025",159.03,159.03,159.03,159.03,96704
"Mar 18, 2025",158.93,158.93,158.93,158.93,174735
"Mar 17, 2025",159.23,159.23,159.23,159.23,198135
"Mar 16, 2025",160.93,160.93,160.93,160.93,52869
"Mar 14, 2025",160.93,160.93,160.93,160.93,52869
"Mar 13, 2025",161.45,161.45,161.45,161.45,115077
"Mar 12, 2025",162.21,162.21,162.21,162.21,77895
"Mar 11, 2025",162.1,162.1,162.1,162.1,205101
"Mar 10, 2025",167.77,167.77,167.77,167.77,93892
"Mar 07, 2025",170.12,170.12,170.12,170.12,1037934
"Mar 06, 2025",165.21,165.21,165.21,165.21,349753
"Mar 05, 2025",159.45,159.45,159.45,159.45,514868
"Mar 04, 2025",156.73,156.73,156.73,156.73,19737
"Mar 03, 2025",157.02,157.02,157.02,157.02,60129
"Feb 28, 2025",157.32,157.32,157.32,157.32,76857
"Feb 27, 2025",160.0,160.0,160.0,160.0,97413
"Feb 26, 2025",160.01,160.01,160.01,160.01,103087
"Feb 25, 2025",163.48,163.48,163.48,163.48,7257
"Feb 24, 2025",161.52,161.52,161.52,161.52,32409
"Feb 23, 2025",162.09,162.09,162.09,162.09,139110
"Feb 22, 2025",162.09,162.09,162.09,162.09,139110
"Feb 21, 2025",162.09,162.09,162.09,162.09,139110
"Feb 20, 2025",163.76,163.76,163.76,163.76,170509
"Feb 19, 2025",163.0,163.0,163.0,163.0,18074
"Feb 18, 2025",163.28,163.28,163.28,163.28,24698
"Feb 17, 2025",162.94,162.94,162.94,162.94,182259
"Feb 16, 2025",161.87,161.87,161.87,161.87,110780
"Feb 15, 2025",161.87,161.87,161.87,161.87,110780
"Feb 14, 2025",161.87,161.87,161.87,161.87,110780
"Feb 13, 2025",163.37,163.37,163.37,163.37,33060
"Feb 12, 2025",163.51,163.51,163.51,163.51,55348
"Feb 11, 2025",163.05,163.05,163.05,163.05,47388
"Feb 10, 2025",162.83,162.83,162.83,162.83,99928
"Feb 09, 2025",163.4,163.4,163.4,163.4,138318
"Feb 08, 2025",163.4,163.4,163.4,163.4,138318
"Feb 07, 2025",163.4,163.4,163.4,163.4,138318
"Feb 06, 2025",163.7,163.7,163.7,163.7,107343
"Feb 05, 2025",162.95,162.95,162.95,162.95,187594
"Feb 04, 2025",162.95,162.95,162.95,162.95,187594
"Feb 03, 2025",162.08,162.08,162.08,162.08,365139
"Feb 02, 2025",157.67,157.67,157.67,157.67,242692
"Feb 01, 2025",157.67,157.67,157.67,157.67,242692
"Jan 31, 2025",157.67,157.67,157.67,157.67,242692
"Jan 30, 2025",155.19,155.19,155.19,155.19,43768
"Jan 29, 2025",153.47,153.47,153.47,153.47,107116
"Jan 28, 2025",156.95,156.95,156.95,156.95,345429
"Jan 27, 2025",161.2,161.2,161.2,161.2,167082
"Jan 26, 2025",164.89,164.89,164.89,164.89,141791
"Jan 25, 2025",164.89,164.89,164.89,164.89,141791
"Jan 24, 2025",164.89,164.89,164.89,164.89,141791
"Jan 23, 2025",165.04,165.04,165.04,165.04,177348
"Jan 22, 2025",167.36,167.36,167.36,167.36,295853
"Jan 21, 2025",164.02,164.02,164.02,164.02,351741
"Jan 20, 2025",169.21,169.21,169.21,169.21,819341
"Jan 19, 2025",170.26,170.26,170.26,170.26,433435
"Jan 18, 2025",170.26,170.26,170.26,170.26,433435
"Jan 17, 2025",170.26,170.26,170.26,170.26,433435
"Jan 16, 2025",170.92,170.92,170.92,170.92,273066
"Jan 15, 2025",175.02,175.02,175.02,175.02,277091
"Jan 14, 2025",174.33,174.33,174.33,174.33,116421
"Jan 13, 2025",173.61,173.61,173.61,173.61,167294
"Jan 12, 2025",172.13,172.13,172.13,172.13,106528
"Jan 11, 2025",172.13,172.13,172.13,172.13,106528
"Jan 10, 2025",172.13,172.13,172.13,172.13,106528
"Jan 09, 2025",171.99,171.99,171.99,171.99,271158
"Jan 08, 2025",173.95,173.95,173.95,173.95,387387
"Jan 07, 2025",178.85,178.85,178.85,178.85,360927
"Jan 06, 2025",181.79,181.79,181.79,181.79,487459
"Jan 05, 2025",185.83,185.83,185.83,185.83,276639
"Jan 04, 2025",185.83,185.83,185.83,185.83,276639
"Jan 03, 2025",185.83,185.83,185.83,185.83,276639
"Jan 02, 2025",184.48,184.48,184.48,184.48,692726
"Jan 01, 2025",191.35,191.35,191.35,191.35,2027559
"Dec 31, 2024",178.29,178.29,178.29,178.29,368551
"Dec 30, 2024",182.44,182.44,182.44,182.44,722380
"Dec 29, 2024",173.58,173.58,173.58,173.58,242186
"Dec 28, 2024",173.58,173.58,173.58,173.58,242186
"Dec 27, 2024",173.58,173.58,173.58,173.58,242186
"Dec 26, 2024",173.74,173.74,173.74,173.74,159678
"Dec 25, 2024",176.89,176.89,176.89,176.89,366557
"Dec 24, 2024",176.89,176.89,176.89,176.89,366557
