TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",86.87,86.87,86.87,86.87,1207591
"Nov 14, 2025",79.24,79.24,79.24,79.24,71806
"Nov 13, 2025",75.82,75.82,75.82,75.82,1964
"Nov 12, 2025",78.72,78.72,78.72,78.72,363387
"Nov 11, 2025",76.98,76.98,76.98,76.98,19440
"Nov 10, 2025",74.4,74.4,74.4,74.4,16722
"Nov 07, 2025",80.0,80.0,80.0,80.0,738
"Nov 06, 2025",82.67,82.67,82.67,82.67,320424
"Nov 05, 2025",81.0,81.0,81.0,81.0,8525
"Nov 04, 2025",83.69,83.69,83.69,83.69,383847
"Nov 03, 2025",77.41,77.41,77.41,77.41,336190
"Oct 31, 2025",71.55,71.55,71.55,71.55,188
"Oct 30, 2025",71.55,71.55,71.55,71.55,212
"Oct 29, 2025",71.55,71.55,71.55,71.55,740141
"Oct 28, 2025",71.55,71.55,71.55,71.55,100
"Oct 27, 2025",71.55,71.55,71.55,71.55,147229
"Oct 24, 2025",71.99,71.99,71.99,71.99,51026
"Oct 23, 2025",68.65,68.65,68.65,68.65,1382
"Oct 22, 2025",67.01,67.01,67.01,67.01,6520
"Oct 21, 2025",68.19,68.19,68.19,68.19,1806
"Oct 20, 2025",70.09,70.09,70.09,70.09,835
"Oct 17, 2025",72.51,72.51,72.51,72.51,13365
"Oct 16, 2025",74.61,74.61,74.61,74.61,317182
"Oct 15, 2025",69.1,69.1,69.1,69.1,2732
"Oct 14, 2025",68.03,68.03,68.03,68.03,5991
"Oct 13, 2025",71.59,71.59,71.59,71.59,10814
"Oct 10, 2025",73.31,73.31,73.31,73.31,176727
"Oct 09, 2025",72.46,72.46,72.46,72.46,239252
"Oct 08, 2025",66.12,66.12,66.12,66.12,4796
"Oct 07, 2025",70.57,70.57,70.57,70.57,73667
"Oct 06, 2025",68.64,68.64,68.64,68.64,9289
"Oct 03, 2025",72.89,72.89,72.89,72.89,23316
"Oct 02, 2025",77.58,77.58,77.58,77.58,67675
"Oct 01, 2025",72.35,72.35,72.35,72.35,248127
"Sep 30, 2025",76.65,76.65,76.65,76.65,817885
"Sep 29, 2025",74.34,74.34,74.34,74.34,36989
"Sep 26, 2025",67.64,67.64,67.64,67.64,1219898
"Sep 25, 2025",61.49,61.49,61.49,61.49,99355
"Sep 24, 2025",55.9,55.9,55.9,55.9,293686
"Sep 23, 2025",50.82,50.82,50.82,50.82,133180
"Sep 22, 2025",46.2,46.2,46.2,46.2,12268
"Sep 19, 2025",44.61,44.61,44.61,44.61,68213
"Sep 18, 2025",43.19,43.19,43.19,43.19,2187
"Sep 17, 2025",41.49,41.49,41.49,41.49,6350
"Sep 16, 2025",42.02,42.02,42.02,42.02,4835
"Sep 15, 2025",43.0,43.0,43.0,43.0,2014
"Sep 12, 2025",42.55,42.55,42.55,42.55,14203
"Sep 11, 2025",43.77,43.77,43.77,43.77,86854
"Sep 10, 2025",45.48,45.48,45.48,45.48,18031
"Sep 09, 2025",45.62,45.62,45.62,45.62,19613
"Sep 08, 2025",46.98,46.98,46.98,46.98,7869
"Sep 05, 2025",47.0,47.0,47.0,47.0,6889
"Sep 04, 2025",46.79,46.79,46.79,46.79,133590
"Sep 03, 2025",46.72,46.72,46.72,46.72,8908
"Sep 02, 2025",46.8,46.8,46.8,46.8,74826
"Sep 01, 2025",43.61,43.61,43.61,43.61,10283
"Aug 29, 2025",43.36,43.36,43.36,43.36,30244
"Aug 28, 2025",41.67,41.67,41.67,41.67,36399
"Aug 27, 2025",41.78,41.78,41.78,41.78,27638
"Aug 26, 2025",42.67,42.67,42.67,42.67,15732
"Aug 25, 2025",42.59,42.59,42.59,42.59,57822
"Aug 22, 2025",41.69,41.69,41.69,41.69,76426
"Aug 21, 2025",39.21,39.21,39.21,39.21,94994
"Aug 20, 2025",36.47,36.47,36.47,36.47,93984
"Aug 19, 2025",33.32,33.32,33.32,33.32,10127
"Aug 18, 2025",33.35,33.35,33.35,33.35,10312
"Aug 15, 2025",33.42,33.42,33.42,33.42,60964
