TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",9.13,9.13,9.13,9.13,152326
"Nov 14, 2025",9.03,9.03,9.03,9.03,135621
"Nov 13, 2025",8.96,8.96,8.96,8.96,275443
"Nov 12, 2025",9.01,9.01,9.01,9.01,306335
"Nov 11, 2025",9.05,9.05,9.05,9.05,596499
"Nov 10, 2025",9.3,9.3,9.3,9.3,544818
"Nov 07, 2025",9.04,9.04,9.04,9.04,86370
"Nov 06, 2025",9.08,9.08,9.08,9.08,668302
"Nov 05, 2025",9.03,9.03,9.03,9.03,365229
"Nov 04, 2025",9.01,9.01,9.01,9.01,339974
"Nov 03, 2025",9.21,9.21,9.21,9.21,91511
"Oct 31, 2025",9.2,9.2,9.2,9.2,203959
"Oct 30, 2025",8.96,8.96,8.96,8.96,384048
"Oct 29, 2025",9.01,9.01,9.01,9.01,470347
"Oct 28, 2025",9.01,9.01,9.01,9.01,539981
"Oct 27, 2025",9.09,9.09,9.09,9.09,722513
"Oct 24, 2025",9.51,9.51,9.51,9.51,625532
"Oct 23, 2025",9.63,9.63,9.63,9.63,758209
"Oct 22, 2025",9.42,9.42,9.42,9.42,479452
"Oct 21, 2025",9.31,9.31,9.31,9.31,863064
"Oct 20, 2025",9.37,9.37,9.37,9.37,718334
"Oct 17, 2025",9.54,9.54,9.54,9.54,498855
"Oct 16, 2025",9.48,9.48,9.48,9.48,748036
"Oct 15, 2025",9.48,9.48,9.48,9.48,861732
"Oct 14, 2025",9.51,9.51,9.51,9.51,537733
"Oct 13, 2025",9.29,9.29,9.29,9.29,700623
"Oct 10, 2025",9.5,9.5,9.5,9.5,1373154
"Oct 09, 2025",9.72,9.72,9.72,9.72,951374
"Oct 08, 2025",9.87,9.87,9.87,9.87,846002
"Oct 07, 2025",9.91,9.91,9.91,9.91,521946
"Oct 06, 2025",10.01,10.01,10.01,10.01,1076597
"Oct 03, 2025",10.25,10.25,10.25,10.25,1567543
"Oct 02, 2025",10.74,10.74,10.74,10.74,683382
"Oct 01, 2025",10.55,10.55,10.55,10.55,1360082
"Sep 30, 2025",10.58,10.58,10.58,10.58,3686014
"Sep 29, 2025",11.48,11.48,11.48,11.48,1727018
"Sep 26, 2025",11.61,11.61,11.61,11.61,2591202
"Sep 25, 2025",11.84,11.84,11.84,11.84,9003478
"Sep 24, 2025",12.13,12.13,12.13,12.13,30523015
"Sep 23, 2025",11.03,11.03,11.03,11.03,19981634
"Sep 22, 2025",10.25,10.25,10.25,10.25,1583315
"Sep 19, 2025",10.39,10.39,10.39,10.39,2211761
"Sep 18, 2025",10.44,10.44,10.44,10.44,2929877
"Sep 17, 2025",10.26,10.26,10.26,10.26,1385223
"Sep 16, 2025",10.34,10.34,10.34,10.34,816297
"Sep 15, 2025",10.32,10.32,10.32,10.32,961481
"Sep 12, 2025",10.33,10.33,10.33,10.33,3750860
"Sep 11, 2025",10.4,10.4,10.4,10.4,1926102
"Sep 10, 2025",10.21,10.21,10.21,10.21,642761
"Sep 09, 2025",10.18,10.18,10.18,10.18,1524547
"Sep 08, 2025",10.46,10.46,10.46,10.46,4828325
"Sep 05, 2025",10.08,10.08,10.08,10.08,1833080
"Sep 04, 2025",10.46,10.46,10.46,10.46,3389847
"Sep 03, 2025",10.8,10.8,10.8,10.8,6079339
"Sep 02, 2025",10.98,10.98,10.98,10.98,18536538
"Sep 01, 2025",10.19,10.19,10.19,10.19,9249776
"Aug 29, 2025",9.19,9.19,9.19,9.19,4172286
"Aug 28, 2025",8.97,8.97,8.97,8.97,618856
"Aug 27, 2025",9.04,9.04,9.04,9.04,1033782
"Aug 26, 2025",9.04,9.04,9.04,9.04,1461635
"Aug 25, 2025",8.92,8.92,8.92,8.92,186578
"Aug 22, 2025",8.93,8.93,8.93,8.93,652810
"Aug 21, 2025",8.8,8.8,8.8,8.8,888896
"Aug 20, 2025",8.9,8.9,8.9,8.9,807098
"Aug 19, 2025",8.83,8.83,8.83,8.83,1793112
"Aug 18, 2025",8.56,8.56,8.56,8.56,343912
"Aug 15, 2025",8.58,8.58,8.58,8.58,750205
"Aug 13, 2025",8.47,8.47,8.47,8.47,220373
"Aug 12, 2025",8.39,8.39,8.39,8.39,483160
"Aug 11, 2025",8.41,8.41,8.41,8.41,130178
"Aug 08, 2025",8.32,8.32,8.32,8.32,543790
"Aug 07, 2025",8.46,8.46,8.46,8.46,998975
"Aug 06, 2025",8.76,8.76,8.76,8.76,128458
"Aug 05, 2025",8.75,8.75,8.75,8.75,386028
"Aug 04, 2025",8.78,8.78,8.78,8.78,737040
"Aug 01, 2025",8.72,8.72,8.72,8.72,457227
"Jul 31, 2025",8.78,8.78,8.78,8.78,382537
"Jul 30, 2025",8.91,8.91,8.91,8.91,1102580
"Jul 29, 2025",9.18,9.18,9.18,9.18,1123663
"Jul 28, 2025",9.65,9.65,9.65,9.65,3052821
"Jul 25, 2025",9.41,9.41,9.41,9.41,1978968
"Jul 24, 2025",9.21,9.21,9.21,9.21,1042463
"Jul 23, 2025",9.21,9.21,9.21,9.21,757740
"Jul 22, 2025",9.23,9.23,9.23,9.23,1034907
"Jul 21, 2025",9.0,9.0,9.0,9.0,733661
"Jul 18, 2025",8.88,8.88,8.88,8.88,720750
"Jul 17, 2025",9.09,9.09,9.09,9.09,410455
"Jul 16, 2025",9.05,9.05,9.05,9.05,1249213
"Jul 15, 2025",9.16,9.16,9.16,9.16,7790590
"Jul 14, 2025",9.07,9.07,9.07,9.07,2396053
"Jul 11, 2025",8.92,8.92,8.92,8.92,614497
"Jul 10, 2025",8.97,8.97,8.97,8.97,1212378
"Jul 09, 2025",8.97,8.97,8.97,8.97,1188016
"Jul 08, 2025",9.02,9.02,9.02,9.02,1077449
"Jul 07, 2025",8.95,8.95,8.95,8.95,1054020
"Jul 04, 2025",9.0,9.0,9.0,9.0,1274523
"Jul 03, 2025",9.13,9.13,9.13,9.13,3684069
"Jul 02, 2025",8.93,8.93,8.93,8.93,2561913
"Jul 01, 2025",9.21,9.21,9.21,9.21,9290252
"Jun 30, 2025",8.58,8.58,8.58,8.58,1130109
"Jun 27, 2025",8.17,8.17,8.17,8.17,273192
"Jun 26, 2025",8.12,8.12,8.12,8.12,200397
"Jun 25, 2025",8.22,8.22,8.22,8.22,297046
"Jun 24, 2025",8.0,8.0,8.0,8.0,969837
"Jun 23, 2025",7.55,7.55,7.55,7.55,657772
"Jun 20, 2025",8.24,8.24,8.24,8.24,917785
"Jun 19, 2025",8.0,8.0,8.0,8.0,913062
"Jun 18, 2025",8.24,8.24,8.24,8.24,898308
"Jun 17, 2025",8.45,8.45,8.45,8.45,1215014
"Jun 16, 2025",8.44,8.44,8.44,8.44,2155247
"Jun 13, 2025",8.06,8.06,8.06,8.06,882332
"Jun 12, 2025",8.22,8.22,8.22,8.22,1712879
"Jun 11, 2025",8.29,8.29,8.29,8.29,1295611
"Jun 10, 2025",8.17,8.17,8.17,8.17,917837
"Jun 05, 2025",7.98,7.98,7.98,7.98,258536
"Jun 04, 2025",7.86,7.86,7.86,7.86,651698
