TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",22.5,22.5,22.5,22.5,505
"Nov 14, 2025",22.26,22.26,22.26,22.26,151
"Nov 13, 2025",22.26,22.26,22.26,22.26,150
"Nov 12, 2025",22.26,22.26,22.26,22.26,51
"Nov 11, 2025",22.26,22.26,22.26,22.26,2
"Nov 10, 2025",22.26,22.26,22.26,22.26,2011
"Nov 07, 2025",22.81,22.81,22.81,22.81,2510
"Nov 06, 2025",22.83,22.83,22.83,22.83,1902
"Nov 05, 2025",22.8,22.8,22.8,22.8,5511
"Nov 04, 2025",22.59,22.59,22.59,22.59,6937
"Nov 03, 2025",21.65,21.65,21.65,21.65,2053
"Oct 31, 2025",22.04,22.04,22.04,22.04,17756
"Oct 30, 2025",23.89,23.89,23.89,23.89,15718
"Oct 29, 2025",21.74,21.74,21.74,21.74,1971
"Oct 28, 2025",22.2,22.2,22.2,22.2,720
"Oct 27, 2025",21.91,21.91,21.91,21.91,6450
"Oct 24, 2025",22.08,22.08,22.08,22.08,3618
"Oct 23, 2025",22.24,22.24,22.24,22.24,7483
"Oct 22, 2025",22.61,22.61,22.61,22.61,1388
"Oct 21, 2025",22.89,22.89,22.89,22.89,3421
"Oct 20, 2025",23.3,23.3,23.3,23.3,1650
"Oct 17, 2025",22.89,22.89,22.89,22.89,604
"Oct 16, 2025",23.05,23.05,23.05,23.05,3933
"Oct 15, 2025",24.1,24.1,24.1,24.1,1584
"Oct 14, 2025",24.09,24.09,24.09,24.09,4180
"Oct 13, 2025",22.64,22.64,22.64,22.64,2932
"Oct 10, 2025",22.79,22.79,22.79,22.79,14868
"Oct 09, 2025",24.24,24.24,24.24,24.24,2
"Oct 08, 2025",24.24,24.24,24.24,24.24,2805
"Oct 07, 2025",23.86,23.86,23.86,23.86,4788
"Oct 06, 2025",23.56,23.56,23.56,23.56,4674
"Oct 03, 2025",24.63,24.63,24.63,24.63,12558
"Oct 02, 2025",25.09,25.09,25.09,25.09,16625
"Oct 01, 2025",26.63,26.63,26.63,26.63,1150
"Sep 30, 2025",26.2,26.2,26.2,26.2,24699
"Sep 29, 2025",26.65,26.65,26.65,26.65,4581
"Sep 26, 2025",25.63,25.63,25.63,25.63,6686
"Sep 25, 2025",27.2,27.2,27.2,27.2,5781
"Sep 24, 2025",27.3,27.3,27.3,27.3,3233
"Sep 23, 2025",27.75,27.75,27.75,27.75,28581
"Sep 22, 2025",27.61,27.61,27.61,27.61,7870
"Sep 19, 2025",28.46,28.46,28.46,28.46,3136
"Sep 18, 2025",27.97,27.97,27.97,27.97,5265
"Sep 17, 2025",28.21,28.21,28.21,28.21,9892
"Sep 16, 2025",29.5,29.5,29.5,29.5,25911
"Sep 15, 2025",27.99,27.99,27.99,27.99,45167
"Sep 12, 2025",28.5,28.5,28.5,28.5,18955
"Sep 11, 2025",27.79,27.79,27.79,27.79,4409
"Sep 10, 2025",28.02,28.02,28.02,28.02,12802
"Sep 09, 2025",28.04,28.04,28.04,28.04,7314
"Sep 08, 2025",29.23,29.23,29.23,29.23,25039
"Sep 05, 2025",30.68,30.68,30.68,30.68,17239
"Sep 04, 2025",30.6,30.6,30.6,30.6,6077
"Sep 03, 2025",31.01,31.01,31.01,31.01,13433
"Sep 02, 2025",30.91,30.91,30.91,30.91,4967
"Sep 01, 2025",31.68,31.68,31.68,31.68,8202
"Aug 29, 2025",31.93,31.93,31.93,31.93,12047
"Aug 28, 2025",32.7,32.7,32.7,32.7,6069
"Aug 27, 2025",32.52,32.52,32.52,32.52,5310
"Aug 26, 2025",33.33,33.33,33.33,33.33,12092
"Aug 25, 2025",34.04,34.04,34.04,34.04,36859
"Aug 22, 2025",36.56,36.56,36.56,36.56,312523
"Aug 21, 2025",36.0,36.0,36.0,36.0,62047
"Aug 20, 2025",32.73,32.73,32.73,32.73,132667
"Aug 19, 2025",29.75,29.75,29.75,29.75,37958
"Aug 18, 2025",27.25,27.25,27.25,27.25,3011
"Aug 15, 2025",27.18,27.18,27.18,27.18,2374
"Aug 13, 2025",27.17,27.17,27.17,27.17,2395
"Aug 12, 2025",27.2,27.2,27.2,27.2,6241
"Aug 11, 2025",27.15,27.15,27.15,27.15,3107
"Aug 08, 2025",27.5,27.5,27.5,27.5,6670
"Aug 07, 2025",28.0,28.0,28.0,28.0,11934
"Aug 06, 2025",28.33,28.33,28.33,28.33,12067
"Aug 05, 2025",29.73,29.73,29.73,29.73,12390
"Aug 04, 2025",28.09,28.09,28.09,28.09,25134
"Aug 01, 2025",27.12,27.12,27.12,27.12,3772
"Jul 31, 2025",27.97,27.97,27.97,27.97,6024
"Jul 30, 2025",27.71,27.71,27.71,27.71,24573
"Jul 29, 2025",30.5,30.5,30.5,30.5,9903
"Jul 28, 2025",30.61,30.61,30.61,30.61,19144
"Jul 25, 2025",30.22,30.22,30.22,30.22,24167
"Jul 24, 2025",27.99,27.99,27.99,27.99,3880
"Jul 23, 2025",28.0,28.0,28.0,28.0,5705
"Jul 22, 2025",29.07,29.07,29.07,29.07,12704
"Jul 21, 2025",28.71,28.71,28.71,28.71,5121
"Jul 18, 2025",29.5,29.5,29.5,29.5,32726
"Jul 17, 2025",31.34,31.34,31.34,31.34,72922
"Jul 16, 2025",28.59,28.59,28.59,28.59,10788
"Jul 15, 2025",28.81,28.81,28.81,28.81,5993
"Jul 14, 2025",30.88,30.88,30.88,30.88,47201
"Jul 11, 2025",32.74,32.74,32.74,32.74,87079
"Jul 10, 2025",29.76,29.76,29.76,29.76,120292
"Jul 09, 2025",27.05,27.05,27.05,27.05,12542
"Jul 08, 2025",28.5,28.5,28.5,28.5,10535
"Jul 07, 2025",28.56,28.56,28.56,28.56,10972
