TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",81.95,81.95,81.95,81.95,33772
"Nov 14, 2025",81.5,81.5,81.5,81.5,1817
"Nov 13, 2025",80.54,80.54,80.54,80.54,35175
"Nov 12, 2025",79.61,79.61,79.61,79.61,7863
"Nov 11, 2025",80.3,80.3,80.3,80.3,6193
"Nov 10, 2025",81.06,81.06,81.06,81.06,11079
"Nov 07, 2025",81.26,81.26,81.26,81.26,7951
"Nov 06, 2025",81.5,81.5,81.5,81.5,115007
"Nov 05, 2025",81.75,81.75,81.75,81.75,28559
"Nov 04, 2025",84.66,84.66,84.66,84.66,1541935
"Nov 03, 2025",83.55,83.55,83.55,83.55,470882
"Oct 31, 2025",81.63,81.63,81.63,81.63,77614
"Oct 30, 2025",78.51,78.51,78.51,78.51,25607
"Oct 29, 2025",78.15,78.15,78.15,78.15,20120
"Oct 28, 2025",79.0,79.0,79.0,79.0,11332
"Oct 27, 2025",79.81,79.81,79.81,79.81,15540
"Oct 24, 2025",81.46,81.46,81.46,81.46,50053
"Oct 23, 2025",80.91,80.91,80.91,80.91,45051
"Oct 22, 2025",82.3,82.3,82.3,82.3,71085
"Oct 21, 2025",81.24,81.24,81.24,81.24,246378
"Oct 20, 2025",82.49,82.49,82.49,82.49,904064
"Oct 17, 2025",82.52,82.52,82.52,82.52,46659
"Oct 16, 2025",81.41,81.41,81.41,81.41,36068
"Oct 15, 2025",82.38,82.38,82.38,82.38,45391
"Oct 14, 2025",80.0,80.0,80.0,80.0,77700
"Oct 13, 2025",76.95,76.95,76.95,76.95,95404
"Oct 10, 2025",79.25,79.25,79.25,79.25,41421
"Oct 09, 2025",81.02,81.02,81.02,81.02,109996
"Oct 08, 2025",81.38,81.38,81.38,81.38,101111
"Oct 07, 2025",81.9,81.9,81.9,81.9,261689
"Oct 06, 2025",83.12,83.12,83.12,83.12,70037
"Oct 03, 2025",83.38,83.38,83.38,83.38,549395
"Oct 02, 2025",81.01,81.01,81.01,81.01,151860
"Oct 01, 2025",81.25,81.25,81.25,81.25,174628
"Sep 30, 2025",80.49,80.49,80.49,80.49,801706
"Sep 29, 2025",83.55,83.55,83.55,83.55,423899
"Sep 26, 2025",85.5,85.5,85.5,85.5,422590
"Sep 25, 2025",86.14,86.14,86.14,86.14,99425
"Sep 24, 2025",88.54,88.54,88.54,88.54,226483
"Sep 23, 2025",87.01,87.01,87.01,87.01,86646
