TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",172.0,172.0,172.0,172.0,59
"Nov 14, 2025",172.0,172.0,172.0,172.0,319
"Nov 13, 2025",166.04,166.04,166.04,166.04,1925
"Nov 12, 2025",166.99,166.99,166.99,166.99,170
"Nov 11, 2025",167.12,167.12,167.12,167.12,2940
"Nov 10, 2025",171.7,171.7,171.7,171.7,522
"Nov 07, 2025",171.7,171.7,171.7,171.7,181
"Nov 06, 2025",163.4,163.4,163.4,163.4,152
"Nov 05, 2025",163.4,163.4,163.4,163.4,30819
"Nov 04, 2025",168.0,168.0,168.0,168.0,306
"Nov 03, 2025",168.0,168.0,168.0,168.0,311
"Oct 31, 2025",163.47,163.47,163.47,163.47,600
"Oct 30, 2025",165.76,165.76,165.76,165.76,616
"Oct 29, 2025",163.01,163.01,163.01,163.01,1791
"Oct 28, 2025",170.15,170.15,170.15,170.15,1500
"Oct 27, 2025",170.15,170.15,170.15,170.15,7076
"Oct 24, 2025",171.02,171.02,171.02,171.02,10
"Oct 23, 2025",171.02,171.02,171.02,171.02,12112
"Oct 22, 2025",172.0,172.0,172.0,172.0,4910
"Oct 21, 2025",172.0,172.0,172.0,172.0,2243
"Oct 20, 2025",170.05,170.05,170.05,170.05,13902
"Oct 17, 2025",166.06,166.06,166.06,166.06,208
"Oct 16, 2025",169.0,169.0,169.0,169.0,2800
"Oct 15, 2025",169.16,169.16,169.16,169.16,6506
"Oct 14, 2025",167.99,167.99,167.99,167.99,3361
"Oct 13, 2025",163.53,163.53,163.53,163.53,8547
"Oct 10, 2025",171.34,171.34,171.34,171.34,2547
"Oct 09, 2025",168.01,168.01,168.01,168.01,1284
"Oct 08, 2025",165.16,165.16,165.16,165.16,8548
"Oct 07, 2025",170.83,170.83,170.83,170.83,3105
"Oct 06, 2025",170.0,170.0,170.0,170.0,7093
"Oct 03, 2025",174.84,174.84,174.84,174.84,6150
"Oct 02, 2025",172.54,172.54,172.54,172.54,8691
"Oct 01, 2025",174.66,174.66,174.66,174.66,91423
"Sep 30, 2025",165.27,165.27,165.27,165.27,13623
"Sep 29, 2025",167.96,167.96,167.96,167.96,27729
"Sep 26, 2025",165.0,165.0,165.0,165.0,30113
"Sep 25, 2025",166.69,166.69,166.69,166.69,1787
"Sep 24, 2025",165.0,165.0,165.0,165.0,5990
"Sep 23, 2025",165.3,165.3,165.3,165.3,11044
"Sep 22, 2025",168.55,168.55,168.55,168.55,629
"Sep 19, 2025",168.74,168.74,168.74,168.74,2149
"Sep 18, 2025",166.11,166.11,166.11,166.11,7553
"Sep 17, 2025",169.35,169.35,169.35,169.35,864
"Sep 16, 2025",166.27,166.27,166.27,166.27,12670
"Sep 15, 2025",167.01,167.01,167.01,167.01,2773
"Sep 12, 2025",165.4,165.4,165.4,165.4,1075
"Sep 11, 2025",171.5,171.5,171.5,171.5,10400
"Sep 10, 2025",170.34,170.34,170.34,170.34,6069
"Sep 09, 2025",170.74,170.74,170.74,170.74,24722
"Sep 08, 2025",172.75,172.75,172.75,172.75,15672
"Sep 05, 2025",174.16,174.16,174.16,174.16,5870
"Sep 04, 2025",171.21,171.21,171.21,171.21,17346
"Sep 03, 2025",170.1,170.1,170.1,170.1,20981
"Sep 02, 2025",166.23,166.23,166.23,166.23,2529
"Sep 01, 2025",169.59,169.59,169.59,169.59,1891
"Aug 29, 2025",163.52,163.52,163.52,163.52,19871
"Aug 28, 2025",169.62,169.62,169.62,169.62,6607
"Aug 27, 2025",168.97,168.97,168.97,168.97,27725
"Aug 26, 2025",169.49,169.49,169.49,169.49,9170
"Aug 25, 2025",172.98,172.98,172.98,172.98,5190
"Aug 22, 2025",177.98,177.98,177.98,177.98,2757
"Aug 21, 2025",174.18,174.18,174.18,174.18,9282
"Aug 20, 2025",176.59,176.59,176.59,176.59,19939
"Aug 19, 2025",173.65,173.65,173.65,173.65,48024
"Aug 18, 2025",175.54,175.54,175.54,175.54,1577
"Aug 15, 2025",175.79,175.79,175.79,175.79,10571
"Aug 13, 2025",176.0,176.0,176.0,176.0,6150
"Aug 12, 2025",176.16,176.16,176.16,176.16,8954
"Aug 11, 2025",171.54,171.54,171.54,171.54,15858
"Aug 08, 2025",172.08,172.08,172.08,172.08,8236
"Aug 07, 2025",176.57,176.57,176.57,176.57,5332
"Aug 06, 2025",175.0,175.0,175.0,175.0,4412
"Aug 05, 2025",174.0,174.0,174.0,174.0,9221
"Aug 04, 2025",170.73,170.73,170.73,170.73,7987
"Aug 01, 2025",171.44,171.44,171.44,171.44,7660
"Jul 31, 2025",177.98,177.98,177.98,177.98,35307
"Jul 30, 2025",177.37,177.37,177.37,177.37,2774
"Jul 29, 2025",175.6,175.6,175.6,175.6,2816
"Jul 28, 2025",178.44,178.44,178.44,178.44,9990
"Jul 25, 2025",174.12,174.12,174.12,174.12,1530
"Jul 24, 2025",175.0,175.0,175.0,175.0,39343
"Jul 23, 2025",180.19,180.19,180.19,180.19,7878
"Jul 22, 2025",178.95,178.95,178.95,178.95,9781
"Jul 21, 2025",171.04,171.04,171.04,171.04,6627
"Jul 18, 2025",170.14,170.14,170.14,170.14,4199
"Jul 17, 2025",179.93,179.93,179.93,179.93,45117
"Jul 16, 2025",174.51,174.51,174.51,174.51,25829
"Jul 15, 2025",180.03,180.03,180.03,180.03,30673
"Jul 14, 2025",182.93,182.93,182.93,182.93,44983
"Jul 11, 2025",177.29,177.29,177.29,177.29,47726
"Jul 10, 2025",172.17,172.17,172.17,172.17,13337
"Jul 09, 2025",174.0,174.0,174.0,174.0,3255
"Jul 08, 2025",175.0,175.0,175.0,175.0,21459
"Jul 07, 2025",174.71,174.71,174.71,174.71,23150
"Jul 04, 2025",168.0,168.0,168.0,168.0,22592
"Jul 03, 2025",159.68,159.68,159.68,159.68,25864
"Jul 02, 2025",164.89,164.89,164.89,164.89,77050
"Jul 01, 2025",158.73,158.73,158.73,158.73,61444
"Jun 30, 2025",156.01,156.01,156.01,156.01,4430
"Jun 27, 2025",155.0,155.0,155.0,155.0,13139
"Jun 26, 2025",154.11,154.11,154.11,154.11,91813
"Jun 25, 2025",151.6,151.6,151.6,151.6,38943
"Jun 24, 2025",141.75,141.75,141.75,141.75,5310
"Jun 23, 2025",138.65,138.65,138.65,138.65,16614
"Jun 20, 2025",140.19,140.19,140.19,140.19,2304
"Jun 19, 2025",141.96,141.96,141.96,141.96,1209
"Jun 18, 2025",145.0,145.0,145.0,145.0,144
"Jun 17, 2025",145.0,145.0,145.0,145.0,18345
"Jun 16, 2025",143.0,143.0,143.0,143.0,1419
"Jun 13, 2025",140.02,140.02,140.02,140.02,520
"Jun 12, 2025",143.0,143.0,143.0,143.0,1484
"Jun 11, 2025",142.71,142.71,142.71,142.71,6057
"Jun 10, 2025",140.94,140.94,140.94,140.94,11
"Jun 05, 2025",140.94,140.94,140.94,140.94,26099
"Jun 04, 2025",144.5,144.5,144.5,144.5,15861
"Jun 02, 2025",150.48,150.48,150.48,150.48,11224
"May 30, 2025",154.25,154.25,154.25,154.25,78185
"May 29, 2025",140.29,140.29,140.29,140.29,16905
"May 27, 2025",137.0,137.0,137.0,137.0,4659
"May 26, 2025",138.27,138.27,138.27,138.27,19574
"May 23, 2025",136.0,136.0,136.0,136.0,655
"May 22, 2025",136.0,136.0,136.0,136.0,1901
