TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",43.45,43.45,43.45,43.45,8600
"Nov 14, 2025",39.87,39.87,39.87,39.87,5691
"Nov 13, 2025",40.48,40.48,40.48,40.48,511
"Nov 12, 2025",40.0,40.0,40.0,40.0,6108
"Nov 11, 2025",40.0,40.0,40.0,40.0,14132
"Nov 10, 2025",41.0,41.0,41.0,41.0,1896
"Nov 07, 2025",41.03,41.03,41.03,41.03,8999
"Nov 06, 2025",41.99,41.99,41.99,41.99,56912
"Nov 05, 2025",42.0,42.0,42.0,42.0,15162
"Nov 04, 2025",41.99,41.99,41.99,41.99,127288
"Nov 03, 2025",43.0,43.0,43.0,43.0,1726
"Oct 31, 2025",43.61,43.61,43.61,43.61,8511
"Oct 30, 2025",42.96,42.96,42.96,42.96,2561
"Oct 29, 2025",42.67,42.67,42.67,42.67,14609
"Oct 28, 2025",42.0,42.0,42.0,42.0,24671
"Oct 27, 2025",43.62,43.62,43.62,43.62,33058
"Oct 24, 2025",42.01,42.01,42.01,42.01,120805
"Oct 23, 2025",43.99,43.99,43.99,43.99,64125
"Oct 22, 2025",41.8,41.8,41.8,41.8,136720
"Oct 21, 2025",38.0,38.0,38.0,38.0,24376
"Oct 20, 2025",37.85,37.85,37.85,37.85,17506
"Oct 17, 2025",37.79,37.79,37.79,37.79,345759
"Oct 16, 2025",36.25,36.25,36.25,36.25,39448
"Oct 15, 2025",36.95,36.95,36.95,36.95,25391
"Oct 14, 2025",37.0,37.0,37.0,37.0,12389
"Oct 13, 2025",35.0,35.0,35.0,35.0,13326
"Oct 10, 2025",37.02,37.02,37.02,37.02,6301
"Oct 09, 2025",39.62,39.62,39.62,39.62,18224
"Oct 08, 2025",37.6,37.6,37.6,37.6,22662
"Oct 07, 2025",38.92,38.92,38.92,38.92,68669
"Oct 06, 2025",38.85,38.85,38.85,38.85,121146
"Oct 03, 2025",35.93,35.93,35.93,35.93,82335
"Oct 02, 2025",32.66,32.66,32.66,32.66,43648
"Oct 01, 2025",31.99,31.99,31.99,31.99,45698
"Sep 30, 2025",30.0,30.0,30.0,30.0,2691
"Sep 29, 2025",30.0,30.0,30.0,30.0,31033
"Sep 26, 2025",29.19,29.19,29.19,29.19,4058
"Sep 25, 2025",29.76,29.76,29.76,29.76,166727
"Sep 24, 2025",29.5,29.5,29.5,29.5,5253
"Sep 23, 2025",29.14,29.14,29.14,29.14,1047
"Sep 22, 2025",29.81,29.81,29.81,29.81,19440
"Sep 19, 2025",30.6,30.6,30.6,30.6,23952
"Sep 18, 2025",29.99,29.99,29.99,29.99,37704
"Sep 17, 2025",29.86,29.86,29.86,29.86,257
"Sep 16, 2025",29.86,29.86,29.86,29.86,2232
"Sep 15, 2025",30.3,30.3,30.3,30.3,121
"Sep 12, 2025",30.3,30.3,30.3,30.3,7056
"Sep 11, 2025",30.3,30.3,30.3,30.3,2262
"Sep 10, 2025",30.3,30.3,30.3,30.3,3010
"Sep 09, 2025",30.49,30.49,30.49,30.49,23741
"Sep 08, 2025",29.85,29.85,29.85,29.85,9231
"Sep 05, 2025",29.6,29.6,29.6,29.6,113708
"Sep 04, 2025",30.09,30.09,30.09,30.09,2037
"Sep 03, 2025",30.45,30.45,30.45,30.45,91251
"Sep 02, 2025",30.3,30.3,30.3,30.3,4253
"Sep 01, 2025",30.0,30.0,30.0,30.0,10743
"Aug 29, 2025",31.0,31.0,31.0,31.0,22333
"Aug 28, 2025",30.5,30.5,30.5,30.5,24395
"Aug 27, 2025",31.0,31.0,31.0,31.0,7260
"Aug 26, 2025",30.43,30.43,30.43,30.43,4100
"Aug 25, 2025",31.86,31.86,31.86,31.86,12286
"Aug 22, 2025",31.01,31.01,31.01,31.01,3747
"Aug 21, 2025",32.5,32.5,32.5,32.5,14324
"Aug 20, 2025",32.0,32.0,32.0,32.0,23827
"Aug 19, 2025",33.05,33.05,33.05,33.05,12003
"Aug 18, 2025",30.99,30.99,30.99,30.99,1595
"Aug 15, 2025",30.96,30.96,30.96,30.96,4106
"Aug 13, 2025",30.95,30.95,30.95,30.95,14663
"Aug 12, 2025",30.94,30.94,30.94,30.94,10832
"Aug 11, 2025",31.95,31.95,31.95,31.95,5779
"Aug 08, 2025",31.97,31.97,31.97,31.97,5570
"Aug 07, 2025",30.11,30.11,30.11,30.11,32748
"Aug 06, 2025",33.02,33.02,33.02,33.02,46721
"Aug 05, 2025",32.26,32.26,32.26,32.26,22050
"Aug 04, 2025",33.56,33.56,33.56,33.56,31114
"Aug 01, 2025",30.52,30.52,30.52,30.52,1501
"Jul 31, 2025",29.0,29.0,29.0,29.0,603
"Jul 30, 2025",29.02,29.02,29.02,29.02,2534
"Jul 29, 2025",30.21,30.21,30.21,30.21,24252
"Jul 28, 2025",28.51,28.51,28.51,28.51,17505
"Jul 25, 2025",28.0,28.0,28.0,28.0,7139
"Jul 24, 2025",28.0,28.0,28.0,28.0,16101
"Jul 23, 2025",28.28,28.28,28.28,28.28,1500
"Jul 22, 2025",28.01,28.01,28.01,28.01,6025
"Jul 21, 2025",27.4,27.4,27.4,27.4,574
"Jul 18, 2025",28.0,28.0,28.0,28.0,14211
"Jul 17, 2025",29.28,29.28,29.28,29.28,13006
"Jul 16, 2025",27.03,27.03,27.03,27.03,8900
"Jul 15, 2025",27.0,27.0,27.0,27.0,22880
"Jul 14, 2025",28.01,28.01,28.01,28.01,5649
"Jul 11, 2025",27.3,27.3,27.3,27.3,108
"Jul 10, 2025",27.3,27.3,27.3,27.3,154
"Jul 09, 2025",27.3,27.3,27.3,27.3,1250
