TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",30.08,30.08,30.08,30.08,578220
"Nov 14, 2025",30.14,30.14,30.14,30.14,199422
"Nov 13, 2025",30.16,30.16,30.16,30.16,484838
"Nov 12, 2025",30.04,30.04,30.04,30.04,555798
"Nov 11, 2025",30.45,30.45,30.45,30.45,842124
"Nov 10, 2025",30.15,30.15,30.15,30.15,299823
"Nov 07, 2025",30.05,30.05,30.05,30.05,506121
"Nov 06, 2025",30.23,30.23,30.23,30.23,501454
"Nov 05, 2025",30.31,30.31,30.31,30.31,1394503
"Nov 04, 2025",30.1,30.1,30.1,30.1,1717299
"Nov 03, 2025",30.54,30.54,30.54,30.54,7745088
"Oct 31, 2025",28.88,28.88,28.88,28.88,705142
"Oct 30, 2025",28.91,28.91,28.91,28.91,818778
"Oct 29, 2025",29.18,29.18,29.18,29.18,460354
"Oct 28, 2025",29.3,29.3,29.3,29.3,1835342
"Oct 27, 2025",29.6,29.6,29.6,29.6,1292562
"Oct 24, 2025",30.06,30.06,30.06,30.06,2167102
"Oct 23, 2025",31.89,31.89,31.89,31.89,871401
"Oct 22, 2025",31.99,31.99,31.99,31.99,890044
"Oct 21, 2025",32.12,32.12,32.12,32.12,1072680
"Oct 20, 2025",32.68,32.68,32.68,32.68,363616
"Oct 17, 2025",32.71,32.71,32.71,32.71,428000
"Oct 16, 2025",32.96,32.96,32.96,32.96,1044855
"Oct 15, 2025",35.71,35.71,35.71,35.71,1815083
"Oct 14, 2025",35.42,35.42,35.42,35.42,682644
"Oct 13, 2025",34.88,34.88,34.88,34.88,976375
"Oct 10, 2025",34.94,34.94,34.94,34.94,646646
"Oct 09, 2025",35.08,35.08,35.08,35.08,660240
"Oct 08, 2025",35.19,35.19,35.19,35.19,575530
"Oct 07, 2025",35.32,35.32,35.32,35.32,452656
"Oct 06, 2025",35.33,35.33,35.33,35.33,762802
"Oct 03, 2025",35.22,35.22,35.22,35.22,488797
"Oct 02, 2025",35.21,35.21,35.21,35.21,972647
"Oct 01, 2025",35.3,35.3,35.3,35.3,805603
"Sep 30, 2025",35.14,35.14,35.14,35.14,1044829
"Sep 29, 2025",35.04,35.04,35.04,35.04,965107
"Sep 26, 2025",35.16,35.16,35.16,35.16,4361098
"Sep 25, 2025",35.29,35.29,35.29,35.29,473007
"Sep 24, 2025",35.34,35.34,35.34,35.34,598033
"Sep 23, 2025",34.96,34.96,34.96,34.96,1046631
"Sep 22, 2025",35.14,35.14,35.14,35.14,1363085
"Sep 19, 2025",35.36,35.36,35.36,35.36,595593
"Sep 18, 2025",35.4,35.4,35.4,35.4,1823570
"Sep 17, 2025",35.35,35.35,35.35,35.35,2050247
"Sep 16, 2025",35.73,35.73,35.73,35.73,1854127
"Sep 15, 2025",36.0,36.0,36.0,36.0,4582326
"Sep 12, 2025",36.64,36.64,36.64,36.64,1708741
"Sep 11, 2025",36.52,36.52,36.52,36.52,2252736
"Sep 10, 2025",36.59,36.59,36.59,36.59,1367414
"Sep 09, 2025",36.44,36.44,36.44,36.44,1429250
"Sep 08, 2025",36.8,36.8,36.8,36.8,2961312
"Sep 05, 2025",36.88,36.88,36.88,36.88,3480178
"Sep 04, 2025",35.77,35.77,35.77,35.77,556590
"Sep 03, 2025",35.8,35.8,35.8,35.8,691204
"Sep 02, 2025",35.62,35.62,35.62,35.62,364148
"Sep 01, 2025",35.78,35.78,35.78,35.78,423278
"Aug 29, 2025",35.67,35.67,35.67,35.67,261948
"Aug 28, 2025",35.7,35.7,35.7,35.7,144749
"Aug 27, 2025",35.59,35.59,35.59,35.59,493248
"Aug 26, 2025",35.86,35.86,35.86,35.86,896021
"Aug 25, 2025",35.71,35.71,35.71,35.71,417500
"Aug 22, 2025",35.58,35.58,35.58,35.58,458574
"Aug 21, 2025",35.51,35.51,35.51,35.51,1411012
"Aug 20, 2025",36.23,36.23,36.23,36.23,883462
"Aug 19, 2025",36.57,36.57,36.57,36.57,5011778
"Aug 18, 2025",35.93,35.93,35.93,35.93,609997
"Aug 15, 2025",35.78,35.78,35.78,35.78,600684
"Aug 13, 2025",35.53,35.53,35.53,35.53,1667528
"Aug 12, 2025",35.06,35.06,35.06,35.06,2053078
"Aug 11, 2025",34.45,34.45,34.45,34.45,506964
"Aug 08, 2025",34.36,34.36,34.36,34.36,1060419
"Aug 07, 2025",34.46,34.46,34.46,34.46,1071893
"Aug 06, 2025",34.53,34.53,34.53,34.53,649248
"Aug 05, 2025",34.28,34.28,34.28,34.28,489608
"Aug 04, 2025",33.99,33.99,33.99,33.99,592068
"Aug 01, 2025",33.79,33.79,33.79,33.79,287387
"Jul 31, 2025",33.55,33.55,33.55,33.55,400376
"Jul 30, 2025",33.76,33.76,33.76,33.76,221027
"Jul 29, 2025",33.75,33.75,33.75,33.75,323478
"Jul 28, 2025",33.76,33.76,33.76,33.76,213997
"Jul 25, 2025",33.8,33.8,33.8,33.8,274249
"Jul 24, 2025",33.84,33.84,33.84,33.84,230636
"Jul 23, 2025",33.63,33.63,33.63,33.63,162249
"Jul 22, 2025",33.61,33.61,33.61,33.61,167623
"Jul 21, 2025",33.71,33.71,33.71,33.71,307144
"Jul 18, 2025",33.87,33.87,33.87,33.87,266528
"Jul 17, 2025",34.02,34.02,34.02,34.02,545473
"Jul 16, 2025",33.97,33.97,33.97,33.97,285650
"Jul 15, 2025",34.02,34.02,34.02,34.02,657874
"Jul 14, 2025",33.98,33.98,33.98,33.98,551552
"Jul 11, 2025",33.98,33.98,33.98,33.98,507188
"Jul 10, 2025",33.9,33.9,33.9,33.9,817048
"Jul 09, 2025",33.59,33.59,33.59,33.59,708526
"Jul 08, 2025",33.07,33.07,33.07,33.07,829830
"Jul 07, 2025",32.94,32.94,32.94,32.94,526282
"Jul 04, 2025",33.01,33.01,33.01,33.01,369871
"Jul 03, 2025",32.84,32.84,32.84,32.84,806395
"Jul 02, 2025",33.13,33.13,33.13,33.13,582879
"Jul 01, 2025",33.11,33.11,33.11,33.11,272829
"Jun 30, 2025",32.98,32.98,32.98,32.98,509491
"Jun 27, 2025",32.97,32.97,32.97,32.97,220222
"Jun 26, 2025",32.96,32.96,32.96,32.96,756694
"Jun 25, 2025",32.87,32.87,32.87,32.87,300874
"Jun 24, 2025",32.92,32.92,32.92,32.92,874292
"Jun 23, 2025",31.6,31.6,31.6,31.6,467794
"Jun 20, 2025",32.73,32.73,32.73,32.73,148660
"Jun 19, 2025",32.69,32.69,32.69,32.69,176041
"Jun 18, 2025",32.79,32.79,32.79,32.79,318417
"Jun 17, 2025",32.98,32.98,32.98,32.98,307287
"Jun 16, 2025",32.93,32.93,32.93,32.93,568659
"Jun 13, 2025",33.21,33.21,33.21,33.21,529294
"Jun 12, 2025",33.55,33.55,33.55,33.55,686232
"Jun 11, 2025",33.81,33.81,33.81,33.81,468036
"Jun 10, 2025",33.73,33.73,33.73,33.73,634106
