TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",7.2,7.2,7.2,7.2,13972418
"Nov 14, 2025",6.91,6.91,6.91,6.91,7053116
"Nov 13, 2025",7.05,7.05,7.05,7.05,12834453
"Nov 12, 2025",7.05,7.05,7.05,7.05,15950383
"Nov 11, 2025",6.93,6.93,6.93,6.93,18280280
"Nov 10, 2025",7.46,7.46,7.46,7.46,54808770
"Nov 07, 2025",6.79,6.79,6.79,6.79,7444927
"Nov 06, 2025",6.7,6.7,6.7,6.7,9159765
"Nov 05, 2025",6.54,6.54,6.54,6.54,6271711
"Nov 04, 2025",6.45,6.45,6.45,6.45,2468252
"Nov 03, 2025",6.58,6.58,6.58,6.58,5526467
"Oct 31, 2025",6.48,6.48,6.48,6.48,11979165
"Oct 30, 2025",6.38,6.38,6.38,6.38,5972591
"Oct 29, 2025",6.52,6.52,6.52,6.52,10210591
"Oct 28, 2025",6.63,6.63,6.63,6.63,10044671
"Oct 27, 2025",6.98,6.98,6.98,6.98,8851462
"Oct 24, 2025",7.03,7.03,7.03,7.03,16305539
"Oct 23, 2025",7.17,7.17,7.17,7.17,28863963
"Oct 22, 2025",7.03,7.03,7.03,7.03,4572446
"Oct 21, 2025",7.09,7.09,7.09,7.09,4310265
"Oct 20, 2025",7.23,7.23,7.23,7.23,7855563
"Oct 17, 2025",7.25,7.25,7.25,7.25,20508545
"Oct 16, 2025",7.02,7.02,7.02,7.02,12194039
"Oct 15, 2025",7.0,7.0,7.0,7.0,8981889
"Oct 14, 2025",7.11,7.11,7.11,7.11,9408992
"Oct 13, 2025",6.89,6.89,6.89,6.89,9036404
"Oct 10, 2025",7.23,7.23,7.23,7.23,15088326
"Oct 09, 2025",7.11,7.11,7.11,7.11,12301599
"Oct 08, 2025",7.2,7.2,7.2,7.2,23286979
"Oct 07, 2025",7.2,7.2,7.2,7.2,17419254
"Oct 06, 2025",6.98,6.98,6.98,6.98,12068227
"Oct 03, 2025",7.14,7.14,7.14,7.14,13604278
"Oct 02, 2025",7.32,7.32,7.32,7.32,8768819
"Oct 01, 2025",7.47,7.47,7.47,7.47,6102683
"Sep 30, 2025",7.53,7.53,7.53,7.53,12721785
"Sep 29, 2025",7.62,7.62,7.62,7.62,13125959
"Sep 26, 2025",7.44,7.44,7.44,7.44,15648429
"Sep 25, 2025",7.57,7.57,7.57,7.57,15542856
"Sep 24, 2025",7.46,7.46,7.46,7.46,25533900
"Sep 23, 2025",7.46,7.46,7.46,7.46,11234028
"Sep 22, 2025",7.56,7.56,7.56,7.56,23858025
"Sep 19, 2025",7.77,7.77,7.77,7.77,58080180
"Sep 18, 2025",7.96,7.96,7.96,7.96,89294211
"Sep 17, 2025",7.23,7.23,7.23,7.23,27943368
"Sep 16, 2025",7.13,7.13,7.13,7.13,23985644
"Sep 15, 2025",6.97,6.97,6.97,6.97,13221603
"Sep 12, 2025",6.67,6.67,6.67,6.67,5286408
"Sep 11, 2025",6.66,6.66,6.66,6.66,6595812
"Sep 10, 2025",6.73,6.73,6.73,6.73,5595990
"Sep 09, 2025",6.74,6.74,6.74,6.74,11249564
"Sep 08, 2025",6.79,6.79,6.79,6.79,10132980
"Sep 05, 2025",6.9,6.9,6.9,6.9,11647201
"Sep 04, 2025",7.05,7.05,7.05,7.05,17253897
"Sep 03, 2025",7.08,7.08,7.08,7.08,15569931
"Sep 02, 2025",6.96,6.96,6.96,6.96,11212016
"Sep 01, 2025",6.92,6.92,6.92,6.92,22191327
"Aug 29, 2025",6.71,6.71,6.71,6.71,9833005
"Aug 28, 2025",6.75,6.75,6.75,6.75,11563372
"Aug 27, 2025",6.7,6.7,6.7,6.7,18559910
"Aug 26, 2025",6.74,6.74,6.74,6.74,33777336
"Aug 25, 2025",7.07,7.07,7.07,7.07,113886282
"Aug 22, 2025",6.48,6.48,6.48,6.48,42519822
"Aug 21, 2025",6.25,6.25,6.25,6.25,11395288
"Aug 20, 2025",6.32,6.32,6.32,6.32,4144230
"Aug 19, 2025",6.41,6.41,6.41,6.41,6666894
"Aug 18, 2025",6.31,6.31,6.31,6.31,3066493
"Aug 15, 2025",6.3,6.3,6.3,6.3,4960188
"Aug 13, 2025",6.41,6.41,6.41,6.41,12827115
"Aug 12, 2025",6.47,6.47,6.47,6.47,39944966
