TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",68.44,68.44,68.44,68.44,8491412
"Nov 14, 2025",63.66,63.66,63.66,63.66,4671665
"Nov 13, 2025",57.87,57.87,57.87,57.87,429465
"Nov 12, 2025",52.61,52.61,52.61,52.61,170277
"Nov 11, 2025",47.83,47.83,47.83,47.83,262302
"Nov 10, 2025",49.09,49.09,49.09,49.09,87207
"Nov 07, 2025",49.25,49.25,49.25,49.25,176379
"Nov 06, 2025",50.97,50.97,50.97,50.97,83615
"Nov 05, 2025",51.53,51.53,51.53,51.53,417346
"Nov 04, 2025",51.4,51.4,51.4,51.4,516326
"Nov 03, 2025",54.59,54.59,54.59,54.59,58583
"Oct 31, 2025",55.83,55.83,55.83,55.83,267778
"Oct 30, 2025",53.85,53.85,53.85,53.85,778759
"Oct 29, 2025",58.25,58.25,58.25,58.25,146067
"Oct 28, 2025",59.95,59.95,59.95,59.95,224104
"Oct 27, 2025",61.28,61.28,61.28,61.28,104988
"Oct 24, 2025",64.2,64.2,64.2,64.2,26513
"Oct 23, 2025",64.45,64.45,64.45,64.45,76496
"Oct 22, 2025",65.73,65.73,65.73,65.73,146180
"Oct 21, 2025",68.59,68.59,68.59,68.59,436531
"Oct 20, 2025",68.16,68.16,68.16,68.16,194910
"Oct 17, 2025",64.61,64.61,64.61,64.61,40708
"Oct 16, 2025",65.21,65.21,65.21,65.21,26799
"Oct 15, 2025",65.86,65.86,65.86,65.86,113359
"Oct 14, 2025",64.65,64.65,64.65,64.65,244816
"Oct 13, 2025",62.56,62.56,62.56,62.56,366779
"Oct 10, 2025",66.74,66.74,66.74,66.74,88689
"Oct 09, 2025",69.0,69.0,69.0,69.0,67923
"Oct 08, 2025",69.28,69.28,69.28,69.28,638703
"Oct 07, 2025",68.16,68.16,68.16,68.16,100739
"Oct 06, 2025",67.5,67.5,67.5,67.5,82830
"Oct 03, 2025",70.0,70.0,70.0,70.0,202576
"Oct 02, 2025",68.9,68.9,68.9,68.9,124952
"Oct 01, 2025",68.5,68.5,68.5,68.5,1109030
"Sep 30, 2025",69.47,69.47,69.47,69.47,272825
"Sep 29, 2025",72.24,72.24,72.24,72.24,444281
"Sep 26, 2025",72.44,72.44,72.44,72.44,207096
"Sep 25, 2025",72.37,72.37,72.37,72.37,1416693
"Sep 24, 2025",70.77,70.77,70.77,70.77,1540266
"Sep 23, 2025",70.19,70.19,70.19,70.19,424740
"Sep 22, 2025",70.48,70.48,70.48,70.48,1754638
"Sep 19, 2025",69.17,69.17,69.17,69.17,1903507
"Sep 18, 2025",71.2,71.2,71.2,71.2,3124178
"Sep 17, 2025",64.73,64.73,64.73,64.73,4390528
"Sep 16, 2025",61.5,61.5,61.5,61.5,2644584
"Sep 15, 2025",57.56,57.56,57.56,57.56,261438
