TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",4.74,4.74,4.74,4.74,789946
"Nov 14, 2025",4.73,4.73,4.73,4.73,3114677
"Nov 13, 2025",4.51,4.51,4.51,4.51,1492384
"Nov 12, 2025",4.43,4.43,4.43,4.43,627362
"Nov 11, 2025",4.42,4.42,4.42,4.42,1658862
"Nov 10, 2025",4.65,4.65,4.65,4.65,2231069
"Nov 07, 2025",4.73,4.73,4.73,4.73,1713877
"Nov 06, 2025",4.77,4.77,4.77,4.77,2850793
"Nov 05, 2025",4.89,4.89,4.89,4.89,1003642
"Nov 04, 2025",4.89,4.89,4.89,4.89,1291727
"Nov 03, 2025",5.01,5.01,5.01,5.01,2118489
"Oct 31, 2025",5.06,5.06,5.06,5.06,1758552
"Oct 30, 2025",5.0,5.0,5.0,5.0,2197502
"Oct 29, 2025",4.84,4.84,4.84,4.84,1849528
"Oct 28, 2025",5.04,5.04,5.04,5.04,2828188
"Oct 27, 2025",5.39,5.39,5.39,5.39,2448449
"Oct 24, 2025",5.24,5.24,5.24,5.24,2299562
"Oct 23, 2025",5.43,5.43,5.43,5.43,13356775
"Oct 22, 2025",5.7,5.7,5.7,5.7,10602093
"Oct 21, 2025",5.3,5.3,5.3,5.3,1786024
"Oct 20, 2025",5.39,5.39,5.39,5.39,2854183
"Oct 17, 2025",5.32,5.32,5.32,5.32,4374926
"Oct 16, 2025",5.55,5.55,5.55,5.55,34632317
"Oct 15, 2025",5.24,5.24,5.24,5.24,2660154
"Oct 14, 2025",5.18,5.18,5.18,5.18,2445962
"Oct 13, 2025",5.12,5.12,5.12,5.12,6589812
"Oct 10, 2025",5.32,5.32,5.32,5.32,8785557
"Oct 09, 2025",5.31,5.31,5.31,5.31,8149177
"Oct 08, 2025",5.63,5.63,5.63,5.63,23940746
"Oct 07, 2025",5.49,5.49,5.49,5.49,16457207
"Oct 06, 2025",4.78,4.78,4.78,4.78,1288883
"Oct 03, 2025",4.88,4.88,4.88,4.88,2761518
"Oct 02, 2025",4.97,4.97,4.97,4.97,2152002
"Oct 01, 2025",5.07,5.07,5.07,5.07,2210701
"Sep 30, 2025",5.13,5.13,5.13,5.13,2047649
"Sep 29, 2025",5.29,5.29,5.29,5.29,2992900
"Sep 26, 2025",5.37,5.37,5.37,5.37,11695798
"Sep 25, 2025",5.17,5.17,5.17,5.17,3702217
"Sep 24, 2025",5.13,5.13,5.13,5.13,3966488
"Sep 23, 2025",5.13,5.13,5.13,5.13,7320362
"Sep 22, 2025",5.4,5.4,5.4,5.4,22582011
"Sep 19, 2025",5.38,5.38,5.38,5.38,16948950
"Sep 18, 2025",5.98,5.98,5.98,5.98,49186631
"Sep 17, 2025",5.86,5.86,5.86,5.86,94000448
"Sep 16, 2025",4.96,4.96,4.96,4.96,60436983
"Sep 15, 2025",3.96,3.96,3.96,3.96,8828889
"Sep 12, 2025",3.87,3.87,3.87,3.87,5325197
"Sep 11, 2025",3.67,3.67,3.67,3.67,1689076
"Sep 10, 2025",3.65,3.65,3.65,3.65,2169837
"Sep 09, 2025",3.65,3.65,3.65,3.65,1719830
"Sep 08, 2025",3.7,3.7,3.7,3.7,1989988
"Sep 05, 2025",3.76,3.76,3.76,3.76,2218178
"Sep 04, 2025",3.8,3.8,3.8,3.8,1982891
"Sep 03, 2025",3.87,3.87,3.87,3.87,8748493
"Sep 02, 2025",3.85,3.85,3.85,3.85,13559823
"Sep 01, 2025",4.01,4.01,4.01,4.01,42128902
"Aug 29, 2025",3.42,3.42,3.42,3.42,7706709
"Aug 28, 2025",3.59,3.59,3.59,3.59,9385765
"Aug 27, 2025",3.46,3.46,3.46,3.46,22755526
"Aug 26, 2025",3.33,3.33,3.33,3.33,830295
"Aug 25, 2025",3.32,3.32,3.32,3.32,1538943
"Aug 22, 2025",3.3,3.3,3.3,3.3,1261403
"Aug 21, 2025",3.32,3.32,3.32,3.32,2226436
"Aug 20, 2025",3.33,3.33,3.33,3.33,2360969
"Aug 19, 2025",3.4,3.4,3.4,3.4,1434487
"Aug 18, 2025",3.45,3.45,3.45,3.45,2805705
"Aug 15, 2025",3.62,3.62,3.62,3.62,21707355
"Aug 13, 2025",3.23,3.23,3.23,3.23,511666
"Aug 12, 2025",3.22,3.22,3.22,3.22,674511
"Aug 11, 2025",3.26,3.26,3.26,3.26,737786
"Aug 08, 2025",3.28,3.28,3.28,3.28,519386
"Aug 07, 2025",3.36,3.36,3.36,3.36,1393725
"Aug 06, 2025",3.41,3.41,3.41,3.41,2660538
"Aug 05, 2025",3.48,3.48,3.48,3.48,4496759
"Aug 04, 2025",3.59,3.59,3.59,3.59,10955071
"Aug 01, 2025",3.17,3.17,3.17,3.17,2362752
"Jul 31, 2025",3.15,3.15,3.15,3.15,2506209
"Jul 30, 2025",3.1,3.1,3.1,3.1,6063606
"Jul 29, 2025",3.16,3.16,3.16,3.16,1646670
"Jul 28, 2025",3.28,3.28,3.28,3.28,2836785
"Jul 25, 2025",3.22,3.22,3.22,3.22,6166532
"Jul 24, 2025",3.42,3.42,3.42,3.42,37109870
"Jul 23, 2025",3.67,3.67,3.67,3.67,38368003
"Jul 22, 2025",3.07,3.07,3.07,3.07,10996626
"Jul 21, 2025",3.14,3.14,3.14,3.14,8670445
"Jul 18, 2025",2.76,2.76,2.76,2.76,724147
"Jul 17, 2025",2.86,2.86,2.86,2.86,1517612
"Jul 16, 2025",2.79,2.79,2.79,2.79,1557568
"Jul 15, 2025",2.83,2.83,2.83,2.83,8489971
"Jul 14, 2025",2.83,2.83,2.83,2.83,6224520
"Jul 11, 2025",2.64,2.64,2.64,2.64,272727
"Jul 10, 2025",2.67,2.67,2.67,2.67,826274
"Jul 09, 2025",2.68,2.68,2.68,2.68,487779
"Jul 08, 2025",2.69,2.69,2.69,2.69,1557796
"Jul 07, 2025",2.69,2.69,2.69,2.69,748206
"Jul 04, 2025",2.71,2.71,2.71,2.71,1281646
"Jul 03, 2025",2.79,2.79,2.79,2.79,7331550
"Jul 02, 2025",2.56,2.56,2.56,2.56,1262580
"Jul 01, 2025",2.65,2.65,2.65,2.65,1101299
"Jun 30, 2025",2.66,2.66,2.66,2.66,2947770
"Jun 27, 2025",2.66,2.66,2.66,2.66,2928441
"Jun 26, 2025",2.72,2.72,2.72,2.72,1699140
"Jun 25, 2025",2.72,2.72,2.72,2.72,2286754
"Jun 24, 2025",2.81,2.81,2.81,2.81,5524369
"Jun 23, 2025",2.49,2.49,2.49,2.49,3165216
"Jun 20, 2025",2.59,2.59,2.59,2.59,6212489
"Jun 19, 2025",2.8,2.8,2.8,2.8,5821451
"Jun 18, 2025",2.9,2.9,2.9,2.9,6798309
"Jun 17, 2025",3.17,3.17,3.17,3.17,19795730
"Jun 16, 2025",3.21,3.21,3.21,3.21,56419406
"Jun 13, 2025",2.71,2.71,2.71,2.71,27189737
"Jun 12, 2025",2.13,2.13,2.13,2.13,1680701
"Jun 11, 2025",2.25,2.25,2.25,2.25,4845633
"Jun 10, 2025",2.1,2.1,2.1,2.1,1037226
"Jun 05, 2025",2.12,2.12,2.12,2.12,1344124
"Jun 04, 2025",2.13,2.13,2.13,2.13,1904199
"Jun 02, 2025",2.08,2.08,2.08,2.08,653132
"May 30, 2025",2.08,2.08,2.08,2.08,557419
"May 29, 2025",2.09,2.09,2.09,2.09,3250767
"May 27, 2025",2.05,2.05,2.05,2.05,953873
"May 26, 2025",2.1,2.1,2.1,2.1,6823120
"May 23, 2025",2.01,2.01,2.01,2.01,2154182
"May 22, 2025",1.83,1.83,1.83,1.83,162419
"May 21, 2025",1.84,1.84,1.84,1.84,920567
"May 20, 2025",1.84,1.84,1.84,1.84,19367
"May 19, 2025",1.85,1.85,1.85,1.85,8360
"May 16, 2025",1.85,1.85,1.85,1.85,166357
"May 15, 2025",1.83,1.83,1.83,1.83,288749
"May 14, 2025",1.8,1.8,1.8,1.8,170923
"May 13, 2025",1.82,1.82,1.82,1.82,234273
"May 12, 2025",1.86,1.86,1.86,1.86,687543
"May 09, 2025",1.51,1.51,1.51,1.51,441053
"May 08, 2025",1.5,1.5,1.5,1.5,1272975
"May 07, 2025",1.72,1.72,1.72,1.72,225736
"May 06, 2025",1.88,1.88,1.88,1.88,266004
"May 02, 2025",1.84,1.84,1.84,1.84,2334
"Apr 30, 2025",1.77,1.77,1.77,1.77,359475
"Apr 29, 2025",1.89,1.89,1.89,1.89,262226
"Apr 28, 2025",1.85,1.85,1.85,1.85,491855
"Apr 25, 2025",1.89,1.89,1.89,1.89,1038974
"Apr 24, 2025",1.89,1.89,1.89,1.89,939417
"Apr 23, 2025",1.97,1.97,1.97,1.97,1215669
"Apr 22, 2025",1.92,1.92,1.92,1.92,394066
"Apr 21, 2025",1.81,1.81,1.81,1.81,70491
"Apr 18, 2025",1.78,1.78,1.78,1.78,335028
"Apr 17, 2025",1.84,1.84,1.84,1.84,201324
"Apr 16, 2025",1.85,1.85,1.85,1.85,64912
"Apr 15, 2025",1.88,1.88,1.88,1.88,661261
"Apr 14, 2025",1.75,1.75,1.75,1.75,2205999
"Apr 11, 2025",1.8,1.8,1.8,1.8,709107
"Apr 10, 2025",1.85,1.85,1.85,1.85,668949
"Apr 09, 2025",1.81,1.81,1.81,1.81,631853
"Apr 08, 2025",1.89,1.89,1.89,1.89,137605
"Apr 07, 2025",1.88,1.88,1.88,1.88,1225246
"Apr 04, 2025",2.0,2.0,2.0,2.0,222063
"Apr 03, 2025",1.95,1.95,1.95,1.95,275205
"Mar 27, 2025",2.02,2.02,2.02,2.02,141253
"Mar 26, 2025",2.01,2.01,2.01,2.01,50934
"Mar 25, 2025",2.0,2.0,2.0,2.0,411872
"Mar 24, 2025",2.02,2.02,2.02,2.02,53380
"Mar 21, 2025",2.03,2.03,2.03,2.03,182148
"Mar 20, 2025",2.07,2.07,2.07,2.07,271906
"Mar 19, 2025",2.09,2.09,2.09,2.09,59241
"Mar 18, 2025",2.04,2.04,2.04,2.04,60120
"Mar 17, 2025",2.09,2.09,2.09,2.09,23571
"Mar 16, 2025",2.05,2.05,2.05,2.05,123941
"Mar 14, 2025",2.05,2.05,2.05,2.05,123941
"Mar 13, 2025",2.09,2.09,2.09,2.09,83363
"Mar 12, 2025",2.06,2.06,2.06,2.06,192701
"Mar 11, 2025",2.04,2.04,2.04,2.04,1568548
"Mar 10, 2025",2.04,2.04,2.04,2.04,224439
"Mar 07, 2025",2.1,2.1,2.1,2.1,228979
"Mar 06, 2025",2.08,2.08,2.08,2.08,75245
"Mar 05, 2025",2.08,2.08,2.08,2.08,145478
"Mar 04, 2025",2.09,2.09,2.09,2.09,181058
"Mar 03, 2025",2.12,2.12,2.12,2.12,20806
"Feb 28, 2025",2.13,2.13,2.13,2.13,558209
"Feb 27, 2025",2.2,2.2,2.2,2.2,107873
"Feb 26, 2025",2.16,2.16,2.16,2.16,994427
"Feb 25, 2025",2.16,2.16,2.16,2.16,56206
"Feb 24, 2025",2.2,2.2,2.2,2.2,338780
"Feb 23, 2025",2.19,2.19,2.19,2.19,195441
"Feb 22, 2025",2.19,2.19,2.19,2.19,195441
"Feb 21, 2025",2.19,2.19,2.19,2.19,195441
"Feb 20, 2025",2.22,2.22,2.22,2.22,89135
"Feb 19, 2025",2.2,2.2,2.2,2.2,297712
"Feb 18, 2025",2.13,2.13,2.13,2.13,110001
"Feb 17, 2025",2.16,2.16,2.16,2.16,191964
