TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",74.64,74.64,74.64,74.64,93726
"Nov 14, 2025",74.95,74.95,74.95,74.95,84292
"Nov 13, 2025",75.98,75.98,75.98,75.98,20752
"Nov 12, 2025",75.1,75.1,75.1,75.1,3502
"Nov 11, 2025",75.09,75.09,75.09,75.09,821
"Nov 10, 2025",75.54,75.54,75.54,75.54,5504
"Nov 07, 2025",75.0,75.0,75.0,75.0,20000
"Nov 06, 2025",74.0,74.0,74.0,74.0,9370
"Nov 05, 2025",73.04,73.04,73.04,73.04,1300
"Nov 04, 2025",73.74,73.74,73.74,73.74,25477
"Nov 03, 2025",74.34,74.34,74.34,74.34,5075
"Oct 31, 2025",74.97,74.97,74.97,74.97,29215
"Oct 30, 2025",73.75,73.75,73.75,73.75,4932
"Oct 29, 2025",73.55,73.55,73.55,73.55,115028
"Oct 28, 2025",73.91,73.91,73.91,73.91,9122
"Oct 27, 2025",74.76,74.76,74.76,74.76,19631
"Oct 24, 2025",75.96,75.96,75.96,75.96,15613
"Oct 23, 2025",75.03,75.03,75.03,75.03,61526
"Oct 22, 2025",76.02,76.02,76.02,76.02,65758
"Oct 21, 2025",76.0,76.0,76.0,76.0,34592
"Oct 20, 2025",76.59,76.59,76.59,76.59,59655
"Oct 17, 2025",77.32,77.32,77.32,77.32,417347
"Oct 16, 2025",74.73,74.73,74.73,74.73,28107
"Oct 15, 2025",74.97,74.97,74.97,74.97,97496
"Oct 14, 2025",73.57,73.57,73.57,73.57,43907
"Oct 13, 2025",73.09,73.09,73.09,73.09,18491
"Oct 10, 2025",73.18,73.18,73.18,73.18,34358
"Oct 09, 2025",72.81,72.81,72.81,72.81,61014
"Oct 08, 2025",73.15,73.15,73.15,73.15,229841
"Oct 07, 2025",76.8,76.8,76.8,76.8,919309
"Oct 06, 2025",70.32,70.32,70.32,70.32,250979
"Oct 03, 2025",70.04,70.04,70.04,70.04,708866
"Oct 02, 2025",70.0,70.0,70.0,70.0,89653
"Oct 01, 2025",70.4,70.4,70.4,70.4,52
"Sep 30, 2025",70.4,70.4,70.4,70.4,2695
"Sep 29, 2025",70.97,70.97,70.97,70.97,3029
"Sep 26, 2025",70.02,70.02,70.02,70.02,17818
"Sep 25, 2025",70.5,70.5,70.5,70.5,762
"Sep 24, 2025",70.51,70.51,70.51,70.51,38844
"Sep 23, 2025",71.1,71.1,71.1,71.1,8621
"Sep 22, 2025",71.7,71.7,71.7,71.7,27971
"Sep 19, 2025",70.22,70.22,70.22,70.22,11218
"Sep 18, 2025",71.0,71.0,71.0,71.0,7842
"Sep 17, 2025",70.0,70.0,70.0,70.0,15280
"Sep 16, 2025",70.89,70.89,70.89,70.89,3024
"Sep 15, 2025",70.52,70.52,70.52,70.52,4191
"Sep 12, 2025",71.07,71.07,71.07,71.07,19660
"Sep 11, 2025",70.52,70.52,70.52,70.52,15022
"Sep 10, 2025",71.95,71.95,71.95,71.95,14707
"Sep 09, 2025",70.0,70.0,70.0,70.0,8478
"Sep 08, 2025",71.52,71.52,71.52,71.52,56475
"Sep 05, 2025",72.53,72.53,72.53,72.53,52153
"Sep 04, 2025",68.79,68.79,68.79,68.79,11315
"Sep 03, 2025",67.5,67.5,67.5,67.5,20609
"Sep 02, 2025",67.78,67.78,67.78,67.78,7353
"Sep 01, 2025",68.34,68.34,68.34,68.34,27219
"Aug 29, 2025",67.56,67.56,67.56,67.56,8302
"Aug 28, 2025",67.53,67.53,67.53,67.53,7706
"Aug 27, 2025",67.44,67.44,67.44,67.44,6705
"Aug 26, 2025",68.49,68.49,68.49,68.49,10674
"Aug 25, 2025",68.05,68.05,68.05,68.05,45291
"Aug 22, 2025",67.47,67.47,67.47,67.47,5806
"Aug 21, 2025",67.53,67.53,67.53,67.53,19280
"Aug 20, 2025",68.79,68.79,68.79,68.79,27334
"Aug 19, 2025",67.84,67.84,67.84,67.84,30770
"Aug 18, 2025",67.73,67.73,67.73,67.73,22599
"Aug 15, 2025",68.76,68.76,68.76,68.76,8475
"Aug 13, 2025",68.2,68.2,68.2,68.2,18979
"Aug 12, 2025",69.5,69.5,69.5,69.5,7834
"Aug 11, 2025",68.67,68.67,68.67,68.67,52832
"Aug 08, 2025",69.5,69.5,69.5,69.5,3771
"Aug 07, 2025",70.02,70.02,70.02,70.02,25872
"Aug 06, 2025",72.01,72.01,72.01,72.01,71321
"Aug 05, 2025",72.02,72.02,72.02,72.02,139422
"Aug 04, 2025",67.05,67.05,67.05,67.05,28314
"Aug 01, 2025",68.8,68.8,68.8,68.8,11975
"Jul 31, 2025",69.03,69.03,69.03,69.03,66927
"Jul 30, 2025",69.49,69.49,69.49,69.49,39079
"Jul 29, 2025",72.78,72.78,72.78,72.78,81361
"Jul 28, 2025",76.69,76.69,76.69,76.69,141329
"Jul 25, 2025",71.15,71.15,71.15,71.15,43379
"Jul 24, 2025",72.71,72.71,72.71,72.71,215490
"Jul 23, 2025",66.1,66.1,66.1,66.1,73631
"Jul 22, 2025",62.25,62.25,62.25,62.25,80434
"Jul 21, 2025",63.94,63.94,63.94,63.94,35016
"Jul 18, 2025",60.99,60.99,60.99,60.99,24398
"Jul 17, 2025",60.02,60.02,60.02,60.02,2135
"Jul 16, 2025",59.59,59.59,59.59,59.59,14625
"Jul 15, 2025",59.0,59.0,59.0,59.0,17483
"Jul 14, 2025",62.48,62.48,62.48,62.48,35706
"Jul 11, 2025",60.98,60.98,60.98,60.98,73852
"Jul 10, 2025",56.21,56.21,56.21,56.21,29971
"Jul 09, 2025",55.99,55.99,55.99,55.99,45383
"Jul 08, 2025",57.04,57.04,57.04,57.04,21191
"Jul 07, 2025",56.98,56.98,56.98,56.98,124946
"Jul 04, 2025",51.99,51.99,51.99,51.99,2520
"Jul 03, 2025",51.77,51.77,51.77,51.77,4784
"Jul 02, 2025",52.5,52.5,52.5,52.5,10712
"Jul 01, 2025",51.7,51.7,51.7,51.7,20482
"Jun 30, 2025",52.82,52.82,52.82,52.82,364120
"Jun 27, 2025",48.67,48.67,48.67,48.67,1073
"Jun 26, 2025",48.71,48.71,48.71,48.71,2004
"Jun 25, 2025",49.65,49.65,49.65,49.65,3805
"Jun 24, 2025",48.99,48.99,48.99,48.99,20371
"Jun 23, 2025",47.68,47.68,47.68,47.68,13469
"Jun 20, 2025",47.97,47.97,47.97,47.97,2912
"Jun 19, 2025",47.86,47.86,47.86,47.86,12281
"Jun 18, 2025",49.24,49.24,49.24,49.24,7300
"Jun 17, 2025",48.8,48.8,48.8,48.8,569
"Jun 16, 2025",48.08,48.08,48.08,48.08,3672
"Jun 13, 2025",48.11,48.11,48.11,48.11,11405
"Jun 12, 2025",48.31,48.31,48.31,48.31,13947
"Jun 11, 2025",48.59,48.59,48.59,48.59,4746
"Jun 10, 2025",48.78,48.78,48.78,48.78,69483
"Jun 05, 2025",50.0,50.0,50.0,50.0,13733
"Jun 04, 2025",49.87,49.87,49.87,49.87,7660
"Jun 02, 2025",49.73,49.73,49.73,49.73,15767
"May 30, 2025",50.56,50.56,50.56,50.56,44881
"May 29, 2025",49.55,49.55,49.55,49.55,97318
"May 27, 2025",48.73,48.73,48.73,48.73,61616
"May 26, 2025",50.12,50.12,50.12,50.12,243345
"May 23, 2025",47.87,47.87,47.87,47.87,24599
"May 22, 2025",47.5,47.5,47.5,47.5,28636
"May 21, 2025",48.2,48.2,48.2,48.2,41695
"May 20, 2025",47.0,47.0,47.0,47.0,21012
"May 19, 2025",46.48,46.48,46.48,46.48,11951
"May 16, 2025",48.0,48.0,48.0,48.0,3397
"May 15, 2025",48.4,48.4,48.4,48.4,502
"May 14, 2025",47.34,47.34,47.34,47.34,3347
"May 13, 2025",47.5,47.5,47.5,47.5,6001
"May 12, 2025",47.1,47.1,47.1,47.1,8510
"May 09, 2025",44.2,44.2,44.2,44.2,926
"May 08, 2025",44.87,44.87,44.87,44.87,2467
"May 07, 2025",46.0,46.0,46.0,46.0,4430
"May 06, 2025",48.98,48.98,48.98,48.98,646
"May 02, 2025",47.89,47.89,47.89,47.89,1
"Apr 30, 2025",45.81,45.81,45.81,45.81,6109
"Apr 29, 2025",47.77,47.77,47.77,47.77,10705
"Apr 28, 2025",47.12,47.12,47.12,47.12,1401
"Apr 25, 2025",48.49,48.49,48.49,48.49,701
"Apr 24, 2025",49.05,49.05,49.05,49.05,5
"Apr 23, 2025",49.05,49.05,49.05,49.05,2050
"Apr 22, 2025",49.0,49.0,49.0,49.0,4810
"Apr 21, 2025",47.01,47.01,47.01,47.01,100
"Apr 18, 2025",47.01,47.01,47.01,47.01,14
"Apr 17, 2025",47.01,47.01,47.01,47.01,500
"Apr 16, 2025",47.65,47.65,47.65,47.65,857
"Apr 15, 2025",47.43,47.43,47.43,47.43,2
"Apr 14, 2025",47.43,47.43,47.43,47.43,1284
"Apr 11, 2025",46.18,46.18,46.18,46.18,610
"Apr 10, 2025",47.92,47.92,47.92,47.92,5221
"Apr 09, 2025",46.74,46.74,46.74,46.74,6830
"Apr 08, 2025",46.39,46.39,46.39,46.39,5075
"Apr 07, 2025",46.22,46.22,46.22,46.22,13714
"Apr 04, 2025",48.46,48.46,48.46,48.46,1661
"Apr 03, 2025",48.53,48.53,48.53,48.53,3326
"Mar 27, 2025",47.7,47.7,47.7,47.7,561
"Mar 26, 2025",48.5,48.5,48.5,48.5,2114
"Mar 25, 2025",46.21,46.21,46.21,46.21,2
"Mar 24, 2025",46.21,46.21,46.21,46.21,458
"Mar 21, 2025",46.21,46.21,46.21,46.21,1012
"Mar 20, 2025",48.97,48.97,48.97,48.97,9901
"Mar 19, 2025",48.07,48.07,48.07,48.07,211
"Mar 18, 2025",48.07,48.07,48.07,48.07,130
"Mar 17, 2025",48.07,48.07,48.07,48.07,19910
"Mar 16, 2025",48.5,48.5,48.5,48.5,7502
"Mar 14, 2025",48.5,48.5,48.5,48.5,7502
"Mar 13, 2025",48.05,48.05,48.05,48.05,1365
"Mar 12, 2025",48.9,48.9,48.9,48.9,651
"Mar 11, 2025",46.3,46.3,46.3,46.3,1000
"Mar 07, 2025",47.04,47.04,47.04,47.04,1
"Mar 06, 2025",47.04,47.04,47.04,47.04,6
"Mar 05, 2025",47.04,47.04,47.04,47.04,492
"Mar 04, 2025",47.04,47.04,47.04,47.04,2254
"Mar 03, 2025",50.27,50.27,50.27,50.27,1002
"Feb 28, 2025",48.05,48.05,48.05,48.05,117
"Feb 27, 2025",48.05,48.05,48.05,48.05,1549
"Feb 26, 2025",48.5,48.5,48.5,48.5,3621
"Feb 25, 2025",49.99,49.99,49.99,49.99,82424
"Feb 24, 2025",49.99,49.99,49.99,49.99,82424
"Feb 23, 2025",49.99,49.99,49.99,49.99,82424
"Feb 22, 2025",49.99,49.99,49.99,49.99,82424
"Feb 21, 2025",49.99,49.99,49.99,49.99,82424
"Feb 20, 2025",49.0,49.0,49.0,49.0,22986
"Feb 19, 2025",49.5,49.5,49.5,49.5,430
"Feb 18, 2025",49.5,49.5,49.5,49.5,5827
"Feb 17, 2025",48.14,48.14,48.14,48.14,1088
"Feb 16, 2025",50.88,50.88,50.88,50.88,403
"Feb 15, 2025",50.88,50.88,50.88,50.88,403
"Feb 14, 2025",50.88,50.88,50.88,50.88,403
"Feb 13, 2025",50.88,50.88,50.88,50.88,12589
"Feb 12, 2025",50.62,50.62,50.62,50.62,1856
"Feb 11, 2025",50.64,50.64,50.64,50.64,9067
"Feb 10, 2025",51.0,51.0,51.0,51.0,6050
"Feb 09, 2025",50.87,50.87,50.87,50.87,6856
"Feb 08, 2025",50.87,50.87,50.87,50.87,6856
"Feb 07, 2025",50.87,50.87,50.87,50.87,6856
"Feb 06, 2025",51.5,51.5,51.5,51.5,53567
"Feb 05, 2025",51.16,51.16,51.16,51.16,22575
"Feb 04, 2025",51.16,51.16,51.16,51.16,22575
"Feb 03, 2025",52.8,52.8,52.8,52.8,55055
"Feb 02, 2025",54.65,54.65,54.65,54.65,783191
"Feb 01, 2025",54.65,54.65,54.65,54.65,783191
"Jan 31, 2025",54.65,54.65,54.65,54.65,783191
"Jan 30, 2025",53.41,53.41,53.41,53.41,561708
"Jan 29, 2025",50.57,50.57,50.57,50.57,178507
"Jan 28, 2025",50.6,50.6,50.6,50.6,504404
"Jan 27, 2025",46.0,46.0,46.0,46.0,40301
"Jan 26, 2025",46.95,46.95,46.95,46.95,46481
"Jan 25, 2025",46.95,46.95,46.95,46.95,46481
"Jan 24, 2025",46.95,46.95,46.95,46.95,46481
"Jan 23, 2025",46.98,46.98,46.98,46.98,101114
"Jan 22, 2025",46.0,46.0,46.0,46.0,113619
"Jan 21, 2025",44.41,44.41,44.41,44.41,133320
"Jan 20, 2025",43.26,43.26,43.26,43.26,51110
"Jan 19, 2025",42.02,42.02,42.02,42.02,21972
"Jan 18, 2025",42.02,42.02,42.02,42.02,21972
"Jan 17, 2025",42.02,42.02,42.02,42.02,21972
"Jan 16, 2025",41.92,41.92,41.92,41.92,2135
"Jan 15, 2025",41.5,41.5,41.5,41.5,12934
"Jan 14, 2025",40.99,40.99,40.99,40.99,19876
"Jan 13, 2025",40.76,40.76,40.76,40.76,22173
"Jan 12, 2025",40.92,40.92,40.92,40.92,101674
"Jan 11, 2025",40.92,40.92,40.92,40.92,101674
"Jan 10, 2025",40.92,40.92,40.92,40.92,101674
"Jan 09, 2025",42.0,42.0,42.0,42.0,24197
"Jan 08, 2025",43.0,43.0,43.0,43.0,515375
"Jan 07, 2025",43.22,43.22,43.22,43.22,39096
"Jan 06, 2025",43.51,43.51,43.51,43.51,58419
"Jan 05, 2025",46.12,46.12,46.12,46.12,14411
"Jan 04, 2025",46.12,46.12,46.12,46.12,14411
"Jan 03, 2025",46.12,46.12,46.12,46.12,14411
"Jan 02, 2025",46.99,46.99,46.99,46.99,13923
"Jan 01, 2025",46.81,46.81,46.81,46.81,28189
"Dec 31, 2024",47.12,47.12,47.12,47.12,12824
"Dec 30, 2024",46.88,46.88,46.88,46.88,21609
"Dec 29, 2024",45.87,45.87,45.87,45.87,84737
"Dec 28, 2024",45.87,45.87,45.87,45.87,84737
"Dec 27, 2024",45.87,45.87,45.87,45.87,84737
"Dec 26, 2024",47.26,47.26,47.26,47.26,41525
"Dec 25, 2024",47.98,47.98,47.98,47.98,41432
"Dec 24, 2024",47.98,47.98,47.98,47.98,41432
"Dec 23, 2024",48.63,48.63,48.63,48.63,98409
"Dec 22, 2024",48.0,48.0,48.0,48.0,52231
"Dec 21, 2024",48.0,48.0,48.0,48.0,52231
"Dec 20, 2024",48.0,48.0,48.0,48.0,52231
"Dec 19, 2024",48.61,48.61,48.61,48.61,44222
"Dec 18, 2024",49.87,49.87,49.87,49.87,57096
"Dec 17, 2024",51.01,51.01,51.01,51.01,27804
"Dec 16, 2024",52.07,52.07,52.07,52.07,20916
"Dec 15, 2024",52.14,52.14,52.14,52.14,158749
"Dec 14, 2024",52.14,52.14,52.14,52.14,158749
"Dec 13, 2024",52.14,52.14,52.14,52.14,158749
"Dec 12, 2024",53.95,53.95,53.95,53.95,313856
"Dec 11, 2024",50.02,50.02,50.02,50.02,59397
"Dec 10, 2024",49.44,49.44,49.44,49.44,51962
"Dec 09, 2024",51.58,51.58,51.58,51.58,71712
"Dec 08, 2024",50.62,50.62,50.62,50.62,203949
"Dec 07, 2024",50.62,50.62,50.62,50.62,203949
"Dec 06, 2024",50.62,50.62,50.62,50.62,203949
"Dec 05, 2024",48.0,48.0,48.0,48.0,178436
"Dec 04, 2024",47.05,47.05,47.05,47.05,58980
"Dec 03, 2024",47.03,47.03,47.03,47.03,36996
"Dec 02, 2024",48.16,48.16,48.16,48.16,80989
"Dec 01, 2024",49.03,49.03,49.03,49.03,8881
"Nov 30, 2024",49.03,49.03,49.03,49.03,8881
"Nov 29, 2024",49.03,49.03,49.03,49.03,8881
"Nov 28, 2024",50.0,50.0,50.0,50.0,25470
"Nov 27, 2024",47.92,47.92,47.92,47.92,12741
"Nov 26, 2024",48.21,48.21,48.21,48.21,821
"Nov 25, 2024",48.44,48.44,48.44,48.44,4166
"Nov 24, 2024",47.57,47.57,47.57,47.57,20886
"Nov 23, 2024",47.57,47.57,47.57,47.57,20886
"Nov 22, 2024",47.57,47.57,47.57,47.57,20886
"Nov 21, 2024",46.77,46.77,46.77,46.77,16344
"Nov 20, 2024",46.02,46.02,46.02,46.02,3232
"Nov 19, 2024",45.88,45.88,45.88,45.88,9647
"Nov 18, 2024",45.58,45.58,45.58,45.58,15872
"Nov 17, 2024",45.19,45.19,45.19,45.19,6292
"Nov 16, 2024",45.19,45.19,45.19,45.19,6292
"Nov 15, 2024",45.19,45.19,45.19,45.19,6292
"Nov 14, 2024",44.99,44.99,44.99,44.99,10487
"Nov 13, 2024",44.19,44.19,44.19,44.19,677
"Nov 12, 2024",43.84,43.84,43.84,43.84,5300
"Nov 11, 2024",44.58,44.58,44.58,44.58,23001
"Nov 10, 2024",44.03,44.03,44.03,44.03,14453
"Nov 09, 2024",44.03,44.03,44.03,44.03,14453
"Nov 08, 2024",44.03,44.03,44.03,44.03,14453
"Nov 07, 2024",43.0,43.0,43.0,43.0,7150
"Nov 06, 2024",42.7,42.7,42.7,42.7,1110
"Nov 05, 2024",43.19,43.19,43.19,43.19,665
"Nov 04, 2024",43.5,43.5,43.5,43.5,13389
"Nov 03, 2024",42.75,42.75,42.75,42.75,6101
"Nov 02, 2024",42.75,42.75,42.75,42.75,6101
"Nov 01, 2024",42.75,42.75,42.75,42.75,6101
"Oct 31, 2024",42.47,42.47,42.47,42.47,162
"Oct 30, 2024",42.47,42.47,42.47,42.47,18187
"Oct 29, 2024",42.75,42.75,42.75,42.75,11861
