TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 14, 2025",60.03,60.03,60.03,60.03,1950
"Nov 13, 2025",60.03,60.03,60.03,60.03,1550
"Nov 12, 2025",60.02,60.02,60.02,60.02,8100
"Nov 11, 2025",61.8,61.8,61.8,61.8,25367
"Nov 07, 2025",64.94,64.94,64.94,64.94,10
"Nov 06, 2025",64.94,64.94,64.94,64.94,74
"Nov 05, 2025",64.94,64.94,64.94,64.94,5579
"Nov 04, 2025",62.8,62.8,62.8,62.8,241
"Nov 03, 2025",62.8,62.8,62.8,62.8,6898
"Oct 31, 2025",62.76,62.76,62.76,62.76,26270
"Oct 30, 2025",57.05,57.05,57.05,57.05,3500
"Oct 29, 2025",57.59,57.59,57.59,57.59,4500
"Oct 28, 2025",62.02,62.02,62.02,62.02,1000
"Oct 27, 2025",66.3,66.3,66.3,66.3,500
"Oct 24, 2025",62.19,62.19,62.19,62.19,1528
"Oct 21, 2025",68.0,68.0,68.0,68.0,2
"Oct 20, 2025",68.0,68.0,68.0,68.0,1965
"Oct 17, 2025",63.0,63.0,63.0,63.0,74
"Oct 16, 2025",63.0,63.0,63.0,63.0,64
"Oct 15, 2025",63.0,63.0,63.0,63.0,500
"Oct 14, 2025",64.14,64.14,64.14,64.14,3004
"Oct 13, 2025",68.05,68.05,68.05,68.05,8
"Oct 07, 2025",68.05,68.05,68.05,68.05,2167
"Oct 06, 2025",69.78,69.78,69.78,69.78,9
"Oct 02, 2025",69.78,69.78,69.78,69.78,11
"Oct 01, 2025",69.78,69.78,69.78,69.78,9938
"Sep 30, 2025",65.27,65.27,65.27,65.27,11187
"Sep 29, 2025",70.3,70.3,70.3,70.3,1100
"Sep 26, 2025",70.21,70.21,70.21,70.21,4110
"Sep 25, 2025",70.13,70.13,70.13,70.13,382
"Sep 24, 2025",72.0,72.0,72.0,72.0,491
"Sep 23, 2025",70.99,70.99,70.99,70.99,1004
"Sep 19, 2025",67.79,67.79,67.79,67.79,6579
"Sep 18, 2025",71.28,71.28,71.28,71.28,106
"Sep 17, 2025",71.28,71.28,71.28,71.28,704
"Sep 15, 2025",74.3,74.3,74.3,74.3,9
"Sep 12, 2025",74.3,74.3,74.3,74.3,4
"Sep 11, 2025",74.3,74.3,74.3,74.3,100
"Sep 10, 2025",74.3,74.3,74.3,74.3,100
"Sep 05, 2025",74.3,74.3,74.3,74.3,196
"Sep 03, 2025",74.3,74.3,74.3,74.3,252
"Sep 02, 2025",74.3,74.3,74.3,74.3,857
"Aug 26, 2025",71.93,71.93,71.93,71.93,600
"Aug 25, 2025",77.95,77.95,77.95,77.95,100
"Aug 22, 2025",77.95,77.95,77.95,77.95,3500
