TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",15.0,15.0,15.0,15.0,10000
"Nov 14, 2025",15.2,15.2,15.2,15.2,1574
"Nov 13, 2025",14.5,14.5,14.5,14.5,13550
"Nov 12, 2025",14.17,14.17,14.17,14.17,9000
"Nov 11, 2025",14.15,14.15,14.15,14.15,32503
"Nov 10, 2025",14.01,14.01,14.01,14.01,9939
"Nov 07, 2025",14.5,14.5,14.5,14.5,330
"Nov 06, 2025",14.5,14.5,14.5,14.5,6200
"Nov 05, 2025",14.5,14.5,14.5,14.5,18000
"Nov 04, 2025",14.0,14.0,14.0,14.0,12500
"Nov 03, 2025",14.0,14.0,14.0,14.0,5503
"Oct 31, 2025",14.0,14.0,14.0,14.0,25000
"Oct 30, 2025",13.03,13.03,13.03,13.03,506
"Oct 29, 2025",13.0,13.0,13.0,13.0,2514
"Oct 28, 2025",13.0,13.0,13.0,13.0,8000
"Oct 27, 2025",13.22,13.22,13.22,13.22,26670
"Oct 24, 2025",14.0,14.0,14.0,14.0,176928
"Oct 23, 2025",13.5,13.5,13.5,13.5,4501
"Oct 22, 2025",13.0,13.0,13.0,13.0,1000
"Oct 21, 2025",13.23,13.23,13.23,13.23,10800
"Oct 20, 2025",13.49,13.49,13.49,13.49,6352
"Oct 17, 2025",13.54,13.54,13.54,13.54,238
"Oct 16, 2025",13.54,13.54,13.54,13.54,41502
"Oct 15, 2025",13.75,13.75,13.75,13.75,8109
"Oct 14, 2025",13.8,13.8,13.8,13.8,47492
"Oct 13, 2025",13.74,13.74,13.74,13.74,6183
"Oct 09, 2025",13.48,13.48,13.48,13.48,985
"Oct 08, 2025",14.0,14.0,14.0,14.0,9537
"Oct 07, 2025",13.0,13.0,13.0,13.0,5440
"Oct 06, 2025",13.13,13.13,13.13,13.13,2
"Oct 03, 2025",13.13,13.13,13.13,13.13,11500
"Oct 02, 2025",13.01,13.01,13.01,13.01,7500
"Oct 01, 2025",13.5,13.5,13.5,13.5,3289
"Sep 30, 2025",13.52,13.52,13.52,13.52,5502
"Sep 29, 2025",13.73,13.73,13.73,13.73,12432
"Sep 26, 2025",14.49,14.49,14.49,14.49,25663
"Sep 25, 2025",14.5,14.5,14.5,14.5,48138
"Sep 24, 2025",14.09,14.09,14.09,14.09,54673
"Sep 23, 2025",13.85,13.85,13.85,13.85,16349
"Sep 22, 2025",13.35,13.35,13.35,13.35,7102
"Sep 19, 2025",13.51,13.51,13.51,13.51,10116
"Sep 18, 2025",13.7,13.7,13.7,13.7,27758
"Sep 17, 2025",13.74,13.74,13.74,13.74,13550
"Sep 16, 2025",13.1,13.1,13.1,13.1,12500
"Sep 15, 2025",13.17,13.17,13.17,13.17,12092
"Sep 12, 2025",13.54,13.54,13.54,13.54,17211
"Sep 11, 2025",13.12,13.12,13.12,13.12,8540
"Sep 10, 2025",14.0,14.0,14.0,14.0,27342
"Sep 09, 2025",13.52,13.52,13.52,13.52,15001
"Sep 08, 2025",14.41,14.41,14.41,14.41,13
"Sep 05, 2025",14.41,14.41,14.41,14.41,16841
"Sep 04, 2025",13.25,13.25,13.25,13.25,6001
"Sep 03, 2025",13.26,13.26,13.26,13.26,10002
"Sep 02, 2025",13.53,13.53,13.53,13.53,500
"Sep 01, 2025",13.53,13.53,13.53,13.53,7838
"Aug 29, 2025",14.0,14.0,14.0,14.0,25017
"Aug 28, 2025",13.25,13.25,13.25,13.25,3097
"Aug 27, 2025",13.27,13.27,13.27,13.27,2
"Aug 26, 2025",13.27,13.27,13.27,13.27,18875
"Aug 25, 2025",13.08,13.08,13.08,13.08,4753
"Aug 22, 2025",13.59,13.59,13.59,13.59,2000
"Aug 21, 2025",13.0,13.0,13.0,13.0,2012
"Aug 20, 2025",13.15,13.15,13.15,13.15,67500
"Aug 19, 2025",13.07,13.07,13.07,13.07,27506
"Aug 18, 2025",12.64,12.64,12.64,12.64,1625
"Aug 15, 2025",13.14,13.14,13.14,13.14,21531
"Aug 13, 2025",13.11,13.11,13.11,13.11,25126
"Aug 12, 2025",13.57,13.57,13.57,13.57,38286
"Aug 11, 2025",13.81,13.81,13.81,13.81,64939
"Aug 08, 2025",12.55,12.55,12.55,12.55,2267
"Aug 07, 2025",13.8,13.8,13.8,13.8,12022
"Aug 06, 2025",12.75,12.75,12.75,12.75,100
"Aug 04, 2025",12.75,12.75,12.75,12.75,848
"Aug 01, 2025",13.0,13.0,13.0,13.0,760
"Jul 31, 2025",13.0,13.0,13.0,13.0,10851
"Jul 30, 2025",13.06,13.06,13.06,13.06,5002
"Jul 29, 2025",13.06,13.06,13.06,13.06,6002
"Jul 25, 2025",13.06,13.06,13.06,13.06,1920
"Jul 24, 2025",13.17,13.17,13.17,13.17,1552
"Jul 23, 2025",14.1,14.1,14.1,14.1,11
"Jul 21, 2025",14.1,14.1,14.1,14.1,1000
"Jul 18, 2025",14.0,14.0,14.0,14.0,505
"Jul 17, 2025",14.38,14.38,14.38,14.38,9102
"Jul 16, 2025",13.65,13.65,13.65,13.65,8651
"Jul 15, 2025",13.62,13.62,13.62,13.62,30
"Jul 14, 2025",13.62,13.62,13.62,13.62,22002
"Jul 11, 2025",13.99,13.99,13.99,13.99,1
"Jul 10, 2025",13.99,13.99,13.99,13.99,22017
"Jul 09, 2025",15.0,15.0,15.0,15.0,5502
"Jul 08, 2025",14.15,14.15,14.15,14.15,45500
"Jul 07, 2025",14.6,14.6,14.6,14.6,140851
"Jul 04, 2025",14.25,14.25,14.25,14.25,7303
"Jul 03, 2025",15.11,15.11,15.11,15.11,110830
"Jul 02, 2025",14.39,14.39,14.39,14.39,29517
"Jul 01, 2025",13.89,13.89,13.89,13.89,21063
"Jun 30, 2025",13.92,13.92,13.92,13.92,5626
"Jun 27, 2025",13.86,13.86,13.86,13.86,10602
"Jun 26, 2025",14.15,14.15,14.15,14.15,245277
"Jun 25, 2025",13.99,13.99,13.99,13.99,5300
"Jun 24, 2025",13.5,13.5,13.5,13.5,413
"Jun 23, 2025",13.5,13.5,13.5,13.5,12322
"Jun 20, 2025",13.8,13.8,13.8,13.8,13520
"Jun 19, 2025",13.09,13.09,13.09,13.09,25100
"Jun 18, 2025",13.0,13.0,13.0,13.0,46500
"Jun 17, 2025",13.06,13.06,13.06,13.06,3001
"Jun 16, 2025",13.4,13.4,13.4,13.4,11025
"Jun 13, 2025",13.55,13.55,13.55,13.55,9166
"Jun 12, 2025",13.64,13.64,13.64,13.64,35501
"Jun 11, 2025",13.91,13.91,13.91,13.91,37340
"Jun 10, 2025",14.53,14.53,14.53,14.53,226626
"Jun 05, 2025",13.61,13.61,13.61,13.61,154777
"Jun 04, 2025",13.66,13.66,13.66,13.66,27793
"Jun 03, 2025",13.85,13.85,13.85,13.85,90610
"Jun 02, 2025",13.5,13.5,13.5,13.5,23834
"May 30, 2025",13.62,13.62,13.62,13.62,21826
"May 29, 2025",13.36,13.36,13.36,13.36,19316
"May 27, 2025",14.14,14.14,14.14,14.14,168730
"May 26, 2025",15.71,15.71,15.71,15.71,432564
"May 23, 2025",14.28,14.28,14.28,14.28,236319
"May 22, 2025",13.09,13.09,13.09,13.09,116984
"May 21, 2025",12.76,12.76,12.76,12.76,60509
"May 20, 2025",12.95,12.95,12.95,12.95,20512
"May 19, 2025",12.95,12.95,12.95,12.95,15502
"May 16, 2025",13.6,13.6,13.6,13.6,31
"May 15, 2025",13.6,13.6,13.6,13.6,36503
"May 14, 2025",13.15,13.15,13.15,13.15,55010
"May 13, 2025",12.99,12.99,12.99,12.99,61002
"May 12, 2025",12.22,12.22,12.22,12.22,512
"May 06, 2025",12.5,12.5,12.5,12.5,1001
"May 05, 2025",12.55,12.55,12.55,12.55,25
"Apr 30, 2025",12.9,12.9,12.9,12.9,2000
"Apr 29, 2025",12.9,12.9,12.9,12.9,1000
"Apr 28, 2025",12.0,12.0,12.0,12.0,300
"Apr 25, 2025",12.0,12.0,12.0,12.0,1
"Apr 22, 2025",12.0,12.0,12.0,12.0,501
"Apr 17, 2025",13.24,13.24,13.24,13.24,14
"Apr 16, 2025",13.24,13.24,13.24,13.24,15
"Apr 15, 2025",13.24,13.24,13.24,13.24,29001
"Apr 14, 2025",12.04,12.04,12.04,12.04,6006
"Apr 11, 2025",12.25,12.25,12.25,12.25,5001
"Apr 10, 2025",11.84,11.84,11.84,11.84,3152
"Apr 09, 2025",10.76,10.76,10.76,10.76,14355
"Apr 08, 2025",11.86,11.86,11.86,11.86,4980
"Apr 03, 2025",11.74,11.74,11.74,11.74,1
"Mar 27, 2025",11.74,11.74,11.74,11.74,378
"Mar 26, 2025",11.74,11.74,11.74,11.74,6751
"Mar 24, 2025",11.32,11.32,11.32,11.32,1
"Mar 21, 2025",11.32,11.32,11.32,11.32,393
"Mar 20, 2025",11.32,11.32,11.32,11.32,352
"Mar 19, 2025",11.32,11.32,11.32,11.32,2232
"Mar 18, 2025",11.0,11.0,11.0,11.0,228
"Mar 17, 2025",11.0,11.0,11.0,11.0,1749
"Mar 16, 2025",11.04,11.04,11.04,11.04,9
"Mar 14, 2025",11.04,11.04,11.04,11.04,9
"Mar 13, 2025",11.04,11.04,11.04,11.04,7491
"Mar 12, 2025",11.0,11.0,11.0,11.0,2197
"Mar 11, 2025",11.0,11.0,11.0,11.0,2507
"Mar 10, 2025",10.81,10.81,10.81,10.81,5000
"Mar 06, 2025",12.0,12.0,12.0,12.0,3084
"Mar 05, 2025",12.0,12.0,12.0,12.0,1521
"Mar 04, 2025",11.92,11.92,11.92,11.92,1750
"Mar 03, 2025",11.86,11.86,11.86,11.86,35891
"Feb 28, 2025",12.55,12.55,12.55,12.55,42219
"Feb 27, 2025",11.97,11.97,11.97,11.97,19170
"Feb 26, 2025",10.88,10.88,10.88,10.88,2487
"Feb 25, 2025",11.0,11.0,11.0,11.0,1
"Feb 24, 2025",11.0,11.0,11.0,11.0,1
"Feb 23, 2025",11.0,11.0,11.0,11.0,1
"Feb 22, 2025",11.0,11.0,11.0,11.0,1
"Feb 21, 2025",11.0,11.0,11.0,11.0,1
"Feb 20, 2025",11.0,11.0,11.0,11.0,51003
"Feb 19, 2025",10.4,10.4,10.4,10.4,995
"Feb 18, 2025",10.0,10.0,10.0,10.0,80101
"Feb 17, 2025",10.87,10.87,10.87,10.87,5003
"Feb 16, 2025",10.4,10.4,10.4,10.4,1025
"Feb 15, 2025",10.4,10.4,10.4,10.4,1025
"Feb 14, 2025",10.4,10.4,10.4,10.4,1025
"Feb 13, 2025",11.0,11.0,11.0,11.0,4000
"Feb 12, 2025",11.2,11.2,11.2,11.2,510011
"Feb 11, 2025",12.0,12.0,12.0,12.0,25895
"Feb 10, 2025",11.03,11.03,11.03,11.03,15501
"Feb 09, 2025",11.93,11.93,11.93,11.93,6176
"Feb 08, 2025",11.93,11.93,11.93,11.93,6176
"Feb 07, 2025",11.93,11.93,11.93,11.93,6176
"Feb 06, 2025",11.93,11.93,11.93,11.93,6176
"Feb 05, 2025",11.93,11.93,11.93,11.93,6176
"Feb 04, 2025",11.93,11.93,11.93,11.93,6176
"Feb 03, 2025",11.5,11.5,11.5,11.5,35494
"Feb 02, 2025",11.6,11.6,11.6,11.6,4000
"Feb 01, 2025",11.6,11.6,11.6,11.6,4000
"Jan 31, 2025",11.6,11.6,11.6,11.6,4000
"Jan 30, 2025",11.2,11.2,11.2,11.2,10500
"Jan 29, 2025",12.0,12.0,12.0,12.0,26000
"Jan 28, 2025",12.0,12.0,12.0,12.0,26000
"Jan 27, 2025",12.0,12.0,12.0,12.0,26000
"Jan 26, 2025",12.0,12.0,12.0,12.0,26000
"Jan 25, 2025",12.0,12.0,12.0,12.0,26000
"Jan 24, 2025",12.0,12.0,12.0,12.0,26000
"Jan 23, 2025",12.0,12.0,12.0,12.0,21813
"Jan 22, 2025",11.75,11.75,11.75,11.75,25000
"Jan 21, 2025",12.0,12.0,12.0,12.0,9000
"Jan 20, 2025",12.02,12.02,12.02,12.02,809
"Jan 19, 2025",12.02,12.02,12.02,12.02,809
"Jan 18, 2025",12.02,12.02,12.02,12.02,809
"Jan 17, 2025",12.02,12.02,12.02,12.02,809
"Jan 16, 2025",12.02,12.02,12.02,12.02,809
"Jan 15, 2025",12.02,12.02,12.02,12.02,809
"Jan 14, 2025",12.02,12.02,12.02,12.02,809
"Jan 13, 2025",11.75,11.75,11.75,11.75,12700
"Jan 12, 2025",12.98,12.98,12.98,12.98,20000
"Jan 11, 2025",12.98,12.98,12.98,12.98,20000
"Jan 10, 2025",12.98,12.98,12.98,12.98,20000
"Jan 09, 2025",12.98,12.98,12.98,12.98,20000
"Jan 08, 2025",12.98,12.98,12.98,12.98,20000
"Jan 07, 2025",12.5,12.5,12.5,12.5,1000
"Jan 06, 2025",12.5,12.5,12.5,12.5,1000
"Jan 05, 2025",12.5,12.5,12.5,12.5,25452
"Jan 04, 2025",12.5,12.5,12.5,12.5,25452
"Jan 03, 2025",12.5,12.5,12.5,12.5,25452
"Jan 02, 2025",12.75,12.75,12.75,12.75,3590
"Jan 01, 2025",12.75,12.75,12.75,12.75,3590
"Dec 31, 2024",12.68,12.68,12.68,12.68,19010
