TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",33.61,33.61,33.61,33.61,66936
"Nov 14, 2025",33.8,33.8,33.8,33.8,4727
"Nov 13, 2025",33.58,33.58,33.58,33.58,39943
"Nov 12, 2025",33.69,33.69,33.69,33.69,29183
"Nov 11, 2025",33.05,33.05,33.05,33.05,63001
"Nov 10, 2025",33.33,33.33,33.33,33.33,11539
"Nov 07, 2025",33.25,33.25,33.25,33.25,11295
"Nov 06, 2025",33.47,33.47,33.47,33.47,8823
"Nov 05, 2025",33.47,33.47,33.47,33.47,11022
"Nov 04, 2025",33.92,33.92,33.92,33.92,249317
"Nov 03, 2025",34.0,34.0,34.0,34.0,9384
"Oct 31, 2025",34.76,34.76,34.76,34.76,385429
"Oct 30, 2025",32.94,32.94,32.94,32.94,37930
"Oct 29, 2025",33.5,33.5,33.5,33.5,529715
"Oct 28, 2025",33.71,33.71,33.71,33.71,14275
"Oct 27, 2025",34.07,34.07,34.07,34.07,128653
"Oct 24, 2025",34.03,34.03,34.03,34.03,959150
"Oct 23, 2025",34.0,34.0,34.0,34.0,46345
"Oct 22, 2025",33.85,33.85,33.85,33.85,58001
"Oct 21, 2025",34.43,34.43,34.43,34.43,743577
"Oct 20, 2025",35.31,35.31,35.31,35.31,128194
"Oct 17, 2025",34.9,34.9,34.9,34.9,150586
"Oct 16, 2025",34.94,34.94,34.94,34.94,541787
"Oct 15, 2025",33.0,33.0,33.0,33.0,29354
"Oct 14, 2025",33.57,33.57,33.57,33.57,244724
"Oct 13, 2025",31.97,31.97,31.97,31.97,123894
"Oct 10, 2025",32.19,32.19,32.19,32.19,1010945
"Oct 09, 2025",33.02,33.02,33.02,33.02,175711
"Oct 08, 2025",33.55,33.55,33.55,33.55,46729
"Oct 07, 2025",34.04,34.04,34.04,34.04,31953
"Oct 06, 2025",34.41,34.41,34.41,34.41,59915
"Oct 03, 2025",34.78,34.78,34.78,34.78,530247
"Oct 02, 2025",35.3,35.3,35.3,35.3,120661
"Oct 01, 2025",34.88,34.88,34.88,34.88,109600
"Sep 30, 2025",35.08,35.08,35.08,35.08,344284
"Sep 29, 2025",34.01,34.01,34.01,34.01,471408
"Sep 26, 2025",34.12,34.12,34.12,34.12,816149
"Sep 25, 2025",34.86,34.86,34.86,34.86,107950
"Sep 24, 2025",35.88,35.88,35.88,35.88,468057
"Sep 23, 2025",35.73,35.73,35.73,35.73,46863
"Sep 22, 2025",36.71,36.71,36.71,36.71,117814
"Sep 19, 2025",38.14,38.14,38.14,38.14,1037363
"Sep 18, 2025",38.4,38.4,38.4,38.4,1159776
"Sep 17, 2025",37.65,37.65,37.65,37.65,859297
"Sep 16, 2025",36.79,36.79,36.79,36.79,1937951
"Sep 15, 2025",35.38,35.38,35.38,35.38,654692
"Sep 12, 2025",34.39,34.39,34.39,34.39,343510
"Sep 11, 2025",35.06,35.06,35.06,35.06,597451
"Sep 10, 2025",35.02,35.02,35.02,35.02,120370
"Sep 09, 2025",35.61,35.61,35.61,35.61,1042793
"Sep 08, 2025",36.09,36.09,36.09,36.09,1822834
"Sep 05, 2025",34.54,34.54,34.54,34.54,702209
"Sep 04, 2025",33.72,33.72,33.72,33.72,1636897
"Sep 03, 2025",33.07,33.07,33.07,33.07,864971
"Sep 02, 2025",32.65,32.65,32.65,32.65,157271
"Sep 01, 2025",33.44,33.44,33.44,33.44,525190
"Aug 29, 2025",32.88,32.88,32.88,32.88,314490
"Aug 28, 2025",32.76,32.76,32.76,32.76,318116
"Aug 27, 2025",33.01,33.01,33.01,33.01,710936
"Aug 26, 2025",33.74,33.74,33.74,33.74,541690
"Aug 25, 2025",33.0,33.0,33.0,33.0,352064
"Aug 22, 2025",32.67,32.67,32.67,32.67,230768
"Aug 21, 2025",33.17,33.17,33.17,33.17,191468
