TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",91.56,91.56,91.56,91.56,46
"Nov 14, 2025",91.56,91.56,91.56,91.56,281
"Nov 12, 2025",91.56,91.56,91.56,91.56,7
"Nov 11, 2025",91.56,91.56,91.56,91.56,7
"Nov 10, 2025",91.56,91.56,91.56,91.56,511
"Nov 05, 2025",91.51,91.51,91.51,91.51,1
"Nov 04, 2025",91.51,91.51,91.51,91.51,1
"Nov 03, 2025",91.51,91.51,91.51,91.51,1
"Oct 31, 2025",91.51,91.51,91.51,91.51,2
"Oct 30, 2025",91.51,91.51,91.51,91.51,22
"Oct 29, 2025",91.51,91.51,91.51,91.51,1264
"Oct 28, 2025",96.48,96.48,96.48,96.48,4
"Oct 27, 2025",96.48,96.48,96.48,96.48,1
"Oct 24, 2025",96.48,96.48,96.48,96.48,10
"Oct 23, 2025",96.48,96.48,96.48,96.48,101
"Oct 22, 2025",96.48,96.48,96.48,96.48,201
"Oct 21, 2025",96.48,96.48,96.48,96.48,665
"Oct 20, 2025",100.25,100.25,100.25,100.25,1
"Oct 17, 2025",100.25,100.25,100.25,100.25,207
"Oct 16, 2025",100.25,100.25,100.25,100.25,223
"Oct 15, 2025",100.25,100.25,100.25,100.25,301
"Oct 13, 2025",100.25,100.25,100.25,100.25,189
"Oct 08, 2025",100.25,100.25,100.25,100.25,77
"Oct 06, 2025",100.25,100.25,100.25,100.25,50
"Oct 03, 2025",100.25,100.25,100.25,100.25,70
"Oct 02, 2025",100.25,100.25,100.25,100.25,42
"Oct 01, 2025",100.25,100.25,100.25,100.25,50
"Sep 30, 2025",100.25,100.25,100.25,100.25,86
"Sep 29, 2025",100.25,100.25,100.25,100.25,243
"Sep 26, 2025",100.25,100.25,100.25,100.25,234
"Sep 25, 2025",100.25,100.25,100.25,100.25,210
"Sep 23, 2025",100.25,100.25,100.25,100.25,252
"Sep 22, 2025",101.05,101.05,101.05,101.05,280
"Sep 19, 2025",101.05,101.05,101.05,101.05,185
"Sep 17, 2025",101.05,101.05,101.05,101.05,239
"Sep 16, 2025",101.05,101.05,101.05,101.05,285
"Sep 15, 2025",108.33,108.33,108.33,108.33,2
"Sep 11, 2025",108.33,108.33,108.33,108.33,101
"Sep 10, 2025",108.33,108.33,108.33,108.33,6
"Sep 08, 2025",108.33,108.33,108.33,108.33,211
"Sep 05, 2025",108.33,108.33,108.33,108.33,248
"Sep 04, 2025",114.5,114.5,114.5,114.5,80
"Sep 02, 2025",114.5,114.5,114.5,114.5,34
"Sep 01, 2025",114.5,114.5,114.5,114.5,209
"Aug 29, 2025",114.5,114.5,114.5,114.5,150
"Aug 28, 2025",114.5,114.5,114.5,114.5,8
"Aug 27, 2025",114.5,114.5,114.5,114.5,12
"Aug 26, 2025",114.5,114.5,114.5,114.5,26
"Aug 25, 2025",114.5,114.5,114.5,114.5,113
"Aug 22, 2025",114.5,114.5,114.5,114.5,95
"Aug 21, 2025",114.5,114.5,114.5,114.5,105
"Aug 20, 2025",114.5,114.5,114.5,114.5,3866
"Aug 19, 2025",106.11,106.11,106.11,106.11,1425
"Aug 18, 2025",96.7,96.7,96.7,96.7,503
"Aug 15, 2025",87.91,87.91,87.91,87.91,291
"Aug 13, 2025",96.45,96.45,96.45,96.45,266
"Aug 12, 2025",99.43,99.43,99.43,99.43,93
"Aug 11, 2025",99.43,99.43,99.43,99.43,201
"Aug 08, 2025",99.43,99.43,99.43,99.43,1796
"Aug 07, 2025",106.78,106.78,106.78,106.78,7383
"Aug 06, 2025",114.4,114.4,114.4,114.4,4357
"Aug 05, 2025",105.73,105.73,105.73,105.73,152
"Aug 04, 2025",109.9,109.9,109.9,109.9,1
"Jul 29, 2025",109.9,109.9,109.9,109.9,371
"Jul 28, 2025",117.24,117.24,117.24,117.24,98
"Jul 25, 2025",117.24,117.24,117.24,117.24,1
"Jul 24, 2025",117.24,117.24,117.24,117.24,13
"Jul 23, 2025",117.24,117.24,117.24,117.24,2
"Jul 22, 2025",117.24,117.24,117.24,117.24,301
"Jul 21, 2025",122.57,122.57,122.57,122.57,15
"Jul 18, 2025",122.57,122.57,122.57,122.57,28
"Jul 17, 2025",122.57,122.57,122.57,122.57,1163
"Jul 16, 2025",132.23,132.23,132.23,132.23,3159
"Jul 15, 2025",143.6,143.6,143.6,143.6,4903
"Jul 14, 2025",153.31,153.31,153.31,153.31,6913
"Jul 11, 2025",160.6,160.6,160.6,160.6,4928
"Jul 10, 2025",146.03,146.03,146.03,146.03,202
"Jul 09, 2025",132.75,132.75,132.75,132.75,1077
"Jul 08, 2025",120.68,120.68,120.68,120.68,2961
"Jul 07, 2025",109.71,109.71,109.71,109.71,9524
"Jul 04, 2025",99.74,99.74,99.74,99.74,4652
"Jul 03, 2025",90.67,90.67,90.67,90.67,310
"Jul 02, 2025",82.43,82.43,82.43,82.43,20
"Jul 01, 2025",78.47,78.47,78.47,78.47,115
"Jun 30, 2025",71.36,71.36,71.36,71.36,2252
"Jun 27, 2025",64.87,64.87,64.87,64.87,2179
"Jun 26, 2025",58.97,58.97,58.97,58.97,929
"Jun 25, 2025",56.04,56.04,56.04,56.04,3232
"Jun 24, 2025",50.96,50.96,50.96,50.96,362
"Jun 20, 2025",46.33,46.33,46.33,46.33,115
"Jun 19, 2025",44.16,44.16,44.16,44.16,41
"Jun 18, 2025",44.16,44.16,44.16,44.16,855
"Jun 17, 2025",48.8,48.8,48.8,48.8,4001
"Jun 16, 2025",53.92,53.92,53.92,53.92,3001
"Jun 12, 2025",53.92,53.92,53.92,53.92,1787
"Jun 11, 2025",49.57,49.57,49.57,49.57,578
"Jun 10, 2025",49.2,49.2,49.2,49.2,61
"Jun 05, 2025",49.2,49.2,49.2,49.2,162
"Jun 04, 2025",49.2,49.2,49.2,49.2,3368
"Jun 02, 2025",49.2,49.2,49.2,49.2,3822
"May 30, 2025",49.91,49.91,49.91,49.91,1656
"May 29, 2025",45.37,45.37,45.37,45.37,2070
"May 27, 2025",48.81,48.81,48.81,48.81,522
"May 26, 2025",44.37,44.37,44.37,44.37,44
"May 23, 2025",42.65,42.65,42.65,42.65,679
"May 22, 2025",46.54,46.54,46.54,46.54,2450
"May 21, 2025",46.24,46.24,46.24,46.24,871
"May 20, 2025",50.04,50.04,50.04,50.04,104
