TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",42.99,42.99,42.99,42.99,16859
"Nov 14, 2025",41.01,41.01,41.01,41.01,9483
"Nov 13, 2025",39.52,39.52,39.52,39.52,4227
"Nov 12, 2025",38.01,38.01,38.01,38.01,3618
"Nov 11, 2025",38.33,38.33,38.33,38.33,2180
"Nov 10, 2025",41.85,41.85,41.85,41.85,4032
"Nov 07, 2025",38.93,38.93,38.93,38.93,7104
"Nov 06, 2025",39.0,39.0,39.0,39.0,161
"Nov 05, 2025",39.0,39.0,39.0,39.0,1223
"Nov 04, 2025",39.18,39.18,39.18,39.18,6685
"Nov 03, 2025",40.55,40.55,40.55,40.55,28019
"Oct 31, 2025",40.0,40.0,40.0,40.0,24810
"Oct 30, 2025",43.0,43.0,43.0,43.0,55902
"Oct 29, 2025",47.22,47.22,47.22,47.22,83122
"Oct 28, 2025",44.47,44.47,44.47,44.47,34585
"Oct 27, 2025",44.57,44.57,44.57,44.57,21048
"Oct 24, 2025",40.58,40.58,40.58,40.58,6574
"Oct 23, 2025",41.61,41.61,41.61,41.61,3548
"Oct 22, 2025",45.5,45.5,45.5,45.5,5542
"Oct 21, 2025",44.79,44.79,44.79,44.79,7163
"Oct 20, 2025",42.72,42.72,42.72,42.72,13806
"Oct 17, 2025",39.37,39.37,39.37,39.37,4651
"Oct 16, 2025",42.3,42.3,42.3,42.3,524
"Oct 15, 2025",41.0,41.0,41.0,41.0,12509
"Oct 14, 2025",40.56,40.56,40.56,40.56,11782
"Oct 13, 2025",39.05,39.05,39.05,39.05,6739
"Oct 10, 2025",42.92,42.92,42.92,42.92,19633
"Oct 09, 2025",46.37,46.37,46.37,46.37,108152
"Oct 08, 2025",47.95,47.95,47.95,47.95,156845
"Oct 07, 2025",43.59,43.59,43.59,43.59,21403
"Oct 06, 2025",39.63,39.63,39.63,39.63,29641
"Oct 03, 2025",36.03,36.03,36.03,36.03,47404
"Oct 02, 2025",38.46,38.46,38.46,38.46,2353
"Oct 01, 2025",38.74,38.74,38.74,38.74,2483
"Sep 30, 2025",37.58,37.58,37.58,37.58,10470
"Sep 29, 2025",40.28,40.28,40.28,40.28,4011
"Sep 26, 2025",36.89,36.89,36.89,36.89,1300
"Sep 25, 2025",38.98,38.98,38.98,38.98,5
"Sep 24, 2025",38.98,38.98,38.98,38.98,1114
"Sep 23, 2025",38.5,38.5,38.5,38.5,9985
"Sep 22, 2025",38.56,38.56,38.56,38.56,47990
"Sep 19, 2025",39.55,39.55,39.55,39.55,146
"Sep 18, 2025",39.55,39.55,39.55,39.55,227
"Sep 17, 2025",39.55,39.55,39.55,39.55,3
"Sep 16, 2025",39.55,39.55,39.55,39.55,10014
"Sep 15, 2025",40.8,40.8,40.8,40.8,7657
"Sep 12, 2025",38.0,38.0,38.0,38.0,11759
