TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",11.84,11.84,11.84,11.84,64384
"Nov 14, 2025",11.71,11.71,11.71,11.71,172532
"Nov 13, 2025",11.66,11.66,11.66,11.66,15330
"Nov 12, 2025",11.79,11.79,11.79,11.79,150423
"Nov 11, 2025",11.43,11.43,11.43,11.43,100599
"Nov 10, 2025",11.83,11.83,11.83,11.83,90908
"Nov 07, 2025",11.83,11.83,11.83,11.83,67344
"Nov 06, 2025",11.83,11.83,11.83,11.83,60891
"Nov 05, 2025",11.97,11.97,11.97,11.97,43985
"Nov 04, 2025",11.98,11.98,11.98,11.98,375202
"Nov 03, 2025",12.26,12.26,12.26,12.26,565041
"Oct 31, 2025",11.65,11.65,11.65,11.65,54735
"Oct 30, 2025",11.63,11.63,11.63,11.63,282553
"Oct 29, 2025",12.16,12.16,12.16,12.16,463474
"Oct 28, 2025",12.6,12.6,12.6,12.6,150690
"Oct 27, 2025",13.14,13.14,13.14,13.14,237597
"Oct 24, 2025",13.06,13.06,13.06,13.06,1359616
"Oct 23, 2025",12.57,12.57,12.57,12.57,82354
"Oct 22, 2025",12.61,12.61,12.61,12.61,103800
"Oct 21, 2025",12.63,12.63,12.63,12.63,467280
"Oct 20, 2025",12.33,12.33,12.33,12.33,379347
"Oct 17, 2025",12.75,12.75,12.75,12.75,412797
"Oct 16, 2025",12.87,12.87,12.87,12.87,238937
"Oct 15, 2025",14.39,14.39,14.39,14.39,753804
"Oct 14, 2025",14.21,14.21,14.21,14.21,444117
"Oct 13, 2025",13.95,13.95,13.95,13.95,145202
"Oct 10, 2025",14.14,14.14,14.14,14.14,287325
"Oct 09, 2025",14.01,14.01,14.01,14.01,208240
"Oct 08, 2025",13.93,13.93,13.93,13.93,452879
"Oct 07, 2025",13.94,13.94,13.94,13.94,302951
"Oct 06, 2025",14.28,14.28,14.28,14.28,686233
"Oct 03, 2025",14.44,14.44,14.44,14.44,724145
"Oct 02, 2025",14.91,14.91,14.91,14.91,697650
"Oct 01, 2025",14.58,14.58,14.58,14.58,1527601
"Sep 30, 2025",14.28,14.28,14.28,14.28,745041
"Sep 29, 2025",14.57,14.57,14.57,14.57,542694
"Sep 26, 2025",15.47,15.47,15.47,15.47,2581533
"Sep 25, 2025",15.88,15.88,15.88,15.88,6158890
"Sep 24, 2025",14.44,14.44,14.44,14.44,7494701
"Sep 23, 2025",13.14,13.14,13.14,13.14,2356688
"Sep 22, 2025",12.86,12.86,12.86,12.86,718685
"Sep 19, 2025",12.82,12.82,12.82,12.82,366010
"Sep 18, 2025",13.03,13.03,13.03,13.03,1447782
"Sep 17, 2025",12.94,12.94,12.94,12.94,378836
"Sep 16, 2025",12.41,12.41,12.41,12.41,156866
"Sep 15, 2025",12.71,12.71,12.71,12.71,205946
"Sep 12, 2025",12.5,12.5,12.5,12.5,331398
"Sep 11, 2025",12.75,12.75,12.75,12.75,1715354
"Sep 10, 2025",11.6,11.6,11.6,11.6,14205
"Sep 09, 2025",11.64,11.64,11.64,11.64,11703
"Sep 08, 2025",11.5,11.5,11.5,11.5,37631
"Sep 05, 2025",11.08,11.08,11.08,11.08,12018
"Sep 04, 2025",11.2,11.2,11.2,11.2,10192
"Sep 03, 2025",11.28,11.28,11.28,11.28,18133
"Sep 02, 2025",11.3,11.3,11.3,11.3,6586
"Sep 01, 2025",11.3,11.3,11.3,11.3,11622
"Aug 29, 2025",11.2,11.2,11.2,11.2,19270
"Aug 28, 2025",11.05,11.05,11.05,11.05,43147
"Aug 27, 2025",10.9,10.9,10.9,10.9,185420
"Aug 26, 2025",11.0,11.0,11.0,11.0,83634
"Aug 25, 2025",11.25,11.25,11.25,11.25,29813
"Aug 22, 2025",11.29,11.29,11.29,11.29,13832
"Aug 21, 2025",11.19,11.19,11.19,11.19,17710
"Aug 20, 2025",11.09,11.09,11.09,11.09,10692
"Aug 19, 2025",11.08,11.08,11.08,11.08,30177
"Aug 18, 2025",11.0,11.0,11.0,11.0,17018
"Aug 15, 2025",10.95,10.95,10.95,10.95,11606
"Aug 13, 2025",10.92,10.92,10.92,10.92,29819
"Aug 12, 2025",10.95,10.95,10.95,10.95,28635
"Aug 11, 2025",11.2,11.2,11.2,11.2,37957
"Aug 08, 2025",10.85,10.85,10.85,10.85,11826
"Aug 07, 2025",10.65,10.65,10.65,10.65,7748
"Aug 06, 2025",11.06,11.06,11.06,11.06,35603
"Aug 05, 2025",10.45,10.45,10.45,10.45,12781
"Aug 04, 2025",10.98,10.98,10.98,10.98,11002
"Jul 31, 2025",10.98,10.98,10.98,10.98,13001
"Jul 30, 2025",10.98,10.98,10.98,10.98,13523
"Jul 29, 2025",10.66,10.66,10.66,10.66,25911
"Jul 28, 2025",10.99,10.99,10.99,10.99,23214
"Jul 25, 2025",10.85,10.85,10.85,10.85,21661
"Jul 24, 2025",10.55,10.55,10.55,10.55,21082
"Jul 23, 2025",10.77,10.77,10.77,10.77,17559
"Jul 22, 2025",10.3,10.3,10.3,10.3,2381
"Jul 21, 2025",10.67,10.67,10.67,10.67,71055
"Jul 18, 2025",10.95,10.95,10.95,10.95,63877
"Jul 17, 2025",10.5,10.5,10.5,10.5,82409
"Jul 16, 2025",10.5,10.5,10.5,10.5,22081
"Jul 15, 2025",10.5,10.5,10.5,10.5,13600
"Jul 14, 2025",10.8,10.8,10.8,10.8,52513
"Jul 11, 2025",10.3,10.3,10.3,10.3,14060
"Jul 10, 2025",10.1,10.1,10.1,10.1,18699
"Jul 09, 2025",10.17,10.17,10.17,10.17,1212
"Jul 08, 2025",10.51,10.51,10.51,10.51,7304
"Jul 07, 2025",10.65,10.65,10.65,10.65,10057
"Jul 04, 2025",10.39,10.39,10.39,10.39,1434
"Jul 03, 2025",10.39,10.39,10.39,10.39,11
"Jul 02, 2025",10.39,10.39,10.39,10.39,2660
"Jul 01, 2025",10.49,10.49,10.49,10.49,25815
"Jun 30, 2025",10.25,10.25,10.25,10.25,32284
"Jun 27, 2025",10.5,10.5,10.5,10.5,37853
"Jun 26, 2025",10.11,10.11,10.11,10.11,32498
"Jun 25, 2025",9.85,9.85,9.85,9.85,27758
"Jun 24, 2025",10.21,10.21,10.21,10.21,18091
"Jun 23, 2025",9.7,9.7,9.7,9.7,8282
"Jun 20, 2025",9.9,9.9,9.9,9.9,19282
"Jun 19, 2025",10.1,10.1,10.1,10.1,94011
"Jun 18, 2025",9.85,9.85,9.85,9.85,5204
"Jun 17, 2025",9.88,9.88,9.88,9.88,82172
"Jun 16, 2025",9.95,9.95,9.95,9.95,104519
"Jun 13, 2025",9.4,9.4,9.4,9.4,22173
"Jun 12, 2025",9.47,9.47,9.47,9.47,1521
"Jun 11, 2025",9.5,9.5,9.5,9.5,1125
"Jun 10, 2025",9.89,9.89,9.89,9.89,50001
"Jun 05, 2025",9.5,9.5,9.5,9.5,2021
"Jun 04, 2025",9.4,9.4,9.4,9.4,998
"Jun 02, 2025",8.92,8.92,8.92,8.92,2095
"May 30, 2025",9.4,9.4,9.4,9.4,10498
"May 29, 2025",9.2,9.2,9.2,9.2,12873
"May 27, 2025",9.08,9.08,9.08,9.08,611
"May 26, 2025",9.5,9.5,9.5,9.5,1264
"May 23, 2025",8.95,8.95,8.95,8.95,1007
"May 22, 2025",9.67,9.67,9.67,9.67,78
"May 21, 2025",9.67,9.67,9.67,9.67,200
