TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",3.4,3.4,3.4,3.4,2353173
"Nov 14, 2025",3.33,3.33,3.33,3.33,10455471
"Nov 13, 2025",3.2,3.2,3.2,3.2,5064632
"Nov 12, 2025",3.13,3.13,3.13,3.13,6802320
"Nov 11, 2025",3.26,3.26,3.26,3.26,3232692
"Nov 10, 2025",3.42,3.42,3.42,3.42,1725151
"Nov 07, 2025",3.39,3.39,3.39,3.39,2860724
"Nov 06, 2025",3.38,3.38,3.38,3.38,3604197
"Nov 05, 2025",3.37,3.37,3.37,3.37,3010220
"Nov 04, 2025",3.39,3.39,3.39,3.39,1437145
"Nov 03, 2025",3.53,3.53,3.53,3.53,3177343
"Oct 31, 2025",3.53,3.53,3.53,3.53,3526320
"Oct 30, 2025",3.36,3.36,3.36,3.36,2952904
"Oct 29, 2025",3.47,3.47,3.47,3.47,5800984
"Oct 28, 2025",3.7,3.7,3.7,3.7,5269824
"Oct 27, 2025",3.89,3.89,3.89,3.89,5855472
"Oct 24, 2025",3.88,3.88,3.88,3.88,9132412
"Oct 23, 2025",3.97,3.97,3.97,3.97,15892356
"Oct 22, 2025",4.0,4.0,4.0,4.0,18898178
"Oct 21, 2025",3.88,3.88,3.88,3.88,9512598
"Oct 20, 2025",4.05,4.05,4.05,4.05,21453703
"Oct 17, 2025",3.95,3.95,3.95,3.95,52004021
"Oct 16, 2025",3.76,3.76,3.76,3.76,15448761
"Oct 15, 2025",3.72,3.72,3.72,3.72,5047535
"Oct 14, 2025",3.7,3.7,3.7,3.7,3357104
"Oct 13, 2025",3.56,3.56,3.56,3.56,10130311
"Oct 10, 2025",3.65,3.65,3.65,3.65,16513621
"Oct 09, 2025",3.73,3.73,3.73,3.73,9459158
"Oct 08, 2025",3.82,3.82,3.82,3.82,52351009
"Oct 07, 2025",3.79,3.79,3.79,3.79,28842840
"Oct 06, 2025",3.28,3.28,3.28,3.28,6368984
"Oct 03, 2025",3.45,3.45,3.45,3.45,6004350
"Oct 02, 2025",3.55,3.55,3.55,3.55,4441874
"Oct 01, 2025",3.52,3.52,3.52,3.52,4170303
"Sep 30, 2025",3.6,3.6,3.6,3.6,7537375
"Sep 29, 2025",3.73,3.73,3.73,3.73,50146713
"Sep 26, 2025",3.6,3.6,3.6,3.6,9965723
"Sep 25, 2025",3.58,3.58,3.58,3.58,8309774
"Sep 24, 2025",3.66,3.66,3.66,3.66,35446045
"Sep 23, 2025",3.56,3.56,3.56,3.56,17121166
"Sep 22, 2025",3.61,3.61,3.61,3.61,25171317
"Sep 19, 2025",3.47,3.47,3.47,3.47,18037882
"Sep 18, 2025",3.67,3.67,3.67,3.67,47283904
"Sep 17, 2025",3.43,3.43,3.43,3.43,52279463
"Sep 16, 2025",3.34,3.34,3.34,3.34,38261876
"Sep 15, 2025",3.11,3.11,3.11,3.11,47963248
"Sep 12, 2025",3.17,3.17,3.17,3.17,47222571
"Sep 11, 2025",2.79,2.79,2.79,2.79,2806838
"Sep 10, 2025",2.8,2.8,2.8,2.8,2386868
"Sep 09, 2025",2.78,2.78,2.78,2.78,3077444
"Sep 08, 2025",2.82,2.82,2.82,2.82,6196879
"Sep 05, 2025",2.91,2.91,2.91,2.91,2657850
"Sep 04, 2025",2.92,2.92,2.92,2.92,4703629
"Sep 03, 2025",2.96,2.96,2.96,2.96,8102455
"Sep 02, 2025",2.9,2.9,2.9,2.9,8207397
"Sep 01, 2025",3.04,3.04,3.04,3.04,54520834
"Aug 29, 2025",2.85,2.85,2.85,2.85,10989720
"Aug 28, 2025",2.95,2.95,2.95,2.95,32265461
"Aug 27, 2025",2.8,2.8,2.8,2.8,25008140
"Aug 26, 2025",2.78,2.78,2.78,2.78,8658377
"Aug 25, 2025",2.8,2.8,2.8,2.8,14498197
"Aug 22, 2025",2.64,2.64,2.64,2.64,5217223
"Aug 21, 2025",2.63,2.63,2.63,2.63,4366756
"Aug 20, 2025",2.72,2.72,2.72,2.72,2749160
"Aug 19, 2025",2.8,2.8,2.8,2.8,7159011
"Aug 18, 2025",2.82,2.82,2.82,2.82,29750970
"Aug 15, 2025",2.64,2.64,2.64,2.64,2616008
"Aug 13, 2025",2.6,2.6,2.6,2.6,1775546
"Aug 12, 2025",2.64,2.64,2.64,2.64,2423808
"Aug 11, 2025",2.63,2.63,2.63,2.63,2809440
"Aug 08, 2025",2.65,2.65,2.65,2.65,1749160
"Aug 07, 2025",2.7,2.7,2.7,2.7,3379823
"Aug 06, 2025",2.71,2.71,2.71,2.71,2529006
"Aug 05, 2025",2.66,2.66,2.66,2.66,2821445
"Aug 04, 2025",2.71,2.71,2.71,2.71,4396583
"Aug 01, 2025",2.7,2.7,2.7,2.7,1780428
"Jul 31, 2025",2.75,2.75,2.75,2.75,4232248
"Jul 30, 2025",2.79,2.79,2.79,2.79,2131900
"Jul 29, 2025",2.78,2.78,2.78,2.78,4035507
"Jul 28, 2025",2.84,2.84,2.84,2.84,1632696
"Jul 25, 2025",2.86,2.86,2.86,2.86,5305420
"Jul 24, 2025",2.93,2.93,2.93,2.93,3458668
"Jul 23, 2025",2.96,2.96,2.96,2.96,7866928
"Jul 22, 2025",3.06,3.06,3.06,3.06,23957021
"Jul 21, 2025",3.1,3.1,3.1,3.1,12907792
"Jul 18, 2025",2.91,2.91,2.91,2.91,3811742
"Jul 17, 2025",3.0,3.0,3.0,3.0,17334396
"Jul 16, 2025",2.9,2.9,2.9,2.9,2765819
"Jul 15, 2025",2.9,2.9,2.9,2.9,7371262
"Jul 14, 2025",2.98,2.98,2.98,2.98,12955968
"Jul 11, 2025",2.95,2.95,2.95,2.95,8842758
"Jul 10, 2025",3.02,3.02,3.02,3.02,7175818
"Jul 09, 2025",3.03,3.03,3.03,3.03,23090253
"Jul 08, 2025",3.07,3.07,3.07,3.07,27456545
"Jul 07, 2025",2.76,2.76,2.76,2.76,4246509
"Jul 04, 2025",2.89,2.89,2.89,2.89,4917266
"Jul 03, 2025",2.95,2.95,2.95,2.95,7274212
"Jul 02, 2025",2.98,2.98,2.98,2.98,9103125
"Jul 01, 2025",3.12,3.12,3.12,3.12,8975644
"Jun 30, 2025",3.12,3.12,3.12,3.12,14472338
"Jun 27, 2025",3.27,3.27,3.27,3.27,24856117
"Jun 26, 2025",3.29,3.29,3.29,3.29,32962174
"Jun 25, 2025",3.04,3.04,3.04,3.04,11195213
"Jun 24, 2025",3.17,3.17,3.17,3.17,24673956
"Jun 23, 2025",2.72,2.72,2.72,2.72,24022793
"Jun 20, 2025",2.84,2.84,2.84,2.84,25526681
"Jun 19, 2025",3.09,3.09,3.09,3.09,25219647
"Jun 18, 2025",3.15,3.15,3.15,3.15,41067952
"Jun 17, 2025",3.88,3.88,3.88,3.88,97496465
"Jun 16, 2025",3.93,3.93,3.93,3.93,92031551
"Jun 13, 2025",2.93,2.93,2.93,2.93,116655242
"Jun 12, 2025",1.93,1.93,1.93,1.93,49092533
"Jun 11, 2025",2.0,2.0,2.0,2.0,78292186
"Jun 10, 2025",1.51,1.51,1.51,1.51,2296612
"Jun 05, 2025",1.36,1.36,1.36,1.36,877490
"Jun 04, 2025",1.43,1.43,1.43,1.43,3043803
"Jun 02, 2025",1.42,1.42,1.42,1.42,9045226
"May 30, 2025",1.33,1.33,1.33,1.33,1347003
"May 29, 2025",1.29,1.29,1.29,1.29,644717
"May 27, 2025",1.25,1.25,1.25,1.25,965921
"May 26, 2025",1.26,1.26,1.26,1.26,1075912
"May 23, 2025",1.23,1.23,1.23,1.23,735206
"May 22, 2025",1.23,1.23,1.23,1.23,752934
"May 21, 2025",1.26,1.26,1.26,1.26,5258040
"May 20, 2025",1.07,1.07,1.07,1.07,131414
"May 19, 2025",1.07,1.07,1.07,1.07,128522
"May 16, 2025",1.08,1.08,1.08,1.08,1195496
"May 15, 2025",1.1,1.1,1.1,1.1,368458
"May 14, 2025",1.08,1.08,1.08,1.08,195946
"May 13, 2025",1.07,1.07,1.07,1.07,555450
"May 12, 2025",1.12,1.12,1.12,1.12,1110721
"May 09, 2025",1.0,1.0,1.0,1.0,673371
"May 08, 2025",0.98,0.98,0.98,0.98,1129858
"May 07, 2025",1.01,1.01,1.01,1.01,532330
"May 06, 2025",1.09,1.09,1.09,1.09,798497
"May 02, 2025",1.07,1.07,1.07,1.07,244517
"Apr 30, 2025",1.0,1.0,1.0,1.0,1770794
"Apr 29, 2025",1.05,1.05,1.05,1.05,3382403
"Apr 28, 2025",1.1,1.1,1.1,1.1,2517134
"Apr 25, 2025",1.17,1.17,1.17,1.17,1666130
"Apr 24, 2025",1.2,1.2,1.2,1.2,725829
"Apr 23, 2025",1.24,1.24,1.24,1.24,159331
"Apr 22, 2025",1.25,1.25,1.25,1.25,120106
"Apr 21, 2025",1.26,1.26,1.26,1.26,1267020
"Apr 18, 2025",1.23,1.23,1.23,1.23,713369
"Apr 17, 2025",1.25,1.25,1.25,1.25,82402
"Apr 16, 2025",1.27,1.27,1.27,1.27,369441
"Apr 15, 2025",1.25,1.25,1.25,1.25,1366880
"Apr 14, 2025",1.18,1.18,1.18,1.18,840117
"Apr 11, 2025",1.19,1.19,1.19,1.19,294429
"Apr 10, 2025",1.25,1.25,1.25,1.25,201516
"Apr 09, 2025",1.2,1.2,1.2,1.2,521299
"Apr 08, 2025",1.25,1.25,1.25,1.25,150948
"Apr 07, 2025",1.2,1.2,1.2,1.2,945949
"Apr 04, 2025",1.29,1.29,1.29,1.29,312023
"Apr 03, 2025",1.27,1.27,1.27,1.27,215871
"Mar 27, 2025",1.26,1.26,1.26,1.26,198059
"Mar 26, 2025",1.28,1.28,1.28,1.28,392370
"Mar 25, 2025",1.3,1.3,1.3,1.3,187300
"Mar 24, 2025",1.29,1.29,1.29,1.29,455081
"Mar 21, 2025",1.28,1.28,1.28,1.28,1188840
"Mar 20, 2025",1.34,1.34,1.34,1.34,178172
"Mar 19, 2025",1.33,1.33,1.33,1.33,78977
"Mar 18, 2025",1.33,1.33,1.33,1.33,18084
"Mar 17, 2025",1.33,1.33,1.33,1.33,168671
"Mar 16, 2025",1.34,1.34,1.34,1.34,93753
"Mar 14, 2025",1.34,1.34,1.34,1.34,93753
"Mar 13, 2025",1.33,1.33,1.33,1.33,279786
"Mar 12, 2025",1.35,1.35,1.35,1.35,378050
"Mar 11, 2025",1.31,1.31,1.31,1.31,874192
"Mar 10, 2025",1.35,1.35,1.35,1.35,233056
"Mar 07, 2025",1.36,1.36,1.36,1.36,947476
"Mar 06, 2025",1.37,1.37,1.37,1.37,639224
"Mar 05, 2025",1.35,1.35,1.35,1.35,17991
"Mar 04, 2025",1.38,1.38,1.38,1.38,214140
"Mar 03, 2025",1.39,1.39,1.39,1.39,17284
"Feb 28, 2025",1.38,1.38,1.38,1.38,70920
"Feb 27, 2025",1.4,1.4,1.4,1.4,138767
"Feb 26, 2025",1.39,1.39,1.39,1.39,424627
"Feb 25, 2025",1.37,1.37,1.37,1.37,91643
"Feb 24, 2025",1.39,1.39,1.39,1.39,84965
"Feb 23, 2025",1.39,1.39,1.39,1.39,93261
"Feb 22, 2025",1.39,1.39,1.39,1.39,93261
"Feb 21, 2025",1.39,1.39,1.39,1.39,93261
"Feb 20, 2025",1.4,1.4,1.4,1.4,443689
"Feb 19, 2025",1.45,1.45,1.45,1.45,368999
"Feb 18, 2025",1.42,1.42,1.42,1.42,398078
"Feb 17, 2025",1.4,1.4,1.4,1.4,858767
"Feb 16, 2025",1.39,1.39,1.39,1.39,2255026
"Feb 15, 2025",1.39,1.39,1.39,1.39,2255026
"Feb 14, 2025",1.39,1.39,1.39,1.39,2255026
"Feb 13, 2025",1.38,1.38,1.38,1.38,257888
"Feb 12, 2025",1.36,1.36,1.36,1.36,395944
"Feb 11, 2025",1.38,1.38,1.38,1.38,510175
"Feb 10, 2025",1.41,1.41,1.41,1.41,215299
"Feb 09, 2025",1.4,1.4,1.4,1.4,489471
"Feb 08, 2025",1.4,1.4,1.4,1.4,489471
"Feb 07, 2025",1.4,1.4,1.4,1.4,489471
"Feb 06, 2025",1.41,1.41,1.41,1.41,1384638
"Feb 05, 2025",1.49,1.49,1.49,1.49,2693521
"Feb 04, 2025",1.49,1.49,1.49,1.49,2693521
"Feb 03, 2025",1.54,1.54,1.54,1.54,2082593
"Feb 02, 2025",1.38,1.38,1.38,1.38,312680
"Feb 01, 2025",1.38,1.38,1.38,1.38,312680
"Jan 31, 2025",1.38,1.38,1.38,1.38,312680
"Jan 30, 2025",1.4,1.4,1.4,1.4,385131
"Jan 29, 2025",1.33,1.33,1.33,1.33,457982
"Jan 28, 2025",1.38,1.38,1.38,1.38,279912
"Jan 27, 2025",1.36,1.36,1.36,1.36,386569
"Jan 26, 2025",1.41,1.41,1.41,1.41,204218
"Jan 25, 2025",1.41,1.41,1.41,1.41,204218
"Jan 24, 2025",1.41,1.41,1.41,1.41,204218
"Jan 23, 2025",1.41,1.41,1.41,1.41,472725
"Jan 22, 2025",1.4,1.4,1.4,1.4,603021
"Jan 21, 2025",1.45,1.45,1.45,1.45,555413
"Jan 20, 2025",1.49,1.49,1.49,1.49,173792
"Jan 19, 2025",1.49,1.49,1.49,1.49,313874
"Jan 18, 2025",1.49,1.49,1.49,1.49,313874
"Jan 17, 2025",1.49,1.49,1.49,1.49,313874
"Jan 16, 2025",1.48,1.48,1.48,1.48,226375
"Jan 15, 2025",1.49,1.49,1.49,1.49,386128
"Jan 14, 2025",1.47,1.47,1.47,1.47,374332
"Jan 13, 2025",1.5,1.5,1.5,1.5,755050
"Jan 12, 2025",1.5,1.5,1.5,1.5,395537
"Jan 11, 2025",1.5,1.5,1.5,1.5,395537
"Jan 10, 2025",1.5,1.5,1.5,1.5,395537
"Jan 09, 2025",1.46,1.46,1.46,1.46,471162
"Jan 08, 2025",1.51,1.51,1.51,1.51,1842834
"Jan 07, 2025",1.46,1.46,1.46,1.46,2047249
"Jan 06, 2025",1.44,1.44,1.44,1.44,1738252
"Jan 05, 2025",1.52,1.52,1.52,1.52,1709860
"Jan 04, 2025",1.52,1.52,1.52,1.52,1709860
"Jan 03, 2025",1.52,1.52,1.52,1.52,1709860
"Jan 02, 2025",1.57,1.57,1.57,1.57,905576
"Jan 01, 2025",1.56,1.56,1.56,1.56,3253477
"Dec 31, 2024",1.51,1.51,1.51,1.51,1367525
"Dec 30, 2024",1.52,1.52,1.52,1.52,2393441
"Dec 29, 2024",1.49,1.49,1.49,1.49,1675600
"Dec 28, 2024",1.49,1.49,1.49,1.49,1675600
"Dec 27, 2024",1.49,1.49,1.49,1.49,1675600
"Dec 26, 2024",1.48,1.48,1.48,1.48,3278888
"Dec 25, 2024",1.51,1.51,1.51,1.51,1580914
"Dec 24, 2024",1.51,1.51,1.51,1.51,1580914
"Dec 23, 2024",1.56,1.56,1.56,1.56,5904062
"Dec 22, 2024",1.53,1.53,1.53,1.53,2214866
"Dec 21, 2024",1.53,1.53,1.53,1.53,2214866
"Dec 20, 2024",1.53,1.53,1.53,1.53,2214866
"Dec 19, 2024",1.47,1.47,1.47,1.47,2214515
"Dec 18, 2024",1.57,1.57,1.57,1.57,4055225
"Dec 17, 2024",1.68,1.68,1.68,1.68,8536089
"Dec 16, 2024",1.77,1.77,1.77,1.77,20624859
"Dec 15, 2024",1.53,1.53,1.53,1.53,1910151
"Dec 14, 2024",1.53,1.53,1.53,1.53,1910151
"Dec 13, 2024",1.53,1.53,1.53,1.53,1910151
"Dec 12, 2024",1.58,1.58,1.58,1.58,1871941
"Dec 11, 2024",1.53,1.53,1.53,1.53,2176572
"Dec 10, 2024",1.5,1.5,1.5,1.5,3445354
"Dec 09, 2024",1.64,1.64,1.64,1.64,4635794
"Dec 08, 2024",1.59,1.59,1.59,1.59,4369754
"Dec 07, 2024",1.59,1.59,1.59,1.59,4369754
"Dec 06, 2024",1.59,1.59,1.59,1.59,4369754
"Dec 05, 2024",1.64,1.64,1.64,1.64,22414485
"Dec 04, 2024",1.57,1.57,1.57,1.57,4770810
"Dec 03, 2024",1.5,1.5,1.5,1.5,5089256
"Dec 02, 2024",1.53,1.53,1.53,1.53,3372074
"Dec 01, 2024",1.45,1.45,1.45,1.45,1484630
"Nov 30, 2024",1.45,1.45,1.45,1.45,1484630
"Nov 29, 2024",1.45,1.45,1.45,1.45,1484630
"Nov 28, 2024",1.52,1.52,1.52,1.52,5434066
"Nov 27, 2024",1.45,1.45,1.45,1.45,2740087
"Nov 26, 2024",1.33,1.33,1.33,1.33,1472568
"Nov 25, 2024",1.36,1.36,1.36,1.36,989532
"Nov 24, 2024",1.39,1.39,1.39,1.39,2064610
"Nov 23, 2024",1.39,1.39,1.39,1.39,2064610
"Nov 22, 2024",1.39,1.39,1.39,1.39,2064610
"Nov 21, 2024",1.44,1.44,1.44,1.44,9870059
"Nov 20, 2024",1.38,1.38,1.38,1.38,2298323
"Nov 19, 2024",1.41,1.41,1.41,1.41,2466050
"Nov 18, 2024",1.44,1.44,1.44,1.44,2649001
"Nov 17, 2024",1.52,1.52,1.52,1.52,13901885
"Nov 16, 2024",1.52,1.52,1.52,1.52,13901885
"Nov 15, 2024",1.52,1.52,1.52,1.52,13901885
"Nov 14, 2024",1.49,1.49,1.49,1.49,2601723
"Nov 13, 2024",1.37,1.37,1.37,1.37,727248
"Nov 12, 2024",1.37,1.37,1.37,1.37,591071
"Nov 11, 2024",1.38,1.38,1.38,1.38,1462636
"Nov 10, 2024",1.41,1.41,1.41,1.41,1606993
"Nov 09, 2024",1.41,1.41,1.41,1.41,1606993
"Nov 08, 2024",1.41,1.41,1.41,1.41,1606993
"Nov 07, 2024",1.49,1.49,1.49,1.49,5474597
"Nov 06, 2024",1.25,1.25,1.25,1.25,801457
"Nov 05, 2024",1.29,1.29,1.29,1.29,553711
"Nov 04, 2024",1.27,1.27,1.27,1.27,309045
"Nov 03, 2024",1.25,1.25,1.25,1.25,601125
"Nov 02, 2024",1.25,1.25,1.25,1.25,601125
"Nov 01, 2024",1.25,1.25,1.25,1.25,601125
"Oct 31, 2024",1.31,1.31,1.31,1.31,215351
"Oct 30, 2024",1.34,1.34,1.34,1.34,1037329
"Oct 29, 2024",1.36,1.36,1.36,1.36,1440945
"Oct 28, 2024",1.39,1.39,1.39,1.39,938049
"Oct 27, 2024",1.38,1.38,1.38,1.38,358952
"Oct 26, 2024",1.38,1.38,1.38,1.38,358952
"Oct 25, 2024",1.38,1.38,1.38,1.38,358952
"Oct 24, 2024",1.4,1.4,1.4,1.4,1747010
"Oct 23, 2024",1.38,1.38,1.38,1.38,579324
"Oct 22, 2024",1.4,1.4,1.4,1.4,745203
"Oct 21, 2024",1.4,1.4,1.4,1.4,656229
"Oct 20, 2024",1.35,1.35,1.35,1.35,1225161
"Oct 19, 2024",1.35,1.35,1.35,1.35,1225161
"Oct 18, 2024",1.35,1.35,1.35,1.35,1225161
"Oct 17, 2024",1.35,1.35,1.35,1.35,12465005
"Oct 16, 2024",1.47,1.47,1.47,1.47,1039715
"Oct 15, 2024",1.51,1.51,1.51,1.51,624101
"Oct 14, 2024",1.52,1.52,1.52,1.52,758438
"Oct 13, 2024",1.45,1.45,1.45,1.45,2303982
"Oct 12, 2024",1.45,1.45,1.45,1.45,2303982
"Oct 11, 2024",1.45,1.45,1.45,1.45,2303982
"Oct 10, 2024",1.57,1.57,1.57,1.57,1740563
"Oct 09, 2024",1.54,1.54,1.54,1.54,3227099
"Oct 08, 2024",1.54,1.54,1.54,1.54,1169416
"Oct 07, 2024",1.6,1.6,1.6,1.6,2750064
"Oct 06, 2024",1.71,1.71,1.71,1.71,6377495
"Oct 05, 2024",1.71,1.71,1.71,1.71,6377495
"Oct 04, 2024",1.71,1.71,1.71,1.71,6377495
"Oct 03, 2024",1.74,1.74,1.74,1.74,8615871
"Oct 02, 2024",1.62,1.62,1.62,1.62,3769081
"Oct 01, 2024",1.52,1.52,1.52,1.52,1370798
"Sep 30, 2024",1.53,1.53,1.53,1.53,1037304
"Sep 29, 2024",1.58,1.58,1.58,1.58,1082191
"Sep 28, 2024",1.58,1.58,1.58,1.58,1082191
"Sep 27, 2024",1.58,1.58,1.58,1.58,1082191
"Sep 26, 2024",1.61,1.61,1.61,1.61,5338956
"Sep 25, 2024",1.69,1.69,1.69,1.69,6752432
"Sep 24, 2024",1.47,1.47,1.47,1.47,870152
"Sep 23, 2024",1.55,1.55,1.55,1.55,2221318
"Sep 22, 2024",1.48,1.48,1.48,1.48,3287773
"Sep 21, 2024",1.48,1.48,1.48,1.48,3287773
"Sep 20, 2024",1.48,1.48,1.48,1.48,3287773
"Sep 19, 2024",1.56,1.56,1.56,1.56,6245084
"Sep 18, 2024",1.68,1.68,1.68,1.68,7548013
"Sep 17, 2024",1.66,1.66,1.66,1.66,19810292
"Sep 16, 2024",1.66,1.66,1.66,1.66,19810292
"Sep 15, 2024",2.03,2.03,2.03,2.03,75919967
"Sep 14, 2024",2.03,2.03,2.03,2.03,75919967
"Sep 13, 2024",2.03,2.03,2.03,2.03,75919967
"Sep 12, 2024",1.35,1.35,1.35,1.35,1883268
"Sep 11, 2024",1.42,1.42,1.42,1.42,7955641
"Sep 10, 2024",1.2,1.2,1.2,1.2,3466609
"Sep 09, 2024",1.21,1.21,1.21,1.21,2725604
"Sep 08, 2024",1.38,1.38,1.38,1.38,4272418
"Sep 07, 2024",1.38,1.38,1.38,1.38,4272418
"Sep 06, 2024",1.38,1.38,1.38,1.38,4272418
"Sep 05, 2024",1.35,1.35,1.35,1.35,8522495
"Sep 04, 2024",1.44,1.44,1.44,1.44,48686662
"Sep 03, 2024",1.08,1.08,1.08,1.08,1678307
"Sep 02, 2024",1.07,1.07,1.07,1.07,2399692
"Sep 01, 2024",1.14,1.14,1.14,1.14,1830994
"Aug 31, 2024",1.14,1.14,1.14,1.14,1830994
"Aug 30, 2024",1.14,1.14,1.14,1.14,1830994
"Aug 29, 2024",1.09,1.09,1.09,1.09,5458635
"Aug 28, 2024",1.1,1.1,1.1,1.1,1558874
"Aug 27, 2024",1.15,1.15,1.15,1.15,424191
"Aug 26, 2024",1.16,1.16,1.16,1.16,2147253
"Aug 25, 2024",1.15,1.15,1.15,1.15,1465458
"Aug 24, 2024",1.15,1.15,1.15,1.15,1465458
"Aug 23, 2024",1.15,1.15,1.15,1.15,1465458
"Aug 22, 2024",1.16,1.16,1.16,1.16,3318796
"Aug 21, 2024",1.1,1.1,1.1,1.1,2089244
"Aug 20, 2024",1.07,1.07,1.07,1.07,784292
"Aug 19, 2024",1.08,1.08,1.08,1.08,2663555
"Aug 18, 2024",1.06,1.06,1.06,1.06,8056854
"Aug 17, 2024",1.06,1.06,1.06,1.06,8056854
