TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",20.5,20.5,20.5,20.5,1513
"Nov 14, 2025",20.63,20.63,20.63,20.63,613
"Nov 13, 2025",21.4,21.4,21.4,21.4,127
"Nov 12, 2025",21.4,21.4,21.4,21.4,185
"Nov 11, 2025",21.4,21.4,21.4,21.4,6998
"Nov 10, 2025",21.0,21.0,21.0,21.0,1009
"Nov 07, 2025",22.53,22.53,22.53,22.53,2904
"Nov 06, 2025",24.34,24.34,24.34,24.34,4
"Nov 05, 2025",24.34,24.34,24.34,24.34,2870
"Nov 04, 2025",23.16,23.16,23.16,23.16,2339
"Nov 03, 2025",22.8,22.8,22.8,22.8,7961
"Oct 31, 2025",24.72,24.72,24.72,24.72,9150
"Oct 29, 2025",23.4,23.4,23.4,23.4,13
"Oct 28, 2025",23.4,23.4,23.4,23.4,1467
"Oct 27, 2025",23.4,23.4,23.4,23.4,1260
"Oct 24, 2025",21.62,21.62,21.62,21.62,10183
"Oct 23, 2025",21.32,21.32,21.32,21.32,3804
"Oct 22, 2025",22.67,22.67,22.67,22.67,5660
"Oct 21, 2025",23.05,23.05,23.05,23.05,2800
"Oct 20, 2025",21.69,21.69,21.69,21.69,16
"Oct 17, 2025",21.69,21.69,21.69,21.69,142
"Oct 16, 2025",22.69,22.69,22.69,22.69,10287
"Oct 15, 2025",23.46,23.46,23.46,23.46,218
"Oct 14, 2025",23.46,23.46,23.46,23.46,531
"Oct 13, 2025",22.64,22.64,22.64,22.64,712
"Oct 10, 2025",22.64,22.64,22.64,22.64,3125
"Oct 09, 2025",22.01,22.01,22.01,22.01,408
"Oct 08, 2025",22.01,22.01,22.01,22.01,3910
"Oct 07, 2025",22.63,22.63,22.63,22.63,2029
"Oct 06, 2025",23.18,23.18,23.18,23.18,4080
"Oct 03, 2025",23.97,23.97,23.97,23.97,14348
"Oct 02, 2025",22.58,22.58,22.58,22.58,1078
"Oct 01, 2025",22.82,22.82,22.82,22.82,1859
"Sep 30, 2025",23.13,23.13,23.13,23.13,694
"Sep 29, 2025",23.98,23.98,23.98,23.98,1903
"Sep 26, 2025",24.45,24.45,24.45,24.45,18382
"Sep 25, 2025",23.97,23.97,23.97,23.97,1978
"Sep 24, 2025",23.88,23.88,23.88,23.88,4446
"Sep 23, 2025",23.98,23.98,23.98,23.98,3581
"Sep 22, 2025",24.98,24.98,24.98,24.98,6418
"Sep 19, 2025",24.61,24.61,24.61,24.61,4661
"Sep 18, 2025",24.61,24.61,24.61,24.61,8182
"Sep 17, 2025",24.8,24.8,24.8,24.8,9862
"Sep 16, 2025",25.2,25.2,25.2,25.2,28267
"Sep 15, 2025",25.01,25.01,25.01,25.01,1073
"Sep 12, 2025",26.44,26.44,26.44,26.44,3635
"Sep 11, 2025",24.7,24.7,24.7,24.7,8765
"Sep 10, 2025",25.02,25.02,25.02,25.02,3027
"Sep 09, 2025",25.49,25.49,25.49,25.49,3189
"Sep 08, 2025",24.67,24.67,24.67,24.67,14478
"Sep 05, 2025",26.93,26.93,26.93,26.93,35666
"Sep 04, 2025",24.9,24.9,24.9,24.9,963
"Sep 03, 2025",23.79,23.79,23.79,23.79,6461
"Sep 02, 2025",22.81,22.81,22.81,22.81,8775
"Sep 01, 2025",24.15,24.15,24.15,24.15,631
"Aug 29, 2025",23.93,23.93,23.93,23.93,8699
"Aug 28, 2025",25.79,25.79,25.79,25.79,70752
"Aug 27, 2025",28.48,28.48,28.48,28.48,45737
"Aug 26, 2025",25.89,25.89,25.89,25.89,23140
"Aug 25, 2025",23.54,23.54,23.54,23.54,36968
"Aug 22, 2025",21.4,21.4,21.4,21.4,10815
"Aug 21, 2025",19.45,19.45,19.45,19.45,4934
"Aug 20, 2025",17.68,17.68,17.68,17.68,1018
"Aug 19, 2025",19.07,19.07,19.07,19.07,1461
"Aug 18, 2025",19.19,19.19,19.19,19.19,1025
"Aug 15, 2025",19.09,19.09,19.09,19.09,6115
"Aug 13, 2025",17.53,17.53,17.53,17.53,3237
"Aug 12, 2025",18.12,18.12,18.12,18.12,1609
"Aug 11, 2025",17.63,17.63,17.63,17.63,3939
"Aug 08, 2025",18.9,18.9,18.9,18.9,6297
"Aug 07, 2025",20.99,20.99,20.99,20.99,1525
"Aug 06, 2025",19.16,19.16,19.16,19.16,15214
"Aug 04, 2025",17.62,17.62,17.62,17.62,75
"Aug 01, 2025",17.62,17.62,17.62,17.62,282
"Jul 31, 2025",17.62,17.62,17.62,17.62,1
"Jul 30, 2025",17.62,17.62,17.62,17.62,202
"Jul 29, 2025",17.62,17.62,17.62,17.62,1426
"Jul 28, 2025",18.58,18.58,18.58,18.58,1593
"Jul 25, 2025",19.67,19.67,19.67,19.67,4085
"Jul 24, 2025",18.12,18.12,18.12,18.12,588
"Jul 23, 2025",19.6,19.6,19.6,19.6,2730
"Jul 22, 2025",18.24,18.24,18.24,18.24,1008
"Jul 21, 2025",18.12,18.12,18.12,18.12,525
"Jul 18, 2025",20.0,20.0,20.0,20.0,300
"Jul 17, 2025",20.0,20.0,20.0,20.0,1922
"Jul 16, 2025",20.35,20.35,20.35,20.35,500
"Jul 15, 2025",18.86,18.86,18.86,18.86,136
"Jul 14, 2025",18.86,18.86,18.86,18.86,216
"Jul 11, 2025",18.86,18.86,18.86,18.86,2405
"Jul 10, 2025",19.1,19.1,19.1,19.1,200
"Jul 09, 2025",19.1,19.1,19.1,19.1,558
"Jul 08, 2025",19.71,19.71,19.71,19.71,237
"Jul 07, 2025",19.71,19.71,19.71,19.71,20692
"Jul 04, 2025",21.87,21.87,21.87,21.87,600
"Jul 03, 2025",20.52,20.52,20.52,20.52,651
"Jul 02, 2025",18.83,18.83,18.83,18.83,2988
"Jul 01, 2025",20.77,20.77,20.77,20.77,6652
"Jun 30, 2025",21.16,21.16,21.16,21.16,1848
"Jun 27, 2025",20.29,20.29,20.29,20.29,505
"Jun 26, 2025",19.15,19.15,19.15,19.15,1066
"Jun 25, 2025",17.91,17.91,17.91,17.91,637
"Jun 24, 2025",16.5,16.5,16.5,16.5,886
"Jun 23, 2025",15.0,15.0,15.0,15.0,787
"Jun 20, 2025",16.28,16.28,16.28,16.28,2335
"Jun 19, 2025",14.81,14.81,14.81,14.81,500
"Jun 17, 2025",15.75,15.75,15.75,15.75,2
"Jun 16, 2025",15.75,15.75,15.75,15.75,1843
"Jun 13, 2025",15.0,15.0,15.0,15.0,224
"Jun 12, 2025",15.0,15.0,15.0,15.0,2
"Jun 11, 2025",15.0,15.0,15.0,15.0,33
"Jun 10, 2025",15.0,15.0,15.0,15.0,2
"Jun 05, 2025",15.0,15.0,15.0,15.0,1056
"Jun 04, 2025",14.95,14.95,14.95,14.95,502
"May 30, 2025",13.6,13.6,13.6,13.6,1
"May 29, 2025",13.6,13.6,13.6,13.6,908
"May 27, 2025",13.54,13.54,13.54,13.54,674
"May 26, 2025",13.67,13.67,13.67,13.67,503
"May 23, 2025",14.95,14.95,14.95,14.95,642
"May 22, 2025",13.76,13.76,13.76,13.76,24
"May 20, 2025",13.76,13.76,13.76,13.76,204
"May 19, 2025",13.76,13.76,13.76,13.76,526
"May 16, 2025",12.51,12.51,12.51,12.51,2666
"May 15, 2025",13.78,13.78,13.78,13.78,52
"May 14, 2025",13.78,13.78,13.78,13.78,268
"May 09, 2025",13.77,13.77,13.77,13.77,622
"May 08, 2025",12.52,12.52,12.52,12.52,10
"May 07, 2025",12.52,12.52,12.52,12.52,502
"May 05, 2025",13.06,13.06,13.06,13.06,1505
"May 02, 2025",15.5,15.5,15.5,15.5,502
"Apr 30, 2025",14.18,14.18,14.18,14.18,921
"Apr 29, 2025",14.98,14.98,14.98,14.98,5510
"Apr 28, 2025",13.89,13.89,13.89,13.89,526
"Apr 25, 2025",12.64,12.64,12.64,12.64,20
"Apr 24, 2025",12.64,12.64,12.64,12.64,2
"Apr 23, 2025",12.64,12.64,12.64,12.64,11
"Apr 22, 2025",14.7,14.7,14.7,14.7,6000
"Apr 21, 2025",13.82,13.82,13.82,13.82,946
"Apr 18, 2025",13.7,13.7,13.7,13.7,1720
"Apr 17, 2025",12.45,12.45,12.45,12.45,1002
"Apr 16, 2025",13.0,13.0,13.0,13.0,6707
"Apr 15, 2025",12.39,12.39,12.39,12.39,1010
"Apr 14, 2025",12.7,12.7,12.7,12.7,1292
"Apr 11, 2025",13.49,13.49,13.49,13.49,2511
"Apr 10, 2025",13.17,13.17,13.17,13.17,32
"Apr 09, 2025",13.17,13.17,13.17,13.17,159
"Apr 08, 2025",13.17,13.17,13.17,13.17,2062
"Apr 04, 2025",13.61,13.61,13.61,13.61,9950
"Apr 03, 2025",13.59,13.59,13.59,13.59,6510
"Mar 27, 2025",14.83,14.83,14.83,14.83,539
"Mar 26, 2025",13.65,13.65,13.65,13.65,1608
"Mar 25, 2025",13.17,13.17,13.17,13.17,511
"Mar 24, 2025",12.0,12.0,12.0,12.0,21
"Mar 21, 2025",12.0,12.0,12.0,12.0,4
"Mar 20, 2025",12.0,12.0,12.0,12.0,3
"Mar 19, 2025",12.0,12.0,12.0,12.0,100
"Mar 18, 2025",12.0,12.0,12.0,12.0,3399
"Mar 17, 2025",12.34,12.34,12.34,12.34,501
"Mar 16, 2025",13.68,13.68,13.68,13.68,1
"Mar 14, 2025",13.68,13.68,13.68,13.68,1
"Mar 13, 2025",13.68,13.68,13.68,13.68,23
"Mar 12, 2025",13.68,13.68,13.68,13.68,51
