TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",18.0,18.0,18.0,18.0,697874
"Nov 14, 2025",18.02,18.02,18.02,18.02,2594290
"Nov 13, 2025",18.19,18.19,18.19,18.19,5126197
"Nov 12, 2025",17.21,17.21,17.21,17.21,350940
"Nov 11, 2025",17.13,17.13,17.13,17.13,1264777
"Nov 10, 2025",17.52,17.52,17.52,17.52,2284323
"Nov 07, 2025",17.27,17.27,17.27,17.27,1479663
"Nov 06, 2025",17.36,17.36,17.36,17.36,3416628
"Nov 05, 2025",17.85,17.85,17.85,17.85,928528
"Nov 04, 2025",17.98,17.98,17.98,17.98,965261
"Nov 03, 2025",18.6,18.6,18.6,18.6,1918798
"Oct 31, 2025",18.55,18.55,18.55,18.55,3649781
"Oct 30, 2025",17.94,17.94,17.94,17.94,3555695
"Oct 29, 2025",17.78,17.78,17.78,17.78,3874242
"Oct 28, 2025",18.1,18.1,18.1,18.1,2432043
"Oct 27, 2025",17.87,17.87,17.87,17.87,2090102
"Oct 24, 2025",18.32,18.32,18.32,18.32,9913935
"Oct 23, 2025",18.32,18.32,18.32,18.32,4449523
"Oct 22, 2025",18.96,18.96,18.96,18.96,2393464
"Oct 21, 2025",19.28,19.28,19.28,19.28,7908222
"Oct 20, 2025",20.09,20.09,20.09,20.09,19620530
"Oct 17, 2025",19.11,19.11,19.11,19.11,11682999
"Oct 16, 2025",18.17,18.17,18.17,18.17,1377523
"Oct 15, 2025",18.33,18.33,18.33,18.33,6307008
"Oct 14, 2025",18.23,18.23,18.23,18.23,5081613
"Oct 13, 2025",16.6,16.6,16.6,16.6,7983891
"Oct 10, 2025",17.78,17.78,17.78,17.78,2074652
"Oct 09, 2025",18.29,18.29,18.29,18.29,933489
"Oct 08, 2025",18.4,18.4,18.4,18.4,2001796
"Oct 07, 2025",18.73,18.73,18.73,18.73,5323154
"Oct 06, 2025",18.45,18.45,18.45,18.45,4052959
"Oct 03, 2025",18.74,18.74,18.74,18.74,4003603
"Oct 02, 2025",18.99,18.99,18.99,18.99,5807992
"Oct 01, 2025",19.24,19.24,19.24,19.24,5071545
"Sep 30, 2025",18.98,18.98,18.98,18.98,2778931
"Sep 29, 2025",19.39,19.39,19.39,19.39,5295993
"Sep 26, 2025",19.4,19.4,19.4,19.4,8568097
"Sep 25, 2025",18.86,18.86,18.86,18.86,9975395
"Sep 24, 2025",18.4,18.4,18.4,18.4,2736154
"Sep 23, 2025",18.25,18.25,18.25,18.25,3808133
"Sep 22, 2025",18.65,18.65,18.65,18.65,2408268
"Sep 19, 2025",18.68,18.68,18.68,18.68,4474197
"Sep 18, 2025",18.97,18.97,18.97,18.97,4915952
"Sep 17, 2025",18.87,18.87,18.87,18.87,3000283
"Sep 16, 2025",18.98,18.98,18.98,18.98,10879803
"Sep 15, 2025",18.56,18.56,18.56,18.56,4335082
"Sep 12, 2025",18.37,18.37,18.37,18.37,6448235
"Sep 11, 2025",18.78,18.78,18.78,18.78,3757282
"Sep 10, 2025",18.74,18.74,18.74,18.74,6715130
"Sep 09, 2025",19.05,19.05,19.05,19.05,8603731
"Sep 08, 2025",19.54,19.54,19.54,19.54,19595031
"Sep 05, 2025",20.1,20.1,20.1,20.1,43239206
"Sep 04, 2025",18.65,18.65,18.65,18.65,33833730
"Sep 03, 2025",17.24,17.24,17.24,17.24,7093578
"Sep 02, 2025",17.31,17.31,17.31,17.31,18902751
"Sep 01, 2025",17.41,17.41,17.41,17.41,9380928
"Aug 29, 2025",17.0,17.0,17.0,17.0,25084215
"Aug 28, 2025",15.9,15.9,15.9,15.9,3464256
"Aug 27, 2025",15.65,15.65,15.65,15.65,7163718
"Aug 26, 2025",15.39,15.39,15.39,15.39,3232031
"Aug 25, 2025",15.13,15.13,15.13,15.13,1334607
"Aug 22, 2025",15.37,15.37,15.37,15.37,3024180
"Aug 21, 2025",15.0,15.0,15.0,15.0,1413087
"Aug 20, 2025",15.35,15.35,15.35,15.35,2451878
"Aug 19, 2025",15.31,15.31,15.31,15.31,7198635
"Aug 18, 2025",14.78,14.78,14.78,14.78,1839117
"Aug 15, 2025",14.57,14.57,14.57,14.57,1078420
"Aug 13, 2025",14.75,14.75,14.75,14.75,1824244
"Aug 12, 2025",15.06,15.06,15.06,15.06,1883449
"Aug 11, 2025",14.96,14.96,14.96,14.96,4351049
"Aug 08, 2025",15.01,15.01,15.01,15.01,2449175
"Aug 07, 2025",15.06,15.06,15.06,15.06,2071622
"Aug 06, 2025",15.22,15.22,15.22,15.22,3042601
"Aug 05, 2025",15.08,15.08,15.08,15.08,5881009
"Aug 04, 2025",15.02,15.02,15.02,15.02,5594076
"Aug 01, 2025",14.6,14.6,14.6,14.6,2542330
"Jul 31, 2025",14.52,14.52,14.52,14.52,1427393
"Jul 30, 2025",14.6,14.6,14.6,14.6,5585116
"Jul 29, 2025",14.51,14.51,14.51,14.51,6493830
"Jul 28, 2025",14.58,14.58,14.58,14.58,3227550
"Jul 25, 2025",14.59,14.59,14.59,14.59,13385215
"Jul 24, 2025",14.5,14.5,14.5,14.5,20605738
"Jul 23, 2025",14.24,14.24,14.24,14.24,2299638
"Jul 22, 2025",14.06,14.06,14.06,14.06,2082884
"Jul 21, 2025",14.0,14.0,14.0,14.0,1105915
"Jul 18, 2025",14.0,14.0,14.0,14.0,4145721
"Jul 17, 2025",13.94,13.94,13.94,13.94,3376747
"Jul 16, 2025",13.88,13.88,13.88,13.88,1495504
"Jul 15, 2025",13.89,13.89,13.89,13.89,2310953
"Jul 14, 2025",14.02,14.02,14.02,14.02,1515839
"Jul 11, 2025",14.01,14.01,14.01,14.01,3798563
"Jul 10, 2025",14.09,14.09,14.09,14.09,3045094
"Jul 09, 2025",14.1,14.1,14.1,14.1,9613996
"Jul 08, 2025",13.85,13.85,13.85,13.85,4021820
"Jul 07, 2025",14.01,14.01,14.01,14.01,9312172
"Jul 04, 2025",13.84,13.84,13.84,13.84,1541042
"Jul 03, 2025",13.7,13.7,13.7,13.7,4268695
"Jul 02, 2025",13.85,13.85,13.85,13.85,4805270
"Jul 01, 2025",13.71,13.71,13.71,13.71,4601570
"Jun 30, 2025",13.58,13.58,13.58,13.58,2094165
"Jun 27, 2025",13.79,13.79,13.79,13.79,2821547
"Jun 26, 2025",13.51,13.51,13.51,13.51,3755748
"Jun 25, 2025",13.66,13.66,13.66,13.66,2181328
"Jun 24, 2025",13.57,13.57,13.57,13.57,4177077
"Jun 23, 2025",12.68,12.68,12.68,12.68,4816200
"Jun 20, 2025",13.57,13.57,13.57,13.57,1468037
"Jun 19, 2025",13.53,13.53,13.53,13.53,1458614
"Jun 18, 2025",13.66,13.66,13.66,13.66,3539572
"Jun 17, 2025",13.8,13.8,13.8,13.8,3256528
"Jun 16, 2025",13.88,13.88,13.88,13.88,2917491
"Jun 13, 2025",13.8,13.8,13.8,13.8,6026877
"Jun 12, 2025",14.36,14.36,14.36,14.36,18030748
"Jun 11, 2025",14.32,14.32,14.32,14.32,17260070
"Jun 10, 2025",13.96,13.96,13.96,13.96,4829095
"Jun 05, 2025",14.04,14.04,14.04,14.04,4018091
"Jun 04, 2025",14.0,14.0,14.0,14.0,3056144
"Jun 02, 2025",13.91,13.91,13.91,13.91,2816033
"May 30, 2025",13.98,13.98,13.98,13.98,2481156
"May 29, 2025",13.99,13.99,13.99,13.99,5208715
"May 27, 2025",14.03,14.03,14.03,14.03,2767948
"May 26, 2025",13.85,13.85,13.85,13.85,1385103
"May 23, 2025",13.98,13.98,13.98,13.98,4472965
"May 22, 2025",14.28,14.28,14.28,14.28,6514475
"May 21, 2025",14.54,14.54,14.54,14.54,4472774
