TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",194.6,194.6,194.6,194.6,10648032
"Nov 14, 2025",193.05,193.05,193.05,193.05,16062359
"Nov 13, 2025",188.94,188.94,188.94,188.94,3832066
"Nov 12, 2025",186.62,186.62,186.62,186.62,10397642
"Nov 11, 2025",183.66,183.66,183.66,183.66,7404040
"Nov 10, 2025",189.59,189.59,189.59,189.59,5776950
"Nov 07, 2025",186.19,186.19,186.19,186.19,2832884
"Nov 06, 2025",183.16,183.16,183.16,183.16,2613582
"Nov 05, 2025",184.54,184.54,184.54,184.54,3768039
"Nov 04, 2025",185.01,185.01,185.01,185.01,4273787
"Nov 03, 2025",187.24,187.24,187.24,187.24,5430158
"Oct 31, 2025",187.61,187.61,187.61,187.61,6491016
"Oct 30, 2025",182.92,182.92,182.92,182.92,5004185
"Oct 29, 2025",186.07,186.07,186.07,186.07,7181993
"Oct 28, 2025",186.88,186.88,186.88,186.88,4150514
"Oct 27, 2025",191.18,191.18,191.18,191.18,4779337
"Oct 24, 2025",195.09,195.09,195.09,195.09,9531929
"Oct 23, 2025",194.47,194.47,194.47,194.47,10901523
"Oct 22, 2025",194.73,194.73,194.73,194.73,19304493
"Oct 21, 2025",188.68,188.68,188.68,188.68,9705378
"Oct 20, 2025",185.46,185.46,185.46,185.46,5670242
"Oct 17, 2025",182.3,182.3,182.3,182.3,4784202
"Oct 16, 2025",186.12,186.12,186.12,186.12,6743646
"Oct 15, 2025",184.65,184.65,184.65,184.65,13517917
"Oct 14, 2025",188.39,188.39,188.39,188.39,11748831
"Oct 13, 2025",180.19,180.19,180.19,180.19,17452681
"Oct 10, 2025",189.89,189.89,189.89,189.89,6248787
"Oct 09, 2025",193.8,193.8,193.8,193.8,4742778
"Oct 08, 2025",195.64,195.64,195.64,195.64,6934556
"Oct 07, 2025",197.43,197.43,197.43,197.43,7937403
"Oct 06, 2025",202.72,202.72,202.72,202.72,5939913
"Oct 03, 2025",202.41,202.41,202.41,202.41,3969859
"Oct 02, 2025",203.44,203.44,203.44,203.44,5626743
"Oct 01, 2025",204.69,204.69,204.69,204.69,6827405
"Sep 30, 2025",207.58,207.58,207.58,207.58,9116953
"Sep 29, 2025",208.17,208.17,208.17,208.17,6828048
"Sep 26, 2025",208.82,208.82,208.82,208.82,17782680
"Sep 25, 2025",203.31,203.31,203.31,203.31,19064352
"Sep 24, 2025",200.52,200.52,200.52,200.52,38578188
"Sep 23, 2025",192.19,192.19,192.19,192.19,20927521
"Sep 22, 2025",192.75,192.75,192.75,192.75,11690566
"Sep 19, 2025",191.09,191.09,191.09,191.09,19520155
"Sep 18, 2025",191.74,191.74,191.74,191.74,7603706
"Sep 17, 2025",189.42,189.42,189.42,189.42,8463293
"Sep 16, 2025",192.0,192.0,192.0,192.0,5336128
"Sep 15, 2025",189.95,189.95,189.95,189.95,3542898
"Sep 12, 2025",189.31,189.31,189.31,189.31,5890943
"Sep 11, 2025",191.16,191.16,191.16,191.16,8635840
"Sep 10, 2025",196.06,196.06,196.06,196.06,27646279
"Sep 09, 2025",192.58,192.58,192.58,192.58,14851437
"Sep 08, 2025",190.51,190.51,190.51,190.51,12940376
"Sep 05, 2025",186.74,186.74,186.74,186.74,18214692
"Sep 04, 2025",180.89,180.89,180.89,180.89,5574117
"Sep 03, 2025",180.88,180.88,180.88,180.88,11055445
"Sep 02, 2025",178.56,178.56,178.56,178.56,4553947
"Sep 01, 2025",179.12,179.12,179.12,179.12,6553568
"Aug 29, 2025",177.31,177.31,177.31,177.31,8173971
"Aug 28, 2025",177.54,177.54,177.54,177.54,2453372
"Aug 27, 2025",176.67,176.67,176.67,176.67,4235219
"Aug 26, 2025",178.66,178.66,178.66,178.66,2939273
"Aug 25, 2025",178.52,178.52,178.52,178.52,2517419
"Aug 22, 2025",180.24,180.24,180.24,180.24,7565917
"Aug 21, 2025",180.13,180.13,180.13,180.13,12255013
