TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",16.32,16.32,16.32,16.32,6302
"Nov 14, 2025",15.22,15.22,15.22,15.22,4622
"Nov 13, 2025",14.47,14.47,14.47,14.47,8126
"Nov 12, 2025",13.15,13.15,13.15,13.15,14
"Nov 11, 2025",13.15,13.15,13.15,13.15,11750
"Nov 10, 2025",14.0,14.0,14.0,14.0,1001
"Nov 07, 2025",13.5,13.5,13.5,13.5,443
"Nov 06, 2025",13.5,13.5,13.5,13.5,1015
"Nov 05, 2025",14.57,14.57,14.57,14.57,10900
"Nov 04, 2025",15.38,15.38,15.38,15.38,1155
"Nov 03, 2025",14.76,14.76,14.76,14.76,17962
"Oct 31, 2025",15.88,15.88,15.88,15.88,1849
"Oct 29, 2025",15.13,15.13,15.13,15.13,2
"Oct 27, 2025",15.13,15.13,15.13,15.13,174
"Oct 24, 2025",15.13,15.13,15.13,15.13,5600
"Oct 22, 2025",16.05,16.05,16.05,16.05,805
"Oct 21, 2025",16.14,16.14,16.14,16.14,5600
"Oct 20, 2025",16.85,16.85,16.85,16.85,2005
"Oct 17, 2025",15.71,15.71,15.71,15.71,889
"Oct 16, 2025",15.21,15.21,15.21,15.21,3038
"Oct 15, 2025",16.51,16.51,16.51,16.51,2005
"Oct 14, 2025",16.66,16.66,16.66,16.66,3223
"Oct 13, 2025",16.51,16.51,16.51,16.51,33
"Oct 10, 2025",16.51,16.51,16.51,16.51,127
"Oct 09, 2025",16.51,16.51,16.51,16.51,3614
"Oct 08, 2025",16.3,16.3,16.3,16.3,44156
"Oct 07, 2025",17.11,17.11,17.11,17.11,524
"Oct 06, 2025",17.11,17.11,17.11,17.11,3303
"Oct 03, 2025",18.14,18.14,18.14,18.14,2569
"Oct 02, 2025",17.14,17.14,17.14,17.14,7177
"Oct 01, 2025",18.1,18.1,18.1,18.1,4006
"Sep 30, 2025",18.49,18.49,18.49,18.49,10024
"Sep 29, 2025",19.81,19.81,19.81,19.81,4209
"Sep 26, 2025",19.4,19.4,19.4,19.4,2260
"Sep 25, 2025",19.84,19.84,19.84,19.84,39463
"Sep 24, 2025",19.84,19.84,19.84,19.84,41912
"Sep 23, 2025",18.63,18.63,18.63,18.63,16142
"Sep 22, 2025",19.09,19.09,19.09,19.09,44375
"Sep 19, 2025",20.52,20.52,20.52,20.52,81820
"Sep 18, 2025",18.7,18.7,18.7,18.7,39061
"Sep 17, 2025",17.0,17.0,17.0,17.0,5790
"Sep 16, 2025",17.28,17.28,17.28,17.28,30998
"Sep 15, 2025",17.04,17.04,17.04,17.04,3903
"Sep 12, 2025",17.4,17.4,17.4,17.4,13311
"Sep 11, 2025",17.8,17.8,17.8,17.8,27055
"Sep 10, 2025",18.2,18.2,18.2,18.2,42010
"Sep 09, 2025",17.21,17.21,17.21,17.21,15838
"Sep 08, 2025",15.93,15.93,15.93,15.93,9461
"Sep 05, 2025",16.01,16.01,16.01,16.01,21894
"Sep 04, 2025",16.23,16.23,16.23,16.23,29819
"Sep 03, 2025",16.04,16.04,16.04,16.04,7777
"Sep 02, 2025",15.48,15.48,15.48,15.48,7239
"Sep 01, 2025",15.2,15.2,15.2,15.2,4333
"Aug 29, 2025",15.14,15.14,15.14,15.14,7369
"Aug 28, 2025",15.63,15.63,15.63,15.63,12038
"Aug 27, 2025",16.48,16.48,16.48,16.48,1731
"Aug 26, 2025",17.14,17.14,17.14,17.14,7234
"Aug 25, 2025",17.48,17.48,17.48,17.48,40711
"Aug 22, 2025",17.77,17.77,17.77,17.77,154945
"Aug 21, 2025",19.56,19.56,19.56,19.56,47033
"Aug 20, 2025",17.78,17.78,17.78,17.78,35193
"Aug 19, 2025",16.16,16.16,16.16,16.16,98133
"Aug 18, 2025",14.69,14.69,14.69,14.69,56957
"Aug 15, 2025",13.35,13.35,13.35,13.35,1516
"Aug 13, 2025",13.2,13.2,13.2,13.2,9758
"Aug 12, 2025",13.19,13.19,13.19,13.19,21254
"Aug 08, 2025",13.04,13.04,13.04,13.04,92
"Aug 07, 2025",13.04,13.04,13.04,13.04,15176
"Aug 06, 2025",12.86,12.86,12.86,12.86,25300
"Aug 05, 2025",12.41,12.41,12.41,12.41,92034
"Aug 04, 2025",12.95,12.95,12.95,12.95,93457
"Aug 01, 2025",12.05,12.05,12.05,12.05,6504
"Jul 31, 2025",12.08,12.08,12.08,12.08,9351
"Jul 30, 2025",12.2,12.2,12.2,12.2,550
"Jul 29, 2025",13.01,13.01,13.01,13.01,38888
"Jul 28, 2025",12.91,12.91,12.91,12.91,97686
"Jul 25, 2025",11.74,11.74,11.74,11.74,7052
"Jul 24, 2025",12.01,12.01,12.01,12.01,40890
"Jul 23, 2025",12.79,12.79,12.79,12.79,59942
"Jul 22, 2025",11.63,11.63,11.63,11.63,16674
"Jul 21, 2025",11.91,11.91,11.91,11.91,3594
"Jul 18, 2025",11.78,11.78,11.78,11.78,5236
"Jul 17, 2025",12.13,12.13,12.13,12.13,5584
"Jul 16, 2025",12.49,12.49,12.49,12.49,7208
"Jul 15, 2025",12.87,12.87,12.87,12.87,70459
"Jul 14, 2025",12.53,12.53,12.53,12.53,64443
"Jul 11, 2025",11.39,11.39,11.39,11.39,43270
"Jul 10, 2025",10.35,10.35,10.35,10.35,4021
"Jul 09, 2025",11.0,11.0,11.0,11.0,19379
"Jul 08, 2025",10.87,10.87,10.87,10.87,27139
"Jul 07, 2025",10.53,10.53,10.53,10.53,17878
"Jul 04, 2025",10.26,10.26,10.26,10.26,17282
"Jul 03, 2025",10.55,10.55,10.55,10.55,9417
"Jul 02, 2025",10.11,10.11,10.11,10.11,6963
"Jul 01, 2025",9.11,9.11,9.11,9.11,4003
"Jun 30, 2025",10.05,10.05,10.05,10.05,32541
"Jun 27, 2025",9.54,9.54,9.54,9.54,12110
"Jun 26, 2025",9.15,9.15,9.15,9.15,5014
"Jun 25, 2025",10.17,10.17,10.17,10.17,6255
"Jun 24, 2025",9.78,9.78,9.78,9.78,4725
"Jun 23, 2025",8.78,8.78,8.78,8.78,2264
"Jun 20, 2025",8.69,8.69,8.69,8.69,4
"Jun 19, 2025",8.69,8.69,8.69,8.69,2221
"Jun 18, 2025",9.22,9.22,9.22,9.22,10891
"Jun 17, 2025",9.51,9.51,9.51,9.51,2918
"Jun 16, 2025",9.66,9.66,9.66,9.66,2227
"Jun 13, 2025",9.54,9.54,9.54,9.54,1821
"Jun 12, 2025",9.57,9.57,9.57,9.57,7507
"Jun 11, 2025",10.1,10.1,10.1,10.1,3114
"Jun 10, 2025",10.06,10.06,10.06,10.06,442
"Jun 05, 2025",10.06,10.06,10.06,10.06,14049
"Jun 04, 2025",10.33,10.33,10.33,10.33,24742
"Jun 02, 2025",9.25,9.25,9.25,9.25,16614
"May 30, 2025",8.25,8.25,8.25,8.25,1951
"May 29, 2025",8.77,8.77,8.77,8.77,2958
"May 27, 2025",9.2,9.2,9.2,9.2,8599
"May 26, 2025",9.05,9.05,9.05,9.05,13152
"May 23, 2025",8.32,8.32,8.32,8.32,520
"May 22, 2025",7.32,7.32,7.32,7.32,471
"May 21, 2025",7.32,7.32,7.32,7.32,4521
"May 20, 2025",8.21,8.21,8.21,8.21,516
"May 19, 2025",8.64,8.64,8.64,8.64,10571
"May 16, 2025",8.4,8.4,8.4,8.4,5202
