TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",184.94,184.94,184.94,184.94,81
"Nov 14, 2025",184.94,184.94,184.94,184.94,72
"Nov 13, 2025",184.94,184.94,184.94,184.94,330
"Nov 12, 2025",184.9,184.9,184.9,184.9,1116
"Nov 11, 2025",176.33,176.33,176.33,176.33,2272
"Nov 10, 2025",189.52,189.52,189.52,189.52,582
"Nov 07, 2025",189.57,189.57,189.57,189.57,2993
"Nov 06, 2025",200.67,200.67,200.67,200.67,206
"Nov 05, 2025",200.66,200.66,200.66,200.66,34667
"Nov 04, 2025",184.04,184.04,184.04,184.04,14788
"Nov 03, 2025",180.0,180.0,180.0,180.0,5253
"Oct 31, 2025",163.82,163.82,163.82,163.82,3531
"Oct 30, 2025",149.5,149.5,149.5,149.5,3900
"Oct 29, 2025",147.75,147.75,147.75,147.75,3490
"Oct 28, 2025",143.75,143.75,143.75,143.75,90
"Oct 27, 2025",143.75,143.75,143.75,143.75,2700
"Oct 24, 2025",143.9,143.9,143.9,143.9,102
"Oct 23, 2025",143.9,143.9,143.9,143.9,2405
"Oct 22, 2025",144.0,144.0,144.0,144.0,506
"Oct 21, 2025",144.0,144.0,144.0,144.0,1104
"Oct 20, 2025",136.81,136.81,136.81,136.81,23569
"Oct 17, 2025",124.4,124.4,124.4,124.4,75
"Oct 16, 2025",124.4,124.4,124.4,124.4,5
"Oct 15, 2025",124.4,124.4,124.4,124.4,2062
"Oct 14, 2025",118.94,118.94,118.94,118.94,2455
"Oct 13, 2025",111.1,111.1,111.1,111.1,7283
"Oct 10, 2025",101.1,101.1,101.1,101.1,425
"Oct 09, 2025",104.92,104.92,104.92,104.92,441
"Oct 08, 2025",112.85,112.85,112.85,112.85,51
"Oct 07, 2025",112.85,112.85,112.85,112.85,545
"Oct 06, 2025",113.09,113.09,113.09,113.09,1057
"Oct 03, 2025",119.33,119.33,119.33,119.33,5
"Oct 02, 2025",119.33,119.33,119.33,119.33,691
"Oct 01, 2025",118.85,118.85,118.85,118.85,438
"Sep 30, 2025",119.22,119.22,119.22,119.22,5112
"Sep 29, 2025",118.1,118.1,118.1,118.1,20
"Sep 26, 2025",118.1,118.1,118.1,118.1,2031
"Sep 25, 2025",116.46,116.46,116.46,116.46,1190
"Sep 24, 2025",110.59,110.59,110.59,110.59,341
"Sep 23, 2025",110.59,110.59,110.59,110.59,390
"Sep 22, 2025",107.88,107.88,107.88,107.88,475
"Sep 19, 2025",105.49,105.49,105.49,105.49,2725
"Sep 18, 2025",114.37,114.37,114.37,114.37,500
"Sep 17, 2025",110.5,110.5,110.5,110.5,5
"Sep 16, 2025",110.5,110.5,110.5,110.5,5
"Sep 15, 2025",110.5,110.5,110.5,110.5,1000
"Sep 12, 2025",109.75,109.75,109.75,109.75,10
"Sep 11, 2025",109.75,109.75,109.75,109.75,11
"Sep 10, 2025",109.75,109.75,109.75,109.75,1171
"Sep 09, 2025",110.0,110.0,110.0,110.0,1400
"Sep 08, 2025",110.64,110.64,110.64,110.64,508
"Sep 05, 2025",110.64,110.64,110.64,110.64,773
"Sep 04, 2025",110.53,110.53,110.53,110.53,379
"Sep 03, 2025",116.97,116.97,116.97,116.97,233
"Sep 02, 2025",117.99,117.99,117.99,117.99,1
"Aug 29, 2025",117.99,117.99,117.99,117.99,500
"Aug 28, 2025",111.23,111.23,111.23,111.23,2
"Aug 26, 2025",111.23,111.23,111.23,111.23,104
"Aug 25, 2025",111.23,111.23,111.23,111.23,112
"Aug 21, 2025",111.23,111.23,111.23,111.23,19
"Aug 20, 2025",111.23,111.23,111.23,111.23,465
"Aug 19, 2025",107.25,107.25,107.25,107.25,220
"Aug 18, 2025",107.25,107.25,107.25,107.25,307
"Aug 15, 2025",108.04,108.04,108.04,108.04,1700
"Aug 13, 2025",111.12,111.12,111.12,111.12,14
"Aug 12, 2025",111.12,111.12,111.12,111.12,130
"Aug 11, 2025",111.12,111.12,111.12,111.12,693
"Aug 08, 2025",115.01,115.01,115.01,115.01,17888
"Aug 07, 2025",126.77,126.77,126.77,126.77,715
"Aug 06, 2025",126.01,126.01,126.01,126.01,600
"Aug 05, 2025",128.55,128.55,128.55,128.55,201
"Aug 01, 2025",131.0,131.0,131.0,131.0,50
"Jul 31, 2025",131.0,131.0,131.0,131.0,50
"Jul 29, 2025",131.0,131.0,131.0,131.0,721
"Jul 25, 2025",131.0,131.0,131.0,131.0,5
"Jul 24, 2025",131.0,131.0,131.0,131.0,180
"Jul 23, 2025",131.0,131.0,131.0,131.0,801
"Jul 21, 2025",134.01,134.01,134.01,134.01,10
"Jul 18, 2025",134.01,134.01,134.01,134.01,329
"Jul 17, 2025",142.33,142.33,142.33,142.33,1198
"Jul 14, 2025",142.0,142.0,142.0,142.0,10
"Jul 11, 2025",142.0,142.0,142.0,142.0,127
"Jul 10, 2025",142.0,142.0,142.0,142.0,700
"Jul 04, 2025",142.93,142.93,142.93,142.93,8
"Jul 02, 2025",142.93,142.93,142.93,142.93,59
"Jul 01, 2025",142.93,142.93,142.93,142.93,1650
"Jun 27, 2025",132.04,132.04,132.04,132.04,112
"Jun 26, 2025",132.04,132.04,132.04,132.04,10
"Jun 24, 2025",132.04,132.04,132.04,132.04,3
"Jun 23, 2025",132.04,132.04,132.04,132.04,300
"Jun 20, 2025",132.04,132.04,132.04,132.04,16
"Jun 18, 2025",132.04,132.04,132.04,132.04,200
"Jun 17, 2025",145.0,145.0,145.0,145.0,330
"Jun 16, 2025",149.99,149.99,149.99,149.99,1181
"Jun 13, 2025",137.5,137.5,137.5,137.5,201
"Jun 12, 2025",137.5,137.5,137.5,137.5,259
"Jun 11, 2025",136.7,136.7,136.7,136.7,100
"Jun 10, 2025",136.7,136.7,136.7,136.7,260
"Jun 05, 2025",124.39,124.39,124.39,124.39,3
"Jun 03, 2025",124.39,124.39,124.39,124.39,305
"Jun 02, 2025",121.44,121.44,121.44,121.44,564
"May 30, 2025",113.05,113.05,113.05,113.05,216
"May 29, 2025",113.05,113.05,113.05,113.05,396
"May 22, 2025",109.95,109.95,109.95,109.95,1000
"May 19, 2025",109.95,109.95,109.95,109.95,30
"May 16, 2025",109.95,109.95,109.95,109.95,3
"May 15, 2025",109.95,109.95,109.95,109.95,146
"May 13, 2025",109.95,109.95,109.95,109.95,1
"May 12, 2025",109.95,109.95,109.95,109.95,383
"May 09, 2025",109.0,109.0,109.0,109.0,546
"May 08, 2025",119.58,119.58,119.58,119.58,500
"May 07, 2025",131.19,131.19,131.19,131.19,800
"May 06, 2025",138.25,138.25,138.25,138.25,500
"May 05, 2025",139.0,139.0,139.0,139.0,500
"Apr 30, 2025",139.7,139.7,139.7,139.7,201
"Apr 29, 2025",144.03,144.03,144.03,144.03,10
"Apr 28, 2025",144.03,144.03,144.03,144.03,1
"Apr 21, 2025",144.03,144.03,144.03,144.03,10
"Apr 18, 2025",144.03,144.03,144.03,144.03,100
"Apr 16, 2025",144.03,144.03,144.03,144.03,100
"Apr 09, 2025",144.03,144.03,144.03,144.03,1016
"Apr 08, 2025",146.75,146.75,146.75,146.75,1000
"Apr 03, 2025",149.0,149.0,149.0,149.0,2502
"Mar 26, 2025",149.0,149.0,149.0,149.0,5
"Mar 24, 2025",149.0,149.0,149.0,149.0,1
"Mar 17, 2025",149.0,149.0,149.0,149.0,7000
"Mar 16, 2025",149.0,149.0,149.0,149.0,4000
"Mar 14, 2025",149.0,149.0,149.0,149.0,4000
"Mar 13, 2025",149.0,149.0,149.0,149.0,8599
"Mar 12, 2025",149.0,149.0,149.0,149.0,1001
"Mar 11, 2025",148.5,148.5,148.5,148.5,2218
"Mar 07, 2025",149.0,149.0,149.0,149.0,4999
"Mar 03, 2025",148.8,148.8,148.8,148.8,50
"Feb 28, 2025",148.8,148.8,148.8,148.8,12921
"Feb 26, 2025",144.73,144.73,144.73,144.73,5
"Feb 25, 2025",144.73,144.73,144.73,144.73,188
"Feb 24, 2025",144.73,144.73,144.73,144.73,188
"Feb 23, 2025",144.73,144.73,144.73,144.73,188
"Feb 22, 2025",144.73,144.73,144.73,144.73,188
"Feb 21, 2025",144.73,144.73,144.73,144.73,188
