TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",13.25,13.25,13.25,13.25,5983
"Nov 14, 2025",13.64,13.64,13.64,13.64,14052
"Nov 13, 2025",13.51,13.51,13.51,13.51,105335
"Nov 12, 2025",14.95,14.95,14.95,14.95,109681
"Nov 11, 2025",13.59,13.59,13.59,13.59,108978
"Nov 10, 2025",12.35,12.35,12.35,12.35,75796
"Nov 07, 2025",11.26,11.26,11.26,11.26,6333
"Nov 06, 2025",11.67,11.67,11.67,11.67,1700
"Nov 05, 2025",12.11,12.11,12.11,12.11,1206
"Nov 04, 2025",12.11,12.11,12.11,12.11,10
"Nov 03, 2025",12.11,12.11,12.11,12.11,1201
"Oct 31, 2025",12.27,12.27,12.27,12.27,2921
"Oct 30, 2025",11.49,11.49,11.49,11.49,1515
"Oct 29, 2025",10.89,10.89,10.89,10.89,7745
"Oct 28, 2025",11.45,11.45,11.45,11.45,7845
"Oct 23, 2025",12.72,12.72,12.72,12.72,464
"Oct 22, 2025",12.72,12.72,12.72,12.72,2363
"Oct 21, 2025",12.77,12.77,12.77,12.77,520
"Oct 20, 2025",12.89,12.89,12.89,12.89,2224
"Oct 17, 2025",12.13,12.13,12.13,12.13,7675
"Oct 16, 2025",12.4,12.4,12.4,12.4,2479
"Oct 15, 2025",12.07,12.07,12.07,12.07,8362
"Oct 14, 2025",12.2,12.2,12.2,12.2,21342
"Oct 13, 2025",11.65,11.65,11.65,11.65,725
"Oct 10, 2025",11.56,11.56,11.56,11.56,2539
"Oct 09, 2025",12.37,12.37,12.37,12.37,605
"Oct 08, 2025",11.5,11.5,11.5,11.5,14628
"Oct 07, 2025",11.58,11.58,11.58,11.58,58469
"Oct 06, 2025",12.5,12.5,12.5,12.5,3302
"Oct 03, 2025",13.05,13.05,13.05,13.05,2496
"Oct 02, 2025",12.76,12.76,12.76,12.76,2988
"Oct 01, 2025",13.0,13.0,13.0,13.0,1
"Sep 30, 2025",13.0,13.0,13.0,13.0,3259
"Sep 29, 2025",13.52,13.52,13.52,13.52,2737
"Sep 26, 2025",13.44,13.44,13.44,13.44,15557
"Sep 25, 2025",13.13,13.13,13.13,13.13,14662
"Sep 24, 2025",13.87,13.87,13.87,13.87,5306
"Sep 23, 2025",14.0,14.0,14.0,14.0,5223
"Sep 22, 2025",14.04,14.04,14.04,14.04,6536
"Sep 19, 2025",13.37,13.37,13.37,13.37,1521
"Sep 18, 2025",13.37,13.37,13.37,13.37,4519
"Sep 17, 2025",13.39,13.39,13.39,13.39,1052
"Sep 16, 2025",13.07,13.07,13.07,13.07,1870
"Sep 15, 2025",13.06,13.06,13.06,13.06,4509
"Sep 12, 2025",13.02,13.02,13.02,13.02,5459
"Sep 11, 2025",13.52,13.52,13.52,13.52,48625
"Sep 10, 2025",13.46,13.46,13.46,13.46,17117
"Sep 09, 2025",14.11,14.11,14.11,14.11,13493
"Sep 08, 2025",14.45,14.45,14.45,14.45,28820
"Sep 05, 2025",14.42,14.42,14.42,14.42,23281
"Sep 04, 2025",13.11,13.11,13.11,13.11,8152
"Sep 03, 2025",14.0,14.0,14.0,14.0,2200
"Sep 02, 2025",14.11,14.11,14.11,14.11,1310
"Sep 01, 2025",14.06,14.06,14.06,14.06,1826
"Aug 29, 2025",13.67,13.67,13.67,13.67,481
"Aug 28, 2025",13.67,13.67,13.67,13.67,10485
"Aug 27, 2025",13.67,13.67,13.67,13.67,19769
"Aug 26, 2025",14.2,14.2,14.2,14.2,3783
"Aug 25, 2025",14.69,14.69,14.69,14.69,6993
"Aug 22, 2025",14.91,14.91,14.91,14.91,7870
"Aug 21, 2025",14.81,14.81,14.81,14.81,31945
"Aug 20, 2025",15.42,15.42,15.42,15.42,107232
"Aug 19, 2025",15.7,15.7,15.7,15.7,53256
"Aug 18, 2025",15.92,15.92,15.92,15.92,78830
"Aug 15, 2025",14.6,14.6,14.6,14.6,58822
"Aug 13, 2025",15.09,15.09,15.09,15.09,326177
