TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",23.02,23.02,23.02,23.02,2020
"Nov 14, 2025",24.85,24.85,24.85,24.85,57
"Nov 13, 2025",24.85,24.85,24.85,24.85,2032
"Nov 12, 2025",24.4,24.4,24.4,24.4,15832
"Nov 11, 2025",22.76,22.76,22.76,22.76,830
"Nov 10, 2025",24.29,24.29,24.29,24.29,506
"Nov 07, 2025",23.63,23.63,23.63,23.63,1082
"Nov 06, 2025",22.71,22.71,22.71,22.71,211
"Nov 05, 2025",22.71,22.71,22.71,22.71,3916
"Nov 04, 2025",24.67,24.67,24.67,24.67,741
"Nov 03, 2025",25.49,25.49,25.49,25.49,65523
"Oct 31, 2025",24.89,24.89,24.89,24.89,1325
"Oct 30, 2025",23.3,23.3,23.3,23.3,27678
"Oct 29, 2025",22.23,22.23,22.23,22.23,25766
"Oct 28, 2025",22.0,22.0,22.0,22.0,3011
"Oct 27, 2025",23.05,23.05,23.05,23.05,2025
"Oct 24, 2025",23.05,23.05,23.05,23.05,3396002
"Oct 23, 2025",24.99,24.99,24.99,24.99,233040
"Oct 22, 2025",24.24,24.24,24.24,24.24,88485
"Oct 21, 2025",22.04,22.04,22.04,22.04,2564
"Oct 20, 2025",22.5,22.5,22.5,22.5,4248
"Oct 17, 2025",23.1,23.1,23.1,23.1,4
"Oct 16, 2025",23.1,23.1,23.1,23.1,26
"Oct 15, 2025",23.1,23.1,23.1,23.1,8517
"Oct 14, 2025",22.65,22.65,22.65,22.65,100097
"Oct 13, 2025",23.88,23.88,23.88,23.88,4651
"Oct 10, 2025",23.94,23.94,23.94,23.94,16806
"Oct 09, 2025",23.14,23.14,23.14,23.14,86282
"Oct 08, 2025",24.88,24.88,24.88,24.88,31742
"Oct 07, 2025",26.25,26.25,26.25,26.25,117870
"Oct 06, 2025",28.72,28.72,28.72,28.72,9
"Oct 03, 2025",28.72,28.72,28.72,28.72,5442
"Oct 02, 2025",27.9,27.9,27.9,27.9,15888
"Oct 01, 2025",26.08,26.08,26.08,26.08,1337
"Sep 30, 2025",27.01,27.01,27.01,27.01,9677
"Sep 29, 2025",29.09,29.09,29.09,29.09,19596
"Sep 26, 2025",30.0,30.0,30.0,30.0,44847
"Sep 25, 2025",30.5,30.5,30.5,30.5,327142
"Sep 24, 2025",29.43,29.43,29.43,29.43,2954
"Sep 23, 2025",30.0,30.0,30.0,30.0,719
"Sep 22, 2025",30.0,30.0,30.0,30.0,9126
"Sep 19, 2025",31.09,31.09,31.09,31.09,775
"Sep 18, 2025",32.99,32.99,32.99,32.99,12475
"Sep 17, 2025",31.93,31.93,31.93,31.93,394815
"Sep 16, 2025",31.15,31.15,31.15,31.15,19297
"Sep 15, 2025",31.5,31.5,31.5,31.5,46875
"Sep 12, 2025",31.25,31.25,31.25,31.25,2380
"Sep 11, 2025",30.26,30.26,30.26,30.26,1799
"Sep 10, 2025",31.17,31.17,31.17,31.17,12445
"Sep 09, 2025",30.1,30.1,30.1,30.1,32955
"Sep 08, 2025",32.51,32.51,32.51,32.51,131069
"Sep 05, 2025",32.32,32.32,32.32,32.32,372282
"Sep 04, 2025",29.38,29.38,29.38,29.38,116242
"Sep 03, 2025",26.81,26.81,26.81,26.81,8182
"Sep 02, 2025",26.44,26.44,26.44,26.44,874
"Sep 01, 2025",26.01,26.01,26.01,26.01,7501
"Aug 29, 2025",26.0,26.0,26.0,26.0,2530
"Aug 28, 2025",26.72,26.72,26.72,26.72,1325
"Aug 27, 2025",26.02,26.02,26.02,26.02,1648
"Aug 26, 2025",26.0,26.0,26.0,26.0,3215
"Aug 25, 2025",26.15,26.15,26.15,26.15,2218
"Aug 22, 2025",27.04,27.04,27.04,27.04,1777
"Aug 21, 2025",26.38,26.38,26.38,26.38,56
"Aug 20, 2025",26.38,26.38,26.38,26.38,14520
"Aug 19, 2025",26.75,26.75,26.75,26.75,27294
"Aug 18, 2025",26.18,26.18,26.18,26.18,3653
"Aug 15, 2025",26.0,26.0,26.0,26.0,18530
"Aug 13, 2025",26.0,26.0,26.0,26.0,27865
"Aug 12, 2025",26.01,26.01,26.01,26.01,6623
"Aug 11, 2025",26.6,26.6,26.6,26.6,3626
"Aug 08, 2025",26.25,26.25,26.25,26.25,5953
"Aug 07, 2025",26.54,26.54,26.54,26.54,467
"Aug 06, 2025",26.54,26.54,26.54,26.54,4439
"Aug 05, 2025",26.4,26.4,26.4,26.4,32254
"Aug 04, 2025",27.11,27.11,27.11,27.11,76906
