TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",63.79,63.79,63.79,63.79,28924
"Nov 14, 2025",63.59,63.59,63.59,63.59,35197
"Nov 13, 2025",63.08,63.08,63.08,63.08,225095
"Nov 12, 2025",63.42,63.42,63.42,63.42,7043
"Nov 11, 2025",63.6,63.6,63.6,63.6,17398
"Nov 10, 2025",64.25,64.25,64.25,64.25,13711
"Nov 07, 2025",63.32,63.32,63.32,63.32,30047
"Nov 06, 2025",63.06,63.06,63.06,63.06,33858
"Nov 05, 2025",63.48,63.48,63.48,63.48,8519
"Nov 04, 2025",63.86,63.86,63.86,63.86,24733
"Nov 03, 2025",63.98,63.98,63.98,63.98,30779
"Oct 31, 2025",63.83,63.83,63.83,63.83,105922
"Oct 30, 2025",63.96,63.96,63.96,63.96,58551
"Oct 29, 2025",65.68,65.68,65.68,65.68,97781
"Oct 28, 2025",68.04,68.04,68.04,68.04,16400
"Oct 27, 2025",67.81,67.81,67.81,67.81,21735
"Oct 24, 2025",67.87,67.87,67.87,67.87,58741
"Oct 23, 2025",69.01,69.01,69.01,69.01,49793
"Oct 22, 2025",69.56,69.56,69.56,69.56,43077
"Oct 21, 2025",69.96,69.96,69.96,69.96,91882
"Oct 20, 2025",70.48,70.48,70.48,70.48,81123
"Oct 17, 2025",69.65,69.65,69.65,69.65,22777
"Oct 16, 2025",70.01,70.01,70.01,70.01,53785
"Oct 15, 2025",70.22,70.22,70.22,70.22,86794
"Oct 14, 2025",69.4,69.4,69.4,69.4,81001
"Oct 13, 2025",65.82,65.82,65.82,65.82,168475
"Oct 10, 2025",68.4,68.4,68.4,68.4,89231
"Oct 09, 2025",68.98,68.98,68.98,68.98,112985
"Oct 08, 2025",69.14,69.14,69.14,69.14,71227
"Oct 07, 2025",69.96,69.96,69.96,69.96,108109
"Oct 06, 2025",70.15,70.15,70.15,70.15,196159
"Oct 03, 2025",71.43,71.43,71.43,71.43,245866
"Oct 02, 2025",71.75,71.75,71.75,71.75,851722
"Oct 01, 2025",70.14,70.14,70.14,70.14,112019
"Sep 30, 2025",69.2,69.2,69.2,69.2,215015
"Sep 29, 2025",68.96,68.96,68.96,68.96,204491
"Sep 26, 2025",68.72,68.72,68.72,68.72,256497
"Sep 25, 2025",69.98,69.98,69.98,69.98,105222
"Sep 24, 2025",71.54,71.54,71.54,71.54,9004
"Sep 23, 2025",71.58,71.58,71.58,71.58,19997
"Sep 22, 2025",71.71,71.71,71.71,71.71,85351
"Sep 19, 2025",71.59,71.59,71.59,71.59,41523
"Sep 18, 2025",71.96,71.96,71.96,71.96,50699
"Sep 17, 2025",71.71,71.71,71.71,71.71,80558
"Sep 16, 2025",71.89,71.89,71.89,71.89,42845
"Sep 15, 2025",72.42,72.42,72.42,72.42,25350
"Sep 12, 2025",72.45,72.45,72.45,72.45,41023
"Sep 11, 2025",73.47,73.47,73.47,73.47,36819
"Sep 10, 2025",73.5,73.5,73.5,73.5,42205
"Sep 09, 2025",74.1,74.1,74.1,74.1,21312
"Sep 08, 2025",74.42,74.42,74.42,74.42,18036
"Sep 05, 2025",73.59,73.59,73.59,73.59,55887
"Sep 04, 2025",72.96,72.96,72.96,72.96,60992
"Sep 03, 2025",79.0,79.0,79.0,79.0,92612
"Sep 02, 2025",78.73,78.73,78.73,78.73,235279
"Sep 01, 2025",78.88,78.88,78.88,78.88,68529
"Aug 29, 2025",78.82,78.82,78.82,78.82,66277
"Aug 28, 2025",78.5,78.5,78.5,78.5,43928
"Aug 27, 2025",78.6,78.6,78.6,78.6,128349
"Aug 26, 2025",81.5,81.5,81.5,81.5,157316
"Aug 25, 2025",79.09,79.09,79.09,79.09,58022
"Aug 22, 2025",77.6,77.6,77.6,77.6,123931
"Aug 21, 2025",80.9,80.9,80.9,80.9,102280
"Aug 20, 2025",83.52,83.52,83.52,83.52,230972
"Aug 19, 2025",75.93,75.93,75.93,75.93,22808
"Aug 18, 2025",74.6,74.6,74.6,74.6,135230
"Aug 15, 2025",69.37,69.37,69.37,69.37,6805
"Aug 13, 2025",69.48,69.48,69.48,69.48,47037
"Aug 12, 2025",69.7,69.7,69.7,69.7,36908
"Aug 11, 2025",69.4,69.4,69.4,69.4,94508
"Aug 08, 2025",68.45,68.45,68.45,68.45,37765
"Aug 07, 2025",68.06,68.06,68.06,68.06,37584
"Aug 06, 2025",68.2,68.2,68.2,68.2,24062
"Aug 05, 2025",67.4,67.4,67.4,67.4,7950
"Aug 04, 2025",67.36,67.36,67.36,67.36,23227
"Aug 01, 2025",67.74,67.74,67.74,67.74,30454
"Jul 31, 2025",68.0,68.0,68.0,68.0,7566
"Jul 30, 2025",68.21,68.21,68.21,68.21,13314
"Jul 29, 2025",68.06,68.06,68.06,68.06,14690
"Jul 28, 2025",68.11,68.11,68.11,68.11,16817
"Jul 25, 2025",68.96,68.96,68.96,68.96,51114
"Jul 24, 2025",68.0,68.0,68.0,68.0,54500
"Jul 23, 2025",67.36,67.36,67.36,67.36,25860
"Jul 22, 2025",67.04,67.04,67.04,67.04,148421
