TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",105.0,105.0,105.0,105.0,4334733
"Nov 14, 2025",103.36,103.36,103.36,103.36,1798850
"Nov 13, 2025",103.61,103.61,103.61,103.61,4691471
"Nov 12, 2025",103.0,103.0,103.0,103.0,3822259
"Nov 11, 2025",105.13,105.13,105.13,105.13,8001105
"Nov 10, 2025",109.47,109.47,109.47,109.47,3081750
"Nov 07, 2025",109.25,109.25,109.25,109.25,3747001
"Nov 06, 2025",110.27,110.27,110.27,110.27,7973597
"Nov 05, 2025",110.95,110.95,110.95,110.95,7127129
"Nov 04, 2025",108.39,108.39,108.39,108.39,4084288
"Nov 03, 2025",111.28,111.28,111.28,111.28,5367510
"Oct 31, 2025",111.94,111.94,111.94,111.94,7367351
"Oct 30, 2025",107.19,107.19,107.19,107.19,4899241
"Oct 29, 2025",107.79,107.79,107.79,107.79,7781150
"Oct 28, 2025",111.24,111.24,111.24,111.24,10047872
"Oct 27, 2025",116.35,116.35,116.35,116.35,24444518
"Oct 24, 2025",112.06,112.06,112.06,112.06,18834129
"Oct 23, 2025",109.94,109.94,109.94,109.94,17093761
"Oct 22, 2025",109.12,109.12,109.12,109.12,17458770
"Oct 21, 2025",106.19,106.19,106.19,106.19,6550044
"Oct 20, 2025",104.94,104.94,104.94,104.94,4796759
"Oct 17, 2025",103.35,103.35,103.35,103.35,3590576
"Oct 16, 2025",105.52,105.52,105.52,105.52,8620628
"Oct 15, 2025",104.46,104.46,104.46,104.46,6655381
"Oct 14, 2025",105.16,105.16,105.16,105.16,8118838
"Oct 13, 2025",99.75,99.75,99.75,99.75,5839983
"Oct 10, 2025",100.9,100.9,100.9,100.9,4083378
"Oct 09, 2025",105.1,105.1,105.1,105.1,12516379
"Oct 08, 2025",116.12,116.12,116.12,116.12,6795326
"Oct 07, 2025",119.08,119.08,119.08,119.08,6942272
"Oct 06, 2025",120.95,120.95,120.95,120.95,25108652
"Oct 03, 2025",119.86,119.86,119.86,119.86,13620856
"Oct 02, 2025",115.88,115.88,115.88,115.88,3201708
"Oct 01, 2025",116.26,116.26,116.26,116.26,4018539
"Sep 30, 2025",117.02,117.02,117.02,117.02,7731331
"Sep 29, 2025",115.35,115.35,115.35,115.35,4912982
"Sep 26, 2025",116.8,116.8,116.8,116.8,5616616
"Sep 25, 2025",117.75,117.75,117.75,117.75,5643720
