TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",24.19,24.19,24.19,24.19,624208
"Nov 14, 2025",21.99,21.99,21.99,21.99,275344
"Nov 13, 2025",21.29,21.29,21.29,21.29,168762
"Nov 12, 2025",19.35,19.35,19.35,19.35,409460
"Nov 11, 2025",21.29,21.29,21.29,21.29,586753
"Nov 10, 2025",19.35,19.35,19.35,19.35,21852
"Nov 07, 2025",17.59,17.59,17.59,17.59,177278
"Nov 06, 2025",15.99,15.99,15.99,15.99,21408
"Nov 05, 2025",15.95,15.95,15.95,15.95,39265
"Nov 04, 2025",16.39,16.39,16.39,16.39,50096
"Nov 03, 2025",16.22,16.22,16.22,16.22,41555
"Oct 31, 2025",16.43,16.43,16.43,16.43,124457
"Oct 30, 2025",15.66,15.66,15.66,15.66,35330
"Oct 29, 2025",16.22,16.22,16.22,16.22,45468
"Oct 28, 2025",16.12,16.12,16.12,16.12,38942
"Oct 27, 2025",16.73,16.73,16.73,16.73,20355
"Oct 24, 2025",17.02,17.02,17.02,17.02,190
"Oct 23, 2025",17.02,17.02,17.02,17.02,2074
"Oct 22, 2025",17.38,17.38,17.38,17.38,19765
"Oct 21, 2025",17.1,17.1,17.1,17.1,29059
"Oct 20, 2025",17.95,17.95,17.95,17.95,13142
"Oct 17, 2025",17.62,17.62,17.62,17.62,63765
"Oct 16, 2025",18.04,18.04,18.04,18.04,140660
"Oct 15, 2025",19.33,19.33,19.33,19.33,102080
"Oct 14, 2025",20.42,20.42,20.42,20.42,365182
"Oct 13, 2025",20.36,20.36,20.36,20.36,1239876
"Oct 10, 2025",18.51,18.51,18.51,18.51,1425058
"Oct 09, 2025",17.17,17.17,17.17,17.17,916958
"Oct 08, 2025",15.61,15.61,15.61,15.61,5774122
"Oct 07, 2025",16.99,16.99,16.99,16.99,4437
"Oct 06, 2025",16.02,16.02,16.02,16.02,6817
"Oct 03, 2025",17.0,17.0,17.0,17.0,8633
"Oct 02, 2025",17.04,17.04,17.04,17.04,1248
"Oct 01, 2025",17.51,17.51,17.51,17.51,3116
"Sep 30, 2025",17.01,17.01,17.01,17.01,5229
"Sep 29, 2025",18.0,18.0,18.0,18.0,1701
"Sep 26, 2025",18.0,18.0,18.0,18.0,21680
"Sep 25, 2025",17.98,17.98,17.98,17.98,7194
"Sep 24, 2025",17.05,17.05,17.05,17.05,12543
"Sep 23, 2025",17.84,17.84,17.84,17.84,46972
"Sep 22, 2025",17.95,17.95,17.95,17.95,65086
"Sep 19, 2025",17.73,17.73,17.73,17.73,15047
"Sep 18, 2025",18.09,18.09,18.09,18.09,34204
"Sep 17, 2025",17.13,17.13,17.13,17.13,16619
"Sep 16, 2025",17.88,17.88,17.88,17.88,133398
"Sep 15, 2025",17.85,17.85,17.85,17.85,281620
"Sep 12, 2025",16.23,16.23,16.23,16.23,48080
"Sep 11, 2025",14.75,14.75,14.75,14.75,8970
"Sep 10, 2025",14.75,14.75,14.75,14.75,7078
"Sep 09, 2025",15.21,15.21,15.21,15.21,284
"Sep 08, 2025",15.21,15.21,15.21,15.21,2577
"Sep 05, 2025",15.35,15.35,15.35,15.35,2725
"Sep 04, 2025",14.72,14.72,14.72,14.72,23536
"Sep 03, 2025",14.61,14.61,14.61,14.61,32319
"Sep 02, 2025",14.66,14.66,14.66,14.66,15532
"Sep 01, 2025",14.84,14.84,14.84,14.84,9376
"Aug 29, 2025",14.92,14.92,14.92,14.92,3157
"Aug 28, 2025",14.6,14.6,14.6,14.6,14261
"Aug 27, 2025",14.92,14.92,14.92,14.92,12279
"Aug 26, 2025",15.49,15.49,15.49,15.49,41875
"Aug 25, 2025",16.5,16.5,16.5,16.5,207297
"Aug 22, 2025",17.8,17.8,17.8,17.8,16182
"Aug 21, 2025",16.18,16.18,16.18,16.18,50106
"Aug 20, 2025",14.71,14.71,14.71,14.71,18365
"Aug 19, 2025",13.37,13.37,13.37,13.37,55740
"Aug 18, 2025",12.15,12.15,12.15,12.15,26724
"Aug 15, 2025",11.41,11.41,11.41,11.41,40
"Aug 13, 2025",11.41,11.41,11.41,11.41,1360
"Aug 11, 2025",11.66,11.66,11.66,11.66,1
"Aug 08, 2025",11.66,11.66,11.66,11.66,5
"Aug 07, 2025",11.66,11.66,11.66,11.66,1
"Aug 05, 2025",11.66,11.66,11.66,11.66,100
"Aug 04, 2025",11.66,11.66,11.66,11.66,300
"Aug 01, 2025",11.66,11.66,11.66,11.66,2871
"Jul 31, 2025",11.9,11.9,11.9,11.9,29231
"Jul 29, 2025",12.0,12.0,12.0,12.0,3
"Jul 28, 2025",12.0,12.0,12.0,12.0,12428
"Jul 25, 2025",12.19,12.19,12.19,12.19,801
"Jul 24, 2025",12.5,12.5,12.5,12.5,15692
"Jul 23, 2025",12.38,12.38,12.38,12.38,33700
"Jul 22, 2025",11.7,11.7,11.7,11.7,2118
"Jul 21, 2025",11.29,11.29,11.29,11.29,225
"Jul 18, 2025",11.29,11.29,11.29,11.29,1100
"Jul 17, 2025",11.74,11.74,11.74,11.74,1031
"Jul 16, 2025",11.63,11.63,11.63,11.63,1502
"Jul 15, 2025",11.75,11.75,11.75,11.75,2003
"Jul 14, 2025",12.47,12.47,12.47,12.47,3000
"Jul 11, 2025",12.25,12.25,12.25,12.25,53
"Jul 10, 2025",12.25,12.25,12.25,12.25,2600
"Jul 08, 2025",11.9,11.9,11.9,11.9,8244
"Jul 07, 2025",11.67,11.67,11.67,11.67,1142
"Jul 04, 2025",11.67,11.67,11.67,11.67,4882
"Jul 02, 2025",11.33,11.33,11.33,11.33,860
"Jul 01, 2025",11.09,11.09,11.09,11.09,69
"Jun 30, 2025",11.09,11.09,11.09,11.09,25
"Jun 27, 2025",11.09,11.09,11.09,11.09,112
"Jun 26, 2025",11.09,11.09,11.09,11.09,21474
"Jun 25, 2025",10.6,10.6,10.6,10.6,2
"Jun 24, 2025",10.6,10.6,10.6,10.6,413
"Jun 20, 2025",10.6,10.6,10.6,10.6,5800
"Jun 19, 2025",10.1,10.1,10.1,10.1,200
"Jun 18, 2025",10.1,10.1,10.1,10.1,1025
"Jun 17, 2025",10.3,10.3,10.3,10.3,318
"Jun 13, 2025",10.3,10.3,10.3,10.3,1000
"Jun 12, 2025",10.59,10.59,10.59,10.59,1500
"Jun 11, 2025",10.74,10.74,10.74,10.74,160
"Jun 10, 2025",10.74,10.74,10.74,10.74,500
"Jun 05, 2025",10.01,10.01,10.01,10.01,2007
"Jun 03, 2025",10.52,10.52,10.52,10.52,1100
"May 30, 2025",10.84,10.84,10.84,10.84,1
"May 29, 2025",10.84,10.84,10.84,10.84,2
"May 26, 2025",10.84,10.84,10.84,10.84,200
"May 23, 2025",10.84,10.84,10.84,10.84,94
"May 22, 2025",10.84,10.84,10.84,10.84,2
"May 20, 2025",10.84,10.84,10.84,10.84,2
"May 19, 2025",10.84,10.84,10.84,10.84,1
"May 13, 2025",10.84,10.84,10.84,10.84,92
"May 12, 2025",10.84,10.84,10.84,10.84,500
"May 06, 2025",10.55,10.55,10.55,10.55,16
"Apr 23, 2025",10.55,10.55,10.55,10.55,550
"Apr 18, 2025",10.55,10.55,10.55,10.55,20
"Apr 16, 2025",10.55,10.55,10.55,10.55,1000
"Apr 14, 2025",10.7,10.7,10.7,10.7,2
"Apr 11, 2025",10.7,10.7,10.7,10.7,18550
"Apr 10, 2025",10.5,10.5,10.5,10.5,86000
"Apr 09, 2025",10.5,10.5,10.5,10.5,45049
"Apr 08, 2025",11.0,11.0,11.0,11.0,1000
"Apr 04, 2025",11.0,11.0,11.0,11.0,2
"Apr 03, 2025",11.0,11.0,11.0,11.0,1
"Mar 24, 2025",11.0,11.0,11.0,11.0,1
"Mar 20, 2025",11.0,11.0,11.0,11.0,50
"Mar 19, 2025",11.0,11.0,11.0,11.0,10
"Mar 18, 2025",11.0,11.0,11.0,11.0,1544
"Mar 17, 2025",11.4,11.4,11.4,11.4,28
"Mar 06, 2025",11.4,11.4,11.4,11.4,1255
"Mar 03, 2025",11.4,11.4,11.4,11.4,107
"Feb 28, 2025",11.4,11.4,11.4,11.4,500
"Feb 27, 2025",11.02,11.02,11.02,11.02,18503
"Feb 26, 2025",12.0,12.0,12.0,12.0,1
"Feb 25, 2025",12.0,12.0,12.0,12.0,44
"Feb 24, 2025",12.0,12.0,12.0,12.0,44
"Feb 23, 2025",12.0,12.0,12.0,12.0,44
"Feb 22, 2025",12.0,12.0,12.0,12.0,44
"Feb 21, 2025",12.0,12.0,12.0,12.0,44
"Feb 20, 2025",12.0,12.0,12.0,12.0,44
"Feb 19, 2025",12.0,12.0,12.0,12.0,9008
"Feb 18, 2025",11.51,11.51,11.51,11.51,780
"Feb 17, 2025",11.51,11.51,11.51,11.51,780
"Feb 16, 2025",11.8,11.8,11.8,11.8,4000
"Feb 15, 2025",11.8,11.8,11.8,11.8,4000
"Feb 14, 2025",11.8,11.8,11.8,11.8,4000
"Feb 13, 2025",11.8,11.8,11.8,11.8,4000
"Feb 12, 2025",11.9,11.9,11.9,11.9,101
"Feb 11, 2025",11.9,11.9,11.9,11.9,101
"Feb 10, 2025",11.9,11.9,11.9,11.9,10
"Feb 09, 2025",11.9,11.9,11.9,11.9,10
"Feb 08, 2025",11.9,11.9,11.9,11.9,10
"Feb 07, 2025",11.9,11.9,11.9,11.9,10
"Feb 06, 2025",11.9,11.9,11.9,11.9,10
"Feb 05, 2025",11.9,11.9,11.9,11.9,10
"Feb 04, 2025",11.9,11.9,11.9,11.9,10
"Feb 03, 2025",11.9,11.9,11.9,11.9,103
"Feb 02, 2025",11.9,11.9,11.9,11.9,499
"Feb 01, 2025",11.9,11.9,11.9,11.9,499
