TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",269.93,269.93,269.93,269.93,1398
"Nov 14, 2025",271.9,271.9,271.9,271.9,1294
"Nov 13, 2025",272.11,272.11,272.11,272.11,365
"Nov 12, 2025",271.94,271.94,271.94,271.94,6222
"Nov 11, 2025",280.8,280.8,280.8,280.8,64
"Nov 10, 2025",280.8,280.8,280.8,280.8,4612
"Nov 07, 2025",275.05,275.05,275.05,275.05,2116
"Nov 06, 2025",270.85,270.85,270.85,270.85,913
"Nov 05, 2025",277.7,277.7,277.7,277.7,1232
"Nov 04, 2025",284.97,284.97,284.97,284.97,1099
"Nov 03, 2025",281.2,281.2,281.2,281.2,2416
"Oct 31, 2025",289.21,289.21,289.21,289.21,35204
"Oct 30, 2025",291.69,291.69,291.69,291.69,55810
"Oct 29, 2025",280.74,280.74,280.74,280.74,47611
"Oct 28, 2025",260.81,260.81,260.81,260.81,1988
"Oct 27, 2025",258.9,258.9,258.9,258.9,1393
"Oct 24, 2025",261.23,261.23,261.23,261.23,1748
"Oct 23, 2025",260.01,260.01,260.01,260.01,3383
"Oct 22, 2025",262.55,262.55,262.55,262.55,3653
"Oct 21, 2025",250.41,250.41,250.41,250.41,8530
"Oct 20, 2025",251.0,251.0,251.0,251.0,493
"Oct 17, 2025",241.74,241.74,241.74,241.74,28151
"Oct 16, 2025",261.0,261.0,261.0,261.0,14609
"Oct 15, 2025",264.16,264.16,264.16,264.16,5395
"Oct 14, 2025",259.4,259.4,259.4,259.4,10260
"Oct 13, 2025",248.91,248.91,248.91,248.91,8823
"Oct 10, 2025",261.12,261.12,261.12,261.12,4801
"Oct 09, 2025",265.07,265.07,265.07,265.07,23972
"Oct 08, 2025",264.11,264.11,264.11,264.11,8366
"Oct 07, 2025",267.73,267.73,267.73,267.73,4928
"Oct 06, 2025",270.0,270.0,270.0,270.0,10423
"Oct 03, 2025",290.49,290.49,290.49,290.49,56389
"Oct 02, 2025",280.57,280.57,280.57,280.57,77351
"Oct 01, 2025",267.67,267.67,267.67,267.67,80116
"Sep 30, 2025",243.34,243.34,243.34,243.34,9592
"Sep 29, 2025",221.22,221.22,221.22,221.22,90322
"Sep 26, 2025",201.11,201.11,201.11,201.11,18443
"Sep 25, 2025",205.88,205.88,205.88,205.88,894
"Sep 24, 2025",204.0,204.0,204.0,204.0,906
"Sep 23, 2025",204.06,204.06,204.06,204.06,6345
"Sep 22, 2025",208.88,208.88,208.88,208.88,10342
"Sep 19, 2025",205.05,205.05,205.05,205.05,12538
"Sep 18, 2025",207.38,207.38,207.38,207.38,3020
"Sep 17, 2025",211.88,211.88,211.88,211.88,7520
"Sep 16, 2025",209.91,209.91,209.91,209.91,41965
"Sep 15, 2025",203.63,203.63,203.63,203.63,6188
"Sep 12, 2025",204.53,204.53,204.53,204.53,9451
"Sep 11, 2025",200.0,200.0,200.0,200.0,10776
"Sep 10, 2025",203.0,203.0,203.0,203.0,9526
"Sep 09, 2025",203.25,203.25,203.25,203.25,3363
"Sep 08, 2025",203.0,203.0,203.0,203.0,21704
"Sep 05, 2025",200.59,200.59,200.59,200.59,8765
"Sep 04, 2025",200.13,200.13,200.13,200.13,2935
"Sep 03, 2025",201.43,201.43,201.43,201.43,183
"Sep 02, 2025",200.02,200.02,200.02,200.02,29606
"Sep 01, 2025",200.0,200.0,200.0,200.0,37089
"Aug 29, 2025",200.02,200.02,200.02,200.02,7018
"Aug 28, 2025",200.0,200.0,200.0,200.0,51219
"Aug 27, 2025",200.0,200.0,200.0,200.0,21930
"Aug 26, 2025",203.5,203.5,203.5,203.5,2737
"Aug 25, 2025",200.13,200.13,200.13,200.13,2552
"Aug 22, 2025",200.07,200.07,200.07,200.07,3589
"Aug 21, 2025",198.12,198.12,198.12,198.12,30320
"Aug 20, 2025",202.27,202.27,202.27,202.27,8455
"Aug 19, 2025",206.03,206.03,206.03,206.03,13897
"Aug 18, 2025",210.25,210.25,210.25,210.25,24477
"Aug 15, 2025",215.02,215.02,215.02,215.02,47115
"Aug 13, 2025",219.7,219.7,219.7,219.7,16421
"Aug 12, 2025",219.83,219.83,219.83,219.83,30946
"Aug 11, 2025",219.39,219.39,219.39,219.39,15266
"Aug 08, 2025",218.17,218.17,218.17,218.17,16753
"Aug 07, 2025",218.92,218.92,218.92,218.92,24865
"Aug 06, 2025",220.02,220.02,220.02,220.02,9484
"Aug 05, 2025",215.18,215.18,215.18,215.18,33107
"Aug 04, 2025",219.99,219.99,219.99,219.99,3563
"Aug 01, 2025",222.96,222.96,222.96,222.96,30833
"Jul 31, 2025",215.82,215.82,215.82,215.82,13542
"Jul 30, 2025",220.98,220.98,220.98,220.98,13834
"Jul 29, 2025",222.91,222.91,222.91,222.91,62625
"Jul 28, 2025",233.0,233.0,233.0,233.0,8223
"Jul 25, 2025",237.49,237.49,237.49,237.49,1708
"Jul 24, 2025",242.71,242.71,242.71,242.71,60354
"Jul 23, 2025",237.6,237.6,237.6,237.6,47441
"Jul 22, 2025",238.91,238.91,238.91,238.91,61986
"Jul 21, 2025",234.91,234.91,234.91,234.91,11667
"Jul 18, 2025",237.02,237.02,237.02,237.02,51797
"Jul 17, 2025",233.92,233.92,233.92,233.92,118484
"Jul 16, 2025",219.9,219.9,219.9,219.9,16331
"Jul 15, 2025",224.93,224.93,224.93,224.93,53731
"Jul 14, 2025",225.03,225.03,225.03,225.03,78852
"Jul 11, 2025",215.7,215.7,215.7,215.7,126447
"Jul 10, 2025",211.76,211.76,211.76,211.76,20579
"Jul 09, 2025",205.04,205.04,205.04,205.04,14123
"Jul 08, 2025",208.34,208.34,208.34,208.34,4665
"Jul 07, 2025",214.73,214.73,214.73,214.73,23277
"Jul 04, 2025",215.0,215.0,215.0,215.0,11434
"Jul 03, 2025",219.38,219.38,219.38,219.38,31856
"Jul 02, 2025",215.15,215.15,215.15,215.15,77252
"Jul 01, 2025",197.9,197.9,197.9,197.9,9514
"Jun 30, 2025",179.91,179.91,179.91,179.91,10928
"Jun 27, 2025",167.37,167.37,167.37,167.37,29258
"Jun 26, 2025",175.01,175.01,175.01,175.01,49946
