TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
"Nov 17, 2025",449.84,449.84,449.84,449.84,202
"Nov 14, 2025",437.47,437.47,437.47,437.47,2501
"Nov 13, 2025",437.47,437.47,437.47,437.47,4107
"Nov 12, 2025",450.0,450.0,450.0,450.0,5000
"Nov 11, 2025",447.55,447.55,447.55,447.55,6783
"Nov 10, 2025",447.55,447.55,447.55,447.55,21
"Nov 07, 2025",447.55,447.55,447.55,447.55,10
"Nov 06, 2025",447.55,447.55,447.55,447.55,2502
"Nov 05, 2025",447.55,447.55,447.55,447.55,37
"Nov 04, 2025",447.55,447.55,447.55,447.55,140
"Nov 03, 2025",460.01,460.01,460.01,460.01,1671
"Oct 31, 2025",426.77,426.77,426.77,426.77,60275
"Oct 30, 2025",445.04,445.04,445.04,445.04,13
"Oct 29, 2025",445.04,445.04,445.04,445.04,600
"Oct 28, 2025",466.31,466.31,466.31,466.31,27
"Oct 27, 2025",466.31,466.31,466.31,466.31,171
"Oct 24, 2025",460.0,460.0,460.0,460.0,27
"Oct 23, 2025",460.0,460.0,460.0,460.0,6309
"Oct 22, 2025",460.18,460.18,460.18,460.18,3
"Oct 21, 2025",460.18,460.18,460.18,460.18,13
"Oct 20, 2025",460.18,460.18,460.18,460.18,1361
"Oct 16, 2025",441.33,441.33,441.33,441.33,70
"Oct 15, 2025",435.61,435.61,435.61,435.61,2545
"Oct 14, 2025",435.61,435.61,435.61,435.61,5211
"Oct 13, 2025",404.5,404.5,404.5,404.5,278
"Oct 10, 2025",445.32,445.32,445.32,445.32,62
"Oct 09, 2025",445.32,445.32,445.32,445.32,2322
"Oct 08, 2025",482.54,482.54,482.54,482.54,2020
"Oct 07, 2025",482.54,482.54,482.54,482.54,25
"Oct 06, 2025",482.54,482.54,482.54,482.54,2523
"Oct 03, 2025",482.54,482.54,482.54,482.54,475
"Oct 02, 2025",510.0,510.0,510.0,510.0,2438
"Oct 01, 2025",492.0,492.0,492.0,492.0,4909
"Sep 30, 2025",485.58,485.58,485.58,485.58,152
"Sep 29, 2025",481.39,481.39,481.39,481.39,27
"Sep 26, 2025",481.39,481.39,481.39,481.39,85
"Sep 25, 2025",483.56,483.56,483.56,483.56,69
"Sep 24, 2025",498.98,498.98,498.98,498.98,5192
"Sep 23, 2025",496.08,496.08,496.08,496.08,94
"Sep 22, 2025",499.0,499.0,499.0,499.0,2005
"Sep 19, 2025",499.0,499.0,499.0,499.0,4211
"Sep 18, 2025",499.0,499.0,499.0,499.0,2028
"Sep 17, 2025",499.0,499.0,499.0,499.0,1000
"Sep 16, 2025",500.0,500.0,500.0,500.0,1943
"Sep 15, 2025",520.89,520.89,520.89,520.89,13491
"Sep 12, 2025",500.78,500.78,500.78,500.78,12
"Sep 11, 2025",500.78,500.78,500.78,500.78,257
"Sep 10, 2025",500.0,500.0,500.0,500.0,18344
"Sep 09, 2025",500.0,500.0,500.0,500.0,3635
"Sep 08, 2025",498.84,498.84,498.84,498.84,234
"Sep 05, 2025",499.71,499.71,499.71,499.71,259
"Sep 04, 2025",499.03,499.03,499.03,499.03,186
"Sep 03, 2025",478.9,478.9,478.9,478.9,3026
"Sep 02, 2025",490.0,490.0,490.0,490.0,35055
"Sep 01, 2025",495.0,495.0,495.0,495.0,1911
"Aug 29, 2025",485.75,485.75,485.75,485.75,15269
"Aug 28, 2025",464.76,464.76,464.76,464.76,3438
"Aug 27, 2025",479.75,479.75,479.75,479.75,30655
"Aug 26, 2025",436.16,436.16,436.16,436.16,21722
"Aug 25, 2025",406.68,406.68,406.68,406.68,544
"Aug 22, 2025",418.33,418.33,418.33,418.33,1005
"Aug 21, 2025",438.38,438.38,438.38,438.38,11
"Aug 20, 2025",438.38,438.38,438.38,438.38,598
"Aug 19, 2025",448.73,448.73,448.73,448.73,26137
"Aug 18, 2025",450.54,450.54,450.54,450.54,11773
"Aug 15, 2025",430.0,430.0,430.0,430.0,1014
"Aug 13, 2025",425.0,425.0,425.0,425.0,457
"Aug 12, 2025",428.81,428.81,428.81,428.81,4989
"Aug 11, 2025",425.15,425.15,425.15,425.15,10657
"Aug 08, 2025",418.5,418.5,418.5,418.5,96
"Aug 07, 2025",426.95,426.95,426.95,426.95,84
"Aug 06, 2025",415.44,415.44,415.44,415.44,693
"Aug 05, 2025",424.5,424.5,424.5,424.5,2142
"Aug 04, 2025",433.9,433.9,433.9,433.9,782
"Aug 01, 2025",430.87,430.87,430.87,430.87,1254
"Jul 31, 2025",414.23,414.23,414.23,414.23,3253
"Jul 30, 2025",430.01,430.01,430.01,430.01,620
"Jul 29, 2025",435.51,435.51,435.51,435.51,9832
"Jul 28, 2025",439.89,439.89,439.89,439.89,651
"Jul 25, 2025",435.0,435.0,435.0,435.0,1784
"Jul 24, 2025",442.68,442.68,442.68,442.68,1732
"Jul 23, 2025",432.19,432.19,432.19,432.19,1650
"Jul 22, 2025",400.82,400.82,400.82,400.82,17766
"Jul 21, 2025",399.77,399.77,399.77,399.77,40
"Jul 18, 2025",399.77,399.77,399.77,399.77,1259
"Jul 17, 2025",399.65,399.65,399.65,399.65,1493
"Jul 16, 2025",395.78,395.78,395.78,395.78,2262
"Jul 15, 2025",378.23,378.23,378.23,378.23,2051
"Jul 14, 2025",389.85,389.85,389.85,389.85,1220
"Jul 11, 2025",370.57,370.57,370.57,370.57,3303
"Jul 10, 2025",370.22,370.22,370.22,370.22,5813
"Jul 09, 2025",365.16,365.16,365.16,365.16,108
"Jul 08, 2025",365.21,365.21,365.21,365.21,4
"Jul 07, 2025",365.21,365.21,365.21,365.21,4
"Jul 04, 2025",365.21,365.21,365.21,365.21,20328
"Jul 03, 2025",360.0,360.0,360.0,360.0,19869
"Jul 02, 2025",364.98,364.98,364.98,364.98,36474
"Jul 01, 2025",360.0,360.0,360.0,360.0,46038
"Jun 27, 2025",360.0,360.0,360.0,360.0,12
"Jun 26, 2025",360.0,360.0,360.0,360.0,5090
"Jun 25, 2025",359.0,359.0,359.0,359.0,28
"Jun 24, 2025",359.0,359.0,359.0,359.0,15
"Jun 23, 2025",359.0,359.0,359.0,359.0,205
"Jun 20, 2025",364.86,364.86,364.86,364.86,16
"Jun 19, 2025",364.86,364.86,364.86,364.86,47
"Jun 18, 2025",364.86,364.86,364.86,364.86,708
"Jun 17, 2025",356.0,356.0,356.0,356.0,663
"Jun 16, 2025",345.54,345.54,345.54,345.54,206
"Jun 13, 2025",362.0,362.0,362.0,362.0,647
"Jun 12, 2025",360.0,360.0,360.0,360.0,539
"Jun 11, 2025",360.0,360.0,360.0,360.0,22372
"Jun 10, 2025",345.91,345.91,345.91,345.91,166
"Jun 05, 2025",359.31,359.31,359.31,359.31,2291
"Jun 04, 2025",364.0,364.0,364.0,364.0,1373
"Jun 03, 2025",364.97,364.97,364.97,364.97,8570
"Jun 02, 2025",365.0,365.0,365.0,365.0,12257
